entry_bar_idx,entry_time,entry_price,side,tp_price,sl_price,atr_at_entry,exit_bar_idx,exit_time,exit_price,exit_type,holding_bars,gross_pnl_pct,gross_pnl_eq,cost_total_eq,net_pnl_eq,regime,s1_prob,s2_prob
63,2026-02-13 12:00:00+00:00,0.268845,BUY,0.285451,0.265524,0.005535,69,2026-02-14 12:00:00+00:00,0.285451,take_profit,6,0.061769,0.025,0.00071,0.02429,UNKNOWN,0.5565,0.8785
70,2026-02-14 16:00:00+00:00,0.298319,SELL,0.280864,0.30181,0.005818,76,2026-02-15 16:00:00+00:00,0.280864,take_profit,6,0.05851,0.025,0.000735,0.024265,UNKNOWN,0.8555,0.4328
88,2026-02-17 16:00:00+00:00,0.283202,BUY,0.300881,0.279666,0.005893,90,2026-02-18 00:00:00+00:00,0.279666,stop_loss,2,-0.012485,-0.005,0.000925,-0.005925,UNKNOWN,0.5136,0.6494
91,2026-02-18 04:00:00+00:00,0.284578,BUY,0.300635,0.281366,0.005353,92,2026-02-18 08:00:00+00:00,0.281366,stop_loss,1,-0.011285,-0.005,0.000974,-0.005974,UNKNOWN,0.5072,0.6921
105,2026-02-20 12:00:00+00:00,0.287286,SELL,0.270442,0.290655,0.005615,106,2026-02-20 16:00:00+00:00,0.290655,stop_loss,1,-0.011726,-0.005,0.000947,-0.005947,UNKNOWN,0.7118,0.3908
107,2026-02-20 20:00:00+00:00,0.284902,BUY,0.30252,0.281379,0.005873,109,2026-02-21 04:00:00+00:00,0.281379,stop_loss,2,-0.012368,-0.005,0.000932,-0.005932,UNKNOWN,0.6185,0.5182
110,2026-02-21 08:00:00+00:00,0.283488,BUY,0.299667,0.280252,0.005393,112,2026-02-21 16:00:00+00:00,0.280252,stop_loss,2,-0.011414,-0.005,0.000987,-0.005987,UNKNOWN,0.612,0.536
135,2026-02-25 12:00:00+00:00,0.291207,SELL,0.272385,0.294972,0.006274,136,2026-02-25 16:00:00+00:00,0.294972,stop_loss,1,-0.012927,-0.005,0.000884,-0.005884,UNKNOWN,0.8193,0.4691
137,2026-02-25 20:00:00+00:00,0.296693,SELL,0.274897,0.301052,0.007265,149,2026-02-27 20:00:00+00:00,0.274897,take_profit,12,0.073464,0.025,0.000741,0.024259,UNKNOWN,0.7784,0.3601
178,2026-03-04 16:00:00+00:00,0.282928,SELL,0.262016,0.287111,0.006971,189,2026-03-06 12:00:00+00:00,0.262016,take_profit,11,0.073913,0.025,0.000721,0.024279,UNKNOWN,0.5846,0.4251
212,2026-03-10 08:00:00+00:00,0.264468,BUY,0.280207,0.26132,0.005246,215,2026-03-10 20:00:00+00:00,0.26132,stop_loss,3,-0.011902,-0.005,0.000979,-0.005979,UNKNOWN,0.6473,0.7557
220,2026-03-11 16:00:00+00:00,0.26534,BUY,0.281702,0.262067,0.005454,222,2026-03-12 00:00:00+00:00,0.262067,stop_loss,2,-0.012333,-0.005,0.000934,-0.005934,UNKNOWN,0.5233,0.905
228,2026-03-13 00:00:00+00:00,0.271443,BUY,0.286269,0.268478,0.004942,232,2026-03-13 16:00:00+00:00,0.268478,stop_loss,4,-0.010924,-0.005,0.001066,-0.006066,UNKNOWN,0.766,0.9645
