=== SESSION MONITOR START 2026-03-18 02:03:09 KST ===
[2026-03-18 02:03:09 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5925 ADA=0.2864
    >> 2026-03-18 01:47:58,672 [INFO] [DOT] 학습 완료: 2183샘플 / 80피처
[2026-03-18 02:07:59 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5925 ADA=0.2864
    >> 2026-03-18 01:47:58,672 [INFO] [DOT] 학습 완료: 2183샘플 / 80피처
[2026-03-18 02:12:49 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5925 ADA=0.2864
    >> 2026-03-18 01:47:58,672 [INFO] [DOT] 학습 완료: 2183샘플 / 80피처
[2026-03-18 02:17:38 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 02:22:28 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 02:27:17 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 02:32:07 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 02:36:56 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 02:41:46 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 02:46:34 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 02:51:24 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 02:56:13 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 03:01:03 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 03:05:51 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 03:10:40 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 03:15:30 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 03:20:19 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 03:25:07 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 03:29:56 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 03:34:45 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 03:39:34 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 03:44:22 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 03:49:11 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 03:54:00 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 03:58:49 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 04:03:36 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 04:08:25 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 04:13:14 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 04:18:02 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 04:22:50 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 04:27:38 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 04:32:27 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 04:37:15 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 04:42:03 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 04:46:52 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 04:51:40 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 04:56:27 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 05:01:15 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
[2026-03-18 05:06:03 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
    >> 2026-03-18 05:05:06,707 [INFO] [ADA] 새 4h바 확정 (20:00 UTC) — 피처 갱신 중...
    >> 2026-03-18 05:05:09,025 [INFO] [ADA] S1 미달: s1_prob=0.046 < threshold=0.4 regime=TREND_UP
    >> 2026-03-18 05:05:09,025 [INFO] [ADA] 신호 없음 (bar=20:00)
[2026-03-18 05:10:51 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5897 ADA=0.2874
    >> 2026-03-18 05:05:06,707 [INFO] [ADA] 새 4h바 확정 (20:00 UTC) — 피처 갱신 중...
    >> 2026-03-18 05:05:09,025 [INFO] [ADA] S1 미달: s1_prob=0.046 < threshold=0.4 regime=TREND_UP
    >> 2026-03-18 05:05:09,025 [INFO] [ADA] 신호 없음 (bar=20:00)
[2026-03-18 05:15:38 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:20:26 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:25:14 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:30:02 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:34:48 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:39:36 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:44:24 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:49:11 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:53:57 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:58:45 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:03:32 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:08:20 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:13:06 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:17:53 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
