,open,high,low,close,volume,vd,cvd,buy_frac,cvd_3,cvd_6,cvd_12,cvd_24,cvd_ma_3,cvd_ma_6,cvd_ma_12,cvd_ma_24,cvd_ratio_3,cvd_ratio_6,cvd_ratio_12,cvd_ratio_24,cvd_div_3,cvd_div_6,cvd_div_12,cvd_div_24,ofi_raw,ofi_norm,ofi_sum_3,ofi_sum_6,ofi_sum_12,ofi_sum_24,ofi_mean_3,ofi_mean_6,ofi_mean_12,ofi_mean_24,ofi_std_3,ofi_std_6,ofi_std_12,ofi_std_24,ofi_pct_3,ofi_pct_6,ofi_pct_12,ofi_pct_24,vpin_12,vpin_24,vpin_48,vpin_chg_12,vpin_chg_24,vpin_chg_48,roll_spread_12,roll_spread_24,roll_spread_48,roll_spread_bps_12,roll_spread_bps_24,roll_spread_bps_48,roll_spread_ratio,illiq_raw,illiq_3,illiq_6,illiq_12,illiq_24,illiq_std_3,illiq_std_6,illiq_std_12,illiq_std_24,illiq_z_3,illiq_z_6,illiq_z_12,illiq_z_24,illiq_ratio,ms_flow_score,ms_informed_score,ms_liquidity_stress,ms_composite
2024-03-18 00:00:00+00:00,201.7310028076172,204.6146240234375,195.2404022216797,203.0476531982422,188876800.0,125732479.02468824,125732479.02468824,0.8328425699310033,640870662.1081545,91033665.22018579,-14015739.399950415,464002997.0291077,213623554.0360515,15172277.536697632,-1167978.2833292012,19333458.209546153,0.6640313972770264,0.045405847641572766,-0.003533113277980603,0.08825282863193233,1.0,1.0,1.0,1.0,26528571.411732,0.001273853028479562,486629905.42491835,-69494924.34711479,-443115756.7761025,211784740.14616612,162209968.47497278,-11582487.391185798,-36926313.064675204,8824364.172756921,236632692.21933872,260582042.1917092,235509101.53190303,197935808.1225925,0.5042164592043105,-0.03466273646277427,-0.11170143217371821,0.04028121046340014,0.0035331132779805956,0.08825282863193233,0.13508588354411008,0.2551221698293959,-0.04576548296050265,-0.0709113054985284,0.03208214824893654,0.004937498506068566,0.010473766553221518,320.82148248936545,49.37498506068566,104.73766553221517,2.772732852978955,8.732326418080956e-08,1.6440838218233663e-07,2.868290003888444e-07,4517728577806.135,39074907991661.54,8.566814896237517e-08,1.7738310346727533e-07,15649870863132.223,83252683989910.39,1.0753521953865235,1.643747504470821,-0.28867513459481287,-0.4693531321632481,3.0511220543189164,0.015697058785540025,0.0,-0.23479521990672692,0.016318505691118333
2024-03-18 04:00:00+00:00,201.69227600097656,204.30978393554688,200.8827667236328,203.24388122558594,54452224.0,20579751.50294208,146312230.52763033,0.6889707158971329,640870662.1081545,91033665.22018579,-14015739.399950415,464002997.0291077,213623554.0360515,15172277.536697632,-1167978.2833292012,19333458.209546153,0.6640313972770264,0.045405847641572766,-0.003533113277980603,0.08825282863193233,1.0,1.0,1.0,1.0,24653612.75508333,0.001273853028479562,486629905.42491835,-69494924.34711479,-443115756.7761025,211784740.14616612,162209968.47497278,-11582487.391185798,-36926313.064675204,8824364.172756921,236632692.21933872,260582042.1917092,235509101.53190303,197935808.1225925,0.5042164592043105,-0.03466273646277427,-0.11170143217371821,0.04028121046340014,0.0035331132779805956,0.08825282863193233,0.13508588354411008,0.2551221698293959,-0.04576548296050265,-0.0709113054985284,0.03208214824893654,0.004937498506068566,0.010473766553221518,320.82148248936545,49.37498506068566,104.73766553221517,2.772732852978955,8.732326418080956e-08,1.6440838218233663e-07,2.868290003888444e-07,4517728577806.135,39074907991661.54,8.566814896237517e-08,1.7738310346727533e-07,15649870863132.223,83252683989910.39,1.0753521953865235,1.643747504470821,-0.28867513459481287,-0.4693531321632481,3.0511220543189164,0.015697058785540025,0.0,-0.23479521990672692,0.016318505691118333
2024-03-18 08:00:00+00:00,202.34231567382812,209.21632385253906,200.1798553466797,207.7938995361328,721792000.0,494558431.58052415,640870662.1081545,0.8425906851146342,640870662.1081545,91033665.22018579,-14015739.399950415,464002997.0291077,213623554.0360515,15172277.536697632,-1167978.2833292012,19333458.209546153,0.6640313972770264,0.045405847641572766,-0.003533113277980603,0.08825282863193233,1.0,1.0,1.0,1.0,435447721.258103,0.001273853028479562,486629905.42491835,-69494924.34711479,-443115756.7761025,211784740.14616612,162209968.47497278,-11582487.391185798,-36926313.064675204,8824364.172756921,236632692.21933872,260582042.1917092,235509101.53190303,197935808.1225925,0.5042164592043105,-0.03466273646277427,-0.11170143217371821,0.04028121046340014,0.0035331132779805956,0.08825282863193233,0.13508588354411008,0.2551221698293959,-0.04576548296050265,-0.0709113054985284,0.03208214824893654,0.004937498506068566,0.010473766553221518,320.82148248936545,49.37498506068566,104.73766553221517,2.772732852978955,1.4926253290293522e-07,1.6440838218233663e-07,2.868290003888444e-07,4517728577806.135,39074907991661.54,8.566814896237517e-08,1.7738310346727533e-07,15649870863132.223,83252683989910.39,1.0753521953865235,1.643747504470821,-0.28867513459481287,-0.4693531321632481,3.0511220543189164,0.015697058785540025,0.0,-0.23479521990672692,0.016318505691118333
2024-03-18 12:00:00+00:00,207.73587036132812,208.6746826171875,200.04443359375,203.37884521484375,407074816.0,-92517265.36083513,548353396.7473195,0.38636331489389514,422620917.7226311,91033665.22018579,-14015739.399950415,464002997.0291077,140873639.24087703,15172277.536697632,-1167978.2833292012,19333458.209546153,0.3571487514665792,0.045405847641572766,-0.003533113277980603,0.08825282863193233,0.0,1.0,1.0,1.0,-205513792.82048744,0.001273853028479562,254587541.1926989,-69494924.34711479,-443115756.7761025,211784740.14616612,84862513.73089963,-11582487.391185798,-36926313.064675204,8824364.172756921,324694855.9032257,260582042.1917092,235509101.53190303,197935808.1225925,0.2151469997412523,-0.03466273646277427,-0.11170143217371821,0.04028121046340014,0.0035331132779805956,0.08825282863193233,0.13508588354411008,0.2551221698293959,-0.04576548296050265,-0.0709113054985284,0.03208214824893654,0.004937498506068566,0.010473766553221518,320.82148248936545,49.37498506068566,104.73766553221517,2.772732852978955,2.5663934946326516e-07,1.6440838218233663e-07,2.868290003888444e-07,4517728577806.135,39074907991661.54,8.566814896237517e-08,1.7738310346727533e-07,15649870863132.223,83252683989910.39,1.0753521953865235,1.643747504470821,-0.28867513459481287,-0.4693531321632481,3.0511220543189164,0.015697058785540025,0.0,-0.23479521990672692,0.016318505691118333
2024-03-18 16:00:00+00:00,203.4252471923828,205.57257080078125,196.51441955566406,197.89442443847656,534658048.0,-371748267.2067982,176605129.54052126,0.1523495076924399,30292899.012890816,91033665.22018579,-14015739.399950415,464002997.0291077,10097633.004296938,15172277.536697632,-1167978.2833292012,19333458.209546153,0.01821006686972538,0.045405847641572766,-0.003533113277980603,0.08825282863193233,1.0,1.0,1.0,1.0,-326457222.6036614,0.001273853028479562,-96523294.16604584,-69494924.34711479,-443115756.7761025,211784740.14616612,-32174431.38868195,-11582487.391185798,-36926313.064675204,8824364.172756921,409462680.2731101,260582042.1917092,235509101.53190303,197935808.1225925,-0.058023355258996503,-0.03466273646277427,-0.11170143217371821,0.04028121046340014,0.0035331132779805956,0.08825282863193233,0.13508588354411008,0.2551221698293959,-0.04576548296050265,-0.0709113054985284,0.03208214824893654,0.004937498506068566,0.010473766553221518,320.82148248936545,49.37498506068566,104.73766553221517,2.772732852978955,2.548680073260202e-07,2.2025662989740686e-07,2.868290003888444e-07,4517728577806.135,39074907991661.54,6.148907032381553e-08,1.7738310346727533e-07,15649870863132.223,83252683989910.39,0.5619727209168421,1.643747504470821,-0.28867513459481287,-0.4693531321632481,3.0511220543189164,0.015697058785540025,0.0,-0.23479521990672692,0.016318505691118333
2024-03-18 20:00:00+00:00,198.4627685546875,204.26239013671875,195.85780334472656,196.3920440673828,98034688.0,-85571464.32033536,91033665.2201859,0.06356537636792722,-549836996.8879687,91033665.22018579,-14015739.399950415,464002997.0291077,-183278998.96265623,15172277.536697632,-1167978.2833292012,19333458.209546153,-0.5288076126537642,0.045405847641572766,-0.003533113277980603,0.08825282863193233,0.0,1.0,1.0,1.0,-24153814.34788428,0.001273853028479562,-556124829.7720331,-69494924.34711479,-443115756.7761025,211784740.14616612,-185374943.25734437,-11582487.391185798,-36926313.064675204,8824364.172756921,152154584.57456988,260582042.1917092,235509101.53190303,197935808.1225925,-0.5348549574395962,-0.03466273646277427,-0.11170143217371821,0.04028121046340014,0.0035331132779805956,0.08825282863193233,0.13508588354411008,0.2551221698293959,-0.04576548296050265,-0.0709113054985284,0.03208214824893654,0.004937498506068566,0.010473766553221518,320.82148248936545,49.37498506068566,104.73766553221517,2.772732852978955,3.943144396611216e-07,3.019405988168023e-07,2.868290003888444e-07,4517728577806.135,39074907991661.54,8.00029953657394e-08,1.7738310346727533e-07,15649870863132.223,83252683989910.39,1.1531883473589581,1.643747504470821,-0.28867513459481287,-0.4693531321632481,3.0511220543189164,0.015697058785540025,0.0,-0.23479521990672692,0.016318505691118333
2024-03-19 00:00:00+00:00,195.87960815429688,197.343017578125,182.82131958007812,185.61312866210938,511080448.0,-314569125.9001905,-223535460.68000457,0.19225087055160595,-771888857.427324,-349267939.70469296,-14015739.399950415,464002997.0291077,-257296285.80910802,-58211323.28411549,-1167978.2833292012,19333458.209546153,-0.6748618242017852,-0.15008770864454274,-0.003533113277980603,0.08825282863193233,0.0,0.0,1.0,1.0,-361321171.87119395,0.001273853028479562,-711932208.8227396,-457344667.63004076,-443115756.7761025,211784740.14616612,-237310736.27424654,-76224111.27167346,-36926313.064675204,8824364.172756921,185420545.68864056,295062183.6004394,235509101.53190303,197935808.1225925,-0.6224417732307489,-0.19653052978017288,-0.11170143217371821,0.04028121046340014,0.0035331132779805956,0.08825282863193233,0.13508588354411008,0.2551221698293959,-0.04576548296050265,-0.0709113054985284,0.03208214824893654,0.004937498506068566,0.010473766553221518,320.82148248936545,49.37498506068566,104.73766553221517,2.772732852978955,5.785664087989148e-07,4.0924961859535223e-07,2.868290003888444e-07,4517728577806.135,39074907991661.54,1.6236520087868254e-07,1.7738310346727533e-07,15649870863132.223,83252683989910.39,1.0421726578234822,1.643747504470821,-0.28867513459481287,-0.4693531321632481,3.0511220543189164,0.015697058785540025,0.0,-0.23479521990672692,0.016318505691118333
2024-03-19 04:00:00+00:00,184.31153869628906,188.42501831054688,180.39657592773438,185.9394989013672,433671168.0,165151309.75124216,-58384150.928762406,0.6904107558186139,-234989280.46928364,-204696381.45639288,-14015739.399950415,464002997.0291077,-78329760.15642788,-34116063.57606548,-1167978.2833292012,19333458.209546153,-0.22534749408185903,-0.07563667618002191,-0.003533113277980603,0.08825282863193233,0.0,0.0,1.0,1.0,87937282.21757913,0.001273853028479562,-297537704.0014991,-394060998.1675449,-443115756.7761025,211784740.14616612,-99179234.66716637,-65676833.02792415,-36926313.064675204,8824364.172756921,233837336.439505,300470843.3085332,235509101.53190303,197935808.1225925,-0.2853295088937984,-0.1456081631805707,-0.11170143217371821,0.04028121046340014,0.0035331132779805956,0.08825282863193233,0.13508588354411008,0.2551221698293959,-0.04576548296050265,-0.0709113054985284,0.03208214824893654,0.004937498506068566,0.010473766553221518,320.82148248936545,49.37498506068566,104.73766553221517,2.772732852978955,2.1805680917700616e-08,3.315621764592457e-07,2.759094031783263e-07,4517728577806.135,39074907991661.54,2.836353502834634e-07,1.9341314455980736e-07,15649870863132.223,83252683989910.39,-1.0917092115313987,-1.3131083309025149,-0.28867513459481287,-0.4693531321632481,3.0511220543189164,0.015697058785540025,0.0,-0.23479521990672692,0.016318505691118333
2024-03-19 08:00:00+00:00,185.88844299316406,185.88844299316406,171.34835815429688,177.89991760253906,140383232.0,-13873778.971291907,-72257929.9000543,0.4505860537129822,-163291595.12024018,-713128592.0082089,-14015739.399950415,464002997.0291077,-54430531.70674673,-118854765.33470148,-1167978.2833292012,19333458.209546153,-0.15048046371490245,-0.3356053398067642,-0.003533113277980603,0.08825282863193233,0.0,0.0,1.0,1.0,-77128505.48468047,0.001273853028479562,-350512395.1382953,-906637224.9103284,-443115756.7761025,211784740.14616612,-116837465.04609843,-151106204.1517214,-36926313.064675204,8824364.172756921,227246321.7406308,176991466.22520986,235509101.53190303,197935808.1225925,-0.32301275346959946,-0.42667240853524774,-0.11170143217371821,0.04028121046340014,0.0035331132779805956,0.08825282863193233,0.13508588354411008,0.2551221698293959,-0.04576548296050265,-0.0709113054985284,0.03208214824893654,0.004937498506068566,0.010473766553221518,320.82148248936545,49.37498506068566,104.73766553221517,2.772732852978955,1.7312938699893524e-06,7.77221986568656e-07,5.395812926927292e-07,4517728577806.135,39074907991661.54,8.718861715144592e-07,6.118840653271264e-07,15649870863132.223,83252683989910.39,1.0941364835679346,1.9472934751325792,-0.28867513459481287,-0.4693531321632481,3.0511220543189164,0.015697058785540025,0.0,-0.23479521990672692,0.016318505691118333
2024-03-19 12:00:00+00:00,177.89393615722656,185.22413635253906,175.46624755859375,182.7471923828125,511847424.0,251992568.69118834,179734638.79113403,0.7461598484973408,403270099.4711386,-368618757.95618546,-14015739.399950415,464002997.0291077,134423366.49037954,-61436459.659364246,-1167978.2833292012,19333458.209546153,0.3713688388381771,-0.16532398516985372,-0.003533113277980603,0.08825282863193233,1.0,0.0,1.0,1.0,254576245.89799047,0.001273853028479562,265385022.63088912,-446547186.1918505,-443115756.7761025,211784740.14616612,88461674.21029638,-74424531.03197508,-36926313.064675204,8824364.172756921,165852997.44858816,237893878.10604694,235509101.53190303,197935808.1225925,0.24439135911322415,-0.200274562252191,-0.11170143217371821,0.04028121046340014,0.0035331132779805956,0.08825282863193233,0.13508588354411008,0.2551221698293959,-0.04576548296050265,-0.0709113054985284,0.03208214824893654,0.004937498506068566,0.010473766553221518,320.82148248936545,49.37498506068566,104.73766553221517,2.772732852978955,2.91293408405272e-07,6.81464319770775e-07,5.453569691830636e-07,4517728577806.135,39074907991661.54,9.19109608371444e-07,6.088351380494076e-07,15649870863132.223,83252683989910.39,-0.4244634823354007,-0.4172259817221739,-0.28867513459481287,-0.4693531321632481,3.0511220543189164,0.015697058785540025,0.0,-0.23479521990672692,0.016318505691118333
