symbol,longAccount,longShortRatio,shortAccount,timestamp
ADAUSDT,0.6223,1.6476,0.3777,2026-03-13 17:00:00+00:00
ADAUSDT,0.6322,1.7189,0.3678,2026-03-13 18:00:00+00:00
ADAUSDT,0.6353,1.742,0.3647,2026-03-13 19:00:00+00:00
ADAUSDT,0.6357,1.745,0.3643,2026-03-13 20:00:00+00:00
ADAUSDT,0.6381,1.7632,0.3619,2026-03-13 21:00:00+00:00
ADAUSDT,0.6403,1.7801,0.3597,2026-03-13 22:00:00+00:00
ADAUSDT,0.6479,1.8401,0.3521,2026-03-13 23:00:00+00:00
ADAUSDT,0.651,1.8653,0.349,2026-03-14 00:00:00+00:00
ADAUSDT,0.6524,1.8769,0.3476,2026-03-14 01:00:00+00:00
ADAUSDT,0.6546,1.8952,0.3454,2026-03-14 02:00:00+00:00
ADAUSDT,0.655,1.8986,0.345,2026-03-14 03:00:00+00:00
ADAUSDT,0.6564,1.9104,0.3436,2026-03-14 04:00:00+00:00
ADAUSDT,0.6565,1.9112,0.3435,2026-03-14 05:00:00+00:00
ADAUSDT,0.658,1.924,0.342,2026-03-14 06:00:00+00:00
ADAUSDT,0.6526,1.8785,0.3474,2026-03-14 07:00:00+00:00
ADAUSDT,0.6501,1.858,0.3499,2026-03-14 08:00:00+00:00
ADAUSDT,0.652,1.8736,0.348,2026-03-14 09:00:00+00:00
ADAUSDT,0.6526,1.8785,0.3474,2026-03-14 10:00:00+00:00
ADAUSDT,0.6541,1.891,0.3459,2026-03-14 11:00:00+00:00
ADAUSDT,0.6568,1.9138,0.3432,2026-03-14 12:00:00+00:00
ADAUSDT,0.6558,1.9053,0.3442,2026-03-14 13:00:00+00:00
ADAUSDT,0.6572,1.9172,0.3428,2026-03-14 14:00:00+00:00
ADAUSDT,0.6577,1.9214,0.3423,2026-03-14 15:00:00+00:00
ADAUSDT,0.6549,1.8977,0.3451,2026-03-14 16:00:00+00:00
ADAUSDT,0.6567,1.9129,0.3433,2026-03-14 17:00:00+00:00
ADAUSDT,0.6595,1.9369,0.3405,2026-03-14 18:00:00+00:00
ADAUSDT,0.662,1.9586,0.338,2026-03-14 19:00:00+00:00
ADAUSDT,0.6609,1.949,0.3391,2026-03-14 20:00:00+00:00
ADAUSDT,0.6606,1.9464,0.3394,2026-03-14 21:00:00+00:00
ADAUSDT,0.6613,1.9525,0.3387,2026-03-14 22:00:00+00:00
ADAUSDT,0.6618,1.9568,0.3382,2026-03-14 23:00:00+00:00
ADAUSDT,0.6595,1.9369,0.3405,2026-03-15 00:00:00+00:00
ADAUSDT,0.6596,1.9377,0.3404,2026-03-15 01:00:00+00:00
ADAUSDT,0.6618,1.9568,0.3382,2026-03-15 02:00:00+00:00
ADAUSDT,0.6573,1.918,0.3427,2026-03-15 03:00:00+00:00
ADAUSDT,0.6567,1.9129,0.3433,2026-03-15 04:00:00+00:00
ADAUSDT,0.6527,1.8794,0.3473,2026-03-15 05:00:00+00:00
ADAUSDT,0.6511,1.8662,0.3489,2026-03-15 06:00:00+00:00
ADAUSDT,0.6528,1.8802,0.3472,2026-03-15 07:00:00+00:00
ADAUSDT,0.6502,1.8588,0.3498,2026-03-15 08:00:00+00:00
ADAUSDT,0.6498,1.8555,0.3502,2026-03-15 09:00:00+00:00
ADAUSDT,0.6505,1.8612,0.3495,2026-03-15 10:00:00+00:00
ADAUSDT,0.6515,1.8694,0.3485,2026-03-15 11:00:00+00:00
ADAUSDT,0.6517,1.8711,0.3483,2026-03-15 12:00:00+00:00
ADAUSDT,0.6514,1.8686,0.3486,2026-03-15 13:00:00+00:00
ADAUSDT,0.653,1.8818,0.347,2026-03-15 14:00:00+00:00
ADAUSDT,0.6499,1.8563,0.3501,2026-03-15 15:00:00+00:00
ADAUSDT,0.6506,1.862,0.3494,2026-03-15 16:00:00+00:00
ADAUSDT,0.6505,1.8612,0.3495,2026-03-15 17:00:00+00:00
ADAUSDT,0.6489,1.8482,0.3511,2026-03-15 18:00:00+00:00
ADAUSDT,0.6496,1.8539,0.3504,2026-03-15 19:00:00+00:00
ADAUSDT,0.6487,1.8466,0.3513,2026-03-15 20:00:00+00:00
ADAUSDT,0.6495,1.8531,0.3505,2026-03-15 21:00:00+00:00
ADAUSDT,0.6495,1.8531,0.3505,2026-03-15 22:00:00+00:00
ADAUSDT,0.6442,1.8106,0.3558,2026-03-15 23:00:00+00:00
ADAUSDT,0.6368,1.7533,0.3632,2026-03-16 00:00:00+00:00
ADAUSDT,0.6323,1.7196,0.3677,2026-03-16 01:00:00+00:00
ADAUSDT,0.632,1.7174,0.368,2026-03-16 02:00:00+00:00
ADAUSDT,0.6344,1.7352,0.3656,2026-03-16 03:00:00+00:00
ADAUSDT,0.6223,1.6476,0.3777,2026-03-16 04:00:00+00:00
ADAUSDT,0.6199,1.6309,0.3801,2026-03-16 05:00:00+00:00
ADAUSDT,0.6152,1.5988,0.3848,2026-03-16 06:00:00+00:00
ADAUSDT,0.6109,1.57,0.3891,2026-03-16 07:00:00+00:00
ADAUSDT,0.6077,1.5491,0.3923,2026-03-16 08:00:00+00:00
ADAUSDT,0.6054,1.5342,0.3946,2026-03-16 09:00:00+00:00
ADAUSDT,0.6065,1.5413,0.3935,2026-03-16 10:00:00+00:00
ADAUSDT,0.6049,1.531,0.3951,2026-03-16 11:00:00+00:00
ADAUSDT,0.6034,1.5214,0.3966,2026-03-16 12:00:00+00:00
ADAUSDT,0.6047,1.5297,0.3953,2026-03-16 13:00:00+00:00
ADAUSDT,0.6097,1.5621,0.3903,2026-03-16 14:00:00+00:00
ADAUSDT,0.6098,1.5628,0.3902,2026-03-16 15:00:00+00:00
ADAUSDT,0.6091,1.5582,0.3909,2026-03-16 16:00:00+00:00
ADAUSDT,0.6112,1.572,0.3888,2026-03-16 17:00:00+00:00
ADAUSDT,0.6168,1.6096,0.3832,2026-03-16 18:00:00+00:00
ADAUSDT,0.6184,1.6205,0.3816,2026-03-16 19:00:00+00:00
ADAUSDT,0.6204,1.6344,0.3796,2026-03-16 20:00:00+00:00
ADAUSDT,0.625,1.6667,0.375,2026-03-16 21:00:00+00:00
ADAUSDT,0.6301,1.7034,0.3699,2026-03-16 22:00:00+00:00
ADAUSDT,0.6287,1.6932,0.3713,2026-03-16 23:00:00+00:00
ADAUSDT,0.6321,1.7181,0.3679,2026-03-17 00:00:00+00:00
ADAUSDT,0.6362,1.7488,0.3638,2026-03-17 01:00:00+00:00
ADAUSDT,0.6391,1.7709,0.3609,2026-03-17 02:00:00+00:00
ADAUSDT,0.6417,1.791,0.3583,2026-03-17 03:00:00+00:00
ADAUSDT,0.6482,1.8425,0.3518,2026-03-17 04:00:00+00:00
ADAUSDT,0.6493,1.8514,0.3507,2026-03-17 05:00:00+00:00
ADAUSDT,0.6494,1.8523,0.3506,2026-03-17 06:00:00+00:00
ADAUSDT,0.649,1.849,0.351,2026-03-17 07:00:00+00:00
ADAUSDT,0.6485,1.845,0.3515,2026-03-17 08:00:00+00:00
ADAUSDT,0.6475,1.8369,0.3525,2026-03-17 09:00:00+00:00
ADAUSDT,0.6466,1.8297,0.3534,2026-03-17 10:00:00+00:00
ADAUSDT,0.6461,1.8257,0.3539,2026-03-17 11:00:00+00:00
ADAUSDT,0.6469,1.8321,0.3531,2026-03-17 12:00:00+00:00
ADAUSDT,0.6474,1.8361,0.3526,2026-03-17 13:00:00+00:00
ADAUSDT,0.6455,1.8209,0.3545,2026-03-17 14:00:00+00:00
ADAUSDT,0.6469,1.8321,0.3531,2026-03-17 15:00:00+00:00
ADAUSDT,0.6473,1.8353,0.3527,2026-03-17 16:00:00+00:00
ADAUSDT,0.6465,1.8289,0.3535,2026-03-17 17:00:00+00:00
ADAUSDT,0.6461,1.8257,0.3539,2026-03-17 18:00:00+00:00
ADAUSDT,0.6481,1.8417,0.3519,2026-03-17 19:00:00+00:00
ADAUSDT,0.6487,1.8466,0.3513,2026-03-17 20:00:00+00:00
ADAUSDT,0.6486,1.8458,0.3514,2026-03-17 21:00:00+00:00
ADAUSDT,0.6487,1.8466,0.3513,2026-03-17 22:00:00+00:00
ADAUSDT,0.6446,1.8137,0.3554,2026-03-17 23:00:00+00:00
ADAUSDT,0.6447,1.8145,0.3553,2026-03-18 00:00:00+00:00
ADAUSDT,0.6456,1.8217,0.3544,2026-03-18 01:00:00+00:00
ADAUSDT,0.6442,1.8106,0.3558,2026-03-18 02:00:00+00:00
ADAUSDT,0.6456,1.8217,0.3544,2026-03-18 03:00:00+00:00
ADAUSDT,0.6452,1.8185,0.3548,2026-03-18 04:00:00+00:00
ADAUSDT,0.6443,1.8114,0.3557,2026-03-18 05:00:00+00:00
ADAUSDT,0.6487,1.8466,0.3513,2026-03-18 06:00:00+00:00
ADAUSDT,0.651,1.8653,0.349,2026-03-18 07:00:00+00:00
ADAUSDT,0.652,1.8736,0.348,2026-03-18 08:00:00+00:00
ADAUSDT,0.6501,1.858,0.3499,2026-03-18 09:00:00+00:00
ADAUSDT,0.6484,1.8441,0.3516,2026-03-18 10:00:00+00:00
ADAUSDT,0.6517,1.8711,0.3483,2026-03-18 11:00:00+00:00
ADAUSDT,0.6693,2.0239,0.3307,2026-03-18 12:00:00+00:00
ADAUSDT,0.6769,2.095,0.3231,2026-03-18 13:00:00+00:00
ADAUSDT,0.6804,2.1289,0.3196,2026-03-18 14:00:00+00:00
ADAUSDT,0.6871,2.1959,0.3129,2026-03-18 15:00:00+00:00
ADAUSDT,0.6976,2.3069,0.3024,2026-03-18 16:00:00+00:00
ADAUSDT,0.6957,2.2862,0.3043,2026-03-18 17:00:00+00:00
ADAUSDT,0.7018,2.3535,0.2982,2026-03-18 18:00:00+00:00
ADAUSDT,0.7021,2.3568,0.2979,2026-03-18 19:00:00+00:00
ADAUSDT,0.7011,2.3456,0.2989,2026-03-18 20:00:00+00:00
ADAUSDT,0.7012,2.3467,0.2988,2026-03-18 21:00:00+00:00
ADAUSDT,0.7014,2.349,0.2986,2026-03-18 22:00:00+00:00
ADAUSDT,0.6988,2.3201,0.3012,2026-03-18 23:00:00+00:00
ADAUSDT,0.6979,2.3102,0.3021,2026-03-19 00:00:00+00:00
ADAUSDT,0.6972,2.3025,0.3028,2026-03-19 01:00:00+00:00
ADAUSDT,0.6954,2.283,0.3046,2026-03-19 02:00:00+00:00
ADAUSDT,0.697,2.3003,0.303,2026-03-19 03:00:00+00:00
ADAUSDT,0.6949,2.2776,0.3051,2026-03-19 04:00:00+00:00
ADAUSDT,0.6956,2.2852,0.3044,2026-03-19 05:00:00+00:00
ADAUSDT,0.6956,2.2852,0.3044,2026-03-19 06:00:00+00:00
ADAUSDT,0.6953,2.2819,0.3047,2026-03-19 07:00:00+00:00
ADAUSDT,0.6929,2.2563,0.3071,2026-03-19 08:00:00+00:00
ADAUSDT,0.6873,2.198,0.3127,2026-03-19 09:00:00+00:00
ADAUSDT,0.6835,2.1596,0.3165,2026-03-19 10:00:00+00:00
ADAUSDT,0.6819,2.1437,0.3181,2026-03-19 11:00:00+00:00
ADAUSDT,0.6809,2.1338,0.3191,2026-03-19 12:00:00+00:00
ADAUSDT,0.6807,2.1319,0.3193,2026-03-19 13:00:00+00:00
ADAUSDT,0.6807,2.1319,0.3193,2026-03-19 14:00:00+00:00
ADAUSDT,0.6785,2.1104,0.3215,2026-03-19 15:00:00+00:00
ADAUSDT,0.6771,2.0969,0.3229,2026-03-19 16:00:00+00:00
ADAUSDT,0.6768,2.0941,0.3232,2026-03-19 17:00:00+00:00
ADAUSDT,0.6788,2.1133,0.3212,2026-03-19 18:00:00+00:00
ADAUSDT,0.6781,2.1066,0.3219,2026-03-19 19:00:00+00:00
ADAUSDT,0.6791,2.1162,0.3209,2026-03-19 20:00:00+00:00
ADAUSDT,0.6796,2.1211,0.3204,2026-03-19 21:00:00+00:00
ADAUSDT,0.6811,2.1358,0.3189,2026-03-19 22:00:00+00:00
ADAUSDT,0.679,2.1153,0.321,2026-03-19 23:00:00+00:00
ADAUSDT,0.6706,2.0358,0.3294,2026-03-20 00:00:00+00:00
ADAUSDT,0.6693,2.0239,0.3307,2026-03-20 01:00:00+00:00
ADAUSDT,0.673,2.0581,0.327,2026-03-20 02:00:00+00:00
ADAUSDT,0.6712,2.0414,0.3288,2026-03-20 03:00:00+00:00
ADAUSDT,0.6706,2.0358,0.3294,2026-03-20 04:00:00+00:00
ADAUSDT,0.6703,2.0331,0.3297,2026-03-20 05:00:00+00:00
ADAUSDT,0.6698,2.0285,0.3302,2026-03-20 06:00:00+00:00
ADAUSDT,0.6699,2.0294,0.3301,2026-03-20 07:00:00+00:00
ADAUSDT,0.67,2.0303,0.33,2026-03-20 08:00:00+00:00
ADAUSDT,0.6726,2.0544,0.3274,2026-03-20 09:00:00+00:00
ADAUSDT,0.6743,2.0703,0.3257,2026-03-20 10:00:00+00:00
ADAUSDT,0.672,2.0488,0.328,2026-03-20 11:00:00+00:00
ADAUSDT,0.6722,2.0506,0.3278,2026-03-20 12:00:00+00:00
ADAUSDT,0.6701,2.0312,0.3299,2026-03-20 13:00:00+00:00
ADAUSDT,0.6716,2.0451,0.3284,2026-03-20 14:00:00+00:00
ADAUSDT,0.6712,2.0414,0.3288,2026-03-20 15:00:00+00:00
ADAUSDT,0.668,2.012,0.332,2026-03-20 16:00:00+00:00
ADAUSDT,0.6689,2.0202,0.3311,2026-03-20 17:00:00+00:00
ADAUSDT,0.6692,2.023,0.3308,2026-03-20 18:00:00+00:00
ADAUSDT,0.6718,2.0469,0.3282,2026-03-20 19:00:00+00:00
ADAUSDT,0.6732,2.06,0.3268,2026-03-20 20:00:00+00:00
ADAUSDT,0.6707,2.0367,0.3293,2026-03-20 21:00:00+00:00
ADAUSDT,0.6713,2.0423,0.3287,2026-03-20 22:00:00+00:00
ADAUSDT,0.6708,2.0377,0.3292,2026-03-20 23:00:00+00:00
ADAUSDT,0.6705,2.0349,0.3295,2026-03-21 00:00:00+00:00
ADAUSDT,0.6678,2.0102,0.3322,2026-03-21 01:00:00+00:00
ADAUSDT,0.6677,2.0093,0.3323,2026-03-21 02:00:00+00:00
ADAUSDT,0.6619,1.9577,0.3381,2026-03-21 03:00:00+00:00
ADAUSDT,0.6636,1.9727,0.3364,2026-03-21 04:00:00+00:00
ADAUSDT,0.6621,1.9595,0.3379,2026-03-21 05:00:00+00:00
ADAUSDT,0.6616,1.9551,0.3384,2026-03-21 06:00:00+00:00
ADAUSDT,0.6605,1.9455,0.3395,2026-03-21 07:00:00+00:00
ADAUSDT,0.661,1.9499,0.339,2026-03-21 08:00:00+00:00
ADAUSDT,0.6595,1.9369,0.3405,2026-03-21 09:00:00+00:00
