buySellRatio,sellVol,buyVol,timestamp
1.0142,18062460.0,18319843.0,2026-03-13 16:00:00+00:00
0.6972,32142456.0,22408715.0,2026-03-13 17:00:00+00:00
1.0073,14130615.0,14234419.0,2026-03-13 18:00:00+00:00
1.0222,9877650.0,10096990.0,2026-03-13 19:00:00+00:00
1.0548,7999680.0,8438131.0,2026-03-13 20:00:00+00:00
0.7234,8441043.0,6106051.0,2026-03-13 21:00:00+00:00
0.7672,22347944.0,17144670.0,2026-03-13 22:00:00+00:00
0.9285,7979710.0,7408794.0,2026-03-13 23:00:00+00:00
0.7567,14252893.0,10785409.0,2026-03-14 00:00:00+00:00
0.6963,13081990.0,9108476.0,2026-03-14 01:00:00+00:00
0.7897,15994197.0,12629872.0,2026-03-14 02:00:00+00:00
0.8587,5433425.0,4665683.0,2026-03-14 03:00:00+00:00
1.1369,8352461.0,9495508.0,2026-03-14 04:00:00+00:00
0.7627,9413230.0,7179826.0,2026-03-14 05:00:00+00:00
0.7457,16945236.0,12635758.0,2026-03-14 06:00:00+00:00
0.6816,13401674.0,9134200.0,2026-03-14 07:00:00+00:00
0.8963,22952963.0,20572028.0,2026-03-14 08:00:00+00:00
0.9075,8229840.0,7468389.0,2026-03-14 09:00:00+00:00
0.8766,8800818.0,7714885.0,2026-03-14 10:00:00+00:00
1.3888,5510574.0,7653152.0,2026-03-14 11:00:00+00:00
0.9718,6670344.0,6482536.0,2026-03-14 12:00:00+00:00
0.9782,9143541.0,8943884.0,2026-03-14 13:00:00+00:00
0.7027,9857452.0,6926529.0,2026-03-14 14:00:00+00:00
1.1737,5639232.0,6618656.0,2026-03-14 15:00:00+00:00
1.2507,6230146.0,7792189.0,2026-03-14 16:00:00+00:00
0.623,10852796.0,6761759.0,2026-03-14 17:00:00+00:00
0.8479,13882718.0,11771489.0,2026-03-14 18:00:00+00:00
0.9667,7363739.0,7118479.0,2026-03-14 19:00:00+00:00
1.3028,4829229.0,6291450.0,2026-03-14 20:00:00+00:00
1.0805,7158959.0,7735145.0,2026-03-14 21:00:00+00:00
0.9853,7103101.0,6998852.0,2026-03-14 22:00:00+00:00
1.1594,14014100.0,16247363.0,2026-03-14 23:00:00+00:00
0.829,11839432.0,9815342.0,2026-03-15 00:00:00+00:00
0.9538,6140109.0,5856354.0,2026-03-15 01:00:00+00:00
1.2306,14314919.0,17615338.0,2026-03-15 02:00:00+00:00
1.1068,10594256.0,11725824.0,2026-03-15 03:00:00+00:00
1.0057,16815322.0,16911845.0,2026-03-15 04:00:00+00:00
1.0636,9147813.0,9729684.0,2026-03-15 05:00:00+00:00
0.9378,11433454.0,10722173.0,2026-03-15 06:00:00+00:00
1.1309,6611027.0,7476111.0,2026-03-15 07:00:00+00:00
1.39,6391128.0,8883768.0,2026-03-15 08:00:00+00:00
0.7572,10522304.0,7967946.0,2026-03-15 09:00:00+00:00
1.0879,4707870.0,5121525.0,2026-03-15 10:00:00+00:00
0.8729,6800498.0,5936309.0,2026-03-15 11:00:00+00:00
0.9226,6560836.0,6052831.0,2026-03-15 12:00:00+00:00
0.7899,22593485.0,17847630.0,2026-03-15 13:00:00+00:00
1.0583,8659658.0,9164362.0,2026-03-15 14:00:00+00:00
0.9293,7869293.0,7313139.0,2026-03-15 15:00:00+00:00
0.8982,7824406.0,7027604.0,2026-03-15 16:00:00+00:00
1.0758,9267932.0,9970574.0,2026-03-15 17:00:00+00:00
0.8764,8070726.0,7072920.0,2026-03-15 18:00:00+00:00
0.9111,6760298.0,6159628.0,2026-03-15 19:00:00+00:00
1.0287,8312973.0,8551560.0,2026-03-15 20:00:00+00:00
1.2254,9607500.0,11772611.0,2026-03-15 21:00:00+00:00
1.1393,33013109.0,37612326.0,2026-03-15 22:00:00+00:00
1.1715,28698851.0,33621064.0,2026-03-15 23:00:00+00:00
1.0327,19149826.0,19776968.0,2026-03-16 00:00:00+00:00
0.8994,14538261.0,13075602.0,2026-03-16 01:00:00+00:00
0.9285,14464444.0,13430194.0,2026-03-16 02:00:00+00:00
0.9871,58563608.0,57809603.0,2026-03-16 03:00:00+00:00
1.243,47545742.0,59100960.0,2026-03-16 04:00:00+00:00
