symbol,longAccount,longShortRatio,shortAccount,timestamp
ADAUSDT,0.5337,1.1446,0.4663,2026-03-13 17:00:00+00:00
ADAUSDT,0.5338,1.1452,0.4662,2026-03-13 18:00:00+00:00
ADAUSDT,0.5346,1.1486,0.4654,2026-03-13 19:00:00+00:00
ADAUSDT,0.5341,1.1465,0.4659,2026-03-13 20:00:00+00:00
ADAUSDT,0.5341,1.1464,0.4659,2026-03-13 21:00:00+00:00
ADAUSDT,0.5338,1.1451,0.4662,2026-03-13 22:00:00+00:00
ADAUSDT,0.5336,1.1443,0.4664,2026-03-13 23:00:00+00:00
ADAUSDT,0.5312,1.1332,0.4688,2026-03-14 00:00:00+00:00
ADAUSDT,0.5294,1.1249,0.4706,2026-03-14 01:00:00+00:00
ADAUSDT,0.5277,1.1172,0.4723,2026-03-14 02:00:00+00:00
ADAUSDT,0.5273,1.1155,0.4727,2026-03-14 03:00:00+00:00
ADAUSDT,0.527,1.114,0.473,2026-03-14 04:00:00+00:00
ADAUSDT,0.5279,1.1182,0.4721,2026-03-14 05:00:00+00:00
ADAUSDT,0.5271,1.1148,0.4729,2026-03-14 06:00:00+00:00
ADAUSDT,0.5257,1.1085,0.4743,2026-03-14 07:00:00+00:00
ADAUSDT,0.5233,1.0977,0.4767,2026-03-14 08:00:00+00:00
ADAUSDT,0.5269,1.1136,0.4731,2026-03-14 09:00:00+00:00
ADAUSDT,0.5254,1.1073,0.4746,2026-03-14 10:00:00+00:00
ADAUSDT,0.5256,1.1078,0.4744,2026-03-14 11:00:00+00:00
ADAUSDT,0.5243,1.1022,0.4757,2026-03-14 12:00:00+00:00
ADAUSDT,0.5217,1.0905,0.4783,2026-03-14 13:00:00+00:00
ADAUSDT,0.5172,1.0712,0.4828,2026-03-14 14:00:00+00:00
ADAUSDT,0.5152,1.0627,0.4848,2026-03-14 15:00:00+00:00
ADAUSDT,0.5136,1.0561,0.4864,2026-03-14 16:00:00+00:00
ADAUSDT,0.5093,1.038,0.4907,2026-03-14 17:00:00+00:00
ADAUSDT,0.507,1.0282,0.493,2026-03-14 18:00:00+00:00
ADAUSDT,0.5076,1.0308,0.4924,2026-03-14 19:00:00+00:00
ADAUSDT,0.505,1.02,0.495,2026-03-14 20:00:00+00:00
ADAUSDT,0.5026,1.0104,0.4974,2026-03-14 21:00:00+00:00
ADAUSDT,0.5005,1.0021,0.4995,2026-03-14 22:00:00+00:00
ADAUSDT,0.4985,0.9939,0.5015,2026-03-14 23:00:00+00:00
ADAUSDT,0.4932,0.973,0.5068,2026-03-15 00:00:00+00:00
ADAUSDT,0.4892,0.9578,0.5108,2026-03-15 01:00:00+00:00
ADAUSDT,0.4896,0.9592,0.5104,2026-03-15 02:00:00+00:00
ADAUSDT,0.4895,0.9588,0.5105,2026-03-15 03:00:00+00:00
ADAUSDT,0.4887,0.9559,0.5113,2026-03-15 04:00:00+00:00
ADAUSDT,0.4859,0.9451,0.5141,2026-03-15 05:00:00+00:00
ADAUSDT,0.4849,0.9413,0.5151,2026-03-15 06:00:00+00:00
ADAUSDT,0.4841,0.9384,0.5159,2026-03-15 07:00:00+00:00
ADAUSDT,0.4829,0.934,0.5171,2026-03-15 08:00:00+00:00
ADAUSDT,0.4818,0.9297,0.5182,2026-03-15 09:00:00+00:00
ADAUSDT,0.4831,0.9345,0.5169,2026-03-15 10:00:00+00:00
ADAUSDT,0.4833,0.9355,0.5167,2026-03-15 11:00:00+00:00
ADAUSDT,0.484,0.9378,0.516,2026-03-15 12:00:00+00:00
ADAUSDT,0.4839,0.9378,0.5161,2026-03-15 13:00:00+00:00
ADAUSDT,0.4829,0.9337,0.5171,2026-03-15 14:00:00+00:00
ADAUSDT,0.482,0.9304,0.518,2026-03-15 15:00:00+00:00
ADAUSDT,0.4803,0.9241,0.5197,2026-03-15 16:00:00+00:00
ADAUSDT,0.4816,0.929,0.5184,2026-03-15 17:00:00+00:00
ADAUSDT,0.4807,0.9255,0.5193,2026-03-15 18:00:00+00:00
ADAUSDT,0.483,0.9343,0.517,2026-03-15 19:00:00+00:00
ADAUSDT,0.4837,0.9369,0.5163,2026-03-15 20:00:00+00:00
ADAUSDT,0.4857,0.9443,0.5143,2026-03-15 21:00:00+00:00
ADAUSDT,0.4875,0.9514,0.5125,2026-03-15 22:00:00+00:00
ADAUSDT,0.491,0.9647,0.509,2026-03-15 23:00:00+00:00
ADAUSDT,0.5014,1.0055,0.4986,2026-03-16 00:00:00+00:00
ADAUSDT,0.5007,1.0028,0.4993,2026-03-16 01:00:00+00:00
ADAUSDT,0.5009,1.0035,0.4991,2026-03-16 02:00:00+00:00
ADAUSDT,0.5055,1.0221,0.4945,2026-03-16 03:00:00+00:00
ADAUSDT,0.5036,1.0145,0.4964,2026-03-16 04:00:00+00:00
ADAUSDT,0.4994,0.9975,0.5006,2026-03-16 05:00:00+00:00
ADAUSDT,0.4987,0.9948,0.5013,2026-03-16 06:00:00+00:00
ADAUSDT,0.4939,0.9759,0.5061,2026-03-16 07:00:00+00:00
ADAUSDT,0.4939,0.9761,0.5061,2026-03-16 08:00:00+00:00
ADAUSDT,0.5013,1.0054,0.4987,2026-03-16 09:00:00+00:00
ADAUSDT,0.5043,1.0175,0.4957,2026-03-16 10:00:00+00:00
ADAUSDT,0.5102,1.0418,0.4898,2026-03-16 11:00:00+00:00
ADAUSDT,0.5129,1.0529,0.4871,2026-03-16 12:00:00+00:00
ADAUSDT,0.5152,1.0628,0.4848,2026-03-16 13:00:00+00:00
ADAUSDT,0.5195,1.0811,0.4805,2026-03-16 14:00:00+00:00
ADAUSDT,0.515,1.0619,0.485,2026-03-16 15:00:00+00:00
ADAUSDT,0.5137,1.0562,0.4863,2026-03-16 16:00:00+00:00
ADAUSDT,0.515,1.0617,0.485,2026-03-16 17:00:00+00:00
ADAUSDT,0.5184,1.0765,0.4816,2026-03-16 18:00:00+00:00
ADAUSDT,0.5192,1.0797,0.4808,2026-03-16 19:00:00+00:00
ADAUSDT,0.5179,1.0743,0.4821,2026-03-16 20:00:00+00:00
ADAUSDT,0.5182,1.0757,0.4818,2026-03-16 21:00:00+00:00
ADAUSDT,0.5219,1.0918,0.4781,2026-03-16 22:00:00+00:00
ADAUSDT,0.5213,1.0889,0.4787,2026-03-16 23:00:00+00:00
ADAUSDT,0.5213,1.089,0.4787,2026-03-17 00:00:00+00:00
ADAUSDT,0.5217,1.0908,0.4783,2026-03-17 01:00:00+00:00
ADAUSDT,0.52,1.0835,0.48,2026-03-17 02:00:00+00:00
ADAUSDT,0.5227,1.0953,0.4773,2026-03-17 03:00:00+00:00
ADAUSDT,0.5233,1.0979,0.4767,2026-03-17 04:00:00+00:00
ADAUSDT,0.5306,1.1306,0.4694,2026-03-17 05:00:00+00:00
ADAUSDT,0.5343,1.1471,0.4657,2026-03-17 06:00:00+00:00
ADAUSDT,0.5393,1.1706,0.4607,2026-03-17 07:00:00+00:00
ADAUSDT,0.5378,1.1635,0.4622,2026-03-17 08:00:00+00:00
ADAUSDT,0.5383,1.1661,0.4617,2026-03-17 09:00:00+00:00
ADAUSDT,0.5398,1.1731,0.4602,2026-03-17 10:00:00+00:00
ADAUSDT,0.5429,1.1877,0.4571,2026-03-17 11:00:00+00:00
ADAUSDT,0.5433,1.1896,0.4567,2026-03-17 12:00:00+00:00
ADAUSDT,0.5439,1.1925,0.4561,2026-03-17 13:00:00+00:00
ADAUSDT,0.5471,1.2081,0.4529,2026-03-17 14:00:00+00:00
ADAUSDT,0.5525,1.2345,0.4475,2026-03-17 15:00:00+00:00
ADAUSDT,0.5513,1.2287,0.4487,2026-03-17 16:00:00+00:00
ADAUSDT,0.5546,1.2454,0.4454,2026-03-17 17:00:00+00:00
ADAUSDT,0.5607,1.2764,0.4393,2026-03-17 18:00:00+00:00
ADAUSDT,0.5649,1.2985,0.4351,2026-03-17 19:00:00+00:00
ADAUSDT,0.5626,1.2864,0.4374,2026-03-17 20:00:00+00:00
ADAUSDT,0.5648,1.2979,0.4352,2026-03-17 21:00:00+00:00
ADAUSDT,0.5614,1.2799,0.4386,2026-03-17 22:00:00+00:00
ADAUSDT,0.5642,1.2949,0.4358,2026-03-17 23:00:00+00:00
ADAUSDT,0.5652,1.2998,0.4348,2026-03-18 00:00:00+00:00
