symbol,longAccount,longShortRatio,shortAccount,timestamp
ADAUSDT,0.5311,1.1327,0.4689,2026-03-25 22:40:00+00:00
ADAUSDT,0.5309,1.1319,0.4691,2026-03-25 22:45:00+00:00
ADAUSDT,0.5308,1.1314,0.4692,2026-03-25 22:50:00+00:00
ADAUSDT,0.5306,1.1302,0.4694,2026-03-25 22:55:00+00:00
ADAUSDT,0.5307,1.131,0.4693,2026-03-25 23:00:00+00:00
ADAUSDT,0.5312,1.1332,0.4688,2026-03-25 23:05:00+00:00
ADAUSDT,0.531,1.132,0.469,2026-03-25 23:10:00+00:00
ADAUSDT,0.531,1.1323,0.469,2026-03-25 23:15:00+00:00
ADAUSDT,0.5306,1.1303,0.4694,2026-03-25 23:20:00+00:00
ADAUSDT,0.5307,1.1306,0.4693,2026-03-25 23:25:00+00:00
ADAUSDT,0.5306,1.1306,0.4694,2026-03-25 23:30:00+00:00
ADAUSDT,0.5308,1.1311,0.4692,2026-03-25 23:35:00+00:00
ADAUSDT,0.5309,1.1317,0.4691,2026-03-25 23:40:00+00:00
ADAUSDT,0.5307,1.131,0.4693,2026-03-25 23:45:00+00:00
ADAUSDT,0.5309,1.1318,0.4691,2026-03-25 23:50:00+00:00
ADAUSDT,0.5307,1.1307,0.4693,2026-03-25 23:55:00+00:00
ADAUSDT,0.5311,1.1325,0.4689,2026-03-26 00:00:00+00:00
ADAUSDT,0.5312,1.1329,0.4688,2026-03-26 00:05:00+00:00
ADAUSDT,0.5305,1.1301,0.4695,2026-03-26 00:10:00+00:00
ADAUSDT,0.5308,1.1315,0.4692,2026-03-26 00:15:00+00:00
ADAUSDT,0.531,1.1323,0.469,2026-03-26 00:20:00+00:00
ADAUSDT,0.5313,1.1335,0.4687,2026-03-26 00:25:00+00:00
ADAUSDT,0.5313,1.1338,0.4687,2026-03-26 00:30:00+00:00
ADAUSDT,0.5315,1.1346,0.4685,2026-03-26 00:35:00+00:00
ADAUSDT,0.5317,1.1356,0.4683,2026-03-26 00:40:00+00:00
ADAUSDT,0.5317,1.1352,0.4683,2026-03-26 00:45:00+00:00
ADAUSDT,0.5317,1.1354,0.4683,2026-03-26 00:50:00+00:00
ADAUSDT,0.5311,1.1327,0.4689,2026-03-26 00:55:00+00:00
ADAUSDT,0.5309,1.1316,0.4691,2026-03-26 01:00:00+00:00
ADAUSDT,0.5309,1.1318,0.4691,2026-03-26 01:05:00+00:00
ADAUSDT,0.5311,1.1327,0.4689,2026-03-26 01:10:00+00:00
ADAUSDT,0.5311,1.1326,0.4689,2026-03-26 01:15:00+00:00
ADAUSDT,0.5297,1.1263,0.4703,2026-03-26 01:20:00+00:00
ADAUSDT,0.5282,1.1194,0.4718,2026-03-26 01:25:00+00:00
ADAUSDT,0.5277,1.1174,0.4723,2026-03-26 01:30:00+00:00
ADAUSDT,0.5289,1.1229,0.4711,2026-03-26 01:35:00+00:00
ADAUSDT,0.529,1.1229,0.471,2026-03-26 01:40:00+00:00
ADAUSDT,0.5291,1.1234,0.4709,2026-03-26 01:45:00+00:00
ADAUSDT,0.5295,1.1255,0.4705,2026-03-26 01:50:00+00:00
ADAUSDT,0.5295,1.1252,0.4705,2026-03-26 01:55:00+00:00
ADAUSDT,0.5295,1.1256,0.4705,2026-03-26 02:00:00+00:00
ADAUSDT,0.5298,1.1268,0.4702,2026-03-26 02:05:00+00:00
ADAUSDT,0.5309,1.1316,0.4691,2026-03-26 02:10:00+00:00
ADAUSDT,0.5317,1.1353,0.4683,2026-03-26 02:15:00+00:00
ADAUSDT,0.5319,1.1361,0.4681,2026-03-26 02:20:00+00:00
ADAUSDT,0.5322,1.1377,0.4678,2026-03-26 02:25:00+00:00
ADAUSDT,0.5319,1.1364,0.4681,2026-03-26 02:30:00+00:00
ADAUSDT,0.5335,1.1435,0.4665,2026-03-26 02:35:00+00:00
ADAUSDT,0.5337,1.1447,0.4663,2026-03-26 02:40:00+00:00
ADAUSDT,0.5335,1.1435,0.4665,2026-03-26 02:45:00+00:00
ADAUSDT,0.5343,1.1473,0.4657,2026-03-26 02:50:00+00:00
ADAUSDT,0.5353,1.152,0.4647,2026-03-26 02:55:00+00:00
ADAUSDT,0.5356,1.1531,0.4644,2026-03-26 03:00:00+00:00
ADAUSDT,0.5353,1.1518,0.4647,2026-03-26 03:05:00+00:00
ADAUSDT,0.5358,1.1543,0.4642,2026-03-26 03:10:00+00:00
