symbol,fundingTime,fundingRate,markPrice
APTUSDT,2026-03-14 00:00:00.001000+00:00,-9.9e-07,0.93349867
APTUSDT,2026-03-14 08:00:00+00:00,-0.0003455,0.9106
APTUSDT,2026-03-14 16:00:00.007000+00:00,-0.00017172,0.90959819
APTUSDT,2026-03-15 00:00:00+00:00,-0.0004495,0.9199
APTUSDT,2026-03-15 08:00:00+00:00,-0.00025174,0.9259
APTUSDT,2026-03-15 16:00:00+00:00,-0.00022977,0.91920317
APTUSDT,2026-03-16 00:00:00+00:00,7.708e-05,0.9343
APTUSDT,2026-03-16 08:00:00.010000+00:00,0.0001,0.9907
APTUSDT,2026-03-16 16:00:00+00:00,0.0001,0.98963492
APTUSDT,2026-03-17 00:00:00+00:00,0.0001,1.019
APTUSDT,2026-03-17 08:00:00.002000+00:00,0.0001,0.99839592
APTUSDT,2026-03-17 16:00:00.011000+00:00,1.087e-05,0.99099858
APTUSDT,2026-03-18 00:00:00.002000+00:00,5.377e-05,1.004897
APTUSDT,2026-03-18 08:00:00.002000+00:00,-0.00010147,1.0037
APTUSDT,2026-03-18 16:00:00.005000+00:00,-0.00023471,0.95073867
APTUSDT,2026-03-19 00:00:00+00:00,4.61e-06,0.9895
APTUSDT,2026-03-19 08:00:00.003000+00:00,-0.00017027,0.965
APTUSDT,2026-03-19 16:00:00.003000+00:00,-0.00027065,0.9377
APTUSDT,2026-03-20 00:00:00.002000+00:00,-0.0004749,0.9481
APTUSDT,2026-03-20 08:00:00+00:00,0.0001,0.98727667
APTUSDT,2026-03-20 16:00:00+00:00,1.971e-05,1.00555367
APTUSDT,2026-03-21 00:00:00+00:00,-7.67e-06,0.9902
APTUSDT,2026-03-21 08:00:00+00:00,2.724e-05,1.00613
APTUSDT,2026-03-21 16:00:00.014000+00:00,5e-07,1.0097
APTUSDT,2026-03-22 00:00:00.012000+00:00,-0.00022552,0.97172342
APTUSDT,2026-03-22 08:00:00.007000+00:00,-2.953e-05,0.96225075
APTUSDT,2026-03-22 16:00:00.002000+00:00,-0.00045916,0.9296
APTUSDT,2026-03-23 00:00:00+00:00,-0.00047284,0.92803967
APTUSDT,2026-03-23 08:00:00.003000+00:00,-1.236e-05,0.9151
APTUSDT,2026-03-23 16:00:00.002000+00:00,-1.315e-05,0.97465675
APTUSDT,2026-03-24 00:00:00+00:00,0.0001,1.06875242
APTUSDT,2026-03-24 08:00:00+00:00,-2.24e-06,1.05618375
APTUSDT,2026-03-24 16:00:00.003000+00:00,-2.365e-05,1.0324
APTUSDT,2026-03-25 00:00:00+00:00,-0.00018703,1.11465267
APTUSDT,2026-03-25 08:00:00+00:00,-0.00013994,1.0639
APTUSDT,2026-03-25 16:00:00.013000+00:00,-0.00033784,1.06771692
APTUSDT,2026-03-26 00:00:00.001000+00:00,-0.00031947,1.0574
APTUSDT,2026-03-26 08:00:00.001000+00:00,-0.00013199,1.03149925
APTUSDT,2026-03-26 16:00:00+00:00,-0.000104,1.0345
APTUSDT,2026-03-27 00:00:00.006000+00:00,-0.00010353,1.03312
APTUSDT,2026-03-27 08:00:00+00:00,-9.089e-05,1.02345558
APTUSDT,2026-03-27 16:00:00+00:00,-7.348e-05,0.99323125
