symbol,longAccount,longShortRatio,shortAccount,timestamp
APTUSDT,0.4848,0.941,0.5152,2026-03-13 17:00:00+00:00
APTUSDT,0.49,0.9608,0.51,2026-03-13 18:00:00+00:00
APTUSDT,0.4905,0.9627,0.5095,2026-03-13 19:00:00+00:00
APTUSDT,0.4894,0.9585,0.5106,2026-03-13 20:00:00+00:00
APTUSDT,0.4886,0.9554,0.5114,2026-03-13 21:00:00+00:00
APTUSDT,0.492,0.9685,0.508,2026-03-13 22:00:00+00:00
APTUSDT,0.4936,0.9747,0.5064,2026-03-13 23:00:00+00:00
APTUSDT,0.4953,0.9814,0.5047,2026-03-14 00:00:00+00:00
APTUSDT,0.4963,0.9853,0.5037,2026-03-14 01:00:00+00:00
APTUSDT,0.4955,0.9822,0.5045,2026-03-14 02:00:00+00:00
APTUSDT,0.4958,0.9833,0.5042,2026-03-14 03:00:00+00:00
APTUSDT,0.4984,0.9936,0.5016,2026-03-14 04:00:00+00:00
APTUSDT,0.5007,1.0028,0.4993,2026-03-14 05:00:00+00:00
APTUSDT,0.5049,1.0198,0.4951,2026-03-14 06:00:00+00:00
APTUSDT,0.508,1.0325,0.492,2026-03-14 07:00:00+00:00
APTUSDT,0.508,1.0325,0.492,2026-03-14 08:00:00+00:00
APTUSDT,0.5066,1.0268,0.4934,2026-03-14 09:00:00+00:00
APTUSDT,0.507,1.0284,0.493,2026-03-14 10:00:00+00:00
APTUSDT,0.5064,1.0259,0.4936,2026-03-14 11:00:00+00:00
APTUSDT,0.5054,1.0218,0.4946,2026-03-14 12:00:00+00:00
APTUSDT,0.5032,1.0129,0.4968,2026-03-14 13:00:00+00:00
APTUSDT,0.5055,1.0222,0.4945,2026-03-14 14:00:00+00:00
APTUSDT,0.5077,1.0313,0.4923,2026-03-14 15:00:00+00:00
APTUSDT,0.5076,1.0309,0.4924,2026-03-14 16:00:00+00:00
APTUSDT,0.5002,1.0008,0.4998,2026-03-14 17:00:00+00:00
APTUSDT,0.4971,0.9885,0.5029,2026-03-14 18:00:00+00:00
APTUSDT,0.4973,0.9893,0.5027,2026-03-14 19:00:00+00:00
APTUSDT,0.4948,0.9794,0.5052,2026-03-14 20:00:00+00:00
APTUSDT,0.4943,0.9775,0.5057,2026-03-14 21:00:00+00:00
APTUSDT,0.4977,0.9908,0.5023,2026-03-14 22:00:00+00:00
APTUSDT,0.4985,0.994,0.5015,2026-03-14 23:00:00+00:00
