symbol,longAccount,longShortRatio,shortAccount,timestamp
APTUSDT,0.6505,1.8612,0.3495,2026-03-25 22:40:00+00:00
APTUSDT,0.6506,1.862,0.3494,2026-03-25 22:45:00+00:00
APTUSDT,0.6508,1.8637,0.3492,2026-03-25 22:50:00+00:00
APTUSDT,0.6506,1.862,0.3494,2026-03-25 22:55:00+00:00
APTUSDT,0.6508,1.8637,0.3492,2026-03-25 23:00:00+00:00
APTUSDT,0.6501,1.858,0.3499,2026-03-25 23:05:00+00:00
APTUSDT,0.6496,1.8539,0.3504,2026-03-25 23:10:00+00:00
APTUSDT,0.6505,1.8612,0.3495,2026-03-25 23:15:00+00:00
APTUSDT,0.6499,1.8563,0.3501,2026-03-25 23:20:00+00:00
APTUSDT,0.6502,1.8588,0.3498,2026-03-25 23:25:00+00:00
APTUSDT,0.6498,1.8555,0.3502,2026-03-25 23:30:00+00:00
APTUSDT,0.6497,1.8547,0.3503,2026-03-25 23:35:00+00:00
APTUSDT,0.6496,1.8539,0.3504,2026-03-25 23:40:00+00:00
APTUSDT,0.6492,1.8506,0.3508,2026-03-25 23:45:00+00:00
APTUSDT,0.6493,1.8514,0.3507,2026-03-25 23:50:00+00:00
APTUSDT,0.6484,1.8441,0.3516,2026-03-25 23:55:00+00:00
APTUSDT,0.6489,1.8482,0.3511,2026-03-26 00:00:00+00:00
APTUSDT,0.6439,1.8082,0.3561,2026-03-26 00:05:00+00:00
APTUSDT,0.6437,1.8066,0.3563,2026-03-26 00:10:00+00:00
APTUSDT,0.6426,1.798,0.3574,2026-03-26 00:15:00+00:00
APTUSDT,0.642,1.7933,0.358,2026-03-26 00:20:00+00:00
APTUSDT,0.6424,1.7964,0.3576,2026-03-26 00:25:00+00:00
APTUSDT,0.6424,1.7964,0.3576,2026-03-26 00:30:00+00:00
APTUSDT,0.6421,1.7941,0.3579,2026-03-26 00:35:00+00:00
APTUSDT,0.6425,1.7972,0.3575,2026-03-26 00:40:00+00:00
APTUSDT,0.6409,1.7847,0.3591,2026-03-26 00:45:00+00:00
APTUSDT,0.6391,1.7709,0.3609,2026-03-26 00:50:00+00:00
APTUSDT,0.6392,1.7716,0.3608,2026-03-26 00:55:00+00:00
APTUSDT,0.6393,1.7724,0.3607,2026-03-26 01:00:00+00:00
APTUSDT,0.6388,1.7685,0.3612,2026-03-26 01:05:00+00:00
APTUSDT,0.6391,1.7709,0.3609,2026-03-26 01:10:00+00:00
APTUSDT,0.6382,1.764,0.3618,2026-03-26 01:15:00+00:00
APTUSDT,0.6372,1.7563,0.3628,2026-03-26 01:20:00+00:00
APTUSDT,0.6381,1.7632,0.3619,2026-03-26 01:25:00+00:00
APTUSDT,0.6382,1.764,0.3618,2026-03-26 01:30:00+00:00
APTUSDT,0.6383,1.7647,0.3617,2026-03-26 01:35:00+00:00
APTUSDT,0.638,1.7624,0.362,2026-03-26 01:40:00+00:00
APTUSDT,0.6412,1.7871,0.3588,2026-03-26 01:45:00+00:00
APTUSDT,0.6483,1.8433,0.3517,2026-03-26 01:50:00+00:00
APTUSDT,0.648,1.8409,0.352,2026-03-26 01:55:00+00:00
APTUSDT,0.6468,1.8313,0.3532,2026-03-26 02:00:00+00:00
APTUSDT,0.6473,1.8353,0.3527,2026-03-26 02:05:00+00:00
APTUSDT,0.6483,1.8433,0.3517,2026-03-26 02:10:00+00:00
