symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
APTUSDT,30755614.7,29338016.75789475,792948449.23640190,2026-03-13 17:00:00+00:00
APTUSDT,30739349.5,28772031.132,792948449.23640190,2026-03-13 18:00:00+00:00
APTUSDT,30596408.0,28712059.67736608,792948449.23640190,2026-03-13 19:00:00+00:00
APTUSDT,30579643.6,28693108.937207,792948449.23640190,2026-03-13 20:00:00+00:00
APTUSDT,30565950.1,28756445.85408,792948449.23640190,2026-03-13 21:00:00+00:00
APTUSDT,30418195.3,28504890.81563,792948449.23640190,2026-03-13 22:00:00+00:00
APTUSDT,30264622.3,28206627.9836,792948449.23640190,2026-03-13 23:00:00+00:00
APTUSDT,30313495.1,28297607.35890152,792948449.23640190,2026-03-14 00:00:00+00:00
APTUSDT,30327392.7,27995527.05714518,792948449.23640190,2026-03-14 01:00:00+00:00
APTUSDT,30279712.8,28075753.33673162,792948449.23640190,2026-03-14 02:00:00+00:00
APTUSDT,30215362.4,27997597.70565461,793061122.76189240,2026-03-14 03:00:00+00:00
APTUSDT,30233629.2,28053784.53468,793061122.76189240,2026-03-14 04:00:00+00:00
APTUSDT,30199300.4,27852814.75892,793061122.76189240,2026-03-14 05:00:00+00:00
APTUSDT,30150759.2,27687994.83677614,793061122.76189240,2026-03-14 06:00:00+00:00
APTUSDT,30022123.8,27362163.63132,793061122.76189240,2026-03-14 07:00:00+00:00
APTUSDT,30101467.3,27410396.12338,793061122.76189240,2026-03-14 08:00:00+00:00
APTUSDT,30163754.7,27442984.02606,793061122.76189240,2026-03-14 09:00:00+00:00
APTUSDT,30257089.8,27547194.33849277,793061122.76189240,2026-03-14 10:00:00+00:00
APTUSDT,30312695.0,27538080.6635494,793061122.76189240,2026-03-14 11:00:00+00:00
APTUSDT,30429575.8,27849799.57367364,793061122.76189240,2026-03-14 12:00:00+00:00
APTUSDT,30725438.9,28027745.36458,793061122.76189240,2026-03-14 13:00:00+00:00
APTUSDT,30731413.3,28160185.09486892,793061122.76189240,2026-03-14 14:00:00+00:00
APTUSDT,30711423.3,27941252.91834,793061122.76189240,2026-03-14 15:00:00+00:00
APTUSDT,30843691.7,28055366.14323802,793061122.76189240,2026-03-14 16:00:00+00:00
APTUSDT,30827383.2,28220953.53716806,793061122.76189240,2026-03-14 17:00:00+00:00
APTUSDT,30845940.8,28125328.82144,793061122.76189240,2026-03-14 18:00:00+00:00
APTUSDT,30908442.6,28193458.29264632,793061122.76189240,2026-03-14 19:00:00+00:00
APTUSDT,30926788.2,28187602.569126,793061122.76189240,2026-03-14 20:00:00+00:00
APTUSDT,30968270.5,28251811.23241625,793061122.76189240,2026-03-14 21:00:00+00:00
APTUSDT,30968027.4,28273809.0162,793061122.76189240,2026-03-14 22:00:00+00:00
APTUSDT,30961036.9,28248256.54448263,793061122.76189240,2026-03-14 23:00:00+00:00
APTUSDT,30841880.1,28371445.50399,793061122.76189240,2026-03-15 00:00:00+00:00
APTUSDT,30858129.2,28116556.60894094,793061122.76189240,2026-03-15 01:00:00+00:00
APTUSDT,30847861.9,28461214.34072637,793061122.76189240,2026-03-15 02:00:00+00:00
APTUSDT,30790116.0,28689565.63809672,793173438.69059120,2026-03-15 03:00:00+00:00
APTUSDT,30753047.1,28498848.74757,793173438.69059120,2026-03-15 04:00:00+00:00
APTUSDT,30771345.1,28426568.60338,793173438.69059120,2026-03-15 05:00:00+00:00
APTUSDT,30812360.6,28430565.12562,793173438.69059120,2026-03-15 06:00:00+00:00
APTUSDT,30786864.6,28336230.17784,793173438.69059120,2026-03-15 07:00:00+00:00
APTUSDT,30749857.9,28471293.42961,793173438.69059120,2026-03-15 08:00:00+00:00
APTUSDT,30744795.0,28440278.00019765,793173438.69059120,2026-03-15 09:00:00+00:00
APTUSDT,30810116.9,28404537.5329309,793173438.69059120,2026-03-15 10:00:00+00:00
APTUSDT,30884379.0,28610707.15274343,793173438.69059120,2026-03-15 11:00:00+00:00
APTUSDT,30780779.5,28549172.98625,793173438.69059120,2026-03-15 12:00:00+00:00
APTUSDT,30717424.8,28545702.86664,793173438.69059120,2026-03-15 13:00:00+00:00
APTUSDT,30720728.3,28295290.85746289,793173438.69059120,2026-03-15 14:00:00+00:00
APTUSDT,30717969.2,28312752.21164,793173438.69059120,2026-03-15 15:00:00+00:00
APTUSDT,30729639.1,28246781.67367595,793173438.69059120,2026-03-15 16:00:00+00:00
APTUSDT,30801118.0,28337028.56,793173438.69059120,2026-03-15 17:00:00+00:00
APTUSDT,30737792.7,28477502.02367843,793173438.69059120,2026-03-15 18:00:00+00:00
APTUSDT,30966444.3,28513901.91144,793173438.69059120,2026-03-15 19:00:00+00:00
APTUSDT,31104694.3,28770224.7833964,793173438.69059120,2026-03-15 20:00:00+00:00
APTUSDT,31089227.0,28773079.5885,793173438.69059120,2026-03-15 21:00:00+00:00
APTUSDT,31099803.4,28960136.92608,793173438.69059120,2026-03-15 22:00:00+00:00
APTUSDT,31014326.0,29017003.4056,793173438.69059120,2026-03-15 23:00:00+00:00
APTUSDT,31045529.9,29005838.58557,793173438.69059120,2026-03-16 00:00:00+00:00
APTUSDT,31268876.1,29199314.2664454,793173438.69059120,2026-03-16 01:00:00+00:00
APTUSDT,31284054.3,29297516.85195,793173438.69059120,2026-03-16 02:00:00+00:00
APTUSDT,31287850.9,29253222.9188331,793285678.71744720,2026-03-16 03:00:00+00:00
APTUSDT,31320527.7,29807109.46576186,793285678.71744720,2026-03-16 04:00:00+00:00
APTUSDT,31323190.5,30300185.43492287,793285678.71744720,2026-03-16 05:00:00+00:00
APTUSDT,31274553.8,30774160.9392,793285678.71744720,2026-03-16 06:00:00+00:00
APTUSDT,31182757.0,30834430.94841421,793285678.71744720,2026-03-16 07:00:00+00:00
APTUSDT,30541577.0,30257540.3339,793285678.71744720,2026-03-16 08:00:00+00:00
APTUSDT,30493788.6,30042206.0846226,793285678.71744720,2026-03-16 09:00:00+00:00
APTUSDT,30351822.8,29908686.18712,793285678.71744720,2026-03-16 10:00:00+00:00
APTUSDT,30395087.0,29841435.32313021,793285678.71744720,2026-03-16 11:00:00+00:00
APTUSDT,30295821.6,29711112.24312,793285678.71744720,2026-03-16 12:00:00+00:00
APTUSDT,30273741.2,29842718.809665,793285678.71744720,2026-03-16 13:00:00+00:00
APTUSDT,30284838.7,30578601.63539,793285678.71744720,2026-03-16 14:00:00+00:00
APTUSDT,30522108.5,30338592.18609615,793285678.71744720,2026-03-16 15:00:00+00:00
APTUSDT,30247832.7,29934538.35298314,793285678.71744720,2026-03-16 16:00:00+00:00
APTUSDT,30103800.6,30257329.98306,793285678.71744720,2026-03-16 17:00:00+00:00
APTUSDT,30079007.6,30136302.99604671,793285678.71744720,2026-03-16 18:00:00+00:00
APTUSDT,30181975.9,30221212.46867,793285678.71744720,2026-03-16 19:00:00+00:00
APTUSDT,30193260.4,30375787.71709612,793285678.71744720,2026-03-16 20:00:00+00:00
APTUSDT,30332780.9,30859282.14447175,793285678.71744720,2026-03-16 21:00:00+00:00
APTUSDT,30221408.8,30769947.6180639,793285678.71744720,2026-03-16 22:00:00+00:00
APTUSDT,30110113.2,30691238.38476,793285678.71744720,2026-03-16 23:00:00+00:00
APTUSDT,30056118.9,30627185.1591,793285678.71744720,2026-03-17 00:00:00+00:00
APTUSDT,30172706.1,30626995.71658049,793285678.71744720,2026-03-17 01:00:00+00:00
APTUSDT,30666072.9,30967413.06535185,793285678.71744720,2026-03-17 02:00:00+00:00
APTUSDT,30726851.4,30845723.44820564,793373509.31565750,2026-03-17 03:00:00+00:00
APTUSDT,30660621.6,30513450.61632,793373509.31565750,2026-03-17 04:00:00+00:00
APTUSDT,30606988.3,30227461.64508,793373509.31565750,2026-03-17 05:00:00+00:00
APTUSDT,30525415.0,30180477.8105,793373509.31565750,2026-03-17 06:00:00+00:00
APTUSDT,30311586.4,30017564.01192,793373509.31565750,2026-03-17 07:00:00+00:00
APTUSDT,30166641.1,30118930.14376906,793373509.31565750,2026-03-17 08:00:00+00:00
APTUSDT,30064178.8,30001044.02452,793373509.31565750,2026-03-17 09:00:00+00:00
APTUSDT,30041100.8,30005051.47904,793373509.31565750,2026-03-17 10:00:00+00:00
APTUSDT,30042371.1,29946235.51248,793373509.31565750,2026-03-17 11:00:00+00:00
APTUSDT,30082538.5,29865944.2228,793373509.31565750,2026-03-17 12:00:00+00:00
