buySellRatio,sellVol,buyVol,timestamp
0.9144,2368005.0,2165245.8,2026-03-13 16:00:00+00:00
0.8978,1504540.4,1350769.8,2026-03-13 17:00:00+00:00
1.3139,724341.2,951735.4,2026-03-13 18:00:00+00:00
1.0017,718364.2,719594.3,2026-03-13 19:00:00+00:00
1.4584,291864.1,425642.3,2026-03-13 20:00:00+00:00
1.1485,644360.1,740029.5,2026-03-13 21:00:00+00:00
1.0035,1495227.4,1500409.6,2026-03-13 22:00:00+00:00
0.883,1101467.9,972545.7,2026-03-13 23:00:00+00:00
0.8305,699493.8,580896.9,2026-03-14 00:00:00+00:00
0.957,464946.2,444945.9,2026-03-14 01:00:00+00:00
0.6868,633779.1,435258.4,2026-03-14 02:00:00+00:00
0.7601,469601.8,356936.0,2026-03-14 03:00:00+00:00
0.7378,824533.6,608362.0,2026-03-14 04:00:00+00:00
0.5821,1049817.6,611140.9,2026-03-14 05:00:00+00:00
0.7963,1511217.1,1203427.0,2026-03-14 06:00:00+00:00
1.0016,520809.4,521649.9,2026-03-14 07:00:00+00:00
0.8915,326291.9,290880.0,2026-03-14 08:00:00+00:00
1.3136,399614.4,524914.9,2026-03-14 09:00:00+00:00
0.7948,371419.7,295200.3,2026-03-14 10:00:00+00:00
0.9459,589917.6,557987.0,2026-03-14 11:00:00+00:00
0.6302,776899.8,489638.1,2026-03-14 12:00:00+00:00
1.0351,358842.2,371438.7,2026-03-14 13:00:00+00:00
0.6531,655192.0,427875.9,2026-03-14 14:00:00+00:00
0.79,457917.7,361755.5,2026-03-14 15:00:00+00:00
1.0595,398112.7,421804.2,2026-03-14 16:00:00+00:00
0.8863,356131.8,315654.9,2026-03-14 17:00:00+00:00
0.7243,344536.9,249564.3,2026-03-14 18:00:00+00:00
1.1793,200284.8,236202.9,2026-03-14 19:00:00+00:00
0.8778,205066.5,180005.4,2026-03-14 20:00:00+00:00
0.9156,331225.9,303279.5,2026-03-14 21:00:00+00:00
