buySellRatio,sellVol,buyVol,timestamp
2.5341,36724.8,93062.6,2026-03-25 22:35:00+00:00
1.5109,73442.0,110964.8,2026-03-25 22:40:00+00:00
1.0672,33611.1,35870.9,2026-03-25 22:45:00+00:00
3.1476,12533.0,39448.8,2026-03-25 22:50:00+00:00
2.1256,15121.4,32141.4,2026-03-25 22:55:00+00:00
0.7081,63334.0,44845.8,2026-03-25 23:00:00+00:00
0.7171,42812.3,30700.0,2026-03-25 23:05:00+00:00
0.2918,74579.4,21762.2,2026-03-25 23:10:00+00:00
1.0305,30239.8,31161.5,2026-03-25 23:15:00+00:00
1.1529,41174.4,47471.7,2026-03-25 23:20:00+00:00
0.8292,27625.7,22907.4,2026-03-25 23:25:00+00:00
1.5135,19773.9,29927.3,2026-03-25 23:30:00+00:00
0.2434,76614.4,18644.9,2026-03-25 23:35:00+00:00
0.7696,47892.3,36859.3,2026-03-25 23:40:00+00:00
1.0477,29948.3,31377.9,2026-03-25 23:45:00+00:00
3.2528,18614.7,60550.2,2026-03-25 23:50:00+00:00
2.5031,24390.6,61052.5,2026-03-25 23:55:00+00:00
0.542,225120.0,122007.1,2026-03-26 00:00:00+00:00
0.4922,180608.5,88892.5,2026-03-26 00:05:00+00:00
0.6296,82970.4,52242.3,2026-03-26 00:10:00+00:00
0.5404,79124.1,42755.3,2026-03-26 00:15:00+00:00
0.6472,100193.3,64847.1,2026-03-26 00:20:00+00:00
0.9924,33425.2,33171.7,2026-03-26 00:25:00+00:00
0.869,65107.6,56580.3,2026-03-26 00:30:00+00:00
1.3426,17483.3,23473.8,2026-03-26 00:35:00+00:00
2.5416,24086.6,61218.8,2026-03-26 00:40:00+00:00
0.7719,141508.4,109231.1,2026-03-26 00:45:00+00:00
0.2545,115212.0,29323.3,2026-03-26 00:50:00+00:00
1.1961,30599.4,36600.1,2026-03-26 00:55:00+00:00
1.1079,68571.0,75969.6,2026-03-26 01:00:00+00:00
1.139,26681.3,30389.7,2026-03-26 01:05:00+00:00
1.6608,92486.4,153606.0,2026-03-26 01:10:00+00:00
0.585,190860.2,111647.5,2026-03-26 01:15:00+00:00
1.071,85394.0,91453.7,2026-03-26 01:20:00+00:00
0.3377,98946.5,33418.9,2026-03-26 01:25:00+00:00
1.7166,21152.0,36308.8,2026-03-26 01:30:00+00:00
1.0306,14332.4,14770.5,2026-03-26 01:35:00+00:00
0.6818,126715.6,86391.9,2026-03-26 01:40:00+00:00
0.3599,289595.1,104229.0,2026-03-26 01:45:00+00:00
1.2281,70778.3,86923.2,2026-03-26 01:50:00+00:00
0.6382,53040.3,33852.2,2026-03-26 01:55:00+00:00
0.8603,91472.4,78689.9,2026-03-26 02:00:00+00:00
0.5475,185624.0,101630.5,2026-03-26 02:05:00+00:00
0.5964,95845.5,57163.1,2026-03-26 02:10:00+00:00
0.8955,400300.9,358455.1,2026-03-26 02:15:00+00:00
1.1605,50475.2,58577.5,2026-03-26 02:20:00+00:00
1.002,46574.5,46666.3,2026-03-26 02:25:00+00:00
0.6076,152148.3,92448.5,2026-03-26 02:30:00+00:00
0.4702,85347.0,40127.7,2026-03-26 02:35:00+00:00
1.8318,22253.7,40763.3,2026-03-26 02:40:00+00:00
0.2766,218728.2,60499.1,2026-03-26 02:45:00+00:00
1.7879,57784.2,103314.9,2026-03-26 02:50:00+00:00
0.5659,82503.5,46689.5,2026-03-26 02:55:00+00:00
0.3937,288221.4,113461.1,2026-03-26 03:00:00+00:00
1.5339,96417.3,147896.1,2026-03-26 03:05:00+00:00
0.6596,65719.9,43350.9,2026-03-26 03:10:00+00:00
0.7678,31216.1,23966.6,2026-03-26 03:15:00+00:00
1.7333,55087.2,95481.5,2026-03-26 03:20:00+00:00
1.2092,69794.5,84392.2,2026-03-26 03:25:00+00:00
0.8965,140304.5,125776.8,2026-03-26 03:30:00+00:00
3.5087,30187.2,105917.0,2026-03-26 03:35:00+00:00
0.2766,54774.4,15149.5,2026-03-26 03:40:00+00:00
1.1894,27031.5,32150.8,2026-03-26 03:45:00+00:00
1.0707,27869.2,29838.9,2026-03-26 03:50:00+00:00
0.8821,37191.9,32808.0,2026-03-26 03:55:00+00:00
