symbol,longAccount,longShortRatio,shortAccount,timestamp
APTUSDT,0.6329,1.7238,0.3671,2026-03-13 17:00:00+00:00
APTUSDT,0.6337,1.7297,0.3663,2026-03-13 18:00:00+00:00
APTUSDT,0.6299,1.7019,0.3701,2026-03-13 19:00:00+00:00
APTUSDT,0.631,1.7104,0.369,2026-03-13 20:00:00+00:00
APTUSDT,0.6293,1.6979,0.3707,2026-03-13 21:00:00+00:00
APTUSDT,0.6268,1.6795,0.3732,2026-03-13 22:00:00+00:00
APTUSDT,0.6188,1.6234,0.3812,2026-03-13 23:00:00+00:00
APTUSDT,0.6182,1.6193,0.3818,2026-03-14 00:00:00+00:00
APTUSDT,0.6217,1.6435,0.3783,2026-03-14 01:00:00+00:00
APTUSDT,0.6204,1.6343,0.3796,2026-03-14 02:00:00+00:00
APTUSDT,0.6258,1.6725,0.3742,2026-03-14 03:00:00+00:00
APTUSDT,0.6272,1.6828,0.3728,2026-03-14 04:00:00+00:00
APTUSDT,0.6259,1.6732,0.3741,2026-03-14 05:00:00+00:00
APTUSDT,0.6246,1.664,0.3754,2026-03-14 06:00:00+00:00
APTUSDT,0.6152,1.599,0.3848,2026-03-14 07:00:00+00:00
APTUSDT,0.6133,1.5858,0.3867,2026-03-14 08:00:00+00:00
APTUSDT,0.612,1.5775,0.388,2026-03-14 09:00:00+00:00
APTUSDT,0.6102,1.5653,0.3898,2026-03-14 10:00:00+00:00
APTUSDT,0.6099,1.5636,0.3901,2026-03-14 11:00:00+00:00
APTUSDT,0.6065,1.5413,0.3935,2026-03-14 12:00:00+00:00
APTUSDT,0.6116,1.5744,0.3884,2026-03-14 13:00:00+00:00
APTUSDT,0.6109,1.5702,0.3891,2026-03-14 14:00:00+00:00
APTUSDT,0.6113,1.5729,0.3887,2026-03-14 15:00:00+00:00
APTUSDT,0.6118,1.576,0.3882,2026-03-14 16:00:00+00:00
APTUSDT,0.6107,1.5689,0.3893,2026-03-14 17:00:00+00:00
APTUSDT,0.6098,1.5631,0.3902,2026-03-14 18:00:00+00:00
APTUSDT,0.6101,1.5647,0.3899,2026-03-14 19:00:00+00:00
APTUSDT,0.6109,1.5702,0.3891,2026-03-14 20:00:00+00:00
APTUSDT,0.6122,1.5786,0.3878,2026-03-14 21:00:00+00:00
APTUSDT,0.6122,1.5786,0.3878,2026-03-14 22:00:00+00:00
APTUSDT,0.6122,1.5785,0.3878,2026-03-14 23:00:00+00:00
APTUSDT,0.6126,1.581,0.3874,2026-03-15 00:00:00+00:00
APTUSDT,0.6107,1.5687,0.3893,2026-03-15 01:00:00+00:00
APTUSDT,0.6062,1.5396,0.3938,2026-03-15 02:00:00+00:00
APTUSDT,0.607,1.5443,0.393,2026-03-15 03:00:00+00:00
APTUSDT,0.6086,1.5552,0.3914,2026-03-15 04:00:00+00:00
APTUSDT,0.609,1.5578,0.391,2026-03-15 05:00:00+00:00
APTUSDT,0.6099,1.5637,0.3901,2026-03-15 06:00:00+00:00
APTUSDT,0.6059,1.5376,0.3941,2026-03-15 07:00:00+00:00
APTUSDT,0.6048,1.5304,0.3952,2026-03-15 08:00:00+00:00
APTUSDT,0.6037,1.5233,0.3963,2026-03-15 09:00:00+00:00
APTUSDT,0.6052,1.5329,0.3948,2026-03-15 10:00:00+00:00
APTUSDT,0.6045,1.5282,0.3955,2026-03-15 11:00:00+00:00
APTUSDT,0.6078,1.5497,0.3922,2026-03-15 12:00:00+00:00
APTUSDT,0.6096,1.5614,0.3904,2026-03-15 13:00:00+00:00
APTUSDT,0.6111,1.5716,0.3889,2026-03-15 14:00:00+00:00
APTUSDT,0.6082,1.5523,0.3918,2026-03-15 15:00:00+00:00
APTUSDT,0.6074,1.5474,0.3926,2026-03-15 16:00:00+00:00
APTUSDT,0.6053,1.5333,0.3947,2026-03-15 17:00:00+00:00
APTUSDT,0.6047,1.5296,0.3953,2026-03-15 18:00:00+00:00
APTUSDT,0.6063,1.5403,0.3937,2026-03-15 19:00:00+00:00
APTUSDT,0.607,1.5445,0.393,2026-03-15 20:00:00+00:00
APTUSDT,0.6073,1.5462,0.3927,2026-03-15 21:00:00+00:00
APTUSDT,0.6066,1.5422,0.3934,2026-03-15 22:00:00+00:00
APTUSDT,0.6097,1.562,0.3903,2026-03-15 23:00:00+00:00
APTUSDT,0.614,1.5908,0.386,2026-03-16 00:00:00+00:00
APTUSDT,0.6184,1.6205,0.3816,2026-03-16 01:00:00+00:00
APTUSDT,0.6176,1.6152,0.3824,2026-03-16 02:00:00+00:00
APTUSDT,0.6181,1.6186,0.3819,2026-03-16 03:00:00+00:00
APTUSDT,0.6234,1.6552,0.3766,2026-03-16 04:00:00+00:00
APTUSDT,0.6222,1.647,0.3778,2026-03-16 05:00:00+00:00
APTUSDT,0.6174,1.6137,0.3826,2026-03-16 06:00:00+00:00
APTUSDT,0.6244,1.6626,0.3756,2026-03-16 07:00:00+00:00
APTUSDT,0.621,1.6386,0.379,2026-03-16 08:00:00+00:00
APTUSDT,0.6304,1.7057,0.3696,2026-03-16 09:00:00+00:00
APTUSDT,0.6321,1.7181,0.3679,2026-03-16 10:00:00+00:00
APTUSDT,0.6324,1.72,0.3676,2026-03-16 11:00:00+00:00
APTUSDT,0.6316,1.7142,0.3684,2026-03-16 12:00:00+00:00
APTUSDT,0.6295,1.6994,0.3705,2026-03-16 13:00:00+00:00
APTUSDT,0.6249,1.6662,0.3751,2026-03-16 14:00:00+00:00
APTUSDT,0.6254,1.6695,0.3746,2026-03-16 15:00:00+00:00
APTUSDT,0.6228,1.6509,0.3772,2026-03-16 16:00:00+00:00
APTUSDT,0.6206,1.6355,0.3794,2026-03-16 17:00:00+00:00
APTUSDT,0.622,1.6457,0.378,2026-03-16 18:00:00+00:00
APTUSDT,0.6232,1.6538,0.3768,2026-03-16 19:00:00+00:00
APTUSDT,0.6224,1.6486,0.3776,2026-03-16 20:00:00+00:00
APTUSDT,0.6217,1.6435,0.3783,2026-03-16 21:00:00+00:00
APTUSDT,0.6194,1.6273,0.3806,2026-03-16 22:00:00+00:00
APTUSDT,0.6156,1.6013,0.3844,2026-03-16 23:00:00+00:00
APTUSDT,0.6173,1.6131,0.3827,2026-03-17 00:00:00+00:00
APTUSDT,0.6193,1.6266,0.3807,2026-03-17 01:00:00+00:00
APTUSDT,0.6265,1.6775,0.3735,2026-03-17 02:00:00+00:00
APTUSDT,0.6291,1.6961,0.3709,2026-03-17 03:00:00+00:00
APTUSDT,0.6334,1.7277,0.3666,2026-03-17 04:00:00+00:00
APTUSDT,0.6361,1.7481,0.3639,2026-03-17 05:00:00+00:00
APTUSDT,0.6358,1.7457,0.3642,2026-03-17 06:00:00+00:00
APTUSDT,0.6355,1.7437,0.3645,2026-03-17 07:00:00+00:00
APTUSDT,0.6292,1.6971,0.3708,2026-03-17 08:00:00+00:00
APTUSDT,0.632,1.717,0.368,2026-03-17 09:00:00+00:00
APTUSDT,0.6303,1.7049,0.3697,2026-03-17 10:00:00+00:00
APTUSDT,0.6312,1.7113,0.3688,2026-03-17 11:00:00+00:00
APTUSDT,0.632,1.7176,0.368,2026-03-17 12:00:00+00:00
APTUSDT,0.6314,1.7132,0.3686,2026-03-17 13:00:00+00:00
APTUSDT,0.6337,1.7303,0.3663,2026-03-17 14:00:00+00:00
APTUSDT,0.6345,1.7358,0.3655,2026-03-17 15:00:00+00:00
APTUSDT,0.6353,1.742,0.3647,2026-03-17 16:00:00+00:00
APTUSDT,0.6371,1.7559,0.3629,2026-03-17 17:00:00+00:00
APTUSDT,0.6391,1.7708,0.3609,2026-03-17 18:00:00+00:00
APTUSDT,0.6386,1.7671,0.3614,2026-03-17 19:00:00+00:00
APTUSDT,0.64,1.778,0.36,2026-03-17 20:00:00+00:00
APTUSDT,0.6346,1.7364,0.3654,2026-03-17 21:00:00+00:00
APTUSDT,0.6356,1.7443,0.3644,2026-03-17 22:00:00+00:00
APTUSDT,0.6301,1.7037,0.3699,2026-03-17 23:00:00+00:00
APTUSDT,0.6281,1.6892,0.3719,2026-03-18 00:00:00+00:00
APTUSDT,0.6298,1.7009,0.3702,2026-03-18 01:00:00+00:00
APTUSDT,0.6316,1.7143,0.3684,2026-03-18 02:00:00+00:00
APTUSDT,0.6342,1.7337,0.3658,2026-03-18 03:00:00+00:00
APTUSDT,0.6335,1.7284,0.3665,2026-03-18 04:00:00+00:00
APTUSDT,0.6349,1.739,0.3651,2026-03-18 05:00:00+00:00
APTUSDT,0.6339,1.7313,0.3661,2026-03-18 06:00:00+00:00
APTUSDT,0.6338,1.7311,0.3662,2026-03-18 07:00:00+00:00
APTUSDT,0.6339,1.7318,0.3661,2026-03-18 08:00:00+00:00
APTUSDT,0.6347,1.7376,0.3653,2026-03-18 09:00:00+00:00
APTUSDT,0.6361,1.7478,0.3639,2026-03-18 10:00:00+00:00
APTUSDT,0.6405,1.7819,0.3595,2026-03-18 11:00:00+00:00
APTUSDT,0.6422,1.7952,0.3578,2026-03-18 12:00:00+00:00
APTUSDT,0.6481,1.8414,0.3519,2026-03-18 13:00:00+00:00
APTUSDT,0.6463,1.827,0.3537,2026-03-18 14:00:00+00:00
APTUSDT,0.6374,1.7581,0.3626,2026-03-18 15:00:00+00:00
APTUSDT,0.6319,1.7168,0.3681,2026-03-18 16:00:00+00:00
APTUSDT,0.6256,1.6711,0.3744,2026-03-18 17:00:00+00:00
APTUSDT,0.626,1.6742,0.374,2026-03-18 18:00:00+00:00
APTUSDT,0.6299,1.7022,0.3701,2026-03-18 19:00:00+00:00
APTUSDT,0.63,1.703,0.37,2026-03-18 20:00:00+00:00
APTUSDT,0.6236,1.657,0.3764,2026-03-18 21:00:00+00:00
APTUSDT,0.6239,1.6588,0.3761,2026-03-18 22:00:00+00:00
APTUSDT,0.6272,1.6822,0.3728,2026-03-18 23:00:00+00:00
APTUSDT,0.625,1.6665,0.375,2026-03-19 00:00:00+00:00
APTUSDT,0.6265,1.6776,0.3735,2026-03-19 01:00:00+00:00
APTUSDT,0.6269,1.6805,0.3731,2026-03-19 02:00:00+00:00
APTUSDT,0.6269,1.6802,0.3731,2026-03-19 03:00:00+00:00
APTUSDT,0.6294,1.698,0.3706,2026-03-19 04:00:00+00:00
APTUSDT,0.6324,1.7204,0.3676,2026-03-19 05:00:00+00:00
APTUSDT,0.6345,1.7357,0.3655,2026-03-19 06:00:00+00:00
APTUSDT,0.6318,1.7162,0.3682,2026-03-19 07:00:00+00:00
APTUSDT,0.6357,1.7448,0.3643,2026-03-19 08:00:00+00:00
APTUSDT,0.6335,1.7282,0.3665,2026-03-19 09:00:00+00:00
APTUSDT,0.6333,1.7273,0.3667,2026-03-19 10:00:00+00:00
APTUSDT,0.634,1.732,0.366,2026-03-19 11:00:00+00:00
APTUSDT,0.6327,1.7227,0.3673,2026-03-19 12:00:00+00:00
APTUSDT,0.6301,1.7032,0.3699,2026-03-19 13:00:00+00:00
APTUSDT,0.6335,1.7283,0.3665,2026-03-19 14:00:00+00:00
APTUSDT,0.6367,1.7526,0.3633,2026-03-19 15:00:00+00:00
APTUSDT,0.6343,1.7342,0.3657,2026-03-19 16:00:00+00:00
APTUSDT,0.6366,1.7515,0.3634,2026-03-19 17:00:00+00:00
APTUSDT,0.6374,1.7579,0.3626,2026-03-19 18:00:00+00:00
APTUSDT,0.6401,1.7783,0.3599,2026-03-19 19:00:00+00:00
APTUSDT,0.6452,1.8183,0.3548,2026-03-19 20:00:00+00:00
APTUSDT,0.6464,1.8279,0.3536,2026-03-19 21:00:00+00:00
APTUSDT,0.6489,1.8485,0.3511,2026-03-19 22:00:00+00:00
APTUSDT,0.6513,1.8681,0.3487,2026-03-19 23:00:00+00:00
APTUSDT,0.6493,1.8517,0.3507,2026-03-20 00:00:00+00:00
APTUSDT,0.6519,1.8728,0.3481,2026-03-20 01:00:00+00:00
APTUSDT,0.6531,1.8828,0.3469,2026-03-20 02:00:00+00:00
APTUSDT,0.6525,1.8775,0.3475,2026-03-20 03:00:00+00:00
APTUSDT,0.6549,1.8979,0.3451,2026-03-20 04:00:00+00:00
APTUSDT,0.6547,1.8957,0.3453,2026-03-20 05:00:00+00:00
APTUSDT,0.6543,1.893,0.3457,2026-03-20 06:00:00+00:00
APTUSDT,0.6448,1.8157,0.3552,2026-03-20 07:00:00+00:00
APTUSDT,0.6448,1.8149,0.3552,2026-03-20 08:00:00+00:00
APTUSDT,0.6481,1.8417,0.3519,2026-03-20 09:00:00+00:00
APTUSDT,0.6491,1.8499,0.3509,2026-03-20 10:00:00+00:00
APTUSDT,0.6487,1.8464,0.3513,2026-03-20 11:00:00+00:00
APTUSDT,0.6446,1.8135,0.3554,2026-03-20 12:00:00+00:00
APTUSDT,0.6421,1.794,0.3579,2026-03-20 13:00:00+00:00
APTUSDT,0.6426,1.798,0.3574,2026-03-20 14:00:00+00:00
APTUSDT,0.6431,1.8019,0.3569,2026-03-20 15:00:00+00:00
APTUSDT,0.6407,1.7831,0.3593,2026-03-20 16:00:00+00:00
APTUSDT,0.6377,1.7601,0.3623,2026-03-20 17:00:00+00:00
APTUSDT,0.6375,1.7588,0.3625,2026-03-20 18:00:00+00:00
APTUSDT,0.6352,1.7409,0.3648,2026-03-20 19:00:00+00:00
APTUSDT,0.6346,1.7369,0.3654,2026-03-20 20:00:00+00:00
APTUSDT,0.6339,1.7311,0.3661,2026-03-20 21:00:00+00:00
