symbol,longAccount,longShortRatio,shortAccount,timestamp
APTUSDT,0.6444,1.8121,0.3556,2026-03-25 22:40:00+00:00
APTUSDT,0.645,1.8171,0.355,2026-03-25 22:45:00+00:00
APTUSDT,0.6449,1.816,0.3551,2026-03-25 22:50:00+00:00
APTUSDT,0.6446,1.8136,0.3554,2026-03-25 22:55:00+00:00
APTUSDT,0.6447,1.8145,0.3553,2026-03-25 23:00:00+00:00
APTUSDT,0.6455,1.8207,0.3545,2026-03-25 23:05:00+00:00
APTUSDT,0.6456,1.8219,0.3544,2026-03-25 23:10:00+00:00
APTUSDT,0.6462,1.8262,0.3538,2026-03-25 23:15:00+00:00
APTUSDT,0.6464,1.8279,0.3536,2026-03-25 23:20:00+00:00
APTUSDT,0.6459,1.8243,0.3541,2026-03-25 23:25:00+00:00
APTUSDT,0.646,1.8248,0.354,2026-03-25 23:30:00+00:00
APTUSDT,0.6459,1.8244,0.3541,2026-03-25 23:35:00+00:00
APTUSDT,0.6459,1.824,0.3541,2026-03-25 23:40:00+00:00
APTUSDT,0.6457,1.8223,0.3543,2026-03-25 23:45:00+00:00
APTUSDT,0.6454,1.82,0.3546,2026-03-25 23:50:00+00:00
APTUSDT,0.6446,1.8137,0.3554,2026-03-25 23:55:00+00:00
APTUSDT,0.6438,1.8075,0.3562,2026-03-26 00:00:00+00:00
APTUSDT,0.6459,1.824,0.3541,2026-03-26 00:05:00+00:00
APTUSDT,0.6467,1.8307,0.3533,2026-03-26 00:10:00+00:00
APTUSDT,0.6461,1.8253,0.3539,2026-03-26 00:15:00+00:00
APTUSDT,0.6458,1.8236,0.3542,2026-03-26 00:20:00+00:00
APTUSDT,0.6453,1.819,0.3547,2026-03-26 00:25:00+00:00
APTUSDT,0.6451,1.8181,0.3549,2026-03-26 00:30:00+00:00
APTUSDT,0.6456,1.8213,0.3544,2026-03-26 00:35:00+00:00
APTUSDT,0.6457,1.8223,0.3543,2026-03-26 00:40:00+00:00
APTUSDT,0.6448,1.8157,0.3552,2026-03-26 00:45:00+00:00
APTUSDT,0.6431,1.8021,0.3569,2026-03-26 00:50:00+00:00
APTUSDT,0.6444,1.8118,0.3556,2026-03-26 00:55:00+00:00
APTUSDT,0.6446,1.8134,0.3554,2026-03-26 01:00:00+00:00
APTUSDT,0.6442,1.8106,0.3558,2026-03-26 01:05:00+00:00
APTUSDT,0.6445,1.8127,0.3555,2026-03-26 01:10:00+00:00
APTUSDT,0.6463,1.827,0.3537,2026-03-26 01:15:00+00:00
APTUSDT,0.6461,1.8259,0.3539,2026-03-26 01:20:00+00:00
APTUSDT,0.6449,1.816,0.3551,2026-03-26 01:25:00+00:00
APTUSDT,0.6453,1.8194,0.3547,2026-03-26 01:30:00+00:00
APTUSDT,0.6453,1.8192,0.3547,2026-03-26 01:35:00+00:00
APTUSDT,0.6453,1.8195,0.3547,2026-03-26 01:40:00+00:00
APTUSDT,0.6448,1.8151,0.3552,2026-03-26 01:45:00+00:00
APTUSDT,0.6421,1.7939,0.3579,2026-03-26 01:50:00+00:00
APTUSDT,0.6421,1.7939,0.3579,2026-03-26 01:55:00+00:00
APTUSDT,0.6428,1.7995,0.3572,2026-03-26 02:00:00+00:00
