symbol,longAccount,longShortRatio,shortAccount,timestamp
ARBUSDT,0.5916,1.4486,0.4084,2026-03-13 17:00:00+00:00
ARBUSDT,0.5921,1.4516,0.4079,2026-03-13 18:00:00+00:00
ARBUSDT,0.5946,1.4667,0.4054,2026-03-13 19:00:00+00:00
ARBUSDT,0.5982,1.4888,0.4018,2026-03-13 20:00:00+00:00
ARBUSDT,0.605,1.5316,0.395,2026-03-13 21:00:00+00:00
ARBUSDT,0.6117,1.5753,0.3883,2026-03-13 22:00:00+00:00
ARBUSDT,0.6111,1.5714,0.3889,2026-03-13 23:00:00+00:00
ARBUSDT,0.6164,1.6069,0.3836,2026-03-14 00:00:00+00:00
ARBUSDT,0.6177,1.6157,0.3823,2026-03-14 01:00:00+00:00
ARBUSDT,0.6199,1.6309,0.3801,2026-03-14 02:00:00+00:00
ARBUSDT,0.6251,1.6674,0.3749,2026-03-14 03:00:00+00:00
ARBUSDT,0.624,1.6596,0.376,2026-03-14 04:00:00+00:00
ARBUSDT,0.6263,1.6759,0.3737,2026-03-14 05:00:00+00:00
ARBUSDT,0.6261,1.6745,0.3739,2026-03-14 06:00:00+00:00
ARBUSDT,0.6275,1.6846,0.3725,2026-03-14 07:00:00+00:00
ARBUSDT,0.6271,1.6817,0.3729,2026-03-14 08:00:00+00:00
ARBUSDT,0.6208,1.6371,0.3792,2026-03-14 09:00:00+00:00
ARBUSDT,0.6214,1.6413,0.3786,2026-03-14 10:00:00+00:00
ARBUSDT,0.6139,1.59,0.3861,2026-03-14 11:00:00+00:00
ARBUSDT,0.6083,1.553,0.3917,2026-03-14 12:00:00+00:00
ARBUSDT,0.6034,1.5214,0.3966,2026-03-14 13:00:00+00:00
ARBUSDT,0.6012,1.5075,0.3988,2026-03-14 14:00:00+00:00
ARBUSDT,0.5995,1.4969,0.4005,2026-03-14 15:00:00+00:00
ARBUSDT,0.5974,1.4839,0.4026,2026-03-14 16:00:00+00:00
ARBUSDT,0.5946,1.4667,0.4054,2026-03-14 17:00:00+00:00
ARBUSDT,0.5933,1.4588,0.4067,2026-03-14 18:00:00+00:00
ARBUSDT,0.5921,1.4516,0.4079,2026-03-14 19:00:00+00:00
ARBUSDT,0.5881,1.4278,0.4119,2026-03-14 20:00:00+00:00
ARBUSDT,0.5872,1.4225,0.4128,2026-03-14 21:00:00+00:00
ARBUSDT,0.5861,1.416,0.4139,2026-03-14 22:00:00+00:00
ARBUSDT,0.5858,1.4143,0.4142,2026-03-14 23:00:00+00:00
ARBUSDT,0.5854,1.412,0.4146,2026-03-15 00:00:00+00:00
ARBUSDT,0.5838,1.4027,0.4162,2026-03-15 01:00:00+00:00
ARBUSDT,0.5824,1.3946,0.4176,2026-03-15 02:00:00+00:00
ARBUSDT,0.5821,1.3929,0.4179,2026-03-15 03:00:00+00:00
ARBUSDT,0.5848,1.4085,0.4152,2026-03-15 04:00:00+00:00
ARBUSDT,0.5862,1.4166,0.4138,2026-03-15 05:00:00+00:00
ARBUSDT,0.588,1.4272,0.412,2026-03-15 06:00:00+00:00
ARBUSDT,0.5866,1.419,0.4134,2026-03-15 07:00:00+00:00
ARBUSDT,0.586,1.4155,0.414,2026-03-15 08:00:00+00:00
ARBUSDT,0.5865,1.4184,0.4135,2026-03-15 09:00:00+00:00
ARBUSDT,0.5867,1.4195,0.4133,2026-03-15 10:00:00+00:00
ARBUSDT,0.588,1.4272,0.412,2026-03-15 11:00:00+00:00
ARBUSDT,0.5859,1.4149,0.4141,2026-03-15 12:00:00+00:00
ARBUSDT,0.5907,1.4432,0.4093,2026-03-15 13:00:00+00:00
ARBUSDT,0.595,1.4691,0.405,2026-03-15 14:00:00+00:00
ARBUSDT,0.5946,1.4667,0.4054,2026-03-15 15:00:00+00:00
ARBUSDT,0.5958,1.474,0.4042,2026-03-15 16:00:00+00:00
ARBUSDT,0.5961,1.4759,0.4039,2026-03-15 17:00:00+00:00
ARBUSDT,0.593,1.457,0.407,2026-03-15 18:00:00+00:00
ARBUSDT,0.5977,1.4857,0.4023,2026-03-15 19:00:00+00:00
ARBUSDT,0.5957,1.4734,0.4043,2026-03-15 20:00:00+00:00
ARBUSDT,0.5969,1.4808,0.4031,2026-03-15 21:00:00+00:00
ARBUSDT,0.5993,1.4956,0.4007,2026-03-15 22:00:00+00:00
ARBUSDT,0.6,1.5,0.4,2026-03-15 23:00:00+00:00
ARBUSDT,0.6078,1.5497,0.3922,2026-03-16 00:00:00+00:00
ARBUSDT,0.6072,1.5458,0.3928,2026-03-16 01:00:00+00:00
