symbol,longAccount,longShortRatio,shortAccount,timestamp
ARBUSDT,0.5303,1.129,0.4697,2026-03-25 22:40:00+00:00
ARBUSDT,0.5304,1.1295,0.4696,2026-03-25 22:45:00+00:00
ARBUSDT,0.5303,1.129,0.4697,2026-03-25 22:50:00+00:00
ARBUSDT,0.5303,1.129,0.4697,2026-03-25 22:55:00+00:00
ARBUSDT,0.5303,1.129,0.4697,2026-03-25 23:00:00+00:00
ARBUSDT,0.5306,1.1304,0.4694,2026-03-25 23:05:00+00:00
ARBUSDT,0.5306,1.1304,0.4694,2026-03-25 23:10:00+00:00
ARBUSDT,0.5307,1.1308,0.4693,2026-03-25 23:15:00+00:00
ARBUSDT,0.5305,1.1299,0.4695,2026-03-25 23:20:00+00:00
ARBUSDT,0.5304,1.1295,0.4696,2026-03-25 23:25:00+00:00
ARBUSDT,0.5307,1.1308,0.4693,2026-03-25 23:30:00+00:00
ARBUSDT,0.5307,1.1308,0.4693,2026-03-25 23:35:00+00:00
ARBUSDT,0.5306,1.1304,0.4694,2026-03-25 23:40:00+00:00
ARBUSDT,0.5306,1.1304,0.4694,2026-03-25 23:45:00+00:00
ARBUSDT,0.5306,1.1304,0.4694,2026-03-25 23:50:00+00:00
ARBUSDT,0.5304,1.1295,0.4696,2026-03-25 23:55:00+00:00
ARBUSDT,0.5306,1.1304,0.4694,2026-03-26 00:00:00+00:00
ARBUSDT,0.5313,1.1336,0.4687,2026-03-26 00:05:00+00:00
ARBUSDT,0.5318,1.1358,0.4682,2026-03-26 00:10:00+00:00
ARBUSDT,0.5319,1.1363,0.4681,2026-03-26 00:15:00+00:00
ARBUSDT,0.5317,1.1354,0.4683,2026-03-26 00:20:00+00:00
ARBUSDT,0.5313,1.1336,0.4687,2026-03-26 00:25:00+00:00
ARBUSDT,0.5316,1.1349,0.4684,2026-03-26 00:30:00+00:00
ARBUSDT,0.5315,1.1345,0.4685,2026-03-26 00:35:00+00:00
ARBUSDT,0.5306,1.1304,0.4694,2026-03-26 00:40:00+00:00
ARBUSDT,0.5298,1.1268,0.4702,2026-03-26 00:45:00+00:00
ARBUSDT,0.5298,1.1268,0.4702,2026-03-26 00:50:00+00:00
ARBUSDT,0.5301,1.1281,0.4699,2026-03-26 00:55:00+00:00
ARBUSDT,0.5301,1.1281,0.4699,2026-03-26 01:00:00+00:00
ARBUSDT,0.5301,1.1281,0.4699,2026-03-26 01:05:00+00:00
ARBUSDT,0.5293,1.1245,0.4707,2026-03-26 01:10:00+00:00
ARBUSDT,0.5276,1.1169,0.4724,2026-03-26 01:15:00+00:00
ARBUSDT,0.5276,1.1169,0.4724,2026-03-26 01:20:00+00:00
ARBUSDT,0.5276,1.1169,0.4724,2026-03-26 01:25:00+00:00
ARBUSDT,0.5273,1.1155,0.4727,2026-03-26 01:30:00+00:00
ARBUSDT,0.52,1.0833,0.48,2026-03-26 01:35:00+00:00
ARBUSDT,0.5194,1.0807,0.4806,2026-03-26 01:40:00+00:00
ARBUSDT,0.5196,1.0816,0.4804,2026-03-26 01:45:00+00:00
ARBUSDT,0.5198,1.0825,0.4802,2026-03-26 01:50:00+00:00
ARBUSDT,0.5196,1.0816,0.4804,2026-03-26 01:55:00+00:00
ARBUSDT,0.5197,1.082,0.4803,2026-03-26 02:00:00+00:00
