buySellRatio,sellVol,buyVol,timestamp
1.3134,526735.7,691824.0,2026-03-25 22:35:00+00:00
1.6409,788258.2,1293473.5,2026-03-25 22:40:00+00:00
1.5257,199519.6,304411.7,2026-03-25 22:45:00+00:00
0.8342,352024.3,293666.0,2026-03-25 22:50:00+00:00
0.8503,131799.0,112063.5,2026-03-25 22:55:00+00:00
0.2328,100330.8,23356.6,2026-03-25 23:00:00+00:00
0.8713,193789.9,168852.6,2026-03-25 23:05:00+00:00
0.8406,185392.4,155846.4,2026-03-25 23:10:00+00:00
0.4721,218411.0,103117.2,2026-03-25 23:15:00+00:00
1.5797,247122.5,390375.4,2026-03-25 23:20:00+00:00
2.1883,225206.2,492810.5,2026-03-25 23:25:00+00:00
0.374,655033.4,244982.9,2026-03-25 23:30:00+00:00
1.8995,138191.6,262489.2,2026-03-25 23:35:00+00:00
2.004,234708.5,470359.9,2026-03-25 23:40:00+00:00
0.4541,281304.9,127728.2,2026-03-25 23:45:00+00:00
26.6402,29775.6,793227.1,2026-03-25 23:50:00+00:00
0.6927,19832.7,13738.9,2026-03-25 23:55:00+00:00
0.9583,250866.4,240394.1,2026-03-26 00:00:00+00:00
0.3622,339988.9,123156.9,2026-03-26 00:05:00+00:00
0.4719,205285.5,96883.9,2026-03-26 00:10:00+00:00
0.3525,269800.2,95107.5,2026-03-26 00:15:00+00:00
0.4286,401788.0,172210.2,2026-03-26 00:20:00+00:00
0.5579,506191.9,282419.9,2026-03-26 00:25:00+00:00
0.6181,175028.2,108183.4,2026-03-26 00:30:00+00:00
3.7457,121738.7,455992.6,2026-03-26 00:35:00+00:00
0.4232,417443.9,176670.2,2026-03-26 00:40:00+00:00
0.2415,358669.7,86629.8,2026-03-26 00:45:00+00:00
0.2974,592340.4,176150.7,2026-03-26 00:50:00+00:00
1.1142,371844.0,414310.9,2026-03-26 00:55:00+00:00
1.9207,577421.0,1109069.7,2026-03-26 01:00:00+00:00
0.6685,880581.6,588674.9,2026-03-26 01:05:00+00:00
1.5455,336030.1,519321.2,2026-03-26 01:10:00+00:00
0.1821,674181.0,122762.3,2026-03-26 01:15:00+00:00
0.8205,218946.8,179656.6,2026-03-26 01:20:00+00:00
1.6737,1433285.6,2398883.6,2026-03-26 01:25:00+00:00
1.818,8343686.4,15168669.4,2026-03-26 01:30:00+00:00
12.3214,88617.7,1091892.9,2026-03-26 01:35:00+00:00
0.9636,535019.0,515556.8,2026-03-26 01:40:00+00:00
0.9428,242145.4,228299.6,2026-03-26 01:45:00+00:00
1.8731,270475.0,506617.2,2026-03-26 01:50:00+00:00
0.0542,305794.9,16568.7,2026-03-26 01:55:00+00:00
2.7879,119653.2,333586.0,2026-03-26 02:00:00+00:00
0.3189,809498.1,258110.4,2026-03-26 02:05:00+00:00
3.4275,143554.8,492032.0,2026-03-26 02:10:00+00:00
0.4119,464399.3,191303.7,2026-03-26 02:15:00+00:00
0.7608,2516428.9,1914546.2,2026-03-26 02:20:00+00:00
8.6866,370327.7,3216885.4,2026-03-26 02:25:00+00:00
1.2716,1078152.3,1370930.5,2026-03-26 02:30:00+00:00
0.7703,1222966.7,942104.0,2026-03-26 02:35:00+00:00
1.0986,238483.9,261994.5,2026-03-26 02:40:00+00:00
1.5391,431925.1,664794.1,2026-03-26 02:45:00+00:00
0.772,135346.1,104480.7,2026-03-26 02:50:00+00:00
0.9571,240375.6,230069.3,2026-03-26 02:55:00+00:00
0.2189,546771.8,119678.1,2026-03-26 03:00:00+00:00
0.3241,814200.7,263857.6,2026-03-26 03:05:00+00:00
0.6747,958434.0,646688.7,2026-03-26 03:10:00+00:00
0.1125,915409.4,102973.0,2026-03-26 03:15:00+00:00
0.3107,1205027.1,374417.9,2026-03-26 03:20:00+00:00
0.9955,1098627.3,1093708.1,2026-03-26 03:25:00+00:00
0.9384,375609.7,352458.5,2026-03-26 03:30:00+00:00
2.8613,123771.9,354148.7,2026-03-26 03:35:00+00:00
0.1497,943706.9,141269.5,2026-03-26 03:40:00+00:00
0.6105,398441.0,243265.0,2026-03-26 03:45:00+00:00
8.0645,34720.4,280001.0,2026-03-26 03:50:00+00:00
1.2383,442254.8,547624.7,2026-03-26 03:55:00+00:00
0.5651,650270.0,367439.5,2026-03-26 04:00:00+00:00
0.7513,221658.4,166531.9,2026-03-26 04:05:00+00:00
0.8127,1089151.6,885130.0,2026-03-26 04:10:00+00:00
1.4289,5356139.5,7653238.8,2026-03-26 04:15:00+00:00
0.2813,1930345.6,543083.1,2026-03-26 04:20:00+00:00
0.7065,367033.7,259292.9,2026-03-26 04:25:00+00:00
0.8873,511279.1,453648.0,2026-03-26 04:30:00+00:00
1.7578,214093.1,376341.4,2026-03-26 04:35:00+00:00
0.4545,618450.5,281089.6,2026-03-26 04:40:00+00:00
1.2187,193588.0,235930.7,2026-03-26 04:45:00+00:00
0.9174,488422.8,448092.8,2026-03-26 04:50:00+00:00
1.2923,598289.9,773159.9,2026-03-26 04:55:00+00:00
0.8741,537036.4,469427.2,2026-03-26 05:00:00+00:00
0.2839,5585527.3,1585919.4,2026-03-26 05:05:00+00:00
0.793,1702507.7,1350146.6,2026-03-26 05:10:00+00:00
1.7651,206340.5,364209.5,2026-03-26 05:15:00+00:00
1.1576,323644.4,374647.0,2026-03-26 05:20:00+00:00
0.7985,585176.9,467266.5,2026-03-26 05:25:00+00:00
0.5484,346420.6,189975.6,2026-03-26 05:30:00+00:00
0.7108,205924.1,146375.8,2026-03-26 05:35:00+00:00
0.389,1504489.6,585305.7,2026-03-26 05:40:00+00:00
1.1018,1080845.4,1190862.7,2026-03-26 05:45:00+00:00
0.5122,1406765.3,720534.9,2026-03-26 05:50:00+00:00
0.8456,1213668.5,1026269.9,2026-03-26 05:55:00+00:00
0.8771,1815430.1,1592324.2,2026-03-26 06:00:00+00:00
0.9618,452657.7,435360.1,2026-03-26 06:05:00+00:00
1.6565,535400.1,886877.5,2026-03-26 06:10:00+00:00
0.3742,859401.7,321591.9,2026-03-26 06:15:00+00:00
0.1451,907703.1,131676.5,2026-03-26 06:20:00+00:00
0.5958,1491315.1,888567.1,2026-03-26 06:25:00+00:00
0.9273,1026279.3,951630.1,2026-03-26 06:30:00+00:00
1.0584,490083.8,518708.0,2026-03-26 06:35:00+00:00
2.2309,183523.5,409422.1,2026-03-26 06:40:00+00:00
0.1735,654652.7,113573.0,2026-03-26 06:45:00+00:00
1.5437,444599.0,686331.3,2026-03-26 06:50:00+00:00
0.5839,826765.9,482713.7,2026-03-26 06:55:00+00:00
1.274,760186.9,968457.2,2026-03-26 07:00:00+00:00
0.5526,1183062.5,653728.7,2026-03-26 07:05:00+00:00
0.4037,513412.9,207280.6,2026-03-26 07:10:00+00:00
0.463,237173.6,109815.1,2026-03-26 07:15:00+00:00
0.79,1257166.9,993215.6,2026-03-26 07:20:00+00:00
0.2513,542188.5,136268.6,2026-03-26 07:25:00+00:00
1.3338,384672.8,513087.9,2026-03-26 07:30:00+00:00
0.6159,739460.6,455406.5,2026-03-26 07:35:00+00:00
0.7052,911185.7,642528.1,2026-03-26 07:40:00+00:00
2.586,81733.8,211360.9,2026-03-26 07:45:00+00:00
1.7006,484278.3,823570.5,2026-03-26 07:50:00+00:00
0.6467,739623.6,478321.7,2026-03-26 07:55:00+00:00
0.8978,535231.1,480538.3,2026-03-26 08:00:00+00:00
0.4118,740655.8,305032.1,2026-03-26 08:05:00+00:00
1.0367,526719.1,546028.1,2026-03-26 08:10:00+00:00
0.3647,1393168.4,508091.2,2026-03-26 08:15:00+00:00
0.7347,1634065.0,1200501.5,2026-03-26 08:20:00+00:00
0.7449,952282.6,709338.8,2026-03-26 08:25:00+00:00
2.123,256573.1,544708.7,2026-03-26 08:30:00+00:00
0.472,553570.1,261300.2,2026-03-26 08:35:00+00:00
1.5753,579189.4,912392.2,2026-03-26 08:40:00+00:00
0.7736,1064031.0,823121.0,2026-03-26 08:45:00+00:00
0.2829,491030.8,138898.2,2026-03-26 08:50:00+00:00
0.5623,354382.9,199282.8,2026-03-26 08:55:00+00:00
0.9523,610823.8,581686.6,2026-03-26 09:00:00+00:00
1.7501,349395.4,611490.1,2026-03-26 09:05:00+00:00
0.8328,660244.5,549868.9,2026-03-26 09:10:00+00:00
0.1967,740595.1,145640.9,2026-03-26 09:15:00+00:00
0.1997,574847.9,114797.0,2026-03-26 09:20:00+00:00
0.4957,491518.7,243630.6,2026-03-26 09:25:00+00:00
0.6324,8128951.3,5140801.2,2026-03-26 09:30:00+00:00
2.8011,2589208.9,7252656.8,2026-03-26 09:35:00+00:00
0.9259,1205218.7,1115972.2,2026-03-26 09:40:00+00:00
0.269,1086903.3,292398.3,2026-03-26 09:45:00+00:00
1.1936,585521.1,698874.9,2026-03-26 09:50:00+00:00
0.894,340310.4,304226.2,2026-03-26 09:55:00+00:00
0.7058,736141.1,519598.0,2026-03-26 10:00:00+00:00
1.0142,735382.7,745849.3,2026-03-26 10:05:00+00:00
1.7689,358278.2,633743.2,2026-03-26 10:10:00+00:00
8.954,89773.0,803831.4,2026-03-26 10:15:00+00:00
0.4247,746500.1,317069.6,2026-03-26 10:20:00+00:00
1.2942,374847.1,485132.6,2026-03-26 10:25:00+00:00
0.7211,1414967.5,1020314.4,2026-03-26 10:30:00+00:00
0.801,610851.3,489308.3,2026-03-26 10:35:00+00:00
0.9192,311116.3,285971.1,2026-03-26 10:40:00+00:00
3.3732,242931.1,819445.7,2026-03-26 10:45:00+00:00
0.6298,218701.2,137728.0,2026-03-26 10:50:00+00:00
0.486,83138.7,40401.6,2026-03-26 10:55:00+00:00
1.4637,711998.7,1042161.5,2026-03-26 11:00:00+00:00
1.2254,1029753.2,1261896.7,2026-03-26 11:05:00+00:00
1.1179,1100146.1,1229843.5,2026-03-26 11:10:00+00:00
0.8208,969069.1,795379.8,2026-03-26 11:15:00+00:00
0.5076,1632161.2,828510.9,2026-03-26 11:20:00+00:00
0.8974,799636.6,717602.5,2026-03-26 11:25:00+00:00
0.4874,931479.1,453988.6,2026-03-26 11:30:00+00:00
1.0498,223169.7,234286.3,2026-03-26 11:35:00+00:00
0.4434,318734.9,141341.4,2026-03-26 11:40:00+00:00
