symbol,longAccount,longShortRatio,shortAccount,timestamp
ARBUSDT,0.5312,1.1332,0.4688,2026-03-13 17:00:00+00:00
ARBUSDT,0.5308,1.1313,0.4692,2026-03-13 18:00:00+00:00
ARBUSDT,0.5312,1.133,0.4688,2026-03-13 19:00:00+00:00
ARBUSDT,0.5308,1.1311,0.4692,2026-03-13 20:00:00+00:00
ARBUSDT,0.5319,1.1363,0.4681,2026-03-13 21:00:00+00:00
ARBUSDT,0.533,1.1413,0.467,2026-03-13 22:00:00+00:00
ARBUSDT,0.5338,1.1451,0.4662,2026-03-13 23:00:00+00:00
ARBUSDT,0.5327,1.14,0.4673,2026-03-14 00:00:00+00:00
ARBUSDT,0.5326,1.1396,0.4674,2026-03-14 01:00:00+00:00
ARBUSDT,0.5316,1.135,0.4684,2026-03-14 02:00:00+00:00
ARBUSDT,0.5257,1.1085,0.4743,2026-03-14 03:00:00+00:00
ARBUSDT,0.5244,1.1028,0.4756,2026-03-14 04:00:00+00:00
ARBUSDT,0.5318,1.136,0.4682,2026-03-14 05:00:00+00:00
ARBUSDT,0.5306,1.1304,0.4694,2026-03-14 06:00:00+00:00
ARBUSDT,0.5197,1.0819,0.4803,2026-03-14 07:00:00+00:00
ARBUSDT,0.5218,1.0911,0.4782,2026-03-14 08:00:00+00:00
ARBUSDT,0.5245,1.1028,0.4755,2026-03-14 09:00:00+00:00
ARBUSDT,0.5193,1.0804,0.4807,2026-03-14 10:00:00+00:00
ARBUSDT,0.5231,1.0968,0.4769,2026-03-14 11:00:00+00:00
ARBUSDT,0.5212,1.0887,0.4788,2026-03-14 12:00:00+00:00
ARBUSDT,0.5218,1.091,0.4782,2026-03-14 13:00:00+00:00
ARBUSDT,0.5224,1.094,0.4776,2026-03-14 14:00:00+00:00
ARBUSDT,0.5245,1.1031,0.4755,2026-03-14 15:00:00+00:00
ARBUSDT,0.5297,1.1264,0.4703,2026-03-14 16:00:00+00:00
ARBUSDT,0.527,1.1143,0.473,2026-03-14 17:00:00+00:00
ARBUSDT,0.5254,1.1072,0.4746,2026-03-14 18:00:00+00:00
ARBUSDT,0.5254,1.1072,0.4746,2026-03-14 19:00:00+00:00
ARBUSDT,0.5258,1.109,0.4742,2026-03-14 20:00:00+00:00
ARBUSDT,0.5247,1.1039,0.4753,2026-03-14 21:00:00+00:00
ARBUSDT,0.5246,1.1034,0.4754,2026-03-14 22:00:00+00:00
ARBUSDT,0.5235,1.0987,0.4765,2026-03-14 23:00:00+00:00
ARBUSDT,0.5126,1.0518,0.4874,2026-03-15 00:00:00+00:00
ARBUSDT,0.5159,1.0656,0.4841,2026-03-15 01:00:00+00:00
ARBUSDT,0.5167,1.0692,0.4833,2026-03-15 02:00:00+00:00
ARBUSDT,0.5119,1.0487,0.4881,2026-03-15 03:00:00+00:00
ARBUSDT,0.5129,1.0532,0.4871,2026-03-15 04:00:00+00:00
ARBUSDT,0.512,1.0492,0.488,2026-03-15 05:00:00+00:00
ARBUSDT,0.5151,1.0623,0.4849,2026-03-15 06:00:00+00:00
ARBUSDT,0.5134,1.0552,0.4866,2026-03-15 07:00:00+00:00
ARBUSDT,0.514,1.0577,0.486,2026-03-15 08:00:00+00:00
ARBUSDT,0.5139,1.0571,0.4861,2026-03-15 09:00:00+00:00
ARBUSDT,0.5136,1.0559,0.4864,2026-03-15 10:00:00+00:00
