symbol,longAccount,longShortRatio,shortAccount,timestamp
ARBUSDT,0.5226,1.0946,0.4774,2026-03-25 22:40:00+00:00
ARBUSDT,0.5228,1.0955,0.4772,2026-03-25 22:45:00+00:00
ARBUSDT,0.5226,1.0949,0.4774,2026-03-25 22:50:00+00:00
ARBUSDT,0.5227,1.0949,0.4773,2026-03-25 22:55:00+00:00
ARBUSDT,0.5226,1.0946,0.4774,2026-03-25 23:00:00+00:00
ARBUSDT,0.5226,1.0946,0.4774,2026-03-25 23:05:00+00:00
ARBUSDT,0.5225,1.0944,0.4775,2026-03-25 23:10:00+00:00
ARBUSDT,0.5225,1.0942,0.4775,2026-03-25 23:15:00+00:00
ARBUSDT,0.5228,1.0957,0.4772,2026-03-25 23:20:00+00:00
ARBUSDT,0.5226,1.0949,0.4774,2026-03-25 23:25:00+00:00
ARBUSDT,0.5229,1.0962,0.4771,2026-03-25 23:30:00+00:00
ARBUSDT,0.523,1.0965,0.477,2026-03-25 23:35:00+00:00
ARBUSDT,0.5231,1.0968,0.4769,2026-03-25 23:40:00+00:00
ARBUSDT,0.523,1.0966,0.477,2026-03-25 23:45:00+00:00
ARBUSDT,0.5228,1.0958,0.4772,2026-03-25 23:50:00+00:00
ARBUSDT,0.5218,1.0912,0.4782,2026-03-25 23:55:00+00:00
ARBUSDT,0.5218,1.0911,0.4782,2026-03-26 00:00:00+00:00
ARBUSDT,0.5215,1.09,0.4785,2026-03-26 00:05:00+00:00
ARBUSDT,0.5213,1.0889,0.4787,2026-03-26 00:10:00+00:00
ARBUSDT,0.5209,1.0874,0.4791,2026-03-26 00:15:00+00:00
ARBUSDT,0.5211,1.088,0.4789,2026-03-26 00:20:00+00:00
ARBUSDT,0.521,1.0876,0.479,2026-03-26 00:25:00+00:00
ARBUSDT,0.5205,1.0854,0.4795,2026-03-26 00:30:00+00:00
ARBUSDT,0.5209,1.0875,0.4791,2026-03-26 00:35:00+00:00
ARBUSDT,0.5212,1.0886,0.4788,2026-03-26 00:40:00+00:00
ARBUSDT,0.5207,1.0865,0.4793,2026-03-26 00:45:00+00:00
ARBUSDT,0.5208,1.0867,0.4792,2026-03-26 00:50:00+00:00
ARBUSDT,0.521,1.0876,0.479,2026-03-26 00:55:00+00:00
ARBUSDT,0.5204,1.0852,0.4796,2026-03-26 01:00:00+00:00
ARBUSDT,0.5205,1.0854,0.4795,2026-03-26 01:05:00+00:00
ARBUSDT,0.5193,1.0801,0.4807,2026-03-26 01:10:00+00:00
ARBUSDT,0.5185,1.0768,0.4815,2026-03-26 01:15:00+00:00
ARBUSDT,0.5188,1.0779,0.4812,2026-03-26 01:20:00+00:00
ARBUSDT,0.5189,1.0787,0.4811,2026-03-26 01:25:00+00:00
ARBUSDT,0.5221,1.0924,0.4779,2026-03-26 01:30:00+00:00
ARBUSDT,0.5094,1.0384,0.4906,2026-03-26 01:35:00+00:00
ARBUSDT,0.5093,1.0378,0.4907,2026-03-26 01:40:00+00:00
ARBUSDT,0.5088,1.0357,0.4912,2026-03-26 01:45:00+00:00
ARBUSDT,0.5087,1.0354,0.4913,2026-03-26 01:50:00+00:00
ARBUSDT,0.5093,1.0379,0.4907,2026-03-26 01:55:00+00:00
ARBUSDT,0.5096,1.039,0.4904,2026-03-26 02:00:00+00:00
ARBUSDT,0.5091,1.0372,0.4909,2026-03-26 02:05:00+00:00
ARBUSDT,0.5099,1.0406,0.4901,2026-03-26 02:10:00+00:00
ARBUSDT,0.5098,1.0399,0.4902,2026-03-26 02:15:00+00:00
ARBUSDT,0.5103,1.0419,0.4897,2026-03-26 02:20:00+00:00
ARBUSDT,0.5119,1.0489,0.4881,2026-03-26 02:25:00+00:00
ARBUSDT,0.5139,1.0572,0.4861,2026-03-26 02:30:00+00:00
ARBUSDT,0.5122,1.0498,0.4878,2026-03-26 02:35:00+00:00
ARBUSDT,0.5127,1.0521,0.4873,2026-03-26 02:40:00+00:00
ARBUSDT,0.5126,1.0518,0.4874,2026-03-26 02:45:00+00:00
ARBUSDT,0.5121,1.0496,0.4879,2026-03-26 02:50:00+00:00
ARBUSDT,0.512,1.0493,0.488,2026-03-26 02:55:00+00:00
ARBUSDT,0.5117,1.0477,0.4883,2026-03-26 03:00:00+00:00
ARBUSDT,0.5118,1.0482,0.4882,2026-03-26 03:05:00+00:00
ARBUSDT,0.5114,1.0468,0.4886,2026-03-26 03:10:00+00:00
ARBUSDT,0.511,1.0449,0.489,2026-03-26 03:15:00+00:00
ARBUSDT,0.5118,1.0484,0.4882,2026-03-26 03:20:00+00:00
ARBUSDT,0.5109,1.0447,0.4891,2026-03-26 03:25:00+00:00
ARBUSDT,0.5112,1.0457,0.4888,2026-03-26 03:30:00+00:00
ARBUSDT,0.511,1.0452,0.489,2026-03-26 03:35:00+00:00
ARBUSDT,0.511,1.045,0.489,2026-03-26 03:40:00+00:00
ARBUSDT,0.5114,1.0466,0.4886,2026-03-26 03:45:00+00:00
ARBUSDT,0.5116,1.0473,0.4884,2026-03-26 03:50:00+00:00
ARBUSDT,0.5117,1.0481,0.4883,2026-03-26 03:55:00+00:00
ARBUSDT,0.5112,1.0457,0.4888,2026-03-26 04:00:00+00:00
ARBUSDT,0.5113,1.0461,0.4887,2026-03-26 04:05:00+00:00
ARBUSDT,0.5112,1.046,0.4888,2026-03-26 04:10:00+00:00
ARBUSDT,0.5127,1.0522,0.4873,2026-03-26 04:15:00+00:00
ARBUSDT,0.5182,1.0754,0.4818,2026-03-26 04:20:00+00:00
ARBUSDT,0.5165,1.0682,0.4835,2026-03-26 04:25:00+00:00
ARBUSDT,0.5167,1.0689,0.4833,2026-03-26 04:30:00+00:00
ARBUSDT,0.5172,1.0712,0.4828,2026-03-26 04:35:00+00:00
ARBUSDT,0.5172,1.0713,0.4828,2026-03-26 04:40:00+00:00
ARBUSDT,0.5178,1.074,0.4822,2026-03-26 04:45:00+00:00
ARBUSDT,0.5178,1.0738,0.4822,2026-03-26 04:50:00+00:00
ARBUSDT,0.518,1.0745,0.482,2026-03-26 04:55:00+00:00
ARBUSDT,0.518,1.0747,0.482,2026-03-26 05:00:00+00:00
ARBUSDT,0.5179,1.0742,0.4821,2026-03-26 05:05:00+00:00
ARBUSDT,0.5103,1.0421,0.4897,2026-03-26 05:10:00+00:00
ARBUSDT,0.5116,1.0475,0.4884,2026-03-26 05:15:00+00:00
ARBUSDT,0.5119,1.0488,0.4881,2026-03-26 05:20:00+00:00
ARBUSDT,0.5118,1.0485,0.4882,2026-03-26 05:25:00+00:00
ARBUSDT,0.512,1.0491,0.488,2026-03-26 05:30:00+00:00
ARBUSDT,0.5121,1.0497,0.4879,2026-03-26 05:35:00+00:00
ARBUSDT,0.5121,1.0498,0.4879,2026-03-26 05:40:00+00:00
ARBUSDT,0.5121,1.0496,0.4879,2026-03-26 05:45:00+00:00
ARBUSDT,0.514,1.0577,0.486,2026-03-26 05:50:00+00:00
ARBUSDT,0.5159,1.0657,0.4841,2026-03-26 05:55:00+00:00
ARBUSDT,0.5139,1.0572,0.4861,2026-03-26 06:00:00+00:00
ARBUSDT,0.514,1.0574,0.486,2026-03-26 06:05:00+00:00
ARBUSDT,0.514,1.0575,0.486,2026-03-26 06:10:00+00:00
ARBUSDT,0.5142,1.0585,0.4858,2026-03-26 06:15:00+00:00
ARBUSDT,0.5138,1.0566,0.4862,2026-03-26 06:20:00+00:00
ARBUSDT,0.5133,1.0546,0.4867,2026-03-26 06:25:00+00:00
ARBUSDT,0.5144,1.0592,0.4856,2026-03-26 06:30:00+00:00
ARBUSDT,0.5148,1.0612,0.4852,2026-03-26 06:35:00+00:00
ARBUSDT,0.5151,1.0621,0.4849,2026-03-26 06:40:00+00:00
ARBUSDT,0.5154,1.0636,0.4846,2026-03-26 06:45:00+00:00
ARBUSDT,0.5148,1.061,0.4852,2026-03-26 06:50:00+00:00
ARBUSDT,0.5146,1.06,0.4854,2026-03-26 06:55:00+00:00
ARBUSDT,0.5158,1.0653,0.4842,2026-03-26 07:00:00+00:00
ARBUSDT,0.5155,1.0639,0.4845,2026-03-26 07:05:00+00:00
ARBUSDT,0.5159,1.0657,0.4841,2026-03-26 07:10:00+00:00
ARBUSDT,0.5163,1.0672,0.4837,2026-03-26 07:15:00+00:00
ARBUSDT,0.5162,1.067,0.4838,2026-03-26 07:20:00+00:00
ARBUSDT,0.5173,1.0718,0.4827,2026-03-26 07:25:00+00:00
ARBUSDT,0.517,1.0705,0.483,2026-03-26 07:30:00+00:00
ARBUSDT,0.5169,1.0701,0.4831,2026-03-26 07:35:00+00:00
ARBUSDT,0.5172,1.0714,0.4828,2026-03-26 07:40:00+00:00
ARBUSDT,0.5175,1.0724,0.4825,2026-03-26 07:45:00+00:00
ARBUSDT,0.5175,1.0727,0.4825,2026-03-26 07:50:00+00:00
ARBUSDT,0.5189,1.0786,0.4811,2026-03-26 07:55:00+00:00
ARBUSDT,0.5187,1.0775,0.4813,2026-03-26 08:00:00+00:00
ARBUSDT,0.5181,1.075,0.4819,2026-03-26 08:05:00+00:00
ARBUSDT,0.518,1.0748,0.482,2026-03-26 08:10:00+00:00
ARBUSDT,0.5177,1.0734,0.4823,2026-03-26 08:15:00+00:00
ARBUSDT,0.5174,1.072,0.4826,2026-03-26 08:20:00+00:00
ARBUSDT,0.5166,1.0686,0.4834,2026-03-26 08:25:00+00:00
ARBUSDT,0.5168,1.0694,0.4832,2026-03-26 08:30:00+00:00
ARBUSDT,0.5164,1.068,0.4836,2026-03-26 08:35:00+00:00
ARBUSDT,0.5168,1.0694,0.4832,2026-03-26 08:40:00+00:00
ARBUSDT,0.5165,1.0684,0.4835,2026-03-26 08:45:00+00:00
ARBUSDT,0.517,1.0702,0.483,2026-03-26 08:50:00+00:00
ARBUSDT,0.517,1.0704,0.483,2026-03-26 08:55:00+00:00
ARBUSDT,0.5173,1.0716,0.4827,2026-03-26 09:00:00+00:00
ARBUSDT,0.5171,1.0707,0.4829,2026-03-26 09:05:00+00:00
ARBUSDT,0.5183,1.0758,0.4817,2026-03-26 09:10:00+00:00
ARBUSDT,0.5187,1.0777,0.4813,2026-03-26 09:15:00+00:00
ARBUSDT,0.5181,1.0751,0.4819,2026-03-26 09:20:00+00:00
ARBUSDT,0.5172,1.0712,0.4828,2026-03-26 09:25:00+00:00
