symbol,longAccount,longShortRatio,shortAccount,timestamp
AVAXUSDT,0.69,2.2258,0.31,2026-03-13 17:00:00+00:00
AVAXUSDT,0.6932,2.2595,0.3068,2026-03-13 18:00:00+00:00
AVAXUSDT,0.6939,2.2669,0.3061,2026-03-13 19:00:00+00:00
AVAXUSDT,0.6929,2.2563,0.3071,2026-03-13 20:00:00+00:00
AVAXUSDT,0.691,2.2362,0.309,2026-03-13 21:00:00+00:00
AVAXUSDT,0.6899,2.2248,0.3101,2026-03-13 22:00:00+00:00
AVAXUSDT,0.6917,2.2436,0.3083,2026-03-13 23:00:00+00:00
AVAXUSDT,0.692,2.2468,0.308,2026-03-14 00:00:00+00:00
AVAXUSDT,0.6928,2.2552,0.3072,2026-03-14 01:00:00+00:00
AVAXUSDT,0.6933,2.2605,0.3067,2026-03-14 02:00:00+00:00
AVAXUSDT,0.6936,2.2637,0.3064,2026-03-14 03:00:00+00:00
AVAXUSDT,0.693,2.2573,0.307,2026-03-14 04:00:00+00:00
AVAXUSDT,0.6955,2.2841,0.3045,2026-03-14 05:00:00+00:00
AVAXUSDT,0.6904,2.23,0.3096,2026-03-14 06:00:00+00:00
AVAXUSDT,0.6903,2.2289,0.3097,2026-03-14 07:00:00+00:00
AVAXUSDT,0.6888,2.2134,0.3112,2026-03-14 08:00:00+00:00
AVAXUSDT,0.6852,2.1766,0.3148,2026-03-14 09:00:00+00:00
AVAXUSDT,0.6849,2.1736,0.3151,2026-03-14 10:00:00+00:00
AVAXUSDT,0.6816,2.1407,0.3184,2026-03-14 11:00:00+00:00
AVAXUSDT,0.6828,2.1526,0.3172,2026-03-14 12:00:00+00:00
AVAXUSDT,0.6797,2.1221,0.3203,2026-03-14 13:00:00+00:00
AVAXUSDT,0.6818,2.1427,0.3182,2026-03-14 14:00:00+00:00
AVAXUSDT,0.6799,2.124,0.3201,2026-03-14 15:00:00+00:00
AVAXUSDT,0.6807,2.1319,0.3193,2026-03-14 16:00:00+00:00
AVAXUSDT,0.6804,2.1289,0.3196,2026-03-14 17:00:00+00:00
AVAXUSDT,0.6837,2.1616,0.3163,2026-03-14 18:00:00+00:00
AVAXUSDT,0.683,2.1546,0.317,2026-03-14 19:00:00+00:00
AVAXUSDT,0.6804,2.1289,0.3196,2026-03-14 20:00:00+00:00
AVAXUSDT,0.6786,2.1114,0.3214,2026-03-14 21:00:00+00:00
AVAXUSDT,0.6785,2.1104,0.3215,2026-03-14 22:00:00+00:00
AVAXUSDT,0.6795,2.1201,0.3205,2026-03-14 23:00:00+00:00
AVAXUSDT,0.6803,2.1279,0.3197,2026-03-15 00:00:00+00:00
AVAXUSDT,0.6807,2.1319,0.3193,2026-03-15 01:00:00+00:00
AVAXUSDT,0.6832,2.1566,0.3168,2026-03-15 02:00:00+00:00
AVAXUSDT,0.6715,2.0441,0.3285,2026-03-15 03:00:00+00:00
AVAXUSDT,0.6741,2.0684,0.3259,2026-03-15 04:00:00+00:00
AVAXUSDT,0.6723,2.0516,0.3277,2026-03-15 05:00:00+00:00
AVAXUSDT,0.671,2.0395,0.329,2026-03-15 06:00:00+00:00
AVAXUSDT,0.6701,2.0312,0.3299,2026-03-15 07:00:00+00:00
AVAXUSDT,0.6716,2.0451,0.3284,2026-03-15 08:00:00+00:00
AVAXUSDT,0.6695,2.0257,0.3305,2026-03-15 09:00:00+00:00
AVAXUSDT,0.6676,2.0084,0.3324,2026-03-15 10:00:00+00:00
AVAXUSDT,0.6681,2.013,0.3319,2026-03-15 11:00:00+00:00
AVAXUSDT,0.6675,2.0075,0.3325,2026-03-15 12:00:00+00:00
AVAXUSDT,0.668,2.012,0.332,2026-03-15 13:00:00+00:00
AVAXUSDT,0.6693,2.0239,0.3307,2026-03-15 14:00:00+00:00
AVAXUSDT,0.6723,2.0516,0.3277,2026-03-15 15:00:00+00:00
AVAXUSDT,0.6727,2.0553,0.3273,2026-03-15 16:00:00+00:00
AVAXUSDT,0.672,2.0488,0.328,2026-03-15 17:00:00+00:00
AVAXUSDT,0.67,2.0303,0.33,2026-03-15 18:00:00+00:00
AVAXUSDT,0.674,2.0675,0.326,2026-03-15 19:00:00+00:00
