symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
AVAXUSDT,8658688.0,85654744.35582463,431771961.17721190,2026-03-13 17:00:00+00:00
AVAXUSDT,8539754.0,83302636.2937397,431771961.17721190,2026-03-13 18:00:00+00:00
AVAXUSDT,8500483.0,83143921.68763015,431771961.17721190,2026-03-13 19:00:00+00:00
AVAXUSDT,8507704.0,83094744.968,431771961.17721190,2026-03-13 20:00:00+00:00
AVAXUSDT,8499923.0,83193454.59334894,431771961.17721190,2026-03-13 21:00:00+00:00
AVAXUSDT,8507428.0,83006974.996,431771961.17721190,2026-03-13 22:00:00+00:00
AVAXUSDT,8431763.0,81821828.152,431771961.17721190,2026-03-13 23:00:00+00:00
AVAXUSDT,8425311.0,81851896.365,431771961.17721190,2026-03-14 00:00:00+00:00
AVAXUSDT,8412908.0,81334345.78229016,431771961.17721190,2026-03-14 01:00:00+00:00
AVAXUSDT,8441571.0,81866355.558,431771961.17721190,2026-03-14 02:00:00+00:00
AVAXUSDT,8460603.0,82122429.63443743,431771961.17721190,2026-03-14 03:00:00+00:00
AVAXUSDT,8474451.0,82498393.2025893,431771961.17721190,2026-03-14 04:00:00+00:00
AVAXUSDT,8448116.0,82014310.128,431771961.17721190,2026-03-14 05:00:00+00:00
AVAXUSDT,8429655.0,81481045.23,431771961.17721190,2026-03-14 06:00:00+00:00
AVAXUSDT,8313024.0,79949022.53322048,431771961.17721190,2026-03-14 07:00:00+00:00
AVAXUSDT,8294869.0,79539498.841,431771961.17721190,2026-03-14 08:00:00+00:00
AVAXUSDT,8313790.0,79737559.89,431771961.17721190,2026-03-14 09:00:00+00:00
AVAXUSDT,8302529.0,79314059.537,431771961.17721190,2026-03-14 10:00:00+00:00
AVAXUSDT,8208682.0,78351869.69,431771961.17721190,2026-03-14 11:00:00+00:00
AVAXUSDT,8251153.0,78929148.02494168,431771961.17721190,2026-03-14 12:00:00+00:00
AVAXUSDT,8225091.0,78615419.778,431771961.17721190,2026-03-14 13:00:00+00:00
AVAXUSDT,8232123.0,78732024.372,431771961.17721190,2026-03-14 14:00:00+00:00
AVAXUSDT,8205193.0,78334977.571,431771961.17721190,2026-03-14 15:00:00+00:00
AVAXUSDT,8188920.0,78256212.0103224,431771961.17721190,2026-03-14 16:00:00+00:00
AVAXUSDT,8207173.0,78788860.8,431771961.17721190,2026-03-14 17:00:00+00:00
AVAXUSDT,8196757.0,78475751.518,431771961.17721190,2026-03-14 18:00:00+00:00
AVAXUSDT,8195459.0,78381369.876,431771961.17721190,2026-03-14 19:00:00+00:00
AVAXUSDT,8182095.0,78286284.96,431771961.17721190,2026-03-14 20:00:00+00:00
AVAXUSDT,8159111.0,78172605.51003778,431771961.17721190,2026-03-14 21:00:00+00:00
AVAXUSDT,8173867.0,78526340.269,431771961.17721190,2026-03-14 22:00:00+00:00
AVAXUSDT,8196778.0,78869397.916,431771961.17721190,2026-03-14 23:00:00+00:00
AVAXUSDT,8246673.0,80227287.06560478,431771961.17721190,2026-03-15 00:00:00+00:00
AVAXUSDT,8204496.0,79480231.02246672,431771961.17721190,2026-03-15 01:00:00+00:00
AVAXUSDT,8162027.0,79235982.10081135,431771961.17721190,2026-03-15 02:00:00+00:00
AVAXUSDT,8155552.0,79769640.4663632,431771961.17721190,2026-03-15 03:00:00+00:00
AVAXUSDT,8130869.0,78975553.56480537,431771961.17721190,2026-03-15 04:00:00+00:00
AVAXUSDT,8108261.0,78724713.67390847,431771961.17721190,2026-03-15 05:00:00+00:00
AVAXUSDT,8090755.0,78548840.94870055,431771961.17721190,2026-03-15 06:00:00+00:00
AVAXUSDT,8086710.0,78437267.8894683,431771961.17721190,2026-03-15 07:00:00+00:00
AVAXUSDT,8090524.0,78566130.19277672,431771961.17721190,2026-03-15 08:00:00+00:00
AVAXUSDT,8126813.0,79480231.14,431771961.17721190,2026-03-15 09:00:00+00:00
AVAXUSDT,8169088.0,79909598.59811328,431771961.17721190,2026-03-15 10:00:00+00:00
AVAXUSDT,8198122.0,80341595.6,431771961.17721190,2026-03-15 11:00:00+00:00
AVAXUSDT,8200093.0,80344511.214,431771961.17721190,2026-03-15 12:00:00+00:00
AVAXUSDT,8214164.0,80782805.84181865,431771961.17721190,2026-03-15 13:00:00+00:00
AVAXUSDT,8159787.0,79590333.51597466,431771961.17721190,2026-03-15 14:00:00+00:00
AVAXUSDT,8154654.0,79499721.846,431771961.17721190,2026-03-15 15:00:00+00:00
AVAXUSDT,8143026.0,79075580.82811663,431771961.17721190,2026-03-15 16:00:00+00:00
AVAXUSDT,8126577.0,78835923.477,431771961.17721190,2026-03-15 17:00:00+00:00
AVAXUSDT,8132592.0,79429368.6417504,431771961.17721190,2026-03-15 18:00:00+00:00
AVAXUSDT,8075594.0,78233581.35150851,431771961.17721190,2026-03-15 19:00:00+00:00
AVAXUSDT,8046595.0,78526720.605,431771961.17721190,2026-03-15 20:00:00+00:00
AVAXUSDT,8046884.0,78787041.244,431771961.17721190,2026-03-15 21:00:00+00:00
AVAXUSDT,8073318.0,79402711.3219065,431771961.17721190,2026-03-15 22:00:00+00:00
AVAXUSDT,8129531.0,81051424.07,431771961.17721190,2026-03-15 23:00:00+00:00
AVAXUSDT,8217842.0,81745040.26843752,431771961.17721190,2026-03-16 00:00:00+00:00
AVAXUSDT,8248730.0,81942883.82,431771961.17721190,2026-03-16 01:00:00+00:00
AVAXUSDT,8254088.0,82542759.37329672,431771961.17721190,2026-03-16 02:00:00+00:00
AVAXUSDT,8256409.0,82250346.458,431771961.17721190,2026-03-16 03:00:00+00:00
AVAXUSDT,8526434.0,87523845.01,431771961.17721190,2026-03-16 04:00:00+00:00
AVAXUSDT,8590209.0,89515696.71164174,431771961.17721190,2026-03-16 05:00:00+00:00
AVAXUSDT,8591689.0,90071932.01049642,431771961.17721190,2026-03-16 06:00:00+00:00
AVAXUSDT,8578470.0,89285458.0550091,431771961.17721190,2026-03-16 07:00:00+00:00
AVAXUSDT,8616285.0,89307794.025,431771961.17721190,2026-03-16 08:00:00+00:00
AVAXUSDT,8547234.0,87566412.33,431771961.17721190,2026-03-16 09:00:00+00:00
AVAXUSDT,8654520.0,88916538.48,431771961.17721190,2026-03-16 10:00:00+00:00
AVAXUSDT,8669439.0,89000460.774,431771961.17721190,2026-03-16 11:00:00+00:00
AVAXUSDT,8666117.0,88434891.98462556,431771961.17721190,2026-03-16 12:00:00+00:00
AVAXUSDT,8617348.0,87678810.65594237,431771961.17721190,2026-03-16 13:00:00+00:00
AVAXUSDT,8585787.0,87454826.382,431771961.17721190,2026-03-16 14:00:00+00:00
AVAXUSDT,8539446.0,86572903.548,431771961.17721190,2026-03-16 15:00:00+00:00
AVAXUSDT,8453060.0,85133393.8793338,431771961.17721190,2026-03-16 16:00:00+00:00
AVAXUSDT,8457227.0,86572438.8601307,431771961.17721190,2026-03-16 17:00:00+00:00
AVAXUSDT,8456019.0,86634992.30767524,431771961.17721190,2026-03-16 18:00:00+00:00
AVAXUSDT,8525197.0,87272441.689,431771961.17721190,2026-03-16 19:00:00+00:00
AVAXUSDT,8535149.0,87655980.23,431771961.17721190,2026-03-16 20:00:00+00:00
AVAXUSDT,8548485.0,88313541.03646965,431771961.17721190,2026-03-16 21:00:00+00:00
AVAXUSDT,8491959.0,88097441.81058387,431771961.17721190,2026-03-16 22:00:00+00:00
AVAXUSDT,8544698.0,89659516.114,431771961.17721190,2026-03-16 23:00:00+00:00
AVAXUSDT,8609075.0,90250354.9276455,431771961.17721190,2026-03-17 00:00:00+00:00
AVAXUSDT,8587982.0,90201912.5947004,431771961.17721190,2026-03-17 01:00:00+00:00
AVAXUSDT,8532732.0,89545744.50394872,431771961.17721190,2026-03-17 02:00:00+00:00
AVAXUSDT,8564466.0,89633130.87410875,431771961.17721190,2026-03-17 03:00:00+00:00
AVAXUSDT,8504332.0,87987891.88796832,431771961.17721190,2026-03-17 04:00:00+00:00
AVAXUSDT,8508193.0,87511909.99438903,431771961.17721190,2026-03-17 05:00:00+00:00
AVAXUSDT,8523807.0,87573593.118,431771961.17721190,2026-03-17 06:00:00+00:00
AVAXUSDT,8563988.0,88106308.544,431771961.17721190,2026-03-17 07:00:00+00:00
AVAXUSDT,8546343.0,88081980.69558147,431771961.17721190,2026-03-17 08:00:00+00:00
AVAXUSDT,8553975.0,88035964.05578025,431771961.17721190,2026-03-17 09:00:00+00:00
AVAXUSDT,8582577.0,88117318.059,431771961.17721190,2026-03-17 10:00:00+00:00
AVAXUSDT,8401896.0,86195051.064,431771961.17721190,2026-03-17 11:00:00+00:00
AVAXUSDT,8569803.0,87891899.568,431771961.17721190,2026-03-17 12:00:00+00:00
AVAXUSDT,8536181.0,87359276.354,431771961.17721190,2026-03-17 13:00:00+00:00
