buySellRatio,sellVol,buyVol,timestamp
0.8802,506128.0,445519.0,2026-03-13 16:00:00+00:00
0.5539,597107.0,330720.0,2026-03-13 17:00:00+00:00
0.8419,283931.0,239028.0,2026-03-13 18:00:00+00:00
0.8603,213849.0,183983.0,2026-03-13 19:00:00+00:00
0.8088,176079.0,142405.0,2026-03-13 20:00:00+00:00
0.7314,179054.0,130962.0,2026-03-13 21:00:00+00:00
0.8449,344064.0,290716.0,2026-03-13 22:00:00+00:00
1.0164,93026.0,94549.0,2026-03-13 23:00:00+00:00
0.6262,267430.0,167461.0,2026-03-14 00:00:00+00:00
1.1092,203014.0,225186.0,2026-03-14 01:00:00+00:00
1.2267,111385.0,136633.0,2026-03-14 02:00:00+00:00
1.1461,133174.0,152634.0,2026-03-14 03:00:00+00:00
0.8067,232720.0,187727.0,2026-03-14 04:00:00+00:00
0.778,210182.0,163519.0,2026-03-14 05:00:00+00:00
0.8732,417103.0,364205.0,2026-03-14 06:00:00+00:00
0.7228,156482.0,113098.0,2026-03-14 07:00:00+00:00
0.913,158229.0,144464.0,2026-03-14 08:00:00+00:00
0.4822,232180.0,111955.0,2026-03-14 09:00:00+00:00
0.743,455490.0,338424.0,2026-03-14 10:00:00+00:00
1.7521,131580.0,230539.0,2026-03-14 11:00:00+00:00
0.9488,168319.0,159698.0,2026-03-14 12:00:00+00:00
1.1091,150488.0,166899.0,2026-03-14 13:00:00+00:00
0.6192,151442.0,93772.0,2026-03-14 14:00:00+00:00
0.9804,104964.0,102906.0,2026-03-14 15:00:00+00:00
1.6482,118347.0,195062.0,2026-03-14 16:00:00+00:00
0.6129,108330.0,66398.0,2026-03-14 17:00:00+00:00
0.9265,100102.0,92745.0,2026-03-14 18:00:00+00:00
1.2225,60373.0,73809.0,2026-03-14 19:00:00+00:00
1.7957,75679.0,135895.0,2026-03-14 20:00:00+00:00
1.3297,88803.0,118078.0,2026-03-14 21:00:00+00:00
1.3789,127448.0,175741.0,2026-03-14 22:00:00+00:00
1.9633,227965.0,447568.0,2026-03-14 23:00:00+00:00
0.6167,290249.0,178997.0,2026-03-15 00:00:00+00:00
0.9259,166147.0,153828.0,2026-03-15 01:00:00+00:00
1.1713,277041.0,324498.0,2026-03-15 02:00:00+00:00
0.6843,267560.0,183078.0,2026-03-15 03:00:00+00:00
0.9548,165561.0,158083.0,2026-03-15 04:00:00+00:00
1.3461,172779.0,232585.0,2026-03-15 05:00:00+00:00
0.943,167163.0,157630.0,2026-03-15 06:00:00+00:00
1.2709,96535.0,122690.0,2026-03-15 07:00:00+00:00
1.765,114882.0,202771.0,2026-03-15 08:00:00+00:00
1.1687,303900.0,355166.0,2026-03-15 09:00:00+00:00
0.8229,150663.0,123984.0,2026-03-15 10:00:00+00:00
1.0645,100214.0,106678.0,2026-03-15 11:00:00+00:00
1.0718,184900.0,198168.0,2026-03-15 12:00:00+00:00
0.8351,357966.0,298927.0,2026-03-15 13:00:00+00:00
0.82,207228.0,169919.0,2026-03-15 14:00:00+00:00
0.9522,100188.0,95395.0,2026-03-15 15:00:00+00:00
0.8861,219331.0,194347.0,2026-03-15 16:00:00+00:00
1.1255,227984.0,256606.0,2026-03-15 17:00:00+00:00
0.6079,301072.0,183031.0,2026-03-15 18:00:00+00:00
1.5979,153926.0,245959.0,2026-03-15 19:00:00+00:00
0.9487,253855.0,240820.0,2026-03-15 20:00:00+00:00
1.0971,228646.0,250837.0,2026-03-15 21:00:00+00:00
1.2504,600112.0,750374.0,2026-03-15 22:00:00+00:00
0.8475,581154.0,492537.0,2026-03-15 23:00:00+00:00
1.0311,322959.0,332993.0,2026-03-16 00:00:00+00:00
1.489,209378.0,311765.0,2026-03-16 01:00:00+00:00
0.8321,238557.0,198505.0,2026-03-16 02:00:00+00:00
1.3526,1321596.0,1787543.0,2026-03-16 03:00:00+00:00
1.3599,581705.0,791042.0,2026-03-16 04:00:00+00:00
1.124,537756.0,604413.0,2026-03-16 05:00:00+00:00
1.0751,322605.0,346845.0,2026-03-16 06:00:00+00:00
0.9129,369841.0,337622.0,2026-03-16 07:00:00+00:00
0.7212,753177.0,543223.0,2026-03-16 08:00:00+00:00
1.0708,313764.0,335982.0,2026-03-16 09:00:00+00:00
0.9218,281321.0,259329.0,2026-03-16 10:00:00+00:00
0.8243,254576.0,209835.0,2026-03-16 11:00:00+00:00
0.8243,567098.0,467436.0,2026-03-16 12:00:00+00:00
1.1374,589254.0,670226.0,2026-03-16 13:00:00+00:00
0.7601,968743.0,736376.0,2026-03-16 14:00:00+00:00
0.7081,591670.0,418936.0,2026-03-16 15:00:00+00:00
1.2784,339534.0,434047.0,2026-03-16 16:00:00+00:00
0.7955,294338.0,234139.0,2026-03-16 17:00:00+00:00
0.7284,446857.0,325493.0,2026-03-16 18:00:00+00:00
1.0633,353473.0,375850.0,2026-03-16 19:00:00+00:00
1.3493,204015.0,275270.0,2026-03-16 20:00:00+00:00
0.7895,467532.0,369139.0,2026-03-16 21:00:00+00:00
1.3787,341166.0,470364.0,2026-03-16 22:00:00+00:00
0.9733,488873.0,475803.0,2026-03-16 23:00:00+00:00
0.8276,880087.0,728349.0,2026-03-17 00:00:00+00:00
0.7044,534624.0,376604.0,2026-03-17 01:00:00+00:00
1.0104,277379.0,280254.0,2026-03-17 02:00:00+00:00
0.7823,525389.0,411022.0,2026-03-17 03:00:00+00:00
0.8851,361925.0,320354.0,2026-03-17 04:00:00+00:00
0.8575,271431.0,232756.0,2026-03-17 05:00:00+00:00
1.4961,193132.0,288942.0,2026-03-17 06:00:00+00:00
0.7667,214892.0,164768.0,2026-03-17 07:00:00+00:00
0.9107,195374.0,177935.0,2026-03-17 08:00:00+00:00
0.7584,290535.0,220351.0,2026-03-17 09:00:00+00:00
0.6395,482845.0,308777.0,2026-03-17 10:00:00+00:00
0.8029,319897.0,256849.0,2026-03-17 11:00:00+00:00
0.542,403837.0,218873.0,2026-03-17 12:00:00+00:00
1.1273,354412.0,399530.0,2026-03-17 13:00:00+00:00
1.4016,243809.0,341724.0,2026-03-17 14:00:00+00:00
0.7682,412505.0,316881.0,2026-03-17 15:00:00+00:00
1.336,177693.0,237403.0,2026-03-17 16:00:00+00:00
0.7236,178810.0,129386.0,2026-03-17 17:00:00+00:00
0.8555,125779.0,107605.0,2026-03-17 18:00:00+00:00
0.7603,130474.0,99195.0,2026-03-17 19:00:00+00:00
1.1573,96781.0,112003.0,2026-03-17 20:00:00+00:00
1.1547,100474.0,116017.0,2026-03-17 21:00:00+00:00
0.7757,242921.0,188440.0,2026-03-17 22:00:00+00:00
0.6371,334092.0,212845.0,2026-03-17 23:00:00+00:00
0.9261,284790.0,263750.0,2026-03-18 00:00:00+00:00
0.9473,127580.0,120856.0,2026-03-18 01:00:00+00:00
1.3182,141507.0,186533.0,2026-03-18 02:00:00+00:00
1.5299,169880.0,259897.0,2026-03-18 03:00:00+00:00
0.67,181207.0,121406.0,2026-03-18 04:00:00+00:00
1.0684,221255.0,236387.0,2026-03-18 05:00:00+00:00
0.9955,145799.0,145140.0,2026-03-18 06:00:00+00:00
0.7996,144752.0,115749.0,2026-03-18 07:00:00+00:00
0.8992,169125.0,152085.0,2026-03-18 08:00:00+00:00
0.8628,144202.0,124421.0,2026-03-18 09:00:00+00:00
0.4828,327359.0,158053.0,2026-03-18 10:00:00+00:00
