symbol,longAccount,longShortRatio,shortAccount,timestamp
AVAXUSDT,0.6169,1.6105,0.3831,2026-03-13 17:00:00+00:00
AVAXUSDT,0.6231,1.6531,0.3769,2026-03-13 18:00:00+00:00
AVAXUSDT,0.6234,1.6554,0.3766,2026-03-13 19:00:00+00:00
AVAXUSDT,0.6212,1.6402,0.3788,2026-03-13 20:00:00+00:00
AVAXUSDT,0.6224,1.6485,0.3776,2026-03-13 21:00:00+00:00
AVAXUSDT,0.6226,1.6496,0.3774,2026-03-13 22:00:00+00:00
AVAXUSDT,0.6265,1.6775,0.3735,2026-03-13 23:00:00+00:00
AVAXUSDT,0.6251,1.6671,0.3749,2026-03-14 00:00:00+00:00
AVAXUSDT,0.628,1.6885,0.372,2026-03-14 01:00:00+00:00
AVAXUSDT,0.6231,1.6531,0.3769,2026-03-14 02:00:00+00:00
AVAXUSDT,0.6184,1.6202,0.3816,2026-03-14 03:00:00+00:00
AVAXUSDT,0.6163,1.6061,0.3837,2026-03-14 04:00:00+00:00
AVAXUSDT,0.6145,1.5943,0.3855,2026-03-14 05:00:00+00:00
AVAXUSDT,0.6189,1.6242,0.3811,2026-03-14 06:00:00+00:00
AVAXUSDT,0.6192,1.6259,0.3808,2026-03-14 07:00:00+00:00
AVAXUSDT,0.6214,1.6411,0.3786,2026-03-14 08:00:00+00:00
AVAXUSDT,0.6196,1.6288,0.3804,2026-03-14 09:00:00+00:00
AVAXUSDT,0.6206,1.6359,0.3794,2026-03-14 10:00:00+00:00
AVAXUSDT,0.6179,1.6169,0.3821,2026-03-14 11:00:00+00:00
AVAXUSDT,0.6117,1.5751,0.3883,2026-03-14 12:00:00+00:00
AVAXUSDT,0.614,1.5904,0.386,2026-03-14 13:00:00+00:00
AVAXUSDT,0.6099,1.5637,0.3901,2026-03-14 14:00:00+00:00
AVAXUSDT,0.6115,1.5738,0.3885,2026-03-14 15:00:00+00:00
AVAXUSDT,0.6103,1.5661,0.3897,2026-03-14 16:00:00+00:00
AVAXUSDT,0.6058,1.5369,0.3942,2026-03-14 17:00:00+00:00
AVAXUSDT,0.6071,1.5451,0.3929,2026-03-14 18:00:00+00:00
AVAXUSDT,0.6076,1.5482,0.3924,2026-03-14 19:00:00+00:00
AVAXUSDT,0.6069,1.544,0.3931,2026-03-14 20:00:00+00:00
AVAXUSDT,0.6047,1.5297,0.3953,2026-03-14 21:00:00+00:00
AVAXUSDT,0.6012,1.5074,0.3988,2026-03-14 22:00:00+00:00
AVAXUSDT,0.5972,1.4828,0.4028,2026-03-14 23:00:00+00:00
AVAXUSDT,0.5953,1.471,0.4047,2026-03-15 00:00:00+00:00
AVAXUSDT,0.5952,1.4706,0.4048,2026-03-15 01:00:00+00:00
AVAXUSDT,0.5926,1.4545,0.4074,2026-03-15 02:00:00+00:00
AVAXUSDT,0.5892,1.4343,0.4108,2026-03-15 03:00:00+00:00
AVAXUSDT,0.596,1.4755,0.404,2026-03-15 04:00:00+00:00
AVAXUSDT,0.5986,1.4916,0.4014,2026-03-15 05:00:00+00:00
AVAXUSDT,0.6028,1.5179,0.3972,2026-03-15 06:00:00+00:00
AVAXUSDT,0.6023,1.5144,0.3977,2026-03-15 07:00:00+00:00
AVAXUSDT,0.6014,1.5086,0.3986,2026-03-15 08:00:00+00:00
AVAXUSDT,0.5952,1.4706,0.4048,2026-03-15 09:00:00+00:00
AVAXUSDT,0.5945,1.4663,0.4055,2026-03-15 10:00:00+00:00
AVAXUSDT,0.596,1.4755,0.404,2026-03-15 11:00:00+00:00
AVAXUSDT,0.5958,1.4737,0.4042,2026-03-15 12:00:00+00:00
AVAXUSDT,0.5931,1.4579,0.4069,2026-03-15 13:00:00+00:00
AVAXUSDT,0.5983,1.4897,0.4017,2026-03-15 14:00:00+00:00
AVAXUSDT,0.5975,1.4843,0.4025,2026-03-15 15:00:00+00:00
AVAXUSDT,0.6006,1.5037,0.3994,2026-03-15 16:00:00+00:00
AVAXUSDT,0.6016,1.5098,0.3984,2026-03-15 17:00:00+00:00
AVAXUSDT,0.5999,1.4992,0.4001,2026-03-15 18:00:00+00:00
AVAXUSDT,0.605,1.5318,0.395,2026-03-15 19:00:00+00:00
AVAXUSDT,0.6019,1.5121,0.3981,2026-03-15 20:00:00+00:00
AVAXUSDT,0.6029,1.5181,0.3971,2026-03-15 21:00:00+00:00
