symbol,longAccount,longShortRatio,shortAccount,timestamp
AVAXUSDT,0.5941,1.4636,0.4059,2026-03-25 22:40:00+00:00
AVAXUSDT,0.5943,1.4648,0.4057,2026-03-25 22:45:00+00:00
AVAXUSDT,0.5941,1.4636,0.4059,2026-03-25 22:50:00+00:00
AVAXUSDT,0.5943,1.465,0.4057,2026-03-25 22:55:00+00:00
AVAXUSDT,0.5951,1.4695,0.4049,2026-03-25 23:00:00+00:00
AVAXUSDT,0.5955,1.4723,0.4045,2026-03-25 23:05:00+00:00
AVAXUSDT,0.5955,1.4721,0.4045,2026-03-25 23:10:00+00:00
AVAXUSDT,0.5955,1.4721,0.4045,2026-03-25 23:15:00+00:00
AVAXUSDT,0.5957,1.4737,0.4043,2026-03-25 23:20:00+00:00
AVAXUSDT,0.5954,1.4717,0.4046,2026-03-25 23:25:00+00:00
AVAXUSDT,0.5954,1.4716,0.4046,2026-03-25 23:30:00+00:00
AVAXUSDT,0.5957,1.4732,0.4043,2026-03-25 23:35:00+00:00
AVAXUSDT,0.596,1.4755,0.404,2026-03-25 23:40:00+00:00
AVAXUSDT,0.5968,1.4799,0.4032,2026-03-25 23:45:00+00:00
AVAXUSDT,0.5966,1.4792,0.4034,2026-03-25 23:50:00+00:00
AVAXUSDT,0.596,1.4751,0.404,2026-03-25 23:55:00+00:00
AVAXUSDT,0.5958,1.4739,0.4042,2026-03-26 00:00:00+00:00
AVAXUSDT,0.5964,1.478,0.4036,2026-03-26 00:05:00+00:00
AVAXUSDT,0.5951,1.4697,0.4049,2026-03-26 00:10:00+00:00
AVAXUSDT,0.5944,1.4653,0.4056,2026-03-26 00:15:00+00:00
AVAXUSDT,0.5944,1.4655,0.4056,2026-03-26 00:20:00+00:00
AVAXUSDT,0.5941,1.4634,0.4059,2026-03-26 00:25:00+00:00
AVAXUSDT,0.594,1.4632,0.406,2026-03-26 00:30:00+00:00
AVAXUSDT,0.5948,1.4676,0.4052,2026-03-26 00:35:00+00:00
AVAXUSDT,0.5949,1.4683,0.4051,2026-03-26 00:40:00+00:00
AVAXUSDT,0.5947,1.4675,0.4053,2026-03-26 00:45:00+00:00
AVAXUSDT,0.5945,1.4659,0.4055,2026-03-26 00:50:00+00:00
AVAXUSDT,0.5954,1.4716,0.4046,2026-03-26 00:55:00+00:00
AVAXUSDT,0.5965,1.4784,0.4035,2026-03-26 01:00:00+00:00
AVAXUSDT,0.595,1.469,0.405,2026-03-26 01:05:00+00:00
AVAXUSDT,0.5949,1.4685,0.4051,2026-03-26 01:10:00+00:00
AVAXUSDT,0.5954,1.4718,0.4046,2026-03-26 01:15:00+00:00
AVAXUSDT,0.5958,1.4741,0.4042,2026-03-26 01:20:00+00:00
AVAXUSDT,0.5957,1.4734,0.4043,2026-03-26 01:25:00+00:00
AVAXUSDT,0.5957,1.4735,0.4043,2026-03-26 01:30:00+00:00
AVAXUSDT,0.5947,1.4675,0.4053,2026-03-26 01:35:00+00:00
AVAXUSDT,0.5944,1.4655,0.4056,2026-03-26 01:40:00+00:00
AVAXUSDT,0.594,1.4631,0.406,2026-03-26 01:45:00+00:00
AVAXUSDT,0.5934,1.4595,0.4066,2026-03-26 01:50:00+00:00
AVAXUSDT,0.5929,1.4566,0.4071,2026-03-26 01:55:00+00:00
AVAXUSDT,0.5933,1.459,0.4067,2026-03-26 02:00:00+00:00
AVAXUSDT,0.5933,1.4591,0.4067,2026-03-26 02:05:00+00:00
AVAXUSDT,0.5943,1.4648,0.4057,2026-03-26 02:10:00+00:00
AVAXUSDT,0.5954,1.4716,0.4046,2026-03-26 02:15:00+00:00
AVAXUSDT,0.5973,1.483,0.4027,2026-03-26 02:20:00+00:00
