symbol,longAccount,longShortRatio,shortAccount,timestamp
BNBUSDT,0.6399,1.777,0.3601,2026-03-13 17:00:00+00:00
BNBUSDT,0.6422,1.7949,0.3578,2026-03-13 18:00:00+00:00
BNBUSDT,0.6475,1.8369,0.3525,2026-03-13 19:00:00+00:00
BNBUSDT,0.6479,1.8401,0.3521,2026-03-13 20:00:00+00:00
BNBUSDT,0.6493,1.8514,0.3507,2026-03-13 21:00:00+00:00
BNBUSDT,0.6492,1.8506,0.3508,2026-03-13 22:00:00+00:00
BNBUSDT,0.6566,1.9121,0.3434,2026-03-13 23:00:00+00:00
BNBUSDT,0.6585,1.9283,0.3415,2026-03-14 00:00:00+00:00
BNBUSDT,0.659,1.9326,0.341,2026-03-14 01:00:00+00:00
BNBUSDT,0.6594,1.936,0.3406,2026-03-14 02:00:00+00:00
BNBUSDT,0.6609,1.949,0.3391,2026-03-14 03:00:00+00:00
BNBUSDT,0.6632,1.9691,0.3368,2026-03-14 04:00:00+00:00
BNBUSDT,0.6648,1.9833,0.3352,2026-03-14 05:00:00+00:00
BNBUSDT,0.6636,1.9727,0.3364,2026-03-14 06:00:00+00:00
BNBUSDT,0.6625,1.963,0.3375,2026-03-14 07:00:00+00:00
BNBUSDT,0.6621,1.9595,0.3379,2026-03-14 08:00:00+00:00
BNBUSDT,0.6636,1.9727,0.3364,2026-03-14 09:00:00+00:00
BNBUSDT,0.6641,1.9771,0.3359,2026-03-14 10:00:00+00:00
BNBUSDT,0.6631,1.9682,0.3369,2026-03-14 11:00:00+00:00
BNBUSDT,0.6657,1.9913,0.3343,2026-03-14 12:00:00+00:00
BNBUSDT,0.6679,2.0111,0.3321,2026-03-14 13:00:00+00:00
BNBUSDT,0.6688,2.0193,0.3312,2026-03-14 14:00:00+00:00
BNBUSDT,0.6757,2.0836,0.3243,2026-03-14 15:00:00+00:00
BNBUSDT,0.6737,2.0647,0.3263,2026-03-14 16:00:00+00:00
BNBUSDT,0.6738,2.0656,0.3262,2026-03-14 17:00:00+00:00
BNBUSDT,0.6748,2.075,0.3252,2026-03-14 18:00:00+00:00
BNBUSDT,0.6744,2.0713,0.3256,2026-03-14 19:00:00+00:00
BNBUSDT,0.6747,2.0741,0.3253,2026-03-14 20:00:00+00:00
BNBUSDT,0.6752,2.0788,0.3248,2026-03-14 21:00:00+00:00
BNBUSDT,0.6752,2.0788,0.3248,2026-03-14 22:00:00+00:00
BNBUSDT,0.6741,2.0684,0.3259,2026-03-14 23:00:00+00:00
BNBUSDT,0.6771,2.0969,0.3229,2026-03-15 00:00:00+00:00
BNBUSDT,0.6783,2.1085,0.3217,2026-03-15 01:00:00+00:00
BNBUSDT,0.6791,2.1162,0.3209,2026-03-15 02:00:00+00:00
BNBUSDT,0.6801,2.126,0.3199,2026-03-15 03:00:00+00:00
BNBUSDT,0.6805,2.1299,0.3195,2026-03-15 04:00:00+00:00
BNBUSDT,0.6822,2.1466,0.3178,2026-03-15 05:00:00+00:00
BNBUSDT,0.6824,2.1486,0.3176,2026-03-15 06:00:00+00:00
BNBUSDT,0.6809,2.1338,0.3191,2026-03-15 07:00:00+00:00
BNBUSDT,0.6802,2.127,0.3198,2026-03-15 08:00:00+00:00
BNBUSDT,0.6803,2.1279,0.3197,2026-03-15 09:00:00+00:00
BNBUSDT,0.6754,2.0807,0.3246,2026-03-15 10:00:00+00:00
BNBUSDT,0.6744,2.0713,0.3256,2026-03-15 11:00:00+00:00
BNBUSDT,0.6762,2.0883,0.3238,2026-03-15 12:00:00+00:00
BNBUSDT,0.6756,2.0826,0.3244,2026-03-15 13:00:00+00:00
BNBUSDT,0.6769,2.095,0.3231,2026-03-15 14:00:00+00:00
