symbol,longAccount,longShortRatio,shortAccount,timestamp
BNBUSDT,0.6774,2.0998,0.3226,2026-03-25 22:40:00+00:00
BNBUSDT,0.6769,2.095,0.3231,2026-03-25 22:45:00+00:00
BNBUSDT,0.6772,2.0979,0.3228,2026-03-25 22:50:00+00:00
BNBUSDT,0.6773,2.0989,0.3227,2026-03-25 22:55:00+00:00
BNBUSDT,0.6774,2.0998,0.3226,2026-03-25 23:00:00+00:00
BNBUSDT,0.6775,2.1008,0.3225,2026-03-25 23:05:00+00:00
BNBUSDT,0.6774,2.0998,0.3226,2026-03-25 23:10:00+00:00
BNBUSDT,0.6775,2.1008,0.3225,2026-03-25 23:15:00+00:00
BNBUSDT,0.6777,2.1027,0.3223,2026-03-25 23:20:00+00:00
BNBUSDT,0.6778,2.1037,0.3222,2026-03-25 23:25:00+00:00
BNBUSDT,0.6778,2.1037,0.3222,2026-03-25 23:30:00+00:00
BNBUSDT,0.678,2.1056,0.322,2026-03-25 23:35:00+00:00
BNBUSDT,0.6779,2.1046,0.3221,2026-03-25 23:40:00+00:00
BNBUSDT,0.6785,2.1104,0.3215,2026-03-25 23:45:00+00:00
BNBUSDT,0.6788,2.1133,0.3212,2026-03-25 23:50:00+00:00
BNBUSDT,0.6786,2.1114,0.3214,2026-03-25 23:55:00+00:00
BNBUSDT,0.6788,2.1133,0.3212,2026-03-26 00:00:00+00:00
BNBUSDT,0.6813,2.1377,0.3187,2026-03-26 00:05:00+00:00
BNBUSDT,0.6816,2.1407,0.3184,2026-03-26 00:10:00+00:00
BNBUSDT,0.682,2.1447,0.318,2026-03-26 00:15:00+00:00
BNBUSDT,0.682,2.1447,0.318,2026-03-26 00:20:00+00:00
BNBUSDT,0.6819,2.1437,0.3181,2026-03-26 00:25:00+00:00
BNBUSDT,0.682,2.1447,0.318,2026-03-26 00:30:00+00:00
BNBUSDT,0.6823,2.1476,0.3177,2026-03-26 00:35:00+00:00
BNBUSDT,0.6823,2.1476,0.3177,2026-03-26 00:40:00+00:00
BNBUSDT,0.6825,2.1496,0.3175,2026-03-26 00:45:00+00:00
BNBUSDT,0.6824,2.1486,0.3176,2026-03-26 00:50:00+00:00
BNBUSDT,0.6826,2.1506,0.3174,2026-03-26 00:55:00+00:00
BNBUSDT,0.6829,2.1536,0.3171,2026-03-26 01:00:00+00:00
BNBUSDT,0.6829,2.1536,0.3171,2026-03-26 01:05:00+00:00
BNBUSDT,0.6836,2.1606,0.3164,2026-03-26 01:10:00+00:00
BNBUSDT,0.6835,2.1596,0.3165,2026-03-26 01:15:00+00:00
BNBUSDT,0.6841,2.1656,0.3159,2026-03-26 01:20:00+00:00
BNBUSDT,0.684,2.1646,0.316,2026-03-26 01:25:00+00:00
BNBUSDT,0.684,2.1646,0.316,2026-03-26 01:30:00+00:00
BNBUSDT,0.6842,2.1666,0.3158,2026-03-26 01:35:00+00:00
BNBUSDT,0.6842,2.1666,0.3158,2026-03-26 01:40:00+00:00
BNBUSDT,0.6844,2.1686,0.3156,2026-03-26 01:45:00+00:00
BNBUSDT,0.6845,2.1696,0.3155,2026-03-26 01:50:00+00:00
BNBUSDT,0.6847,2.1716,0.3153,2026-03-26 01:55:00+00:00
BNBUSDT,0.6846,2.1706,0.3154,2026-03-26 02:00:00+00:00
BNBUSDT,0.6847,2.1716,0.3153,2026-03-26 02:05:00+00:00
BNBUSDT,0.6848,2.1726,0.3152,2026-03-26 02:10:00+00:00
BNBUSDT,0.6845,2.1696,0.3155,2026-03-26 02:15:00+00:00
BNBUSDT,0.6844,2.1686,0.3156,2026-03-26 02:20:00+00:00
BNBUSDT,0.6847,2.1716,0.3153,2026-03-26 02:25:00+00:00
BNBUSDT,0.6845,2.1696,0.3155,2026-03-26 02:30:00+00:00
BNBUSDT,0.6846,2.1706,0.3154,2026-03-26 02:35:00+00:00
BNBUSDT,0.6849,2.1736,0.3151,2026-03-26 02:40:00+00:00
BNBUSDT,0.685,2.1746,0.315,2026-03-26 02:45:00+00:00
BNBUSDT,0.6853,2.1776,0.3147,2026-03-26 02:50:00+00:00
BNBUSDT,0.6855,2.1797,0.3145,2026-03-26 02:55:00+00:00
BNBUSDT,0.6857,2.1817,0.3143,2026-03-26 03:00:00+00:00
BNBUSDT,0.6858,2.1827,0.3142,2026-03-26 03:05:00+00:00
BNBUSDT,0.6862,2.1867,0.3138,2026-03-26 03:10:00+00:00
BNBUSDT,0.6861,2.1857,0.3139,2026-03-26 03:15:00+00:00
BNBUSDT,0.6864,2.1888,0.3136,2026-03-26 03:20:00+00:00
BNBUSDT,0.6865,2.1898,0.3135,2026-03-26 03:25:00+00:00
BNBUSDT,0.6859,2.1837,0.3141,2026-03-26 03:30:00+00:00
BNBUSDT,0.6861,2.1857,0.3139,2026-03-26 03:35:00+00:00
BNBUSDT,0.6862,2.1867,0.3138,2026-03-26 03:40:00+00:00
BNBUSDT,0.6862,2.1867,0.3138,2026-03-26 03:45:00+00:00
BNBUSDT,0.6862,2.1867,0.3138,2026-03-26 03:50:00+00:00
BNBUSDT,0.6864,2.1888,0.3136,2026-03-26 03:55:00+00:00
BNBUSDT,0.6866,2.1908,0.3134,2026-03-26 04:00:00+00:00
BNBUSDT,0.6871,2.1959,0.3129,2026-03-26 04:05:00+00:00
BNBUSDT,0.6869,2.1939,0.3131,2026-03-26 04:10:00+00:00
BNBUSDT,0.687,2.1949,0.313,2026-03-26 04:15:00+00:00
BNBUSDT,0.687,2.1949,0.313,2026-03-26 04:20:00+00:00
BNBUSDT,0.687,2.1949,0.313,2026-03-26 04:25:00+00:00
BNBUSDT,0.6872,2.1969,0.3128,2026-03-26 04:30:00+00:00
BNBUSDT,0.6874,2.199,0.3126,2026-03-26 04:35:00+00:00
BNBUSDT,0.6877,2.202,0.3123,2026-03-26 04:40:00+00:00
BNBUSDT,0.688,2.2051,0.312,2026-03-26 04:45:00+00:00
BNBUSDT,0.6881,2.2062,0.3119,2026-03-26 04:50:00+00:00
BNBUSDT,0.6883,2.2082,0.3117,2026-03-26 04:55:00+00:00
BNBUSDT,0.6885,2.2103,0.3115,2026-03-26 05:00:00+00:00
BNBUSDT,0.6889,2.2144,0.3111,2026-03-26 05:05:00+00:00
BNBUSDT,0.6899,2.2248,0.3101,2026-03-26 05:10:00+00:00
BNBUSDT,0.692,2.2468,0.308,2026-03-26 05:15:00+00:00
BNBUSDT,0.6922,2.2489,0.3078,2026-03-26 05:20:00+00:00
BNBUSDT,0.6923,2.2499,0.3077,2026-03-26 05:25:00+00:00
BNBUSDT,0.6923,2.2499,0.3077,2026-03-26 05:30:00+00:00
BNBUSDT,0.6926,2.2531,0.3074,2026-03-26 05:35:00+00:00
BNBUSDT,0.6928,2.2552,0.3072,2026-03-26 05:40:00+00:00
BNBUSDT,0.6941,2.269,0.3059,2026-03-26 05:45:00+00:00
BNBUSDT,0.6947,2.2755,0.3053,2026-03-26 05:50:00+00:00
BNBUSDT,0.6955,2.2841,0.3045,2026-03-26 05:55:00+00:00
BNBUSDT,0.6964,2.2938,0.3036,2026-03-26 06:00:00+00:00
BNBUSDT,0.6965,2.2949,0.3035,2026-03-26 06:05:00+00:00
BNBUSDT,0.6984,2.3156,0.3016,2026-03-26 06:10:00+00:00
BNBUSDT,0.6993,2.3256,0.3007,2026-03-26 06:15:00+00:00
BNBUSDT,0.7003,2.3367,0.2997,2026-03-26 06:20:00+00:00
BNBUSDT,0.7005,2.3389,0.2995,2026-03-26 06:25:00+00:00
BNBUSDT,0.7008,2.3422,0.2992,2026-03-26 06:30:00+00:00
BNBUSDT,0.7011,2.3456,0.2989,2026-03-26 06:35:00+00:00
BNBUSDT,0.7001,2.3344,0.2999,2026-03-26 06:40:00+00:00
BNBUSDT,0.7004,2.3378,0.2996,2026-03-26 06:45:00+00:00
BNBUSDT,0.7006,2.34,0.2994,2026-03-26 06:50:00+00:00
BNBUSDT,0.7013,2.3478,0.2987,2026-03-26 06:55:00+00:00
BNBUSDT,0.7018,2.3535,0.2982,2026-03-26 07:00:00+00:00
BNBUSDT,0.7023,2.3591,0.2977,2026-03-26 07:05:00+00:00
BNBUSDT,0.7026,2.3625,0.2974,2026-03-26 07:10:00+00:00
BNBUSDT,0.7028,2.3647,0.2972,2026-03-26 07:15:00+00:00
BNBUSDT,0.7026,2.3625,0.2974,2026-03-26 07:20:00+00:00
BNBUSDT,0.7029,2.3659,0.2971,2026-03-26 07:25:00+00:00
BNBUSDT,0.7027,2.3636,0.2973,2026-03-26 07:30:00+00:00
BNBUSDT,0.7022,2.358,0.2978,2026-03-26 07:35:00+00:00
BNBUSDT,0.7028,2.3647,0.2972,2026-03-26 07:40:00+00:00
BNBUSDT,0.7032,2.3693,0.2968,2026-03-26 07:45:00+00:00
BNBUSDT,0.7035,2.3727,0.2965,2026-03-26 07:50:00+00:00
BNBUSDT,0.7039,2.3772,0.2961,2026-03-26 07:55:00+00:00
BNBUSDT,0.7039,2.3772,0.2961,2026-03-26 08:00:00+00:00
BNBUSDT,0.7041,2.3795,0.2959,2026-03-26 08:05:00+00:00
BNBUSDT,0.7042,2.3807,0.2958,2026-03-26 08:10:00+00:00
BNBUSDT,0.7042,2.3807,0.2958,2026-03-26 08:15:00+00:00
BNBUSDT,0.7042,2.3807,0.2958,2026-03-26 08:20:00+00:00
BNBUSDT,0.7037,2.375,0.2963,2026-03-26 08:25:00+00:00
BNBUSDT,0.7035,2.3727,0.2965,2026-03-26 08:30:00+00:00
BNBUSDT,0.7039,2.3772,0.2961,2026-03-26 08:35:00+00:00
BNBUSDT,0.7037,2.375,0.2963,2026-03-26 08:40:00+00:00
BNBUSDT,0.7037,2.375,0.2963,2026-03-26 08:45:00+00:00
BNBUSDT,0.7039,2.3772,0.2961,2026-03-26 08:50:00+00:00
BNBUSDT,0.7041,2.3795,0.2959,2026-03-26 08:55:00+00:00
BNBUSDT,0.7044,2.3829,0.2956,2026-03-26 09:00:00+00:00
BNBUSDT,0.7046,2.3852,0.2954,2026-03-26 09:05:00+00:00
BNBUSDT,0.705,2.3898,0.295,2026-03-26 09:10:00+00:00
BNBUSDT,0.7053,2.3933,0.2947,2026-03-26 09:15:00+00:00
BNBUSDT,0.7046,2.3852,0.2954,2026-03-26 09:20:00+00:00
BNBUSDT,0.7046,2.3852,0.2954,2026-03-26 09:25:00+00:00
BNBUSDT,0.7051,2.391,0.2949,2026-03-26 09:30:00+00:00
BNBUSDT,0.7096,2.4435,0.2904,2026-03-26 09:35:00+00:00
BNBUSDT,0.7104,2.453,0.2896,2026-03-26 09:40:00+00:00
BNBUSDT,0.7106,2.4554,0.2894,2026-03-26 09:45:00+00:00
BNBUSDT,0.71,2.4483,0.29,2026-03-26 09:50:00+00:00
BNBUSDT,0.7103,2.4518,0.2897,2026-03-26 09:55:00+00:00
BNBUSDT,0.7105,2.4542,0.2895,2026-03-26 10:00:00+00:00
BNBUSDT,0.7099,2.4471,0.2901,2026-03-26 10:05:00+00:00
BNBUSDT,0.7102,2.4507,0.2898,2026-03-26 10:10:00+00:00
BNBUSDT,0.7102,2.4507,0.2898,2026-03-26 10:15:00+00:00
BNBUSDT,0.7104,2.453,0.2896,2026-03-26 10:20:00+00:00
BNBUSDT,0.7107,2.4566,0.2893,2026-03-26 10:25:00+00:00
BNBUSDT,0.7098,2.4459,0.2902,2026-03-26 10:30:00+00:00
BNBUSDT,0.71,2.4483,0.29,2026-03-26 10:35:00+00:00
BNBUSDT,0.7102,2.4507,0.2898,2026-03-26 10:40:00+00:00
BNBUSDT,0.7103,2.4518,0.2897,2026-03-26 10:45:00+00:00
BNBUSDT,0.7101,2.4495,0.2899,2026-03-26 10:50:00+00:00
BNBUSDT,0.7103,2.4518,0.2897,2026-03-26 10:55:00+00:00
BNBUSDT,0.7103,2.4518,0.2897,2026-03-26 11:00:00+00:00
BNBUSDT,0.7101,2.4495,0.2899,2026-03-26 11:05:00+00:00
BNBUSDT,0.7104,2.453,0.2896,2026-03-26 11:10:00+00:00
BNBUSDT,0.711,2.4602,0.289,2026-03-26 11:15:00+00:00
BNBUSDT,0.7107,2.4566,0.2893,2026-03-26 11:20:00+00:00
BNBUSDT,0.7108,2.4578,0.2892,2026-03-26 11:25:00+00:00
BNBUSDT,0.7104,2.453,0.2896,2026-03-26 11:30:00+00:00
BNBUSDT,0.71,2.4483,0.29,2026-03-26 11:35:00+00:00
BNBUSDT,0.7101,2.4495,0.2899,2026-03-26 11:40:00+00:00
BNBUSDT,0.71,2.4483,0.29,2026-03-26 11:45:00+00:00
BNBUSDT,0.7099,2.4471,0.2901,2026-03-26 11:50:00+00:00
BNBUSDT,0.7101,2.4495,0.2899,2026-03-26 11:55:00+00:00
BNBUSDT,0.7102,2.4507,0.2898,2026-03-26 12:00:00+00:00
BNBUSDT,0.7105,2.4542,0.2895,2026-03-26 12:05:00+00:00
BNBUSDT,0.7106,2.4554,0.2894,2026-03-26 12:10:00+00:00
BNBUSDT,0.7108,2.4578,0.2892,2026-03-26 12:15:00+00:00
BNBUSDT,0.7108,2.4578,0.2892,2026-03-26 12:20:00+00:00
BNBUSDT,0.7111,2.4614,0.2889,2026-03-26 12:25:00+00:00
BNBUSDT,0.7113,2.4638,0.2887,2026-03-26 12:30:00+00:00
BNBUSDT,0.7116,2.4674,0.2884,2026-03-26 12:35:00+00:00
BNBUSDT,0.7117,2.4686,0.2883,2026-03-26 12:40:00+00:00
BNBUSDT,0.7117,2.4686,0.2883,2026-03-26 12:45:00+00:00
BNBUSDT,0.712,2.4722,0.288,2026-03-26 12:50:00+00:00
BNBUSDT,0.7118,2.4698,0.2882,2026-03-26 12:55:00+00:00
BNBUSDT,0.7123,2.4758,0.2877,2026-03-26 13:00:00+00:00
BNBUSDT,0.7123,2.4758,0.2877,2026-03-26 13:05:00+00:00
BNBUSDT,0.7129,2.4831,0.2871,2026-03-26 13:10:00+00:00
BNBUSDT,0.7135,2.4904,0.2865,2026-03-26 13:15:00+00:00
BNBUSDT,0.7139,2.4953,0.2861,2026-03-26 13:20:00+00:00
BNBUSDT,0.7131,2.4855,0.2869,2026-03-26 13:25:00+00:00
BNBUSDT,0.7132,2.4868,0.2868,2026-03-26 13:30:00+00:00
BNBUSDT,0.7128,2.4819,0.2872,2026-03-26 13:35:00+00:00
BNBUSDT,0.7135,2.4904,0.2865,2026-03-26 13:40:00+00:00
BNBUSDT,0.7137,2.4928,0.2863,2026-03-26 13:45:00+00:00
BNBUSDT,0.7145,2.5026,0.2855,2026-03-26 13:50:00+00:00
BNBUSDT,0.7147,2.5051,0.2853,2026-03-26 13:55:00+00:00
BNBUSDT,0.7151,2.51,0.2849,2026-03-26 14:00:00+00:00
BNBUSDT,0.715,2.5088,0.285,2026-03-26 14:05:00+00:00
BNBUSDT,0.7154,2.5137,0.2846,2026-03-26 14:10:00+00:00
BNBUSDT,0.7156,2.5162,0.2844,2026-03-26 14:15:00+00:00
BNBUSDT,0.7156,2.5162,0.2844,2026-03-26 14:20:00+00:00
BNBUSDT,0.7163,2.5249,0.2837,2026-03-26 14:25:00+00:00
BNBUSDT,0.717,2.5336,0.283,2026-03-26 14:30:00+00:00
BNBUSDT,0.7168,2.5311,0.2832,2026-03-26 14:35:00+00:00
BNBUSDT,0.7175,2.5398,0.2825,2026-03-26 14:40:00+00:00
BNBUSDT,0.7175,2.5398,0.2825,2026-03-26 14:45:00+00:00
BNBUSDT,0.7174,2.5386,0.2826,2026-03-26 14:50:00+00:00
BNBUSDT,0.7175,2.5398,0.2825,2026-03-26 14:55:00+00:00
