symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BNBUSDT,522451.75,345881295.2896023,136358170.48000000,2026-03-13 17:00:00+00:00
BNBUSDT,518248.25,339868047.5766184,136358170.48000000,2026-03-13 18:00:00+00:00
BNBUSDT,517890.11,340191655.4568,136358170.48000000,2026-03-13 19:00:00+00:00
BNBUSDT,517445.62,340083677.2604756,136358170.48000000,2026-03-13 20:00:00+00:00
BNBUSDT,516411.39,339493156.46959656,136358170.48000000,2026-03-13 21:00:00+00:00
BNBUSDT,516505.51,339290086.36257684,136358170.48000000,2026-03-13 22:00:00+00:00
BNBUSDT,517914.35,339570543.5775,136358170.48000000,2026-03-13 23:00:00+00:00
BNBUSDT,517518.81,339406656.6066314,136358170.48000000,2026-03-14 00:00:00+00:00
BNBUSDT,517517.31,338021606.1996,136358170.48000000,2026-03-14 01:00:00+00:00
BNBUSDT,518076.7,340111872.8165907,136358170.48000000,2026-03-14 02:00:00+00:00
BNBUSDT,518494.77,339883133.09746385,136358108.25000000,2026-03-14 03:00:00+00:00
BNBUSDT,517721.35,340080800.388,136358108.25000000,2026-03-14 04:00:00+00:00
BNBUSDT,516845.93,338690004.0594095,136358108.25000000,2026-03-14 05:00:00+00:00
BNBUSDT,516924.58,338900521.63343036,136358108.25000000,2026-03-14 06:00:00+00:00
BNBUSDT,515171.21,336569255.3269795,136358108.25000000,2026-03-14 07:00:00+00:00
BNBUSDT,516559.64,336909595.94866264,136358108.25000000,2026-03-14 08:00:00+00:00
BNBUSDT,516772.34,336940571.6898316,136358108.25000000,2026-03-14 09:00:00+00:00
BNBUSDT,517206.53,336810064.4013,136358108.25000000,2026-03-14 10:00:00+00:00
BNBUSDT,516565.65,336253244.211,136358108.25000000,2026-03-14 11:00:00+00:00
BNBUSDT,515972.05,337174287.0863705,136358108.25000000,2026-03-14 12:00:00+00:00
BNBUSDT,514799.2,336379569.21385837,136358108.25000000,2026-03-14 13:00:00+00:00
BNBUSDT,514684.6,336652113.32279927,136358108.25000000,2026-03-14 14:00:00+00:00
BNBUSDT,514651.89,335712574.3659,136358108.25000000,2026-03-14 15:00:00+00:00
BNBUSDT,514589.17,336240522.17001826,136358108.25000000,2026-03-14 16:00:00+00:00
BNBUSDT,514222.96,336318087.0834473,136358108.25000000,2026-03-14 17:00:00+00:00
BNBUSDT,513674.46,335434559.1246,136358108.25000000,2026-03-14 18:00:00+00:00
BNBUSDT,514666.97,336175318.1343,136358108.25000000,2026-03-14 19:00:00+00:00
BNBUSDT,514145.2,336035019.816,136358108.25000000,2026-03-14 20:00:00+00:00
BNBUSDT,514204.62,336231766.1329472,136358108.25000000,2026-03-14 21:00:00+00:00
BNBUSDT,514648.69,336914764.9085,136358108.25000000,2026-03-14 22:00:00+00:00
BNBUSDT,514952.65,337252789.538,136358108.25000000,2026-03-14 23:00:00+00:00
BNBUSDT,515352.18,338903798.86111134,136358108.25000000,2026-03-15 00:00:00+00:00
BNBUSDT,515488.3,338046506.45765656,136358108.25000000,2026-03-15 01:00:00+00:00
BNBUSDT,515808.74,338052355.2042496,136358108.25000000,2026-03-15 02:00:00+00:00
BNBUSDT,516126.4,340340658.0602432,136358063.13000000,2026-03-15 03:00:00+00:00
BNBUSDT,517204.07,340778640.54186976,136358063.13000000,2026-03-15 04:00:00+00:00
BNBUSDT,516533.34,340534935.0618,136358063.13000000,2026-03-15 05:00:00+00:00
BNBUSDT,516564.37,340627958.9504749,136358063.13000000,2026-03-15 06:00:00+00:00
BNBUSDT,516772.72,340294836.12,136358063.13000000,2026-03-15 07:00:00+00:00
BNBUSDT,516934.93,341154305.4684221,136358063.13000000,2026-03-15 08:00:00+00:00
BNBUSDT,519392.96,344996385.8208,136358063.13000000,2026-03-15 09:00:00+00:00
