buySellRatio,sellVol,buyVol,timestamp
1.126,30235.53,34045.33,2026-03-13 16:00:00+00:00
0.6967,43415.19,30249.22,2026-03-13 17:00:00+00:00
1.1788,13146.16,15496.27,2026-03-13 18:00:00+00:00
1.116,5974.16,6667.29,2026-03-13 19:00:00+00:00
0.8385,7731.29,6482.39,2026-03-13 20:00:00+00:00
0.9624,6311.21,6073.92,2026-03-13 21:00:00+00:00
0.9893,12056.73,11927.96,2026-03-13 22:00:00+00:00
1.1142,6407.62,7139.11,2026-03-13 23:00:00+00:00
0.8628,10250.54,8844.29,2026-03-14 00:00:00+00:00
1.553,5993.69,9308.11,2026-03-14 01:00:00+00:00
1.2249,3873.11,4744.08,2026-03-14 02:00:00+00:00
1.5025,3582.68,5383.14,2026-03-14 03:00:00+00:00
1.1434,5535.05,6329.04,2026-03-14 04:00:00+00:00
0.933,4414.25,4118.37,2026-03-14 05:00:00+00:00
0.8795,10931.68,9614.01,2026-03-14 06:00:00+00:00
1.0495,4578.02,4804.63,2026-03-14 07:00:00+00:00
0.8819,6137.18,5412.62,2026-03-14 08:00:00+00:00
0.7567,4775.01,3613.26,2026-03-14 09:00:00+00:00
0.6501,5552.16,3609.64,2026-03-14 10:00:00+00:00
1.2543,4641.87,5822.13,2026-03-14 11:00:00+00:00
0.939,6521.31,6123.78,2026-03-14 12:00:00+00:00
1.2019,3691.44,4436.62,2026-03-14 13:00:00+00:00
1.0734,6245.85,6704.51,2026-03-14 14:00:00+00:00
1.0459,2860.25,2991.51,2026-03-14 15:00:00+00:00
1.0831,3665.81,3970.5,2026-03-14 16:00:00+00:00
0.9861,2512.98,2478.11,2026-03-14 17:00:00+00:00
0.8063,4490.83,3620.82,2026-03-14 18:00:00+00:00
0.7927,2623.47,2079.52,2026-03-14 19:00:00+00:00
0.9529,2363.71,2252.44,2026-03-14 20:00:00+00:00
1.1106,2104.27,2336.94,2026-03-14 21:00:00+00:00
1.5513,2431.49,3772.07,2026-03-14 22:00:00+00:00
1.0998,7793.05,8570.52,2026-03-14 23:00:00+00:00
