buySellRatio,sellVol,buyVol,timestamp
1.3906,518.82,721.46,2026-03-25 22:35:00+00:00
1.3142,1343.32,1765.45,2026-03-25 22:40:00+00:00
1.0276,343.31,352.79,2026-03-25 22:45:00+00:00
0.4744,419.5,199.02,2026-03-25 22:50:00+00:00
1.1132,178.56,198.77,2026-03-25 22:55:00+00:00
0.927,329.23,305.21,2026-03-25 23:00:00+00:00
0.6733,148.65,100.09,2026-03-25 23:05:00+00:00
1.9329,654.9,1265.84,2026-03-25 23:10:00+00:00
0.6089,327.47,199.39,2026-03-25 23:15:00+00:00
0.8516,262.98,223.96,2026-03-25 23:20:00+00:00
2.0638,205.13,423.35,2026-03-25 23:25:00+00:00
0.9014,312.58,281.77,2026-03-25 23:30:00+00:00
0.9594,309.9,297.31,2026-03-25 23:35:00+00:00
0.8718,332.1,289.54,2026-03-25 23:40:00+00:00
1.3569,306.34,415.68,2026-03-25 23:45:00+00:00
4.5449,77.79,353.55,2026-03-25 23:50:00+00:00
1.5384,98.58,151.66,2026-03-25 23:55:00+00:00
2.0935,779.07,1631.0,2026-03-26 00:00:00+00:00
0.8529,525.58,448.28,2026-03-26 00:05:00+00:00
0.7302,569.67,415.96,2026-03-26 00:10:00+00:00
1.157,452.18,523.15,2026-03-26 00:15:00+00:00
1.2868,222.04,285.72,2026-03-26 00:20:00+00:00
0.775,187.21,145.09,2026-03-26 00:25:00+00:00
0.5118,365.84,187.23,2026-03-26 00:30:00+00:00
1.231,201.56,248.13,2026-03-26 00:35:00+00:00
1.159,328.17,380.35,2026-03-26 00:40:00+00:00
1.1908,332.89,396.42,2026-03-26 00:45:00+00:00
0.6716,501.28,336.68,2026-03-26 00:50:00+00:00
0.7737,455.45,352.37,2026-03-26 00:55:00+00:00
1.161,360.76,418.84,2026-03-26 01:00:00+00:00
0.4355,453.5,197.5,2026-03-26 01:05:00+00:00
1.243,181.75,225.92,2026-03-26 01:10:00+00:00
0.9361,549.5,514.39,2026-03-26 01:15:00+00:00
2.2702,107.21,243.39,2026-03-26 01:20:00+00:00
1.803,226.16,407.77,2026-03-26 01:25:00+00:00
1.1277,288.54,325.39,2026-03-26 01:30:00+00:00
0.9318,313.18,291.83,2026-03-26 01:35:00+00:00
0.4513,423.49,191.11,2026-03-26 01:40:00+00:00
0.6053,357.77,216.55,2026-03-26 01:45:00+00:00
0.6031,342.83,206.76,2026-03-26 01:50:00+00:00
0.587,210.71,123.69,2026-03-26 01:55:00+00:00
0.9076,227.03,206.06,2026-03-26 02:00:00+00:00
0.7317,931.43,681.56,2026-03-26 02:05:00+00:00
0.8874,421.2,373.76,2026-03-26 02:10:00+00:00
1.4073,734.7,1033.96,2026-03-26 02:15:00+00:00
0.8373,625.5,523.76,2026-03-26 02:20:00+00:00
0.9158,309.32,283.29,2026-03-26 02:25:00+00:00
0.6058,2034.23,1232.29,2026-03-26 02:30:00+00:00
0.9965,1032.23,1028.66,2026-03-26 02:35:00+00:00
1.3978,361.93,505.91,2026-03-26 02:40:00+00:00
1.508,246.06,371.06,2026-03-26 02:45:00+00:00
0.9788,198.89,194.68,2026-03-26 02:50:00+00:00
0.8722,300.08,261.72,2026-03-26 02:55:00+00:00
0.6649,1156.61,768.99,2026-03-26 03:00:00+00:00
1.1062,694.26,768.0,2026-03-26 03:05:00+00:00
1.9557,466.67,912.67,2026-03-26 03:10:00+00:00
0.4082,680.9,277.95,2026-03-26 03:15:00+00:00
1.1582,1447.96,1676.99,2026-03-26 03:20:00+00:00
2.6701,751.08,2005.49,2026-03-26 03:25:00+00:00
1.1309,455.31,514.9,2026-03-26 03:30:00+00:00
2.7464,256.82,705.34,2026-03-26 03:35:00+00:00
1.3916,228.4,317.84,2026-03-26 03:40:00+00:00
2.6766,176.73,473.04,2026-03-26 03:45:00+00:00
0.7229,489.98,354.19,2026-03-26 03:50:00+00:00
0.6262,479.03,299.97,2026-03-26 03:55:00+00:00
0.308,1543.58,475.4,2026-03-26 04:00:00+00:00
0.4506,1110.83,500.53,2026-03-26 04:05:00+00:00
0.7755,705.32,547.0,2026-03-26 04:10:00+00:00
0.4518,521.24,235.52,2026-03-26 04:15:00+00:00
1.3159,181.21,238.46,2026-03-26 04:20:00+00:00
2.4424,194.65,475.42,2026-03-26 04:25:00+00:00
1.8622,242.65,451.87,2026-03-26 04:30:00+00:00
3.2346,184.62,597.17,2026-03-26 04:35:00+00:00
0.4819,770.84,371.43,2026-03-26 04:40:00+00:00
0.843,309.96,261.31,2026-03-26 04:45:00+00:00
0.3927,390.66,153.43,2026-03-26 04:50:00+00:00
1.2814,262.4,336.25,2026-03-26 04:55:00+00:00
1.1278,281.48,317.45,2026-03-26 05:00:00+00:00
0.3895,1983.62,772.62,2026-03-26 05:05:00+00:00
