symbol,longAccount,longShortRatio,shortAccount,timestamp
BNBUSDT,0.5029,1.0119,0.4971,2026-03-13 17:00:00+00:00
BNBUSDT,0.4987,0.9948,0.5013,2026-03-13 18:00:00+00:00
BNBUSDT,0.4996,0.9985,0.5004,2026-03-13 19:00:00+00:00
BNBUSDT,0.4989,0.9957,0.5011,2026-03-13 20:00:00+00:00
BNBUSDT,0.4983,0.9931,0.5017,2026-03-13 21:00:00+00:00
BNBUSDT,0.4992,0.9967,0.5008,2026-03-13 22:00:00+00:00
BNBUSDT,0.5027,1.0107,0.4973,2026-03-13 23:00:00+00:00
BNBUSDT,0.5016,1.0065,0.4984,2026-03-14 00:00:00+00:00
BNBUSDT,0.5038,1.0152,0.4962,2026-03-14 01:00:00+00:00
BNBUSDT,0.503,1.0119,0.497,2026-03-14 02:00:00+00:00
BNBUSDT,0.5022,1.0089,0.4978,2026-03-14 03:00:00+00:00
BNBUSDT,0.5021,1.0085,0.4979,2026-03-14 04:00:00+00:00
BNBUSDT,0.503,1.0122,0.497,2026-03-14 05:00:00+00:00
BNBUSDT,0.5032,1.013,0.4968,2026-03-14 06:00:00+00:00
BNBUSDT,0.5043,1.0173,0.4957,2026-03-14 07:00:00+00:00
BNBUSDT,0.5046,1.0187,0.4954,2026-03-14 08:00:00+00:00
BNBUSDT,0.5033,1.0133,0.4967,2026-03-14 09:00:00+00:00
BNBUSDT,0.5036,1.0145,0.4964,2026-03-14 10:00:00+00:00
BNBUSDT,0.5042,1.0171,0.4958,2026-03-14 11:00:00+00:00
BNBUSDT,0.5033,1.0132,0.4967,2026-03-14 12:00:00+00:00
BNBUSDT,0.5015,1.0059,0.4985,2026-03-14 13:00:00+00:00
BNBUSDT,0.5006,1.0023,0.4994,2026-03-14 14:00:00+00:00
BNBUSDT,0.5007,1.0027,0.4993,2026-03-14 15:00:00+00:00
BNBUSDT,0.5,1.0002,0.5,2026-03-14 16:00:00+00:00
BNBUSDT,0.4999,0.9995,0.5001,2026-03-14 17:00:00+00:00
BNBUSDT,0.4999,0.9995,0.5001,2026-03-14 18:00:00+00:00
BNBUSDT,0.5001,1.0005,0.4999,2026-03-14 19:00:00+00:00
BNBUSDT,0.499,0.9962,0.501,2026-03-14 20:00:00+00:00
BNBUSDT,0.4983,0.9933,0.5017,2026-03-14 21:00:00+00:00
BNBUSDT,0.4986,0.9943,0.5014,2026-03-14 22:00:00+00:00
BNBUSDT,0.4991,0.9966,0.5009,2026-03-14 23:00:00+00:00
BNBUSDT,0.4978,0.9911,0.5022,2026-03-15 00:00:00+00:00
BNBUSDT,0.4972,0.9888,0.5028,2026-03-15 01:00:00+00:00
BNBUSDT,0.4972,0.9888,0.5028,2026-03-15 02:00:00+00:00
BNBUSDT,0.4975,0.9901,0.5025,2026-03-15 03:00:00+00:00
BNBUSDT,0.499,0.9962,0.501,2026-03-15 04:00:00+00:00
BNBUSDT,0.4981,0.9925,0.5019,2026-03-15 05:00:00+00:00
BNBUSDT,0.4972,0.9888,0.5028,2026-03-15 06:00:00+00:00
BNBUSDT,0.499,0.9961,0.501,2026-03-15 07:00:00+00:00
BNBUSDT,0.4978,0.9911,0.5022,2026-03-15 08:00:00+00:00
BNBUSDT,0.4947,0.979,0.5053,2026-03-15 09:00:00+00:00
BNBUSDT,0.4952,0.9808,0.5048,2026-03-15 10:00:00+00:00
BNBUSDT,0.4959,0.9839,0.5041,2026-03-15 11:00:00+00:00
BNBUSDT,0.4973,0.9891,0.5027,2026-03-15 12:00:00+00:00
BNBUSDT,0.4987,0.995,0.5013,2026-03-15 13:00:00+00:00
BNBUSDT,0.5024,1.0098,0.4976,2026-03-15 14:00:00+00:00
BNBUSDT,0.502,1.0081,0.498,2026-03-15 15:00:00+00:00
BNBUSDT,0.5012,1.005,0.4988,2026-03-15 16:00:00+00:00
BNBUSDT,0.5019,1.0075,0.4981,2026-03-15 17:00:00+00:00
BNBUSDT,0.5021,1.0084,0.4979,2026-03-15 18:00:00+00:00
BNBUSDT,0.5028,1.0112,0.4972,2026-03-15 19:00:00+00:00
BNBUSDT,0.5029,1.0116,0.4971,2026-03-15 20:00:00+00:00
BNBUSDT,0.5065,1.0262,0.4935,2026-03-15 21:00:00+00:00
BNBUSDT,0.5069,1.0279,0.4931,2026-03-15 22:00:00+00:00
BNBUSDT,0.506,1.0244,0.494,2026-03-15 23:00:00+00:00
BNBUSDT,0.5092,1.0375,0.4908,2026-03-16 00:00:00+00:00
BNBUSDT,0.5095,1.0388,0.4905,2026-03-16 01:00:00+00:00
BNBUSDT,0.5072,1.0294,0.4928,2026-03-16 02:00:00+00:00
BNBUSDT,0.5109,1.0444,0.4891,2026-03-16 03:00:00+00:00
BNBUSDT,0.5098,1.0401,0.4902,2026-03-16 04:00:00+00:00
BNBUSDT,0.5107,1.0437,0.4893,2026-03-16 05:00:00+00:00
BNBUSDT,0.5109,1.0446,0.4891,2026-03-16 06:00:00+00:00
BNBUSDT,0.512,1.0492,0.488,2026-03-16 07:00:00+00:00
BNBUSDT,0.5118,1.0485,0.4882,2026-03-16 08:00:00+00:00
BNBUSDT,0.5155,1.0642,0.4845,2026-03-16 09:00:00+00:00
BNBUSDT,0.518,1.0745,0.482,2026-03-16 10:00:00+00:00
BNBUSDT,0.5156,1.0646,0.4844,2026-03-16 11:00:00+00:00
BNBUSDT,0.5159,1.0656,0.4841,2026-03-16 12:00:00+00:00
BNBUSDT,0.5179,1.0742,0.4821,2026-03-16 13:00:00+00:00
BNBUSDT,0.514,1.0575,0.486,2026-03-16 14:00:00+00:00
BNBUSDT,0.5201,1.0838,0.4799,2026-03-16 15:00:00+00:00
BNBUSDT,0.5198,1.0825,0.4802,2026-03-16 16:00:00+00:00
BNBUSDT,0.5199,1.0829,0.4801,2026-03-16 17:00:00+00:00
BNBUSDT,0.5202,1.084,0.4798,2026-03-16 18:00:00+00:00
BNBUSDT,0.5213,1.0891,0.4787,2026-03-16 19:00:00+00:00
BNBUSDT,0.5234,1.0982,0.4766,2026-03-16 20:00:00+00:00
BNBUSDT,0.528,1.1189,0.472,2026-03-16 21:00:00+00:00
BNBUSDT,0.5321,1.1374,0.4679,2026-03-16 22:00:00+00:00
BNBUSDT,0.5333,1.1426,0.4667,2026-03-16 23:00:00+00:00
BNBUSDT,0.5336,1.144,0.4664,2026-03-17 00:00:00+00:00
BNBUSDT,0.5283,1.12,0.4717,2026-03-17 01:00:00+00:00
BNBUSDT,0.5293,1.1245,0.4707,2026-03-17 02:00:00+00:00
BNBUSDT,0.5349,1.1499,0.4651,2026-03-17 03:00:00+00:00
BNBUSDT,0.5384,1.1665,0.4616,2026-03-17 04:00:00+00:00
BNBUSDT,0.5418,1.1825,0.4582,2026-03-17 05:00:00+00:00
BNBUSDT,0.542,1.1832,0.458,2026-03-17 06:00:00+00:00
BNBUSDT,0.5408,1.1777,0.4592,2026-03-17 07:00:00+00:00
BNBUSDT,0.5408,1.1776,0.4592,2026-03-17 08:00:00+00:00
BNBUSDT,0.5412,1.1798,0.4588,2026-03-17 09:00:00+00:00
BNBUSDT,0.5426,1.1865,0.4574,2026-03-17 10:00:00+00:00
BNBUSDT,0.5405,1.1764,0.4595,2026-03-17 11:00:00+00:00
BNBUSDT,0.5435,1.1904,0.4565,2026-03-17 12:00:00+00:00
BNBUSDT,0.5443,1.1944,0.4557,2026-03-17 13:00:00+00:00
BNBUSDT,0.5482,1.2133,0.4518,2026-03-17 14:00:00+00:00
BNBUSDT,0.5468,1.2066,0.4532,2026-03-17 15:00:00+00:00
BNBUSDT,0.5474,1.2096,0.4526,2026-03-17 16:00:00+00:00
BNBUSDT,0.5474,1.2094,0.4526,2026-03-17 17:00:00+00:00
BNBUSDT,0.5469,1.2069,0.4531,2026-03-17 18:00:00+00:00
BNBUSDT,0.5473,1.2088,0.4527,2026-03-17 19:00:00+00:00
BNBUSDT,0.5476,1.2102,0.4524,2026-03-17 20:00:00+00:00
BNBUSDT,0.5484,1.2146,0.4516,2026-03-17 21:00:00+00:00
BNBUSDT,0.5484,1.2144,0.4516,2026-03-17 22:00:00+00:00
BNBUSDT,0.5476,1.2103,0.4524,2026-03-17 23:00:00+00:00
BNBUSDT,0.5474,1.2095,0.4526,2026-03-18 00:00:00+00:00
BNBUSDT,0.5473,1.2091,0.4527,2026-03-18 01:00:00+00:00
BNBUSDT,0.5465,1.2049,0.4535,2026-03-18 02:00:00+00:00
BNBUSDT,0.539,1.169,0.461,2026-03-18 03:00:00+00:00
BNBUSDT,0.5387,1.1677,0.4613,2026-03-18 04:00:00+00:00
BNBUSDT,0.5354,1.1524,0.4646,2026-03-18 05:00:00+00:00
BNBUSDT,0.5397,1.1727,0.4603,2026-03-18 06:00:00+00:00
BNBUSDT,0.5395,1.1717,0.4605,2026-03-18 07:00:00+00:00
BNBUSDT,0.5401,1.1744,0.4599,2026-03-18 08:00:00+00:00
BNBUSDT,0.539,1.1693,0.461,2026-03-18 09:00:00+00:00
BNBUSDT,0.5367,1.1585,0.4633,2026-03-18 10:00:00+00:00
BNBUSDT,0.5378,1.1636,0.4622,2026-03-18 11:00:00+00:00
BNBUSDT,0.5354,1.1525,0.4646,2026-03-18 12:00:00+00:00
