symbol,longAccount,longShortRatio,shortAccount,timestamp
BNBUSDT,0.4978,0.9913,0.5022,2026-03-25 22:40:00+00:00
BNBUSDT,0.4978,0.9913,0.5022,2026-03-25 22:45:00+00:00
BNBUSDT,0.4978,0.9914,0.5022,2026-03-25 22:50:00+00:00
BNBUSDT,0.4979,0.9916,0.5021,2026-03-25 22:55:00+00:00
BNBUSDT,0.498,0.9919,0.502,2026-03-25 23:00:00+00:00
BNBUSDT,0.4978,0.9914,0.5022,2026-03-25 23:05:00+00:00
BNBUSDT,0.4979,0.9916,0.5021,2026-03-25 23:10:00+00:00
BNBUSDT,0.4967,0.9871,0.5033,2026-03-25 23:15:00+00:00
BNBUSDT,0.4969,0.9878,0.5031,2026-03-25 23:20:00+00:00
BNBUSDT,0.4969,0.9879,0.5031,2026-03-25 23:25:00+00:00
BNBUSDT,0.4967,0.9868,0.5033,2026-03-25 23:30:00+00:00
BNBUSDT,0.4966,0.9864,0.5034,2026-03-25 23:35:00+00:00
BNBUSDT,0.4966,0.9864,0.5034,2026-03-25 23:40:00+00:00
BNBUSDT,0.4969,0.9875,0.5031,2026-03-25 23:45:00+00:00
BNBUSDT,0.497,0.9881,0.503,2026-03-25 23:50:00+00:00
BNBUSDT,0.497,0.988,0.503,2026-03-25 23:55:00+00:00
BNBUSDT,0.4969,0.9878,0.5031,2026-03-26 00:00:00+00:00
BNBUSDT,0.4968,0.9871,0.5032,2026-03-26 00:05:00+00:00
BNBUSDT,0.4967,0.9871,0.5033,2026-03-26 00:10:00+00:00
BNBUSDT,0.4966,0.9867,0.5034,2026-03-26 00:15:00+00:00
BNBUSDT,0.4968,0.9872,0.5032,2026-03-26 00:20:00+00:00
BNBUSDT,0.4968,0.9874,0.5032,2026-03-26 00:25:00+00:00
BNBUSDT,0.4968,0.9873,0.5032,2026-03-26 00:30:00+00:00
BNBUSDT,0.4969,0.9878,0.5031,2026-03-26 00:35:00+00:00
BNBUSDT,0.497,0.988,0.503,2026-03-26 00:40:00+00:00
BNBUSDT,0.4969,0.9876,0.5031,2026-03-26 00:45:00+00:00
BNBUSDT,0.4967,0.987,0.5033,2026-03-26 00:50:00+00:00
BNBUSDT,0.4967,0.9868,0.5033,2026-03-26 00:55:00+00:00
BNBUSDT,0.4965,0.9862,0.5035,2026-03-26 01:00:00+00:00
BNBUSDT,0.4965,0.9862,0.5035,2026-03-26 01:05:00+00:00
BNBUSDT,0.4965,0.9862,0.5035,2026-03-26 01:10:00+00:00
BNBUSDT,0.4965,0.9861,0.5035,2026-03-26 01:15:00+00:00
BNBUSDT,0.4966,0.9865,0.5034,2026-03-26 01:20:00+00:00
BNBUSDT,0.4966,0.9866,0.5034,2026-03-26 01:25:00+00:00
BNBUSDT,0.4965,0.9862,0.5035,2026-03-26 01:30:00+00:00
BNBUSDT,0.4964,0.9857,0.5036,2026-03-26 01:35:00+00:00
BNBUSDT,0.4964,0.9857,0.5036,2026-03-26 01:40:00+00:00
BNBUSDT,0.4964,0.9855,0.5036,2026-03-26 01:45:00+00:00
BNBUSDT,0.4963,0.9854,0.5037,2026-03-26 01:50:00+00:00
BNBUSDT,0.4963,0.9854,0.5037,2026-03-26 01:55:00+00:00
BNBUSDT,0.4964,0.9856,0.5036,2026-03-26 02:00:00+00:00
BNBUSDT,0.4964,0.9856,0.5036,2026-03-26 02:05:00+00:00
BNBUSDT,0.4966,0.9867,0.5034,2026-03-26 02:10:00+00:00
BNBUSDT,0.4968,0.9871,0.5032,2026-03-26 02:15:00+00:00
BNBUSDT,0.4967,0.9868,0.5033,2026-03-26 02:20:00+00:00
BNBUSDT,0.4965,0.9862,0.5035,2026-03-26 02:25:00+00:00
BNBUSDT,0.4976,0.9903,0.5024,2026-03-26 02:30:00+00:00
BNBUSDT,0.4978,0.9911,0.5022,2026-03-26 02:35:00+00:00
BNBUSDT,0.498,0.9922,0.502,2026-03-26 02:40:00+00:00
BNBUSDT,0.4982,0.9926,0.5018,2026-03-26 02:45:00+00:00
BNBUSDT,0.4983,0.9933,0.5017,2026-03-26 02:50:00+00:00
BNBUSDT,0.4984,0.9936,0.5016,2026-03-26 02:55:00+00:00
BNBUSDT,0.4986,0.9944,0.5014,2026-03-26 03:00:00+00:00
BNBUSDT,0.4993,0.997,0.5007,2026-03-26 03:05:00+00:00
BNBUSDT,0.4994,0.9975,0.5006,2026-03-26 03:10:00+00:00
BNBUSDT,0.4989,0.9957,0.5011,2026-03-26 03:15:00+00:00
BNBUSDT,0.499,0.9961,0.501,2026-03-26 03:20:00+00:00
BNBUSDT,0.5005,1.002,0.4995,2026-03-26 03:25:00+00:00
BNBUSDT,0.5008,1.0032,0.4992,2026-03-26 03:30:00+00:00
BNBUSDT,0.5008,1.0032,0.4992,2026-03-26 03:35:00+00:00
BNBUSDT,0.5009,1.0036,0.4991,2026-03-26 03:40:00+00:00
BNBUSDT,0.5009,1.0038,0.4991,2026-03-26 03:45:00+00:00
BNBUSDT,0.5009,1.0037,0.4991,2026-03-26 03:50:00+00:00
BNBUSDT,0.5007,1.0027,0.4993,2026-03-26 03:55:00+00:00
BNBUSDT,0.5006,1.0022,0.4994,2026-03-26 04:00:00+00:00
BNBUSDT,0.5,0.9999,0.5,2026-03-26 04:05:00+00:00
BNBUSDT,0.5006,1.0025,0.4994,2026-03-26 04:10:00+00:00
BNBUSDT,0.501,1.0039,0.499,2026-03-26 04:15:00+00:00
BNBUSDT,0.5009,1.0038,0.4991,2026-03-26 04:20:00+00:00
BNBUSDT,0.5009,1.0038,0.4991,2026-03-26 04:25:00+00:00
BNBUSDT,0.5008,1.0033,0.4992,2026-03-26 04:30:00+00:00
BNBUSDT,0.5007,1.003,0.4993,2026-03-26 04:35:00+00:00
BNBUSDT,0.5007,1.0028,0.4993,2026-03-26 04:40:00+00:00
BNBUSDT,0.501,1.0039,0.499,2026-03-26 04:45:00+00:00
BNBUSDT,0.5008,1.0034,0.4992,2026-03-26 04:50:00+00:00
BNBUSDT,0.5009,1.0036,0.4991,2026-03-26 04:55:00+00:00
BNBUSDT,0.5011,1.0044,0.4989,2026-03-26 05:00:00+00:00
BNBUSDT,0.501,1.0042,0.499,2026-03-26 05:05:00+00:00
BNBUSDT,0.5016,1.0065,0.4984,2026-03-26 05:10:00+00:00
BNBUSDT,0.5011,1.0046,0.4989,2026-03-26 05:15:00+00:00
BNBUSDT,0.5001,1.0003,0.4999,2026-03-26 05:20:00+00:00
BNBUSDT,0.5003,1.001,0.4997,2026-03-26 05:25:00+00:00
BNBUSDT,0.5007,1.003,0.4993,2026-03-26 05:30:00+00:00
BNBUSDT,0.5004,1.0015,0.4996,2026-03-26 05:35:00+00:00
BNBUSDT,0.5003,1.0013,0.4997,2026-03-26 05:40:00+00:00
BNBUSDT,0.5013,1.0052,0.4987,2026-03-26 05:45:00+00:00
BNBUSDT,0.5017,1.0069,0.4983,2026-03-26 05:50:00+00:00
BNBUSDT,0.502,1.0079,0.498,2026-03-26 05:55:00+00:00
BNBUSDT,0.5025,1.0101,0.4975,2026-03-26 06:00:00+00:00
BNBUSDT,0.5049,1.0199,0.4951,2026-03-26 06:05:00+00:00
BNBUSDT,0.5052,1.0212,0.4948,2026-03-26 06:10:00+00:00
BNBUSDT,0.5058,1.0236,0.4942,2026-03-26 06:15:00+00:00
BNBUSDT,0.5055,1.0224,0.4945,2026-03-26 06:20:00+00:00
BNBUSDT,0.5058,1.0233,0.4942,2026-03-26 06:25:00+00:00
BNBUSDT,0.5055,1.0222,0.4945,2026-03-26 06:30:00+00:00
BNBUSDT,0.5053,1.0215,0.4947,2026-03-26 06:35:00+00:00
BNBUSDT,0.5052,1.021,0.4948,2026-03-26 06:40:00+00:00
BNBUSDT,0.5052,1.0212,0.4948,2026-03-26 06:45:00+00:00
BNBUSDT,0.5054,1.0219,0.4946,2026-03-26 06:50:00+00:00
BNBUSDT,0.5055,1.0222,0.4945,2026-03-26 06:55:00+00:00
BNBUSDT,0.5057,1.0229,0.4943,2026-03-26 07:00:00+00:00
BNBUSDT,0.5058,1.0235,0.4942,2026-03-26 07:05:00+00:00
BNBUSDT,0.5064,1.026,0.4936,2026-03-26 07:10:00+00:00
BNBUSDT,0.5064,1.0259,0.4936,2026-03-26 07:15:00+00:00
BNBUSDT,0.5063,1.0257,0.4937,2026-03-26 07:20:00+00:00
BNBUSDT,0.5066,1.0267,0.4934,2026-03-26 07:25:00+00:00
BNBUSDT,0.5073,1.0296,0.4927,2026-03-26 07:30:00+00:00
BNBUSDT,0.508,1.0326,0.492,2026-03-26 07:35:00+00:00
BNBUSDT,0.5071,1.0289,0.4929,2026-03-26 07:40:00+00:00
BNBUSDT,0.5068,1.0276,0.4932,2026-03-26 07:45:00+00:00
BNBUSDT,0.5066,1.0269,0.4934,2026-03-26 07:50:00+00:00
BNBUSDT,0.5064,1.0258,0.4936,2026-03-26 07:55:00+00:00
BNBUSDT,0.5066,1.0266,0.4934,2026-03-26 08:00:00+00:00
BNBUSDT,0.5061,1.0245,0.4939,2026-03-26 08:05:00+00:00
BNBUSDT,0.5053,1.0216,0.4947,2026-03-26 08:10:00+00:00
BNBUSDT,0.5052,1.0211,0.4948,2026-03-26 08:15:00+00:00
BNBUSDT,0.5045,1.0181,0.4955,2026-03-26 08:20:00+00:00
BNBUSDT,0.5046,1.0186,0.4954,2026-03-26 08:25:00+00:00
BNBUSDT,0.5049,1.0199,0.4951,2026-03-26 08:30:00+00:00
BNBUSDT,0.5046,1.0188,0.4954,2026-03-26 08:35:00+00:00
BNBUSDT,0.5049,1.0197,0.4951,2026-03-26 08:40:00+00:00
BNBUSDT,0.5049,1.0199,0.4951,2026-03-26 08:45:00+00:00
BNBUSDT,0.5049,1.0199,0.4951,2026-03-26 08:50:00+00:00
BNBUSDT,0.5051,1.0208,0.4949,2026-03-26 08:55:00+00:00
BNBUSDT,0.5054,1.0218,0.4946,2026-03-26 09:00:00+00:00
BNBUSDT,0.5055,1.0221,0.4945,2026-03-26 09:05:00+00:00
BNBUSDT,0.5055,1.0221,0.4945,2026-03-26 09:10:00+00:00
BNBUSDT,0.5055,1.0222,0.4945,2026-03-26 09:15:00+00:00
BNBUSDT,0.5064,1.0257,0.4936,2026-03-26 09:20:00+00:00
BNBUSDT,0.5064,1.0261,0.4936,2026-03-26 09:25:00+00:00
BNBUSDT,0.5066,1.0266,0.4934,2026-03-26 09:30:00+00:00
BNBUSDT,0.5173,1.0715,0.4827,2026-03-26 09:35:00+00:00
BNBUSDT,0.5174,1.0722,0.4826,2026-03-26 09:40:00+00:00
BNBUSDT,0.5177,1.0734,0.4823,2026-03-26 09:45:00+00:00
BNBUSDT,0.5183,1.0761,0.4817,2026-03-26 09:50:00+00:00
BNBUSDT,0.5176,1.0732,0.4824,2026-03-26 09:55:00+00:00
BNBUSDT,0.5175,1.0726,0.4825,2026-03-26 10:00:00+00:00
BNBUSDT,0.5176,1.0731,0.4824,2026-03-26 10:05:00+00:00
BNBUSDT,0.5161,1.0667,0.4839,2026-03-26 10:10:00+00:00
BNBUSDT,0.5164,1.0679,0.4836,2026-03-26 10:15:00+00:00
BNBUSDT,0.517,1.0705,0.483,2026-03-26 10:20:00+00:00
BNBUSDT,0.517,1.0704,0.483,2026-03-26 10:25:00+00:00
BNBUSDT,0.5162,1.067,0.4838,2026-03-26 10:30:00+00:00
BNBUSDT,0.5161,1.0667,0.4839,2026-03-26 10:35:00+00:00
BNBUSDT,0.5161,1.0665,0.4839,2026-03-26 10:40:00+00:00
BNBUSDT,0.5159,1.0656,0.4841,2026-03-26 10:45:00+00:00
BNBUSDT,0.5159,1.0655,0.4841,2026-03-26 10:50:00+00:00
BNBUSDT,0.5157,1.0649,0.4843,2026-03-26 10:55:00+00:00
BNBUSDT,0.5156,1.0643,0.4844,2026-03-26 11:00:00+00:00
BNBUSDT,0.5157,1.065,0.4843,2026-03-26 11:05:00+00:00
BNBUSDT,0.5156,1.0646,0.4844,2026-03-26 11:10:00+00:00
BNBUSDT,0.5167,1.069,0.4833,2026-03-26 11:15:00+00:00
BNBUSDT,0.5166,1.0689,0.4834,2026-03-26 11:20:00+00:00
BNBUSDT,0.5167,1.0692,0.4833,2026-03-26 11:25:00+00:00
BNBUSDT,0.5167,1.069,0.4833,2026-03-26 11:30:00+00:00
BNBUSDT,0.5165,1.0681,0.4835,2026-03-26 11:35:00+00:00
BNBUSDT,0.5165,1.0683,0.4835,2026-03-26 11:40:00+00:00
BNBUSDT,0.5165,1.0683,0.4835,2026-03-26 11:45:00+00:00
BNBUSDT,0.5167,1.069,0.4833,2026-03-26 11:50:00+00:00
BNBUSDT,0.5166,1.0686,0.4834,2026-03-26 11:55:00+00:00
BNBUSDT,0.5167,1.069,0.4833,2026-03-26 12:00:00+00:00
BNBUSDT,0.5164,1.0678,0.4836,2026-03-26 12:05:00+00:00
BNBUSDT,0.5166,1.0685,0.4834,2026-03-26 12:10:00+00:00
BNBUSDT,0.5166,1.0685,0.4834,2026-03-26 12:15:00+00:00
BNBUSDT,0.5166,1.0685,0.4834,2026-03-26 12:20:00+00:00
BNBUSDT,0.5164,1.068,0.4836,2026-03-26 12:25:00+00:00
BNBUSDT,0.5164,1.068,0.4836,2026-03-26 12:30:00+00:00
BNBUSDT,0.5163,1.0676,0.4837,2026-03-26 12:35:00+00:00
BNBUSDT,0.5162,1.0671,0.4838,2026-03-26 12:40:00+00:00
BNBUSDT,0.5161,1.0667,0.4839,2026-03-26 12:45:00+00:00
BNBUSDT,0.516,1.066,0.484,2026-03-26 12:50:00+00:00
BNBUSDT,0.5158,1.0652,0.4842,2026-03-26 12:55:00+00:00
BNBUSDT,0.5157,1.0649,0.4843,2026-03-26 13:00:00+00:00
