symbol,fundingTime,fundingRate,markPrice
BTCUSDT,2026-03-14 00:00:00.001000+00:00,-3.79e-06,70895.6
BTCUSDT,2026-03-14 08:00:00+00:00,-3.988e-05,70565.7
BTCUSDT,2026-03-14 16:00:00.007000+00:00,-4.851e-05,70556.44462101
BTCUSDT,2026-03-15 00:00:00+00:00,-1.883e-05,71174.4
BTCUSDT,2026-03-15 08:00:00+00:00,-6.461e-05,71421.70264618
BTCUSDT,2026-03-15 16:00:00+00:00,2.659e-05,71444.5
BTCUSDT,2026-03-16 00:00:00+00:00,2.513e-05,72778.9
BTCUSDT,2026-03-16 08:00:00.010000+00:00,7.139e-05,73427.8
BTCUSDT,2026-03-16 16:00:00+00:00,2.015e-05,73241.19793478
BTCUSDT,2026-03-17 00:00:00+00:00,2.41e-06,74854.37298551
BTCUSDT,2026-03-17 08:00:00.002000+00:00,-2.505e-05,74212.7
BTCUSDT,2026-03-17 16:00:00.011000+00:00,-1.26e-05,73882.60358696
BTCUSDT,2026-03-18 00:00:00.002000+00:00,-6.569e-05,73872.4
BTCUSDT,2026-03-18 08:00:00.002000+00:00,-4.813e-05,73840.08823913
BTCUSDT,2026-03-18 16:00:00.005000+00:00,2.418e-05,71438.64453523
BTCUSDT,2026-03-19 00:00:00+00:00,-9.74e-06,71208.72342754
BTCUSDT,2026-03-19 08:00:00.003000+00:00,-3.012e-05,70147.53643478
BTCUSDT,2026-03-19 16:00:00.003000+00:00,1.205e-05,69372.7
BTCUSDT,2026-03-20 00:00:00.002000+00:00,6.25e-06,69895.06080435
BTCUSDT,2026-03-20 08:00:00+00:00,7.53e-06,70811.9
BTCUSDT,2026-03-20 16:00:00+00:00,-2.23e-06,69838.04147826
BTCUSDT,2026-03-21 00:00:00+00:00,-1.493e-05,70475.05032609
BTCUSDT,2026-03-21 08:00:00+00:00,-7.38e-06,70681.53331884
BTCUSDT,2026-03-21 16:00:00.014000+00:00,1.093e-05,70599.1
BTCUSDT,2026-03-22 00:00:00.012000+00:00,8.06e-06,68881.72855072
BTCUSDT,2026-03-22 08:00:00.007000+00:00,-4.425e-05,68884.4
BTCUSDT,2026-03-22 16:00:00.002000+00:00,-6.837e-05,68819.80918841
BTCUSDT,2026-03-23 00:00:00+00:00,-2.079e-05,67834.34094203
BTCUSDT,2026-03-23 08:00:00.003000+00:00,-2.863e-05,68290.8
BTCUSDT,2026-03-23 16:00:00.002000+00:00,1.6e-06,70112.2
BTCUSDT,2026-03-24 00:00:00+00:00,4.229e-05,70868.68562319
BTCUSDT,2026-03-24 08:00:00+00:00,3.675e-05,71264.0
BTCUSDT,2026-03-24 16:00:00.003000+00:00,3.056e-05,69842.4
BTCUSDT,2026-03-25 00:00:00+00:00,2.31e-05,70525.82657246
BTCUSDT,2026-03-25 08:00:00+00:00,1.074e-05,70899.9
BTCUSDT,2026-03-25 16:00:00.013000+00:00,4.721e-05,70803.40069565
BTCUSDT,2026-03-26 00:00:00.001000+00:00,2.448e-05,71297.6
BTCUSDT,2026-03-26 08:00:00.001000+00:00,1.379e-05,70053.8
BTCUSDT,2026-03-26 16:00:00+00:00,-2.103e-05,69060.7
BTCUSDT,2026-03-27 00:00:00.006000+00:00,2.925e-05,68788.1
BTCUSDT,2026-03-27 08:00:00+00:00,-6.298e-05,68496.9
BTCUSDT,2026-03-27 16:00:00+00:00,-5.841e-05,66091.9
