symbol,longAccount,longShortRatio,shortAccount,timestamp
BTCUSDT,0.4888,0.9562,0.5112,2026-03-13 17:00:00+00:00
BTCUSDT,0.4965,0.9861,0.5035,2026-03-13 18:00:00+00:00
BTCUSDT,0.5056,1.0227,0.4944,2026-03-13 19:00:00+00:00
BTCUSDT,0.5096,1.0392,0.4904,2026-03-13 20:00:00+00:00
BTCUSDT,0.5137,1.0563,0.4863,2026-03-13 21:00:00+00:00
BTCUSDT,0.5145,1.0597,0.4855,2026-03-13 22:00:00+00:00
BTCUSDT,0.5195,1.0812,0.4805,2026-03-13 23:00:00+00:00
BTCUSDT,0.5253,1.1066,0.4747,2026-03-14 00:00:00+00:00
BTCUSDT,0.5288,1.1222,0.4712,2026-03-14 01:00:00+00:00
BTCUSDT,0.5325,1.139,0.4675,2026-03-14 02:00:00+00:00
BTCUSDT,0.5335,1.1436,0.4665,2026-03-14 03:00:00+00:00
BTCUSDT,0.5442,1.1939,0.4558,2026-03-14 04:00:00+00:00
BTCUSDT,0.5465,1.2051,0.4535,2026-03-14 05:00:00+00:00
BTCUSDT,0.5443,1.1944,0.4557,2026-03-14 06:00:00+00:00
BTCUSDT,0.544,1.193,0.456,2026-03-14 07:00:00+00:00
BTCUSDT,0.5464,1.2046,0.4536,2026-03-14 08:00:00+00:00
BTCUSDT,0.5467,1.206,0.4533,2026-03-14 09:00:00+00:00
BTCUSDT,0.5469,1.207,0.4531,2026-03-14 10:00:00+00:00
BTCUSDT,0.5474,1.2095,0.4526,2026-03-14 11:00:00+00:00
BTCUSDT,0.5531,1.2376,0.4469,2026-03-14 12:00:00+00:00
BTCUSDT,0.5515,1.2297,0.4485,2026-03-14 13:00:00+00:00
BTCUSDT,0.5543,1.2437,0.4457,2026-03-14 14:00:00+00:00
BTCUSDT,0.5509,1.2267,0.4491,2026-03-14 15:00:00+00:00
BTCUSDT,0.5524,1.2341,0.4476,2026-03-14 16:00:00+00:00
BTCUSDT,0.5556,1.2502,0.4444,2026-03-14 17:00:00+00:00
BTCUSDT,0.5553,1.2487,0.4447,2026-03-14 18:00:00+00:00
BTCUSDT,0.5564,1.2543,0.4436,2026-03-14 19:00:00+00:00
BTCUSDT,0.5573,1.2589,0.4427,2026-03-14 20:00:00+00:00
BTCUSDT,0.5589,1.2671,0.4411,2026-03-14 21:00:00+00:00
BTCUSDT,0.5587,1.266,0.4413,2026-03-14 22:00:00+00:00
BTCUSDT,0.5595,1.2701,0.4405,2026-03-14 23:00:00+00:00
BTCUSDT,0.5646,1.2967,0.4354,2026-03-15 00:00:00+00:00
BTCUSDT,0.5626,1.2862,0.4374,2026-03-15 01:00:00+00:00
BTCUSDT,0.5638,1.2925,0.4362,2026-03-15 02:00:00+00:00
BTCUSDT,0.5682,1.3159,0.4318,2026-03-15 03:00:00+00:00
BTCUSDT,0.5661,1.3047,0.4339,2026-03-15 04:00:00+00:00
BTCUSDT,0.564,1.2936,0.436,2026-03-15 05:00:00+00:00
BTCUSDT,0.563,1.2883,0.437,2026-03-15 06:00:00+00:00
BTCUSDT,0.5582,1.2635,0.4418,2026-03-15 07:00:00+00:00
BTCUSDT,0.5562,1.2533,0.4438,2026-03-15 08:00:00+00:00
BTCUSDT,0.5551,1.2477,0.4449,2026-03-15 09:00:00+00:00
