symbol,longAccount,longShortRatio,shortAccount,timestamp
BTCUSDT,0.5754,1.3552,0.4246,2026-03-25 22:40:00+00:00
BTCUSDT,0.5752,1.354,0.4248,2026-03-25 22:45:00+00:00
BTCUSDT,0.575,1.3529,0.425,2026-03-25 22:50:00+00:00
BTCUSDT,0.5743,1.3491,0.4257,2026-03-25 22:55:00+00:00
BTCUSDT,0.5742,1.3485,0.4258,2026-03-25 23:00:00+00:00
BTCUSDT,0.574,1.3474,0.426,2026-03-25 23:05:00+00:00
BTCUSDT,0.5739,1.3469,0.4261,2026-03-25 23:10:00+00:00
BTCUSDT,0.5735,1.3447,0.4265,2026-03-25 23:15:00+00:00
BTCUSDT,0.5728,1.3408,0.4272,2026-03-25 23:20:00+00:00
BTCUSDT,0.5728,1.3408,0.4272,2026-03-25 23:25:00+00:00
BTCUSDT,0.5728,1.3408,0.4272,2026-03-25 23:30:00+00:00
BTCUSDT,0.5729,1.3414,0.4271,2026-03-25 23:35:00+00:00
BTCUSDT,0.5728,1.3408,0.4272,2026-03-25 23:40:00+00:00
BTCUSDT,0.5726,1.3397,0.4274,2026-03-25 23:45:00+00:00
BTCUSDT,0.5728,1.3408,0.4272,2026-03-25 23:50:00+00:00
BTCUSDT,0.5729,1.3414,0.4271,2026-03-25 23:55:00+00:00
BTCUSDT,0.5728,1.3408,0.4272,2026-03-26 00:00:00+00:00
BTCUSDT,0.5733,1.3436,0.4267,2026-03-26 00:05:00+00:00
BTCUSDT,0.5729,1.3414,0.4271,2026-03-26 00:10:00+00:00
BTCUSDT,0.5727,1.3403,0.4273,2026-03-26 00:15:00+00:00
BTCUSDT,0.5733,1.3436,0.4267,2026-03-26 00:20:00+00:00
BTCUSDT,0.573,1.3419,0.427,2026-03-26 00:25:00+00:00
BTCUSDT,0.5731,1.3425,0.4269,2026-03-26 00:30:00+00:00
BTCUSDT,0.5737,1.3458,0.4263,2026-03-26 00:35:00+00:00
BTCUSDT,0.574,1.3474,0.426,2026-03-26 00:40:00+00:00
BTCUSDT,0.5739,1.3469,0.4261,2026-03-26 00:45:00+00:00
BTCUSDT,0.5749,1.3524,0.4251,2026-03-26 00:50:00+00:00
BTCUSDT,0.5747,1.3513,0.4253,2026-03-26 00:55:00+00:00
BTCUSDT,0.5747,1.3513,0.4253,2026-03-26 01:00:00+00:00
BTCUSDT,0.5747,1.3513,0.4253,2026-03-26 01:05:00+00:00
