buySellRatio,sellVol,buyVol,timestamp
1.1168,14324.77,15998.386,2026-03-13 16:00:00+00:00
0.8453,11182.114,9452.089,2026-03-13 17:00:00+00:00
1.1821,5186.0,6130.427,2026-03-13 18:00:00+00:00
1.3259,2476.894,3284.219,2026-03-13 19:00:00+00:00
1.0688,2109.341,2254.486,2026-03-13 20:00:00+00:00
0.8812,1883.108,1659.465,2026-03-13 21:00:00+00:00
0.7586,5062.647,3840.357,2026-03-13 22:00:00+00:00
1.2623,2031.061,2563.777,2026-03-13 23:00:00+00:00
0.9615,2911.851,2799.601,2026-03-14 00:00:00+00:00
0.9639,2563.662,2471.041,2026-03-14 01:00:00+00:00
1.4399,968.862,1395.111,2026-03-14 02:00:00+00:00
1.4381,2011.499,2892.731,2026-03-14 03:00:00+00:00
1.1347,1894.135,2149.301,2026-03-14 04:00:00+00:00
0.6509,1687.334,1098.254,2026-03-14 05:00:00+00:00
0.8,5477.164,4381.513,2026-03-14 06:00:00+00:00
0.8057,2348.538,1892.169,2026-03-14 07:00:00+00:00
0.9534,1181.822,1126.736,2026-03-14 08:00:00+00:00
0.9455,2080.859,1967.44,2026-03-14 09:00:00+00:00
0.7608,1713.659,1303.687,2026-03-14 10:00:00+00:00
1.538,1000.584,1538.936,2026-03-14 11:00:00+00:00
0.9091,1574.329,1431.168,2026-03-14 12:00:00+00:00
1.4041,1458.612,2048.091,2026-03-14 13:00:00+00:00
0.7114,1885.79,1341.58,2026-03-14 14:00:00+00:00
0.9644,1566.103,1510.328,2026-03-14 15:00:00+00:00
0.9939,1134.64,1127.681,2026-03-14 16:00:00+00:00
0.9424,668.706,630.167,2026-03-14 17:00:00+00:00
1.378,450.033,620.127,2026-03-14 18:00:00+00:00
0.9347,576.568,538.895,2026-03-14 19:00:00+00:00
1.1215,786.863,882.446,2026-03-14 20:00:00+00:00
0.935,738.187,690.233,2026-03-14 21:00:00+00:00
0.7816,587.569,459.251,2026-03-14 22:00:00+00:00
1.4607,2579.392,3767.666,2026-03-14 23:00:00+00:00
0.7643,1598.745,1221.974,2026-03-15 00:00:00+00:00
0.886,1152.38,1021.045,2026-03-15 01:00:00+00:00
1.3473,3473.515,4679.88,2026-03-15 02:00:00+00:00
0.6943,2419.952,1680.173,2026-03-15 03:00:00+00:00
1.2861,1972.084,2536.376,2026-03-15 04:00:00+00:00
1.0294,2687.916,2766.881,2026-03-15 05:00:00+00:00
0.7096,1620.815,1150.092,2026-03-15 06:00:00+00:00
1.0387,1687.125,1752.46,2026-03-15 07:00:00+00:00
1.3417,1309.248,1756.603,2026-03-15 08:00:00+00:00
1.1821,2821.657,3335.502,2026-03-15 09:00:00+00:00
1.0047,966.859,971.429,2026-03-15 10:00:00+00:00
1.1461,1465.632,1679.698,2026-03-15 11:00:00+00:00
0.771,1517.842,1170.209,2026-03-15 12:00:00+00:00
1.0536,5283.053,5566.128,2026-03-15 13:00:00+00:00
1.0457,1849.0,1933.447,2026-03-15 14:00:00+00:00
0.8339,1268.686,1057.92,2026-03-15 15:00:00+00:00
0.9113,2024.952,1845.391,2026-03-15 16:00:00+00:00
