buySellRatio,sellVol,buyVol,timestamp
2.2415,297.933,667.829,2026-03-25 22:35:00+00:00
1.285,753.275,967.956,2026-03-25 22:40:00+00:00
0.7076,188.737,133.547,2026-03-25 22:45:00+00:00
0.597,123.879,73.95,2026-03-25 22:50:00+00:00
0.7998,98.547,78.819,2026-03-25 22:55:00+00:00
1.2333,157.974,194.824,2026-03-25 23:00:00+00:00
0.5508,144.223,79.443,2026-03-25 23:05:00+00:00
0.9756,110.175,107.488,2026-03-25 23:10:00+00:00
0.3345,153.416,51.315,2026-03-25 23:15:00+00:00
1.4303,103.952,148.681,2026-03-25 23:20:00+00:00
1.1559,95.836,110.779,2026-03-25 23:25:00+00:00
0.6528,125.255,81.768,2026-03-25 23:30:00+00:00
0.6073,104.939,63.728,2026-03-25 23:35:00+00:00
0.7657,183.289,140.351,2026-03-25 23:40:00+00:00
1.1216,83.336,93.472,2026-03-25 23:45:00+00:00
1.0592,100.825,106.794,2026-03-25 23:50:00+00:00
1.0521,96.936,101.989,2026-03-25 23:55:00+00:00
0.3489,388.773,135.642,2026-03-26 00:00:00+00:00
0.7611,99.427,75.675,2026-03-26 00:05:00+00:00
0.7503,121.01,90.797,2026-03-26 00:10:00+00:00
0.6975,182.204,127.085,2026-03-26 00:15:00+00:00
0.9516,72.3,68.801,2026-03-26 00:20:00+00:00
1.7082,34.539,59.001,2026-03-26 00:25:00+00:00
0.5651,216.091,122.113,2026-03-26 00:30:00+00:00
1.0546,159.819,168.547,2026-03-26 00:35:00+00:00
0.9384,79.754,74.845,2026-03-26 00:40:00+00:00
0.741,218.314,161.765,2026-03-26 00:45:00+00:00
0.6993,301.688,210.966,2026-03-26 00:50:00+00:00
1.0212,290.848,297.001,2026-03-26 00:55:00+00:00
0.8095,118.196,95.675,2026-03-26 01:00:00+00:00
0.5479,135.082,74.011,2026-03-26 01:05:00+00:00
1.6073,69.743,112.099,2026-03-26 01:10:00+00:00
0.872,119.824,104.488,2026-03-26 01:15:00+00:00
1.2788,49.219,62.939,2026-03-26 01:20:00+00:00
0.8583,163.603,140.421,2026-03-26 01:25:00+00:00
0.8896,75.347,67.031,2026-03-26 01:30:00+00:00
1.0328,77.703,80.255,2026-03-26 01:35:00+00:00
0.4452,149.052,66.352,2026-03-26 01:40:00+00:00
0.5726,107.101,61.325,2026-03-26 01:45:00+00:00
1.0743,150.519,161.701,2026-03-26 01:50:00+00:00
0.3836,162.664,62.398,2026-03-26 01:55:00+00:00
1.7311,48.783,84.448,2026-03-26 02:00:00+00:00
0.581,271.113,157.522,2026-03-26 02:05:00+00:00
0.5868,289.509,169.895,2026-03-26 02:10:00+00:00
0.7146,431.939,308.665,2026-03-26 02:15:00+00:00
0.8225,221.632,182.294,2026-03-26 02:20:00+00:00
1.3444,142.308,191.319,2026-03-26 02:25:00+00:00
0.6411,1019.195,653.407,2026-03-26 02:30:00+00:00
1.4829,236.448,350.631,2026-03-26 02:35:00+00:00
1.035,183.555,189.976,2026-03-26 02:40:00+00:00
1.7441,120.995,211.022,2026-03-26 02:45:00+00:00
1.7096,57.221,97.826,2026-03-26 02:50:00+00:00
1.5675,87.106,136.541,2026-03-26 02:55:00+00:00
0.5677,215.522,122.356,2026-03-26 03:00:00+00:00
1.1841,132.591,157.004,2026-03-26 03:05:00+00:00
3.9547,52.894,209.181,2026-03-26 03:10:00+00:00
0.7317,230.071,168.351,2026-03-26 03:15:00+00:00
0.5377,265.766,142.892,2026-03-26 03:20:00+00:00
1.0807,196.698,212.575,2026-03-26 03:25:00+00:00
1.2295,108.635,133.572,2026-03-26 03:30:00+00:00
1.6253,112.413,182.7,2026-03-26 03:35:00+00:00
1.0278,115.422,118.627,2026-03-26 03:40:00+00:00
0.5814,115.072,66.906,2026-03-26 03:45:00+00:00
0.9048,74.183,67.122,2026-03-26 03:50:00+00:00
1.3579,78.593,106.719,2026-03-26 03:55:00+00:00
0.766,78.447,60.09,2026-03-26 04:00:00+00:00
0.2931,170.08,49.857,2026-03-26 04:05:00+00:00
0.8344,171.783,143.328,2026-03-26 04:10:00+00:00
1.1619,134.046,155.751,2026-03-26 04:15:00+00:00
2.3868,54.638,130.409,2026-03-26 04:20:00+00:00
1.4553,60.361,87.843,2026-03-26 04:25:00+00:00
1.0068,115.29,116.078,2026-03-26 04:30:00+00:00
0.9633,66.789,64.339,2026-03-26 04:35:00+00:00
0.3593,184.015,66.121,2026-03-26 04:40:00+00:00
2.3098,49.801,115.03,2026-03-26 04:45:00+00:00
0.742,118.14,87.665,2026-03-26 04:50:00+00:00
1.2246,138.712,169.872,2026-03-26 04:55:00+00:00
0.5646,192.043,108.423,2026-03-26 05:00:00+00:00
0.4922,1282.213,631.166,2026-03-26 05:05:00+00:00
1.2711,314.548,399.814,2026-03-26 05:10:00+00:00
0.8943,183.889,164.45,2026-03-26 05:15:00+00:00
