symbol,longAccount,longShortRatio,shortAccount,timestamp
BTCUSDT,0.502,1.0079,0.498,2026-03-13 17:00:00+00:00
BTCUSDT,0.5005,1.0019,0.4995,2026-03-13 18:00:00+00:00
BTCUSDT,0.506,1.0245,0.494,2026-03-13 19:00:00+00:00
BTCUSDT,0.5083,1.0339,0.4917,2026-03-13 20:00:00+00:00
BTCUSDT,0.5065,1.0263,0.4935,2026-03-13 21:00:00+00:00
BTCUSDT,0.5064,1.0259,0.4936,2026-03-13 22:00:00+00:00
BTCUSDT,0.5023,1.0094,0.4977,2026-03-13 23:00:00+00:00
BTCUSDT,0.5035,1.0143,0.4965,2026-03-14 00:00:00+00:00
BTCUSDT,0.5026,1.0103,0.4974,2026-03-14 01:00:00+00:00
BTCUSDT,0.5039,1.0157,0.4961,2026-03-14 02:00:00+00:00
BTCUSDT,0.5024,1.0095,0.4976,2026-03-14 03:00:00+00:00
BTCUSDT,0.5019,1.0075,0.4981,2026-03-14 04:00:00+00:00
BTCUSDT,0.5022,1.0087,0.4978,2026-03-14 05:00:00+00:00
BTCUSDT,0.5037,1.0149,0.4963,2026-03-14 06:00:00+00:00
BTCUSDT,0.5089,1.0364,0.4911,2026-03-14 07:00:00+00:00
BTCUSDT,0.5074,1.0302,0.4926,2026-03-14 08:00:00+00:00
BTCUSDT,0.507,1.0286,0.493,2026-03-14 09:00:00+00:00
BTCUSDT,0.509,1.0367,0.491,2026-03-14 10:00:00+00:00
BTCUSDT,0.5105,1.0431,0.4895,2026-03-14 11:00:00+00:00
BTCUSDT,0.5107,1.0437,0.4893,2026-03-14 12:00:00+00:00
BTCUSDT,0.5096,1.0391,0.4904,2026-03-14 13:00:00+00:00
BTCUSDT,0.5099,1.0404,0.4901,2026-03-14 14:00:00+00:00
BTCUSDT,0.51,1.0409,0.49,2026-03-14 15:00:00+00:00
BTCUSDT,0.5113,1.0461,0.4887,2026-03-14 16:00:00+00:00
BTCUSDT,0.5128,1.0527,0.4872,2026-03-14 17:00:00+00:00
BTCUSDT,0.5132,1.0542,0.4868,2026-03-14 18:00:00+00:00
BTCUSDT,0.5137,1.0562,0.4863,2026-03-14 19:00:00+00:00
BTCUSDT,0.513,1.0533,0.487,2026-03-14 20:00:00+00:00
BTCUSDT,0.512,1.0493,0.488,2026-03-14 21:00:00+00:00
BTCUSDT,0.5118,1.0483,0.4882,2026-03-14 22:00:00+00:00
BTCUSDT,0.512,1.0493,0.488,2026-03-14 23:00:00+00:00
BTCUSDT,0.5133,1.0547,0.4867,2026-03-15 00:00:00+00:00
BTCUSDT,0.5125,1.0514,0.4875,2026-03-15 01:00:00+00:00
BTCUSDT,0.5129,1.0528,0.4871,2026-03-15 02:00:00+00:00
BTCUSDT,0.5108,1.0442,0.4892,2026-03-15 03:00:00+00:00
BTCUSDT,0.5083,1.0339,0.4917,2026-03-15 04:00:00+00:00
BTCUSDT,0.506,1.0245,0.494,2026-03-15 05:00:00+00:00
