symbol,longAccount,longShortRatio,shortAccount,timestamp
BTCUSDT,0.4942,0.9772,0.5058,2026-03-25 22:40:00+00:00
BTCUSDT,0.4919,0.968,0.5081,2026-03-25 22:45:00+00:00
BTCUSDT,0.4915,0.9667,0.5085,2026-03-25 22:50:00+00:00
BTCUSDT,0.4913,0.9657,0.5087,2026-03-25 22:55:00+00:00
BTCUSDT,0.491,0.9648,0.509,2026-03-25 23:00:00+00:00
BTCUSDT,0.4909,0.9644,0.5091,2026-03-25 23:05:00+00:00
BTCUSDT,0.4906,0.9632,0.5094,2026-03-25 23:10:00+00:00
BTCUSDT,0.4906,0.9631,0.5094,2026-03-25 23:15:00+00:00
BTCUSDT,0.4905,0.9629,0.5095,2026-03-25 23:20:00+00:00
BTCUSDT,0.4907,0.9633,0.5093,2026-03-25 23:25:00+00:00
BTCUSDT,0.4906,0.9632,0.5094,2026-03-25 23:30:00+00:00
BTCUSDT,0.4905,0.9625,0.5095,2026-03-25 23:35:00+00:00
BTCUSDT,0.4904,0.9624,0.5096,2026-03-25 23:40:00+00:00
BTCUSDT,0.4904,0.9623,0.5096,2026-03-25 23:45:00+00:00
BTCUSDT,0.4904,0.9624,0.5096,2026-03-25 23:50:00+00:00
BTCUSDT,0.4904,0.9622,0.5096,2026-03-25 23:55:00+00:00
BTCUSDT,0.4904,0.9623,0.5096,2026-03-26 00:00:00+00:00
BTCUSDT,0.4903,0.9621,0.5097,2026-03-26 00:05:00+00:00
BTCUSDT,0.4904,0.9624,0.5096,2026-03-26 00:10:00+00:00
BTCUSDT,0.4905,0.9628,0.5095,2026-03-26 00:15:00+00:00
BTCUSDT,0.4903,0.9618,0.5097,2026-03-26 00:20:00+00:00
BTCUSDT,0.4903,0.962,0.5097,2026-03-26 00:25:00+00:00
BTCUSDT,0.4904,0.9624,0.5096,2026-03-26 00:30:00+00:00
BTCUSDT,0.4909,0.9644,0.5091,2026-03-26 00:35:00+00:00
BTCUSDT,0.491,0.9648,0.509,2026-03-26 00:40:00+00:00
BTCUSDT,0.491,0.9648,0.509,2026-03-26 00:45:00+00:00
BTCUSDT,0.4905,0.9627,0.5095,2026-03-26 00:50:00+00:00
BTCUSDT,0.4904,0.9622,0.5096,2026-03-26 00:55:00+00:00
BTCUSDT,0.4898,0.96,0.5102,2026-03-26 01:00:00+00:00
BTCUSDT,0.4896,0.9593,0.5104,2026-03-26 01:05:00+00:00
BTCUSDT,0.4895,0.959,0.5105,2026-03-26 01:10:00+00:00
BTCUSDT,0.4896,0.9591,0.5104,2026-03-26 01:15:00+00:00
