symbol,longAccount,longShortRatio,shortAccount,timestamp
DOGEUSDT,0.653,1.8818,0.347,2026-03-13 17:00:00+00:00
DOGEUSDT,0.6595,1.9369,0.3405,2026-03-13 18:00:00+00:00
DOGEUSDT,0.6651,1.986,0.3349,2026-03-13 19:00:00+00:00
DOGEUSDT,0.6656,1.9904,0.3344,2026-03-13 20:00:00+00:00
DOGEUSDT,0.6681,2.013,0.3319,2026-03-13 21:00:00+00:00
DOGEUSDT,0.6697,2.0276,0.3303,2026-03-13 22:00:00+00:00
DOGEUSDT,0.6684,2.0157,0.3316,2026-03-13 23:00:00+00:00
DOGEUSDT,0.6716,2.0451,0.3284,2026-03-14 00:00:00+00:00
DOGEUSDT,0.6729,2.0572,0.3271,2026-03-14 01:00:00+00:00
DOGEUSDT,0.6727,2.0553,0.3273,2026-03-14 02:00:00+00:00
DOGEUSDT,0.6748,2.075,0.3252,2026-03-14 03:00:00+00:00
DOGEUSDT,0.6878,2.2031,0.3122,2026-03-14 04:00:00+00:00
DOGEUSDT,0.6911,2.2373,0.3089,2026-03-14 05:00:00+00:00
DOGEUSDT,0.6896,2.2216,0.3104,2026-03-14 06:00:00+00:00
DOGEUSDT,0.6904,2.23,0.3096,2026-03-14 07:00:00+00:00
DOGEUSDT,0.6899,2.2248,0.3101,2026-03-14 08:00:00+00:00
DOGEUSDT,0.6877,2.202,0.3123,2026-03-14 09:00:00+00:00
DOGEUSDT,0.6896,2.2216,0.3104,2026-03-14 10:00:00+00:00
DOGEUSDT,0.6876,2.201,0.3124,2026-03-14 11:00:00+00:00
DOGEUSDT,0.6911,2.2373,0.3089,2026-03-14 12:00:00+00:00
DOGEUSDT,0.6878,2.2031,0.3122,2026-03-14 13:00:00+00:00
DOGEUSDT,0.6902,2.2279,0.3098,2026-03-14 14:00:00+00:00
DOGEUSDT,0.7013,2.3478,0.2987,2026-03-14 15:00:00+00:00
DOGEUSDT,0.6934,2.2616,0.3066,2026-03-14 16:00:00+00:00
DOGEUSDT,0.6918,2.2446,0.3082,2026-03-14 17:00:00+00:00
DOGEUSDT,0.6942,2.2701,0.3058,2026-03-14 18:00:00+00:00
DOGEUSDT,0.696,2.2895,0.304,2026-03-14 19:00:00+00:00
DOGEUSDT,0.6954,2.283,0.3046,2026-03-14 20:00:00+00:00
DOGEUSDT,0.6951,2.2798,0.3049,2026-03-14 21:00:00+00:00
DOGEUSDT,0.6942,2.2701,0.3058,2026-03-14 22:00:00+00:00
DOGEUSDT,0.6964,2.2938,0.3036,2026-03-14 23:00:00+00:00
DOGEUSDT,0.698,2.3113,0.302,2026-03-15 00:00:00+00:00
DOGEUSDT,0.6983,2.3146,0.3017,2026-03-15 01:00:00+00:00
DOGEUSDT,0.7004,2.3378,0.2996,2026-03-15 02:00:00+00:00
