symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
DOGEUSDT,1710909497.0,164872478.0422038,169260433126.57910000,2026-03-25 22:40:00+00:00
DOGEUSDT,1709451800.0,164738331.45938,169260433126.57910000,2026-03-25 22:45:00+00:00
DOGEUSDT,1709411689.0,164825577.6414336,169260433126.57910000,2026-03-25 22:50:00+00:00
DOGEUSDT,1708660838.0,164680731.56644,169260433126.57910000,2026-03-25 22:55:00+00:00
DOGEUSDT,1709081434.0,164674849.95717257,169260433126.57910000,2026-03-25 23:00:00+00:00
DOGEUSDT,1709280866.0,164580535.3616397,169260433126.57910000,2026-03-25 23:05:00+00:00
DOGEUSDT,1708900351.0,164447480.77673,169260433126.57910000,2026-03-25 23:10:00+00:00
DOGEUSDT,1707720984.0,164146140.98208,169260433126.57910000,2026-03-25 23:15:00+00:00
DOGEUSDT,1706592836.0,163904401.42990005,169260433126.57910000,2026-03-25 23:20:00+00:00
DOGEUSDT,1706507632.0,164008301.69797423,169260433126.57910000,2026-03-25 23:25:00+00:00
DOGEUSDT,1707127203.0,164054924.2083,169260433126.57910000,2026-03-25 23:30:00+00:00
DOGEUSDT,1706307582.0,163791689.71750998,169260433126.57910000,2026-03-25 23:35:00+00:00
DOGEUSDT,1705374859.0,163721358.39480585,169260433126.57910000,2026-03-25 23:40:00+00:00
DOGEUSDT,1705043723.0,163615995.65908,169260433126.57910000,2026-03-25 23:45:00+00:00
DOGEUSDT,1702018678.0,163257631.59376,169260433126.57910000,2026-03-25 23:50:00+00:00
DOGEUSDT,1701434031.0,163541839.05972,169260433126.57910000,2026-03-25 23:55:00+00:00
DOGEUSDT,1700869382.0,163521582.38548,169260433126.57910000,2026-03-26 00:00:00+00:00
DOGEUSDT,1702002175.0,163579429.03925,169260433126.57910000,2026-03-26 00:05:00+00:00
DOGEUSDT,1700687315.0,163244383.5110995,169260433126.57910000,2026-03-26 00:10:00+00:00
DOGEUSDT,1697638045.0,162973252.32,169260433126.57910000,2026-03-26 00:15:00+00:00
DOGEUSDT,1697661773.0,162995155.17809588,169260433126.57910000,2026-03-26 00:20:00+00:00
DOGEUSDT,1697836135.0,163145074.21215,169260433126.57910000,2026-03-26 00:25:00+00:00
DOGEUSDT,1696996813.0,163016144.20184016,169260433126.57910000,2026-03-26 00:30:00+00:00
DOGEUSDT,1696414090.0,162841960.7934483,169260433126.57910000,2026-03-26 00:35:00+00:00
DOGEUSDT,1696815766.0,162882995.77484077,169260433126.57910000,2026-03-26 00:40:00+00:00
DOGEUSDT,1696234118.0,162885715.4481863,169260433126.57910000,2026-03-26 00:45:00+00:00
DOGEUSDT,1696055315.0,162821852.9777008,169260433126.57910000,2026-03-26 00:50:00+00:00
DOGEUSDT,1694702773.0,162383843.76064503,169260433126.57910000,2026-03-26 00:55:00+00:00
DOGEUSDT,1694206187.0,162375262.2713605,169260433126.57910000,2026-03-26 01:00:00+00:00
DOGEUSDT,1695098984.0,162432724.53388128,169260433126.57910000,2026-03-26 01:05:00+00:00
DOGEUSDT,1694817479.0,162329618.13862,169260433126.57910000,2026-03-26 01:10:00+00:00
DOGEUSDT,1693193479.0,162021684.00551,169260433126.57910000,2026-03-26 01:15:00+00:00
DOGEUSDT,1689055145.0,161372328.5533,169260433126.57910000,2026-03-26 01:20:00+00:00
DOGEUSDT,1689993264.0,161749255.29744,169260433126.57910000,2026-03-26 01:25:00+00:00
DOGEUSDT,1690086105.0,162011654.0253,169260433126.57910000,2026-03-26 01:30:00+00:00
DOGEUSDT,1690446121.0,162096878.54269,169260433126.57910000,2026-03-26 01:35:00+00:00
DOGEUSDT,1692484663.0,162393903.41485,169260433126.57910000,2026-03-26 01:40:00+00:00
DOGEUSDT,1691968395.0,162039813.18915,169260433126.57910000,2026-03-26 01:45:00+00:00
DOGEUSDT,1691434833.0,161870313.5181,169260433126.57910000,2026-03-26 01:50:00+00:00
DOGEUSDT,1690761562.0,161653712.94282,169260433126.57910000,2026-03-26 01:55:00+00:00
DOGEUSDT,1691006610.0,161755909.0699938,169260433126.57910000,2026-03-26 02:00:00+00:00
DOGEUSDT,1689300774.0,161480260.98666,169260433126.57910000,2026-03-26 02:05:00+00:00
DOGEUSDT,1686634173.0,160904900.1042,169260433126.57910000,2026-03-26 02:10:00+00:00
DOGEUSDT,1688946859.0,161034124.54459092,169260433126.57910000,2026-03-26 02:15:00+00:00
DOGEUSDT,1686579925.0,160322475.9998695,153562306383.70526000,2026-03-26 02:20:00+00:00
DOGEUSDT,1688112479.0,160235636.50668,153562306383.70526000,2026-03-26 02:25:00+00:00
DOGEUSDT,1690618499.0,160591918.84474996,153562306383.70526000,2026-03-26 02:30:00+00:00
DOGEUSDT,1685915195.0,159807901.33405,153562306383.70526000,2026-03-26 02:35:00+00:00
DOGEUSDT,1689110297.0,159772942.99323,153562306383.70526000,2026-03-26 02:40:00+00:00
DOGEUSDT,1687478019.0,159801029.69018465,153562306383.70526000,2026-03-26 02:45:00+00:00
DOGEUSDT,1684474009.0,159841692.70386043,153562306383.70526000,2026-03-26 02:50:00+00:00
DOGEUSDT,1684031140.0,159536504.8044746,153562306383.70526000,2026-03-26 02:55:00+00:00
DOGEUSDT,1683608418.0,159660576.43089065,153562306383.70526000,2026-03-26 03:00:00+00:00
DOGEUSDT,1682618389.0,159072403.6564993,153562306383.70526000,2026-03-26 03:05:00+00:00
DOGEUSDT,1683466374.0,159356926.96284,153562306383.70526000,2026-03-26 03:10:00+00:00
DOGEUSDT,1681772317.0,159471570.93649584,153562306383.70526000,2026-03-26 03:15:00+00:00
DOGEUSDT,1686571565.0,159690616.83468705,153562306383.70526000,2026-03-26 03:20:00+00:00
DOGEUSDT,1680846636.0,158697437.69033447,153562306383.70526000,2026-03-26 03:25:00+00:00
DOGEUSDT,1668262988.0,157217103.98912,153562306383.70526000,2026-03-26 03:30:00+00:00
DOGEUSDT,1670554770.0,157533314.811,153562306383.70526000,2026-03-26 03:35:00+00:00
DOGEUSDT,1678010946.0,158474877.5632266,153562306383.70526000,2026-03-26 03:40:00+00:00
