buySellRatio,sellVol,buyVol,timestamp
1.171,243674375.0,285352664.0,2026-03-13 16:00:00+00:00
0.8564,335287669.0,287139954.0,2026-03-13 17:00:00+00:00
1.3521,103521576.0,139972241.0,2026-03-13 18:00:00+00:00
0.9888,121790289.0,120430446.0,2026-03-13 19:00:00+00:00
0.7848,77048687.0,60470930.0,2026-03-13 20:00:00+00:00
0.8125,85474798.0,69448664.0,2026-03-13 21:00:00+00:00
0.8739,101572340.0,88764146.0,2026-03-13 22:00:00+00:00
1.092,53048791.0,57930840.0,2026-03-13 23:00:00+00:00
0.7799,135646004.0,105793741.0,2026-03-14 00:00:00+00:00
0.8223,113637141.0,93445925.0,2026-03-14 01:00:00+00:00
1.0768,53400595.0,57502769.0,2026-03-14 02:00:00+00:00
1.2782,89082224.0,113860771.0,2026-03-14 03:00:00+00:00
0.7417,94123207.0,69807715.0,2026-03-14 04:00:00+00:00
1.1335,62316863.0,70635132.0,2026-03-14 05:00:00+00:00
0.6472,254127312.0,164475570.0,2026-03-14 06:00:00+00:00
1.0502,65223015.0,68497508.0,2026-03-14 07:00:00+00:00
0.7872,88919639.0,69996744.0,2026-03-14 08:00:00+00:00
0.8315,99533227.0,82758106.0,2026-03-14 09:00:00+00:00
1.3837,61925371.0,85683310.0,2026-03-14 10:00:00+00:00
1.4856,119123870.0,176973799.0,2026-03-14 11:00:00+00:00
0.6443,107788316.0,69451531.0,2026-03-14 12:00:00+00:00
1.1279,71002994.0,80084841.0,2026-03-14 13:00:00+00:00
0.9033,155198919.0,140185918.0,2026-03-14 14:00:00+00:00
1.1339,77514665.0,87897313.0,2026-03-14 15:00:00+00:00
1.3303,58822150.0,78252409.0,2026-03-14 16:00:00+00:00
0.8545,43602547.0,37258092.0,2026-03-14 17:00:00+00:00
0.7814,56503136.0,44152456.0,2026-03-14 18:00:00+00:00
1.0566,22452451.0,23722648.0,2026-03-14 19:00:00+00:00
1.1066,34683941.0,38381709.0,2026-03-14 20:00:00+00:00
1.3184,31143672.0,41060160.0,2026-03-14 21:00:00+00:00
0.9392,30093044.0,28263962.0,2026-03-14 22:00:00+00:00
1.6381,84561707.0,138524608.0,2026-03-14 23:00:00+00:00
1.0945,98284921.0,107576992.0,2026-03-15 00:00:00+00:00
0.6303,85031852.0,53593562.0,2026-03-15 01:00:00+00:00
1.0263,203391254.0,208747952.0,2026-03-15 02:00:00+00:00
0.713,135548439.0,96647908.0,2026-03-15 03:00:00+00:00
0.9278,78841288.0,73146144.0,2026-03-15 04:00:00+00:00
1.0606,81170902.0,86085869.0,2026-03-15 05:00:00+00:00
0.8992,82547800.0,74223287.0,2026-03-15 06:00:00+00:00
0.9413,44432835.0,41825437.0,2026-03-15 07:00:00+00:00
1.3319,73951257.0,98498383.0,2026-03-15 08:00:00+00:00
0.8166,75971713.0,62035689.0,2026-03-15 09:00:00+00:00
1.0683,45793240.0,48920083.0,2026-03-15 10:00:00+00:00
1.0906,43878459.0,47855848.0,2026-03-15 11:00:00+00:00
0.8116,54582427.0,44298903.0,2026-03-15 12:00:00+00:00
0.6523,369508754.0,241015026.0,2026-03-15 13:00:00+00:00
1.0456,74620560.0,78025806.0,2026-03-15 14:00:00+00:00
0.6552,73700484.0,48285616.0,2026-03-15 15:00:00+00:00
0.8749,90480045.0,79165372.0,2026-03-15 16:00:00+00:00
1.283,58052913.0,74480509.0,2026-03-15 17:00:00+00:00
0.8418,66456286.0,55946172.0,2026-03-15 18:00:00+00:00
1.2844,34043275.0,43726433.0,2026-03-15 19:00:00+00:00
1.0054,52832498.0,53115972.0,2026-03-15 20:00:00+00:00
1.1177,66771178.0,74630826.0,2026-03-15 21:00:00+00:00
1.2549,188298485.0,236290892.0,2026-03-15 22:00:00+00:00
1.1194,222686439.0,249275198.0,2026-03-15 23:00:00+00:00
1.1232,153876290.0,172841248.0,2026-03-16 00:00:00+00:00
0.9333,142998075.0,133462733.0,2026-03-16 01:00:00+00:00
0.9311,196592476.0,183052477.0,2026-03-16 02:00:00+00:00
1.4157,417803659.0,591470208.0,2026-03-16 03:00:00+00:00
1.0432,274604546.0,286476791.0,2026-03-16 04:00:00+00:00
1.1767,189123278.0,222541094.0,2026-03-16 05:00:00+00:00
1.2295,223629502.0,274942349.0,2026-03-16 06:00:00+00:00
1.0586,199658274.0,211353683.0,2026-03-16 07:00:00+00:00
0.9821,362893286.0,356396133.0,2026-03-16 08:00:00+00:00
0.8583,247399250.0,212347220.0,2026-03-16 09:00:00+00:00
0.9323,184374464.0,171888726.0,2026-03-16 10:00:00+00:00
0.8467,248626592.0,210502256.0,2026-03-16 11:00:00+00:00
1.0337,144842455.0,149729583.0,2026-03-16 12:00:00+00:00
1.0933,300707274.0,328768706.0,2026-03-16 13:00:00+00:00
1.1466,499774315.0,573063594.0,2026-03-16 14:00:00+00:00
0.8922,384367894.0,342932444.0,2026-03-16 15:00:00+00:00
1.1593,198163238.0,229738871.0,2026-03-16 16:00:00+00:00
1.1085,85693625.0,94987185.0,2026-03-16 17:00:00+00:00
1.0554,112229306.0,118447854.0,2026-03-16 18:00:00+00:00
1.2353,99949130.0,123463282.0,2026-03-16 19:00:00+00:00
0.9262,73510176.0,68082428.0,2026-03-16 20:00:00+00:00
1.0942,98339457.0,107602891.0,2026-03-16 21:00:00+00:00
1.0885,143670673.0,156385737.0,2026-03-16 22:00:00+00:00
1.0405,142464849.0,148238260.0,2026-03-16 23:00:00+00:00
0.9677,224179001.0,216947448.0,2026-03-17 00:00:00+00:00
0.9797,159113541.0,155877369.0,2026-03-17 01:00:00+00:00
1.1658,214803054.0,250408604.0,2026-03-17 02:00:00+00:00
0.7616,355794756.0,270983143.0,2026-03-17 03:00:00+00:00
0.896,213265289.0,191092132.0,2026-03-17 04:00:00+00:00
0.7988,198811481.0,158806487.0,2026-03-17 05:00:00+00:00
1.3144,78841314.0,103632763.0,2026-03-17 06:00:00+00:00
0.8981,105919842.0,95128148.0,2026-03-17 07:00:00+00:00
0.9981,97596673.0,97414295.0,2026-03-17 08:00:00+00:00
0.7608,124621151.0,94815904.0,2026-03-17 09:00:00+00:00
1.3097,115325360.0,151036437.0,2026-03-17 10:00:00+00:00
0.9008,93267595.0,84018541.0,2026-03-17 11:00:00+00:00
0.7691,262952238.0,202238478.0,2026-03-17 12:00:00+00:00
0.7683,291739797.0,224145138.0,2026-03-17 13:00:00+00:00
0.8086,210609876.0,170294487.0,2026-03-17 14:00:00+00:00
0.9728,203959097.0,198409314.0,2026-03-17 15:00:00+00:00
1.0231,106203728.0,108652227.0,2026-03-17 16:00:00+00:00
0.8646,89752537.0,77599765.0,2026-03-17 17:00:00+00:00
0.8961,95206630.0,85310326.0,2026-03-17 18:00:00+00:00
0.9736,75291585.0,73300203.0,2026-03-17 19:00:00+00:00
1.117,52033851.0,58120420.0,2026-03-17 20:00:00+00:00
1.2453,50408815.0,62773626.0,2026-03-17 21:00:00+00:00
0.8914,78916174.0,70341997.0,2026-03-17 22:00:00+00:00
1.0897,72707138.0,79225769.0,2026-03-17 23:00:00+00:00
1.0221,99771121.0,101972443.0,2026-03-18 00:00:00+00:00
1.0003,69652854.0,69671442.0,2026-03-18 01:00:00+00:00
1.1655,62084946.0,72359637.0,2026-03-18 02:00:00+00:00
1.25,101062871.0,126328786.0,2026-03-18 03:00:00+00:00
0.7578,123466664.0,93562022.0,2026-03-18 04:00:00+00:00
1.059,109944450.0,116427506.0,2026-03-18 05:00:00+00:00
0.8995,61736127.0,55533560.0,2026-03-18 06:00:00+00:00
0.7626,165394474.0,126128847.0,2026-03-18 07:00:00+00:00
1.0291,67631485.0,69602067.0,2026-03-18 08:00:00+00:00
0.8273,64547451.0,53399544.0,2026-03-18 09:00:00+00:00
0.6488,118613409.0,76960511.0,2026-03-18 10:00:00+00:00
0.7799,492528962.0,384120918.0,2026-03-18 11:00:00+00:00
0.8455,338762470.0,286417253.0,2026-03-18 12:00:00+00:00
0.8638,296993391.0,256543537.0,2026-03-18 13:00:00+00:00
0.7084,313619652.0,222163416.0,2026-03-18 14:00:00+00:00
0.7334,229042951.0,167972383.0,2026-03-18 15:00:00+00:00
0.8458,230749760.0,195160229.0,2026-03-18 16:00:00+00:00
0.9283,193669344.0,179783099.0,2026-03-18 17:00:00+00:00
1.0191,267257838.0,272367396.0,2026-03-18 18:00:00+00:00
0.9339,103122145.0,96307905.0,2026-03-18 19:00:00+00:00
1.0805,122485260.0,132343560.0,2026-03-18 20:00:00+00:00
1.0268,63294553.0,64991135.0,2026-03-18 21:00:00+00:00
1.077,44938053.0,48397987.0,2026-03-18 22:00:00+00:00
1.0638,49963896.0,53152369.0,2026-03-18 23:00:00+00:00
1.1457,56176397.0,64358646.0,2026-03-19 00:00:00+00:00
1.0879,39677210.0,43162893.0,2026-03-19 01:00:00+00:00
0.9873,59381481.0,58624639.0,2026-03-19 02:00:00+00:00
0.9717,132377362.0,128629769.0,2026-03-19 03:00:00+00:00
0.7351,89258351.0,65610808.0,2026-03-19 04:00:00+00:00
0.8361,78622284.0,65732169.0,2026-03-19 05:00:00+00:00
1.0315,66392321.0,68481305.0,2026-03-19 06:00:00+00:00
0.7615,325539341.0,247910560.0,2026-03-19 07:00:00+00:00
1.0908,82663952.0,90173167.0,2026-03-19 08:00:00+00:00
1.1708,116753114.0,136692214.0,2026-03-19 09:00:00+00:00
0.6173,90349268.0,55768653.0,2026-03-19 10:00:00+00:00
0.6952,143783236.0,99955681.0,2026-03-19 11:00:00+00:00
0.7684,243274782.0,186923399.0,2026-03-19 12:00:00+00:00
1.0172,273995241.0,278701119.0,2026-03-19 13:00:00+00:00
1.0308,126736750.0,130638664.0,2026-03-19 14:00:00+00:00
0.8591,138440152.0,118937661.0,2026-03-19 15:00:00+00:00
1.0212,117525407.0,120011716.0,2026-03-19 16:00:00+00:00
0.9252,119146135.0,110229878.0,2026-03-19 17:00:00+00:00
0.8487,52956269.0,44941885.0,2026-03-19 18:00:00+00:00
0.9154,123629788.0,113176828.0,2026-03-19 19:00:00+00:00
1.0229,48997503.0,50121001.0,2026-03-19 20:00:00+00:00
0.9252,35779464.0,33104837.0,2026-03-19 21:00:00+00:00
0.7766,64034036.0,49729242.0,2026-03-19 22:00:00+00:00
1.4876,48329648.0,71893334.0,2026-03-19 23:00:00+00:00
1.3495,52616490.0,71004215.0,2026-03-20 00:00:00+00:00
0.978,121576572.0,118897825.0,2026-03-20 01:00:00+00:00
0.6859,98993341.0,67901314.0,2026-03-20 02:00:00+00:00
1.1185,62291324.0,69671560.0,2026-03-20 03:00:00+00:00
1.316,78006755.0,102657371.0,2026-03-20 04:00:00+00:00
1.0547,129637401.0,136724291.0,2026-03-20 05:00:00+00:00
0.7617,64347661.0,49013424.0,2026-03-20 06:00:00+00:00
0.8675,134817060.0,116950899.0,2026-03-20 07:00:00+00:00
0.9377,99253005.0,93069016.0,2026-03-20 08:00:00+00:00
0.7425,95636019.0,71006618.0,2026-03-20 09:00:00+00:00
1.2328,88712527.0,109366596.0,2026-03-20 10:00:00+00:00
0.6756,108949012.0,73602639.0,2026-03-20 11:00:00+00:00
0.8854,101769251.0,90104860.0,2026-03-20 12:00:00+00:00
0.9257,144117559.0,133407114.0,2026-03-20 13:00:00+00:00
1.219,178626968.0,217744147.0,2026-03-20 14:00:00+00:00
1.3341,80201616.0,106997242.0,2026-03-20 15:00:00+00:00
1.0741,92562049.0,99418658.0,2026-03-20 16:00:00+00:00
0.8298,69328729.0,57526250.0,2026-03-20 17:00:00+00:00
1.2017,84001685.0,100944158.0,2026-03-20 18:00:00+00:00
0.7859,120644885.0,94812179.0,2026-03-20 19:00:00+00:00
0.946,61924963.0,58580568.0,2026-03-20 20:00:00+00:00
0.9475,77401585.0,73341731.0,2026-03-20 21:00:00+00:00
1.0432,74249600.0,77457737.0,2026-03-20 22:00:00+00:00
0.8936,34286703.0,30639068.0,2026-03-20 23:00:00+00:00
1.1387,29597654.0,33702826.0,2026-03-21 00:00:00+00:00
0.8448,57708568.0,48751359.0,2026-03-21 01:00:00+00:00
1.2928,70854801.0,91598758.0,2026-03-21 02:00:00+00:00
0.8649,50293041.0,43500714.0,2026-03-21 03:00:00+00:00
0.8192,37511590.0,30729046.0,2026-03-21 04:00:00+00:00
0.9752,37010727.0,36093479.0,2026-03-21 05:00:00+00:00
0.4227,131715331.0,55677173.0,2026-03-21 06:00:00+00:00
0.5809,93364230.0,54239468.0,2026-03-21 07:00:00+00:00
0.8235,61706335.0,50813310.0,2026-03-21 08:00:00+00:00
0.87,31905741.0,27758294.0,2026-03-21 09:00:00+00:00
0.6237,55426213.0,34568836.0,2026-03-21 10:00:00+00:00
0.5638,44487530.0,25080466.0,2026-03-21 11:00:00+00:00
1.0576,25335078.0,26794922.0,2026-03-21 12:00:00+00:00
0.5774,79676029.0,46001622.0,2026-03-21 13:00:00+00:00
1.0417,84926976.0,88471296.0,2026-03-21 14:00:00+00:00
1.3786,78088420.0,107651501.0,2026-03-21 15:00:00+00:00
0.9227,70829015.0,65357425.0,2026-03-21 16:00:00+00:00
0.8197,52328634.0,42895109.0,2026-03-21 17:00:00+00:00
0.9572,24577453.0,23525337.0,2026-03-21 18:00:00+00:00
0.866,23983721.0,20769604.0,2026-03-21 19:00:00+00:00
1.0268,25564233.0,26249597.0,2026-03-21 20:00:00+00:00
0.6146,32434465.0,19933987.0,2026-03-21 21:00:00+00:00
0.6697,40423634.0,27071159.0,2026-03-21 22:00:00+00:00
0.8218,522929292.0,429739303.0,2026-03-21 23:00:00+00:00
0.8405,350292420.0,294415686.0,2026-03-22 00:00:00+00:00
0.7795,141858666.0,110574066.0,2026-03-22 01:00:00+00:00
1.2596,82490024.0,103905779.0,2026-03-22 02:00:00+00:00
1.3278,114823819.0,152463386.0,2026-03-22 03:00:00+00:00
1.0138,79658730.0,80757834.0,2026-03-22 04:00:00+00:00
0.6895,91502847.0,63090078.0,2026-03-22 05:00:00+00:00
0.7942,79396625.0,63056646.0,2026-03-22 06:00:00+00:00
0.7544,101637448.0,76680019.0,2026-03-22 07:00:00+00:00
0.9153,168078605.0,153835545.0,2026-03-22 08:00:00+00:00
1.1367,62340887.0,70864076.0,2026-03-22 09:00:00+00:00
0.7505,48007182.0,36028302.0,2026-03-22 10:00:00+00:00
1.0145,57296660.0,58129637.0,2026-03-22 11:00:00+00:00
1.1129,96868206.0,107805535.0,2026-03-22 12:00:00+00:00
0.729,83293268.0,60723149.0,2026-03-22 13:00:00+00:00
0.9342,77277327.0,72189185.0,2026-03-22 14:00:00+00:00
1.109,42093733.0,46682303.0,2026-03-22 15:00:00+00:00
1.0278,33507136.0,34438318.0,2026-03-22 16:00:00+00:00
0.8634,40933567.0,35343153.0,2026-03-22 17:00:00+00:00
