buySellRatio,sellVol,buyVol,timestamp
1.2369,6143748.0,7599100.0,2026-03-25 22:35:00+00:00
0.8941,13556757.0,12121058.0,2026-03-25 22:40:00+00:00
1.1492,3359007.0,3860315.0,2026-03-25 22:45:00+00:00
0.7749,2374600.0,1840122.0,2026-03-25 22:50:00+00:00
1.3593,1821309.0,2475631.0,2026-03-25 22:55:00+00:00
0.7524,3672984.0,2763531.0,2026-03-25 23:00:00+00:00
0.9517,1101727.0,1048469.0,2026-03-25 23:05:00+00:00
0.3503,3523745.0,1234314.0,2026-03-25 23:10:00+00:00
0.4296,4715595.0,2025805.0,2026-03-25 23:15:00+00:00
1.1818,2002412.0,2366498.0,2026-03-25 23:20:00+00:00
1.0457,1722631.0,1801404.0,2026-03-25 23:25:00+00:00
0.6406,4316932.0,2765331.0,2026-03-25 23:30:00+00:00
0.8997,2973473.0,2675271.0,2026-03-25 23:35:00+00:00
0.4244,3781287.0,1604842.0,2026-03-25 23:40:00+00:00
0.8251,8635487.0,7125141.0,2026-03-25 23:45:00+00:00
2.0213,4440604.0,8975593.0,2026-03-25 23:50:00+00:00
0.939,2488890.0,2337015.0,2026-03-25 23:55:00+00:00
1.1525,8121494.0,9359809.0,2026-03-26 00:00:00+00:00
0.6235,7399555.0,4613272.0,2026-03-26 00:05:00+00:00
0.5326,9286243.0,4946164.0,2026-03-26 00:10:00+00:00
0.8514,4725141.0,4022824.0,2026-03-26 00:15:00+00:00
0.6708,3561010.0,2388719.0,2026-03-26 00:20:00+00:00
1.0518,1613484.0,1696997.0,2026-03-26 00:25:00+00:00
0.5762,4134114.0,2382235.0,2026-03-26 00:30:00+00:00
1.0505,2592726.0,2723683.0,2026-03-26 00:35:00+00:00
0.8212,2638521.0,2166852.0,2026-03-26 00:40:00+00:00
0.5534,3353200.0,1855708.0,2026-03-26 00:45:00+00:00
0.3322,8645806.0,2872369.0,2026-03-26 00:50:00+00:00
1.0865,5128100.0,5571454.0,2026-03-26 00:55:00+00:00
1.1554,7853534.0,9074097.0,2026-03-26 01:00:00+00:00
0.6914,5101470.0,3527401.0,2026-03-26 01:05:00+00:00
0.3554,7233756.0,2570741.0,2026-03-26 01:10:00+00:00
0.5705,16756897.0,9560319.0,2026-03-26 01:15:00+00:00
1.8166,2390418.0,4342474.0,2026-03-26 01:20:00+00:00
1.4622,4370729.0,6390929.0,2026-03-26 01:25:00+00:00
1.6023,2933131.0,4699723.0,2026-03-26 01:30:00+00:00
1.5118,2603887.0,3936479.0,2026-03-26 01:35:00+00:00
0.6951,6394723.0,4445109.0,2026-03-26 01:40:00+00:00
0.6975,2434671.0,1698092.0,2026-03-26 01:45:00+00:00
0.3885,9777422.0,3799005.0,2026-03-26 01:50:00+00:00
1.1875,4111252.0,4882175.0,2026-03-26 01:55:00+00:00
0.7569,5314720.0,4022887.0,2026-03-26 02:00:00+00:00
0.8477,13056106.0,11067291.0,2026-03-26 02:05:00+00:00
0.9729,8106898.0,7887443.0,2026-03-26 02:10:00+00:00
0.2652,30868714.0,8185248.0,2026-03-26 02:15:00+00:00
0.7388,30272773.0,22365649.0,2026-03-26 02:20:00+00:00
1.7942,7049175.0,12647708.0,2026-03-26 02:25:00+00:00
0.5959,48490598.0,28896575.0,2026-03-26 02:30:00+00:00
0.9372,20438950.0,19156141.0,2026-03-26 02:35:00+00:00
1.2822,4800335.0,6154948.0,2026-03-26 02:40:00+00:00
2.3,5335388.0,12271374.0,2026-03-26 02:45:00+00:00
0.7772,6507397.0,5057377.0,2026-03-26 02:50:00+00:00
1.1937,3219183.0,3842844.0,2026-03-26 02:55:00+00:00
0.7712,9763847.0,7529981.0,2026-03-26 03:00:00+00:00
0.6861,5796336.0,3976674.0,2026-03-26 03:05:00+00:00
2.0561,7313566.0,15037095.0,2026-03-26 03:10:00+00:00
0.2507,12677224.0,3177728.0,2026-03-26 03:15:00+00:00
0.3054,20367268.0,6221098.0,2026-03-26 03:20:00+00:00
0.4713,46448698.0,21891548.0,2026-03-26 03:25:00+00:00
1.2421,9750708.0,12111796.0,2026-03-26 03:30:00+00:00
5.1103,4017940.0,20532922.0,2026-03-26 03:35:00+00:00
2.0648,2146569.0,4432339.0,2026-03-26 03:40:00+00:00
0.9328,6330625.0,5905515.0,2026-03-26 03:45:00+00:00
1.4024,3041542.0,4265355.0,2026-03-26 03:50:00+00:00
0.9908,3617926.0,3584661.0,2026-03-26 03:55:00+00:00
0.9181,5477626.0,5029248.0,2026-03-26 04:00:00+00:00
1.2949,3931419.0,5090777.0,2026-03-26 04:05:00+00:00
0.921,4938680.0,4548488.0,2026-03-26 04:10:00+00:00
1.5676,4551420.0,7134587.0,2026-03-26 04:15:00+00:00
0.9423,3952897.0,3724733.0,2026-03-26 04:20:00+00:00
1.3792,4215499.0,5813960.0,2026-03-26 04:25:00+00:00
1.2586,5449366.0,6858797.0,2026-03-26 04:30:00+00:00
0.6452,4951356.0,3194826.0,2026-03-26 04:35:00+00:00
0.7212,4761935.0,3434444.0,2026-03-26 04:40:00+00:00
0.9781,2103926.0,2057796.0,2026-03-26 04:45:00+00:00
0.28,7130982.0,1996776.0,2026-03-26 04:50:00+00:00
0.4951,6103394.0,3021626.0,2026-03-26 04:55:00+00:00
0.9283,5732218.0,5321148.0,2026-03-26 05:00:00+00:00
0.4888,41783541.0,20423601.0,2026-03-26 05:05:00+00:00
0.6672,11392023.0,7600497.0,2026-03-26 05:10:00+00:00
1.0921,8593971.0,9385398.0,2026-03-26 05:15:00+00:00
1.5629,5934416.0,9275005.0,2026-03-26 05:20:00+00:00
0.69,11732402.0,8095332.0,2026-03-26 05:25:00+00:00
1.5645,3753155.0,5871722.0,2026-03-26 05:30:00+00:00
0.571,11180349.0,6383559.0,2026-03-26 05:35:00+00:00
0.7002,72379326.0,50682912.0,2026-03-26 05:40:00+00:00
0.8024,43942062.0,35257591.0,2026-03-26 05:45:00+00:00
0.8988,33222193.0,29859860.0,2026-03-26 05:50:00+00:00
1.4818,26750317.0,39639816.0,2026-03-26 05:55:00+00:00
0.5281,46552435.0,24584112.0,2026-03-26 06:00:00+00:00
0.924,11942176.0,11034460.0,2026-03-26 06:05:00+00:00
0.9324,10521831.0,9811029.0,2026-03-26 06:10:00+00:00
0.5079,19769158.0,10040841.0,2026-03-26 06:15:00+00:00
0.4196,20359505.0,8543852.0,2026-03-26 06:20:00+00:00
0.6938,27033191.0,18756183.0,2026-03-26 06:25:00+00:00
1.1182,6294087.0,7038107.0,2026-03-26 06:30:00+00:00
0.7525,9492244.0,7142717.0,2026-03-26 06:35:00+00:00
1.5787,2832710.0,4472089.0,2026-03-26 06:40:00+00:00
0.9799,10052339.0,9850686.0,2026-03-26 06:45:00+00:00
4.189,15418725.0,64588903.0,2026-03-26 06:50:00+00:00
0.7212,15825956.0,11413653.0,2026-03-26 06:55:00+00:00
0.7332,12210749.0,8952935.0,2026-03-26 07:00:00+00:00
0.7517,8208514.0,6170141.0,2026-03-26 07:05:00+00:00
0.385,7783665.0,2996797.0,2026-03-26 07:10:00+00:00
0.5167,9571182.0,4945004.0,2026-03-26 07:15:00+00:00
0.6881,16848999.0,11593609.0,2026-03-26 07:20:00+00:00
1.1054,4816861.0,5324377.0,2026-03-26 07:25:00+00:00
0.5004,14312257.0,7161772.0,2026-03-26 07:30:00+00:00
1.6001,4173965.0,6678562.0,2026-03-26 07:35:00+00:00
0.8296,3984026.0,3304959.0,2026-03-26 07:40:00+00:00
0.9309,4309899.0,4012082.0,2026-03-26 07:45:00+00:00
0.7959,10277152.0,8179547.0,2026-03-26 07:50:00+00:00
0.5945,5429464.0,3227701.0,2026-03-26 07:55:00+00:00
0.5855,9446292.0,5530480.0,2026-03-26 08:00:00+00:00
0.7434,8624835.0,6411740.0,2026-03-26 08:05:00+00:00
0.8974,8342497.0,7486751.0,2026-03-26 08:10:00+00:00
0.8183,16546661.0,13540048.0,2026-03-26 08:15:00+00:00
1.0366,7556086.0,7832544.0,2026-03-26 08:20:00+00:00
0.3477,21996201.0,7647241.0,2026-03-26 08:25:00+00:00
1.3162,7552591.0,9940348.0,2026-03-26 08:30:00+00:00
1.4406,6794042.0,9787382.0,2026-03-26 08:35:00+00:00
0.7125,12716419.0,9060661.0,2026-03-26 08:40:00+00:00
1.5814,6559923.0,10374037.0,2026-03-26 08:45:00+00:00
1.2227,6935593.0,8480216.0,2026-03-26 08:50:00+00:00
1.3284,2946526.0,3914104.0,2026-03-26 08:55:00+00:00
0.6594,8748370.0,5768723.0,2026-03-26 09:00:00+00:00
0.7538,9166799.0,6909990.0,2026-03-26 09:05:00+00:00
0.7732,6930611.0,5358872.0,2026-03-26 09:10:00+00:00
0.3714,84787324.0,31491312.0,2026-03-26 09:15:00+00:00
1.3676,10400779.0,14224113.0,2026-03-26 09:20:00+00:00
1.1311,6102218.0,6902448.0,2026-03-26 09:25:00+00:00
0.7313,111858786.0,81797196.0,2026-03-26 09:30:00+00:00
1.511,15616963.0,23596646.0,2026-03-26 09:35:00+00:00
1.0998,8921456.0,9811576.0,2026-03-26 09:40:00+00:00
0.7104,9732192.0,6913905.0,2026-03-26 09:45:00+00:00
0.7662,7069206.0,5416728.0,2026-03-26 09:50:00+00:00
1.619,3806572.0,6162875.0,2026-03-26 09:55:00+00:00
0.6353,11242537.0,7142291.0,2026-03-26 10:00:00+00:00
0.7765,8873607.0,6890615.0,2026-03-26 10:05:00+00:00
0.5436,10660583.0,5795241.0,2026-03-26 10:10:00+00:00
3.0073,16518169.0,49675350.0,2026-03-26 10:15:00+00:00
0.9255,7698121.0,7124256.0,2026-03-26 10:20:00+00:00
0.6601,5711385.0,3769986.0,2026-03-26 10:25:00+00:00
0.5601,7321207.0,4100313.0,2026-03-26 10:30:00+00:00
0.6671,8443320.0,5632599.0,2026-03-26 10:35:00+00:00
1.1835,4548971.0,5383924.0,2026-03-26 10:40:00+00:00
0.9114,11057964.0,10078424.0,2026-03-26 10:45:00+00:00
1.1766,5375636.0,6325165.0,2026-03-26 10:50:00+00:00
0.8584,3981532.0,3417895.0,2026-03-26 10:55:00+00:00
0.5928,12623430.0,7483602.0,2026-03-26 11:00:00+00:00
0.7677,7836069.0,6015361.0,2026-03-26 11:05:00+00:00
0.6472,23814920.0,15412050.0,2026-03-26 11:10:00+00:00
1.047,2943223.0,3081611.0,2026-03-26 11:15:00+00:00
1.1524,7946597.0,9157873.0,2026-03-26 11:20:00+00:00
0.6806,15650434.0,10652181.0,2026-03-26 11:25:00+00:00
0.6257,10635418.0,6654771.0,2026-03-26 11:30:00+00:00
0.9702,7576634.0,7350642.0,2026-03-26 11:35:00+00:00
1.1302,3219041.0,3638028.0,2026-03-26 11:40:00+00:00
0.6703,6549750.0,4390240.0,2026-03-26 11:45:00+00:00
1.688,4120224.0,6955111.0,2026-03-26 11:50:00+00:00
1.0944,3769951.0,4125695.0,2026-03-26 11:55:00+00:00
1.1217,13302863.0,14922092.0,2026-03-26 12:00:00+00:00
0.7584,10671523.0,8093751.0,2026-03-26 12:05:00+00:00
1.5104,5125443.0,7741317.0,2026-03-26 12:10:00+00:00
0.8649,8904131.0,7701584.0,2026-03-26 12:15:00+00:00
1.7545,4102360.0,7197766.0,2026-03-26 12:20:00+00:00
1.1115,5630097.0,6257752.0,2026-03-26 12:25:00+00:00
0.8651,7202557.0,6230680.0,2026-03-26 12:30:00+00:00
1.8187,3758853.0,6836051.0,2026-03-26 12:35:00+00:00
0.6813,6440977.0,4388028.0,2026-03-26 12:40:00+00:00
0.8361,7685918.0,6426422.0,2026-03-26 12:45:00+00:00
1.0317,2772946.0,2860923.0,2026-03-26 12:50:00+00:00
1.4936,2508625.0,3746953.0,2026-03-26 12:55:00+00:00
0.9699,6377130.0,6185156.0,2026-03-26 13:00:00+00:00
1.33,6876247.0,9145079.0,2026-03-26 13:05:00+00:00
1.347,8814993.0,11873676.0,2026-03-26 13:10:00+00:00
1.0526,8766900.0,9228277.0,2026-03-26 13:15:00+00:00
0.6122,24282460.0,14865104.0,2026-03-26 13:20:00+00:00
0.4241,9027182.0,3828342.0,2026-03-26 13:25:00+00:00
1.339,11064202.0,14814419.0,2026-03-26 13:30:00+00:00
1.1386,12552788.0,14292680.0,2026-03-26 13:35:00+00:00
1.3444,6869572.0,9235635.0,2026-03-26 13:40:00+00:00
1.0248,39834511.0,40822367.0,2026-03-26 13:45:00+00:00
1.7288,12019485.0,20778801.0,2026-03-26 13:50:00+00:00
0.6738,16820247.0,11333654.0,2026-03-26 13:55:00+00:00
2.3448,6973028.0,16350566.0,2026-03-26 14:00:00+00:00
0.8933,7736546.0,6910802.0,2026-03-26 14:05:00+00:00
0.9736,4405783.0,4289514.0,2026-03-26 14:10:00+00:00
1.4392,5544001.0,7978751.0,2026-03-26 14:15:00+00:00
0.5493,11107686.0,6101754.0,2026-03-26 14:20:00+00:00
0.9085,4261311.0,3871344.0,2026-03-26 14:25:00+00:00
1.4758,4947542.0,7301701.0,2026-03-26 14:30:00+00:00
0.974,4355092.0,4242008.0,2026-03-26 14:35:00+00:00
0.6308,9247519.0,5833428.0,2026-03-26 14:40:00+00:00
0.6018,5709369.0,3435793.0,2026-03-26 14:45:00+00:00
0.5188,13681551.0,7097732.0,2026-03-26 14:50:00+00:00
1.5097,7170286.0,10824995.0,2026-03-26 14:55:00+00:00
0.6727,5489971.0,3693153.0,2026-03-26 15:00:00+00:00
0.459,42464039.0,19492810.0,2026-03-26 15:05:00+00:00
0.729,31265480.0,22793129.0,2026-03-26 15:10:00+00:00
0.6422,65978325.0,42371261.0,2026-03-26 15:15:00+00:00
0.6288,15618153.0,9821161.0,2026-03-26 15:20:00+00:00
1.0429,8164685.0,8514745.0,2026-03-26 15:25:00+00:00
0.8992,13204395.0,11873069.0,2026-03-26 15:30:00+00:00
1.7441,10515125.0,18339531.0,2026-03-26 15:35:00+00:00
1.4951,4585408.0,6855708.0,2026-03-26 15:40:00+00:00
1.0401,7289230.0,7581886.0,2026-03-26 15:45:00+00:00
1.4718,7580369.0,11156973.0,2026-03-26 15:50:00+00:00
0.6058,5824932.0,3528913.0,2026-03-26 15:55:00+00:00
0.8901,12323997.0,10969182.0,2026-03-26 16:00:00+00:00
2.1523,3405073.0,7328835.0,2026-03-26 16:05:00+00:00
0.9499,4387841.0,4168068.0,2026-03-26 16:10:00+00:00
2.0734,13948204.0,28919724.0,2026-03-26 16:15:00+00:00
0.7375,7999275.0,5899319.0,2026-03-26 16:20:00+00:00
1.3579,4254057.0,5776499.0,2026-03-26 16:25:00+00:00
1.5918,3652866.0,5814543.0,2026-03-26 16:30:00+00:00
0.4779,13140826.0,6279787.0,2026-03-26 16:35:00+00:00
1.839,2966997.0,5456207.0,2026-03-26 16:40:00+00:00
0.6303,12199311.0,7688794.0,2026-03-26 16:45:00+00:00
0.9732,5495753.0,5348411.0,2026-03-26 16:50:00+00:00
1.7059,1284878.0,2191846.0,2026-03-26 16:55:00+00:00
