symbol,longAccount,longShortRatio,shortAccount,timestamp
DOGEUSDT,0.5792,1.3764,0.4208,2026-03-13 17:00:00+00:00
DOGEUSDT,0.5913,1.4465,0.4087,2026-03-13 18:00:00+00:00
DOGEUSDT,0.6004,1.5022,0.3996,2026-03-13 19:00:00+00:00
DOGEUSDT,0.6019,1.5122,0.3981,2026-03-13 20:00:00+00:00
DOGEUSDT,0.6036,1.523,0.3964,2026-03-13 21:00:00+00:00
DOGEUSDT,0.6023,1.5146,0.3977,2026-03-13 22:00:00+00:00
DOGEUSDT,0.6057,1.5364,0.3943,2026-03-13 23:00:00+00:00
DOGEUSDT,0.605,1.5314,0.395,2026-03-14 00:00:00+00:00
DOGEUSDT,0.6114,1.5731,0.3886,2026-03-14 01:00:00+00:00
DOGEUSDT,0.6166,1.6081,0.3834,2026-03-14 02:00:00+00:00
DOGEUSDT,0.6141,1.5912,0.3859,2026-03-14 03:00:00+00:00
DOGEUSDT,0.6062,1.5392,0.3938,2026-03-14 04:00:00+00:00
DOGEUSDT,0.6041,1.5257,0.3959,2026-03-14 05:00:00+00:00
DOGEUSDT,0.6041,1.5258,0.3959,2026-03-14 06:00:00+00:00
DOGEUSDT,0.6034,1.5215,0.3966,2026-03-14 07:00:00+00:00
DOGEUSDT,0.6048,1.5302,0.3952,2026-03-14 08:00:00+00:00
DOGEUSDT,0.5969,1.4805,0.4031,2026-03-14 09:00:00+00:00
DOGEUSDT,0.6003,1.5018,0.3997,2026-03-14 10:00:00+00:00
DOGEUSDT,0.5974,1.4838,0.4026,2026-03-14 11:00:00+00:00
DOGEUSDT,0.6061,1.539,0.3939,2026-03-14 12:00:00+00:00
DOGEUSDT,0.6081,1.5518,0.3919,2026-03-14 13:00:00+00:00
DOGEUSDT,0.6107,1.569,0.3893,2026-03-14 14:00:00+00:00
DOGEUSDT,0.6019,1.512,0.3981,2026-03-14 15:00:00+00:00
DOGEUSDT,0.6082,1.5524,0.3918,2026-03-14 16:00:00+00:00
DOGEUSDT,0.6111,1.571,0.3889,2026-03-14 17:00:00+00:00
DOGEUSDT,0.6116,1.5749,0.3884,2026-03-14 18:00:00+00:00
DOGEUSDT,0.6147,1.5951,0.3853,2026-03-14 19:00:00+00:00
DOGEUSDT,0.6146,1.595,0.3854,2026-03-14 20:00:00+00:00
DOGEUSDT,0.6133,1.5858,0.3867,2026-03-14 21:00:00+00:00
DOGEUSDT,0.6135,1.5874,0.3865,2026-03-14 22:00:00+00:00
DOGEUSDT,0.6127,1.5821,0.3873,2026-03-14 23:00:00+00:00
DOGEUSDT,0.603,1.519,0.397,2026-03-15 00:00:00+00:00
DOGEUSDT,0.5965,1.4785,0.4035,2026-03-15 01:00:00+00:00
DOGEUSDT,0.6011,1.5071,0.3989,2026-03-15 02:00:00+00:00
DOGEUSDT,0.6018,1.5115,0.3982,2026-03-15 03:00:00+00:00
DOGEUSDT,0.6052,1.5328,0.3948,2026-03-15 04:00:00+00:00
DOGEUSDT,0.6092,1.5591,0.3908,2026-03-15 05:00:00+00:00
DOGEUSDT,0.6093,1.5596,0.3907,2026-03-15 06:00:00+00:00
DOGEUSDT,0.6107,1.5685,0.3893,2026-03-15 07:00:00+00:00
DOGEUSDT,0.6109,1.5702,0.3891,2026-03-15 08:00:00+00:00
DOGEUSDT,0.6083,1.5531,0.3917,2026-03-15 09:00:00+00:00
DOGEUSDT,0.6059,1.5375,0.3941,2026-03-15 10:00:00+00:00
DOGEUSDT,0.6039,1.5246,0.3961,2026-03-15 11:00:00+00:00
DOGEUSDT,0.6055,1.5347,0.3945,2026-03-15 12:00:00+00:00
DOGEUSDT,0.6051,1.5324,0.3949,2026-03-15 13:00:00+00:00
DOGEUSDT,0.5962,1.4767,0.4038,2026-03-15 14:00:00+00:00
DOGEUSDT,0.5946,1.4666,0.4054,2026-03-15 15:00:00+00:00
DOGEUSDT,0.5958,1.4741,0.4042,2026-03-15 16:00:00+00:00
DOGEUSDT,0.5971,1.4822,0.4029,2026-03-15 17:00:00+00:00
DOGEUSDT,0.5974,1.4841,0.4026,2026-03-15 18:00:00+00:00
DOGEUSDT,0.5985,1.4905,0.4015,2026-03-15 19:00:00+00:00
DOGEUSDT,0.5966,1.4786,0.4034,2026-03-15 20:00:00+00:00
DOGEUSDT,0.5962,1.4765,0.4038,2026-03-15 21:00:00+00:00
DOGEUSDT,0.5965,1.478,0.4035,2026-03-15 22:00:00+00:00
DOGEUSDT,0.5893,1.435,0.4107,2026-03-15 23:00:00+00:00
DOGEUSDT,0.5929,1.4563,0.4071,2026-03-16 00:00:00+00:00
DOGEUSDT,0.5894,1.4354,0.4106,2026-03-16 01:00:00+00:00
DOGEUSDT,0.578,1.3696,0.422,2026-03-16 02:00:00+00:00
DOGEUSDT,0.5745,1.3499,0.4255,2026-03-16 03:00:00+00:00
DOGEUSDT,0.5776,1.3677,0.4224,2026-03-16 04:00:00+00:00
DOGEUSDT,0.5697,1.3237,0.4303,2026-03-16 05:00:00+00:00
DOGEUSDT,0.5647,1.2975,0.4353,2026-03-16 06:00:00+00:00
DOGEUSDT,0.5668,1.3086,0.4332,2026-03-16 07:00:00+00:00
DOGEUSDT,0.5552,1.2481,0.4448,2026-03-16 08:00:00+00:00
DOGEUSDT,0.5679,1.3141,0.4321,2026-03-16 09:00:00+00:00
DOGEUSDT,0.5662,1.3054,0.4338,2026-03-16 10:00:00+00:00
DOGEUSDT,0.5748,1.3521,0.4252,2026-03-16 11:00:00+00:00
DOGEUSDT,0.5811,1.387,0.4189,2026-03-16 12:00:00+00:00
DOGEUSDT,0.5805,1.3839,0.4195,2026-03-16 13:00:00+00:00
DOGEUSDT,0.588,1.4271,0.412,2026-03-16 14:00:00+00:00
DOGEUSDT,0.5769,1.3637,0.4231,2026-03-16 15:00:00+00:00
DOGEUSDT,0.5704,1.3277,0.4296,2026-03-16 16:00:00+00:00
DOGEUSDT,0.5791,1.3756,0.4209,2026-03-16 17:00:00+00:00
DOGEUSDT,0.5794,1.3778,0.4206,2026-03-16 18:00:00+00:00
DOGEUSDT,0.5822,1.3933,0.4178,2026-03-16 19:00:00+00:00
DOGEUSDT,0.5866,1.4189,0.4134,2026-03-16 20:00:00+00:00
DOGEUSDT,0.5897,1.4371,0.4103,2026-03-16 21:00:00+00:00
DOGEUSDT,0.5934,1.4597,0.4066,2026-03-16 22:00:00+00:00
DOGEUSDT,0.5927,1.4551,0.4073,2026-03-16 23:00:00+00:00
DOGEUSDT,0.5906,1.4425,0.4094,2026-03-17 00:00:00+00:00
DOGEUSDT,0.5853,1.4111,0.4147,2026-03-17 01:00:00+00:00
DOGEUSDT,0.5815,1.3897,0.4185,2026-03-17 02:00:00+00:00
DOGEUSDT,0.5888,1.4318,0.4112,2026-03-17 03:00:00+00:00
DOGEUSDT,0.5978,1.4866,0.4022,2026-03-17 04:00:00+00:00
DOGEUSDT,0.6005,1.503,0.3995,2026-03-17 05:00:00+00:00
DOGEUSDT,0.6033,1.5208,0.3967,2026-03-17 06:00:00+00:00
DOGEUSDT,0.6054,1.5341,0.3946,2026-03-17 07:00:00+00:00
DOGEUSDT,0.5997,1.4984,0.4003,2026-03-17 08:00:00+00:00
DOGEUSDT,0.6005,1.5029,0.3995,2026-03-17 09:00:00+00:00
DOGEUSDT,0.6026,1.5161,0.3974,2026-03-17 10:00:00+00:00
DOGEUSDT,0.6032,1.5201,0.3968,2026-03-17 11:00:00+00:00
DOGEUSDT,0.6061,1.5387,0.3939,2026-03-17 12:00:00+00:00
DOGEUSDT,0.6092,1.5589,0.3908,2026-03-17 13:00:00+00:00
DOGEUSDT,0.6205,1.6352,0.3795,2026-03-17 14:00:00+00:00
DOGEUSDT,0.6139,1.5902,0.3861,2026-03-17 15:00:00+00:00
DOGEUSDT,0.6153,1.5995,0.3847,2026-03-17 16:00:00+00:00
DOGEUSDT,0.611,1.5707,0.389,2026-03-17 17:00:00+00:00
DOGEUSDT,0.6117,1.5754,0.3883,2026-03-17 18:00:00+00:00
DOGEUSDT,0.6061,1.5387,0.3939,2026-03-17 19:00:00+00:00
DOGEUSDT,0.6041,1.5261,0.3959,2026-03-17 20:00:00+00:00
DOGEUSDT,0.6024,1.5152,0.3976,2026-03-17 21:00:00+00:00
DOGEUSDT,0.6023,1.5146,0.3977,2026-03-17 22:00:00+00:00
DOGEUSDT,0.6047,1.53,0.3953,2026-03-17 23:00:00+00:00
DOGEUSDT,0.6065,1.5415,0.3935,2026-03-18 00:00:00+00:00
DOGEUSDT,0.6065,1.541,0.3935,2026-03-18 01:00:00+00:00
