symbol,longAccount,longShortRatio,shortAccount,timestamp
DOGEUSDT,0.5668,1.3081,0.4332,2026-03-25 22:40:00+00:00
DOGEUSDT,0.5667,1.308,0.4333,2026-03-25 22:45:00+00:00
DOGEUSDT,0.5671,1.31,0.4329,2026-03-25 22:50:00+00:00
DOGEUSDT,0.5672,1.3103,0.4328,2026-03-25 22:55:00+00:00
DOGEUSDT,0.5671,1.3099,0.4329,2026-03-25 23:00:00+00:00
DOGEUSDT,0.5672,1.3104,0.4328,2026-03-25 23:05:00+00:00
DOGEUSDT,0.5673,1.311,0.4327,2026-03-25 23:10:00+00:00
DOGEUSDT,0.5674,1.3114,0.4326,2026-03-25 23:15:00+00:00
DOGEUSDT,0.5671,1.31,0.4329,2026-03-25 23:20:00+00:00
DOGEUSDT,0.5671,1.31,0.4329,2026-03-25 23:25:00+00:00
DOGEUSDT,0.5672,1.3106,0.4328,2026-03-25 23:30:00+00:00
DOGEUSDT,0.5673,1.3108,0.4327,2026-03-25 23:35:00+00:00
DOGEUSDT,0.5673,1.3111,0.4327,2026-03-25 23:40:00+00:00
DOGEUSDT,0.5675,1.3122,0.4325,2026-03-25 23:45:00+00:00
DOGEUSDT,0.5679,1.3143,0.4321,2026-03-25 23:50:00+00:00
DOGEUSDT,0.5678,1.3139,0.4322,2026-03-25 23:55:00+00:00
DOGEUSDT,0.5679,1.3144,0.4321,2026-03-26 00:00:00+00:00
DOGEUSDT,0.5667,1.3077,0.4333,2026-03-26 00:05:00+00:00
DOGEUSDT,0.5667,1.308,0.4333,2026-03-26 00:10:00+00:00
DOGEUSDT,0.5679,1.3145,0.4321,2026-03-26 00:15:00+00:00
DOGEUSDT,0.5683,1.3163,0.4317,2026-03-26 00:20:00+00:00
DOGEUSDT,0.5677,1.3134,0.4323,2026-03-26 00:25:00+00:00
DOGEUSDT,0.568,1.3149,0.432,2026-03-26 00:30:00+00:00
DOGEUSDT,0.5681,1.3155,0.4319,2026-03-26 00:35:00+00:00
DOGEUSDT,0.5685,1.3174,0.4315,2026-03-26 00:40:00+00:00
DOGEUSDT,0.5684,1.3171,0.4316,2026-03-26 00:45:00+00:00
DOGEUSDT,0.5686,1.3182,0.4314,2026-03-26 00:50:00+00:00
DOGEUSDT,0.5689,1.3195,0.4311,2026-03-26 00:55:00+00:00
DOGEUSDT,0.5685,1.3172,0.4315,2026-03-26 01:00:00+00:00
DOGEUSDT,0.5686,1.3179,0.4314,2026-03-26 01:05:00+00:00
DOGEUSDT,0.5693,1.3219,0.4307,2026-03-26 01:10:00+00:00
DOGEUSDT,0.5693,1.3221,0.4307,2026-03-26 01:15:00+00:00
DOGEUSDT,0.569,1.3204,0.431,2026-03-26 01:20:00+00:00
DOGEUSDT,0.5692,1.3212,0.4308,2026-03-26 01:25:00+00:00
DOGEUSDT,0.5696,1.3232,0.4304,2026-03-26 01:30:00+00:00
DOGEUSDT,0.5699,1.325,0.4301,2026-03-26 01:35:00+00:00
DOGEUSDT,0.57,1.3255,0.43,2026-03-26 01:40:00+00:00
DOGEUSDT,0.5701,1.3262,0.4299,2026-03-26 01:45:00+00:00
DOGEUSDT,0.5702,1.3268,0.4298,2026-03-26 01:50:00+00:00
DOGEUSDT,0.5709,1.3302,0.4291,2026-03-26 01:55:00+00:00
DOGEUSDT,0.5718,1.3356,0.4282,2026-03-26 02:00:00+00:00
DOGEUSDT,0.5724,1.3388,0.4276,2026-03-26 02:05:00+00:00
DOGEUSDT,0.5734,1.3439,0.4266,2026-03-26 02:10:00+00:00
DOGEUSDT,0.574,1.3477,0.426,2026-03-26 02:15:00+00:00
