symbol,longAccount,longShortRatio,shortAccount,timestamp
DOTUSDT,0.6247,1.6645,0.3753,2026-03-13 17:00:00+00:00
DOTUSDT,0.6254,1.6695,0.3746,2026-03-13 18:00:00+00:00
DOTUSDT,0.6234,1.6553,0.3766,2026-03-13 19:00:00+00:00
DOTUSDT,0.6182,1.6192,0.3818,2026-03-13 20:00:00+00:00
DOTUSDT,0.6127,1.582,0.3873,2026-03-13 21:00:00+00:00
DOTUSDT,0.6145,1.594,0.3855,2026-03-13 22:00:00+00:00
DOTUSDT,0.6106,1.5681,0.3894,2026-03-13 23:00:00+00:00
DOTUSDT,0.6089,1.5569,0.3911,2026-03-14 00:00:00+00:00
DOTUSDT,0.6031,1.5195,0.3969,2026-03-14 01:00:00+00:00
DOTUSDT,0.6036,1.5227,0.3964,2026-03-14 02:00:00+00:00
DOTUSDT,0.6027,1.517,0.3973,2026-03-14 03:00:00+00:00
DOTUSDT,0.6042,1.5265,0.3958,2026-03-14 04:00:00+00:00
DOTUSDT,0.604,1.5253,0.396,2026-03-14 05:00:00+00:00
DOTUSDT,0.6016,1.51,0.3984,2026-03-14 06:00:00+00:00
DOTUSDT,0.599,1.4938,0.401,2026-03-14 07:00:00+00:00
DOTUSDT,0.5992,1.495,0.4008,2026-03-14 08:00:00+00:00
DOTUSDT,0.5976,1.4851,0.4024,2026-03-14 09:00:00+00:00
DOTUSDT,0.5979,1.4869,0.4021,2026-03-14 10:00:00+00:00
DOTUSDT,0.5962,1.4765,0.4038,2026-03-14 11:00:00+00:00
DOTUSDT,0.5986,1.4913,0.4014,2026-03-14 12:00:00+00:00
DOTUSDT,0.5992,1.495,0.4008,2026-03-14 13:00:00+00:00
DOTUSDT,0.5997,1.4981,0.4003,2026-03-14 14:00:00+00:00
DOTUSDT,0.5997,1.4981,0.4003,2026-03-14 15:00:00+00:00
DOTUSDT,0.6004,1.5025,0.3996,2026-03-14 16:00:00+00:00
DOTUSDT,0.6006,1.5038,0.3994,2026-03-14 17:00:00+00:00
DOTUSDT,0.5972,1.4826,0.4028,2026-03-14 18:00:00+00:00
DOTUSDT,0.5987,1.4919,0.4013,2026-03-14 19:00:00+00:00
DOTUSDT,0.6007,1.5044,0.3993,2026-03-14 20:00:00+00:00
DOTUSDT,0.6015,1.5094,0.3985,2026-03-14 21:00:00+00:00
DOTUSDT,0.6011,1.5069,0.3989,2026-03-14 22:00:00+00:00
DOTUSDT,0.6007,1.5044,0.3993,2026-03-14 23:00:00+00:00
DOTUSDT,0.6018,1.5113,0.3982,2026-03-15 00:00:00+00:00
DOTUSDT,0.6021,1.5132,0.3979,2026-03-15 01:00:00+00:00
DOTUSDT,0.6058,1.5368,0.3942,2026-03-15 02:00:00+00:00
DOTUSDT,0.6091,1.5582,0.3909,2026-03-15 03:00:00+00:00
DOTUSDT,0.6084,1.5536,0.3916,2026-03-15 04:00:00+00:00
DOTUSDT,0.6069,1.5439,0.3931,2026-03-15 05:00:00+00:00
DOTUSDT,0.608,1.551,0.392,2026-03-15 06:00:00+00:00
DOTUSDT,0.6069,1.5439,0.3931,2026-03-15 07:00:00+00:00
DOTUSDT,0.6069,1.5439,0.3931,2026-03-15 08:00:00+00:00
DOTUSDT,0.6076,1.5484,0.3924,2026-03-15 09:00:00+00:00
DOTUSDT,0.6076,1.5484,0.3924,2026-03-15 10:00:00+00:00
DOTUSDT,0.6085,1.5543,0.3915,2026-03-15 11:00:00+00:00
DOTUSDT,0.6082,1.5523,0.3918,2026-03-15 12:00:00+00:00
DOTUSDT,0.6055,1.5349,0.3945,2026-03-15 13:00:00+00:00
DOTUSDT,0.6031,1.5195,0.3969,2026-03-15 14:00:00+00:00
DOTUSDT,0.6021,1.5132,0.3979,2026-03-15 15:00:00+00:00
DOTUSDT,0.6013,1.5082,0.3987,2026-03-15 16:00:00+00:00
DOTUSDT,0.6008,1.505,0.3992,2026-03-15 17:00:00+00:00
DOTUSDT,0.6008,1.505,0.3992,2026-03-15 18:00:00+00:00
DOTUSDT,0.6044,1.5278,0.3956,2026-03-15 19:00:00+00:00
DOTUSDT,0.6024,1.5151,0.3976,2026-03-15 20:00:00+00:00
DOTUSDT,0.6022,1.5138,0.3978,2026-03-15 21:00:00+00:00
DOTUSDT,0.6033,1.5208,0.3967,2026-03-15 22:00:00+00:00
DOTUSDT,0.6017,1.5107,0.3983,2026-03-15 23:00:00+00:00
DOTUSDT,0.599,1.4938,0.401,2026-03-16 00:00:00+00:00
DOTUSDT,0.5982,1.4888,0.4018,2026-03-16 01:00:00+00:00
DOTUSDT,0.5963,1.4771,0.4037,2026-03-16 02:00:00+00:00
DOTUSDT,0.5969,1.4808,0.4031,2026-03-16 03:00:00+00:00
DOTUSDT,0.5864,1.4178,0.4136,2026-03-16 04:00:00+00:00
DOTUSDT,0.5749,1.3524,0.4251,2026-03-16 05:00:00+00:00
DOTUSDT,0.5671,1.31,0.4329,2026-03-16 06:00:00+00:00
DOTUSDT,0.5619,1.2826,0.4381,2026-03-16 07:00:00+00:00
DOTUSDT,0.5569,1.2568,0.4431,2026-03-16 08:00:00+00:00
DOTUSDT,0.549,1.2173,0.451,2026-03-16 09:00:00+00:00
DOTUSDT,0.5458,1.2017,0.4542,2026-03-16 10:00:00+00:00
DOTUSDT,0.5417,1.182,0.4583,2026-03-16 11:00:00+00:00
DOTUSDT,0.5408,1.1777,0.4592,2026-03-16 12:00:00+00:00
DOTUSDT,0.5396,1.172,0.4604,2026-03-16 13:00:00+00:00
DOTUSDT,0.5421,1.1839,0.4579,2026-03-16 14:00:00+00:00
DOTUSDT,0.5408,1.1777,0.4592,2026-03-16 15:00:00+00:00
DOTUSDT,0.5404,1.1758,0.4596,2026-03-16 16:00:00+00:00
DOTUSDT,0.5473,1.209,0.4527,2026-03-16 17:00:00+00:00
DOTUSDT,0.5471,1.208,0.4529,2026-03-16 18:00:00+00:00
DOTUSDT,0.549,1.2173,0.451,2026-03-16 19:00:00+00:00
DOTUSDT,0.5505,1.2247,0.4495,2026-03-16 20:00:00+00:00
DOTUSDT,0.5536,1.2401,0.4464,2026-03-16 21:00:00+00:00
DOTUSDT,0.5563,1.2538,0.4437,2026-03-16 22:00:00+00:00
DOTUSDT,0.5554,1.2492,0.4446,2026-03-16 23:00:00+00:00
DOTUSDT,0.5635,1.291,0.4365,2026-03-17 00:00:00+00:00
DOTUSDT,0.5699,1.325,0.4301,2026-03-17 01:00:00+00:00
DOTUSDT,0.5742,1.3485,0.4258,2026-03-17 02:00:00+00:00
DOTUSDT,0.5782,1.3708,0.4218,2026-03-17 03:00:00+00:00
DOTUSDT,0.5816,1.3901,0.4184,2026-03-17 04:00:00+00:00
DOTUSDT,0.5842,1.405,0.4158,2026-03-17 05:00:00+00:00
DOTUSDT,0.5886,1.4307,0.4114,2026-03-17 06:00:00+00:00
DOTUSDT,0.5908,1.4438,0.4092,2026-03-17 07:00:00+00:00
DOTUSDT,0.594,1.4631,0.406,2026-03-17 08:00:00+00:00
DOTUSDT,0.5974,1.4839,0.4026,2026-03-17 09:00:00+00:00
DOTUSDT,0.5988,1.4925,0.4012,2026-03-17 10:00:00+00:00
DOTUSDT,0.5975,1.4845,0.4025,2026-03-17 11:00:00+00:00
DOTUSDT,0.5965,1.4783,0.4035,2026-03-17 12:00:00+00:00
DOTUSDT,0.5974,1.4839,0.4026,2026-03-17 13:00:00+00:00
DOTUSDT,0.5945,1.4661,0.4055,2026-03-17 14:00:00+00:00
DOTUSDT,0.5967,1.4795,0.4033,2026-03-17 15:00:00+00:00
DOTUSDT,0.5975,1.4845,0.4025,2026-03-17 16:00:00+00:00
DOTUSDT,0.6003,1.5019,0.3997,2026-03-17 17:00:00+00:00
DOTUSDT,0.5996,1.4975,0.4004,2026-03-17 18:00:00+00:00
DOTUSDT,0.6012,1.5075,0.3988,2026-03-17 19:00:00+00:00
DOTUSDT,0.5999,1.4994,0.4001,2026-03-17 20:00:00+00:00
DOTUSDT,0.5993,1.4956,0.4007,2026-03-17 21:00:00+00:00
DOTUSDT,0.5955,1.4722,0.4045,2026-03-17 22:00:00+00:00
DOTUSDT,0.592,1.451,0.408,2026-03-17 23:00:00+00:00
DOTUSDT,0.5928,1.4558,0.4072,2026-03-18 00:00:00+00:00
DOTUSDT,0.5968,1.4802,0.4032,2026-03-18 01:00:00+00:00
DOTUSDT,0.5975,1.4845,0.4025,2026-03-18 02:00:00+00:00
