symbol,longAccount,longShortRatio,shortAccount,timestamp
DOTUSDT,0.5969,1.4808,0.4031,2026-03-25 22:40:00+00:00
DOTUSDT,0.5965,1.4783,0.4035,2026-03-25 22:45:00+00:00
DOTUSDT,0.5962,1.4765,0.4038,2026-03-25 22:50:00+00:00
DOTUSDT,0.5962,1.4765,0.4038,2026-03-25 22:55:00+00:00
DOTUSDT,0.5964,1.4777,0.4036,2026-03-25 23:00:00+00:00
DOTUSDT,0.5967,1.4795,0.4033,2026-03-25 23:05:00+00:00
DOTUSDT,0.5968,1.4802,0.4032,2026-03-25 23:10:00+00:00
DOTUSDT,0.5969,1.4808,0.4031,2026-03-25 23:15:00+00:00
DOTUSDT,0.5968,1.4802,0.4032,2026-03-25 23:20:00+00:00
DOTUSDT,0.5969,1.4808,0.4031,2026-03-25 23:25:00+00:00
DOTUSDT,0.597,1.4814,0.403,2026-03-25 23:30:00+00:00
DOTUSDT,0.5967,1.4795,0.4033,2026-03-25 23:35:00+00:00
DOTUSDT,0.597,1.4814,0.403,2026-03-25 23:40:00+00:00
DOTUSDT,0.5968,1.4802,0.4032,2026-03-25 23:45:00+00:00
DOTUSDT,0.5966,1.4789,0.4034,2026-03-25 23:50:00+00:00
DOTUSDT,0.5976,1.4851,0.4024,2026-03-25 23:55:00+00:00
DOTUSDT,0.5978,1.4863,0.4022,2026-03-26 00:00:00+00:00
DOTUSDT,0.5975,1.4845,0.4025,2026-03-26 00:05:00+00:00
DOTUSDT,0.5975,1.4845,0.4025,2026-03-26 00:10:00+00:00
DOTUSDT,0.5979,1.4869,0.4021,2026-03-26 00:15:00+00:00
DOTUSDT,0.5979,1.4869,0.4021,2026-03-26 00:20:00+00:00
DOTUSDT,0.5978,1.4863,0.4022,2026-03-26 00:25:00+00:00
DOTUSDT,0.5969,1.4808,0.4031,2026-03-26 00:30:00+00:00
DOTUSDT,0.5966,1.4789,0.4034,2026-03-26 00:35:00+00:00
DOTUSDT,0.5966,1.4789,0.4034,2026-03-26 00:40:00+00:00
DOTUSDT,0.5968,1.4802,0.4032,2026-03-26 00:45:00+00:00
DOTUSDT,0.5972,1.4826,0.4028,2026-03-26 00:50:00+00:00
DOTUSDT,0.5979,1.4869,0.4021,2026-03-26 00:55:00+00:00
DOTUSDT,0.5975,1.4845,0.4025,2026-03-26 01:00:00+00:00
DOTUSDT,0.5972,1.4826,0.4028,2026-03-26 01:05:00+00:00
DOTUSDT,0.5969,1.4808,0.4031,2026-03-26 01:10:00+00:00
DOTUSDT,0.5966,1.4789,0.4034,2026-03-26 01:15:00+00:00
DOTUSDT,0.5962,1.4765,0.4038,2026-03-26 01:20:00+00:00
DOTUSDT,0.5963,1.4771,0.4037,2026-03-26 01:25:00+00:00
DOTUSDT,0.5965,1.4783,0.4035,2026-03-26 01:30:00+00:00
DOTUSDT,0.5965,1.4783,0.4035,2026-03-26 01:35:00+00:00
DOTUSDT,0.5967,1.4795,0.4033,2026-03-26 01:40:00+00:00
DOTUSDT,0.597,1.4814,0.403,2026-03-26 01:45:00+00:00
DOTUSDT,0.597,1.4814,0.403,2026-03-26 01:50:00+00:00
DOTUSDT,0.597,1.4814,0.403,2026-03-26 01:55:00+00:00
DOTUSDT,0.597,1.4814,0.403,2026-03-26 02:00:00+00:00
DOTUSDT,0.5972,1.4826,0.4028,2026-03-26 02:05:00+00:00
DOTUSDT,0.5967,1.4795,0.4033,2026-03-26 02:10:00+00:00
DOTUSDT,0.5968,1.4802,0.4032,2026-03-26 02:15:00+00:00
DOTUSDT,0.5964,1.4777,0.4036,2026-03-26 02:20:00+00:00
DOTUSDT,0.5968,1.4802,0.4032,2026-03-26 02:25:00+00:00
DOTUSDT,0.5964,1.4777,0.4036,2026-03-26 02:30:00+00:00
DOTUSDT,0.5943,1.4649,0.4057,2026-03-26 02:35:00+00:00
DOTUSDT,0.5944,1.4655,0.4056,2026-03-26 02:40:00+00:00
DOTUSDT,0.595,1.4691,0.405,2026-03-26 02:45:00+00:00
DOTUSDT,0.5945,1.4661,0.4055,2026-03-26 02:50:00+00:00
DOTUSDT,0.5945,1.4661,0.4055,2026-03-26 02:55:00+00:00
DOTUSDT,0.5944,1.4655,0.4056,2026-03-26 03:00:00+00:00
DOTUSDT,0.5948,1.4679,0.4052,2026-03-26 03:05:00+00:00
DOTUSDT,0.5939,1.4624,0.4061,2026-03-26 03:10:00+00:00
DOTUSDT,0.594,1.4631,0.406,2026-03-26 03:15:00+00:00
DOTUSDT,0.5939,1.4624,0.4061,2026-03-26 03:20:00+00:00
DOTUSDT,0.5934,1.4594,0.4066,2026-03-26 03:25:00+00:00
DOTUSDT,0.5932,1.4582,0.4068,2026-03-26 03:30:00+00:00
DOTUSDT,0.5925,1.454,0.4075,2026-03-26 03:35:00+00:00
DOTUSDT,0.5924,1.4534,0.4076,2026-03-26 03:40:00+00:00
DOTUSDT,0.5925,1.454,0.4075,2026-03-26 03:45:00+00:00
DOTUSDT,0.5926,1.4546,0.4074,2026-03-26 03:50:00+00:00
DOTUSDT,0.5929,1.4564,0.4071,2026-03-26 03:55:00+00:00
