open_time,close_time,open,high,low,close,trade_count
2026-03-13 17:00:00+00:00,2026-03-13 17:59:59.999000+00:00,1.50810122,1.511,1.477,1.483,3600
2026-03-13 18:00:00+00:00,2026-03-13 18:59:59.999000+00:00,1.483,1.48349747,1.46637278,1.47364313,3600
2026-03-13 19:00:00+00:00,2026-03-13 19:59:59.999000+00:00,1.47335603,1.47729341,1.46405677,1.4677338,3600
2026-03-13 20:00:00+00:00,2026-03-13 20:59:59.999000+00:00,1.4677338,1.471,1.46,1.469,3600
2026-03-13 21:00:00+00:00,2026-03-13 21:59:59.999000+00:00,1.46846843,1.4791401,1.45610253,1.462,3600
2026-03-13 22:00:00+00:00,2026-03-13 22:59:59.999000+00:00,1.462,1.46230754,1.44429852,1.45303264,3600
2026-03-13 23:00:00+00:00,2026-03-13 23:59:59.999000+00:00,1.45303264,1.467,1.45303264,1.461,3600
2026-03-14 00:00:00+00:00,2026-03-14 00:59:59.999000+00:00,1.461,1.461,1.447,1.44847157,3600
2026-03-14 01:00:00+00:00,2026-03-14 01:59:59.999000+00:00,1.44845829,1.452,1.43654191,1.44746789,3600
2026-03-14 02:00:00+00:00,2026-03-14 02:59:59.999000+00:00,1.44746216,1.448,1.437,1.444,3600
2026-03-14 03:00:00+00:00,2026-03-14 03:59:59.999000+00:00,1.445,1.45246802,1.443,1.4464999,3600
2026-03-14 04:00:00+00:00,2026-03-14 04:59:59.999000+00:00,1.4464999,1.454,1.43827359,1.44490184,3600
2026-03-14 05:00:00+00:00,2026-03-14 05:59:59.999000+00:00,1.44478612,1.44535309,1.4342827,1.43620646,3600
2026-03-14 06:00:00+00:00,2026-03-14 06:59:59.999000+00:00,1.43611789,1.43611789,1.428,1.43341768,3600
2026-03-14 07:00:00+00:00,2026-03-14 07:59:59.999000+00:00,1.43336177,1.436,1.429,1.435,3600
2026-03-14 08:00:00+00:00,2026-03-14 08:59:59.999000+00:00,1.435,1.439,1.43240394,1.436,3600
2026-03-14 09:00:00+00:00,2026-03-14 09:59:59.999000+00:00,1.436,1.43808759,1.426,1.429,3600
2026-03-14 10:00:00+00:00,2026-03-14 10:59:59.999000+00:00,1.429,1.433,1.42398992,1.43124425,3600
2026-03-14 11:00:00+00:00,2026-03-14 11:59:59.999000+00:00,1.43124422,1.437,1.43110247,1.43254203,3600
2026-03-14 12:00:00+00:00,2026-03-14 12:59:59.999000+00:00,1.43239966,1.439,1.43169821,1.43210686,3600
2026-03-14 13:00:00+00:00,2026-03-14 13:59:59.999000+00:00,1.43206742,1.433,1.425,1.43062235,3600
2026-03-14 14:00:00+00:00,2026-03-14 14:59:59.999000+00:00,1.43042172,1.433,1.42463869,1.427,3600
2026-03-14 15:00:00+00:00,2026-03-14 15:59:59.999000+00:00,1.427,1.433,1.41760193,1.431,3600
2026-03-14 16:00:00+00:00,2026-03-14 16:59:59.999000+00:00,1.43020599,1.431,1.423,1.42542602,3600
2026-03-14 17:00:00+00:00,2026-03-14 17:59:59.999000+00:00,1.42542602,1.43028601,1.42340221,1.42451817,3600
