symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
DOTUSDT,30840421.4,46508508.59455615,1673559680.31276150,2026-03-13 17:00:00+00:00
DOTUSDT,31219228.6,46298116.0138,1673559680.31276150,2026-03-13 18:00:00+00:00
DOTUSDT,31161124.5,45920377.04249968,1673559680.31276150,2026-03-13 19:00:00+00:00
DOTUSDT,31314761.2,45961733.45216856,1673559680.31276150,2026-03-13 20:00:00+00:00
DOTUSDT,31680775.0,46539058.475,1673559680.31276150,2026-03-13 21:00:00+00:00
DOTUSDT,31912076.0,46655455.112,1673559680.31276150,2026-03-13 22:00:00+00:00
DOTUSDT,32111520.6,46659087.55183239,1673559680.31276150,2026-03-13 23:00:00+00:00
DOTUSDT,32262775.6,47135915.1516,1673559680.31276150,2026-03-14 00:00:00+00:00
DOTUSDT,32502216.4,47078536.41738775,1673559680.31276150,2026-03-14 01:00:00+00:00
DOTUSDT,32617094.0,47212196.23011166,1673559680.31276150,2026-03-14 02:00:00+00:00
DOTUSDT,32794704.5,47355553.298,1673933922.78404470,2026-03-14 03:00:00+00:00
DOTUSDT,32829119.4,47487317.92918806,1673933922.78404470,2026-03-14 04:00:00+00:00
DOTUSDT,32964650.9,47630684.74036766,1673933922.78404470,2026-03-14 05:00:00+00:00
DOTUSDT,33140825.1,47597067.09835015,1673933922.78404470,2026-03-14 06:00:00+00:00
DOTUSDT,33488235.9,48002629.41107071,1673933922.78404470,2026-03-14 07:00:00+00:00
DOTUSDT,33583783.3,48192729.0355,1673933922.78404470,2026-03-14 08:00:00+00:00
DOTUSDT,33619455.8,48277538.5288,1673933922.78404470,2026-03-14 09:00:00+00:00
DOTUSDT,33812074.9,48317455.0321,1673933922.78404470,2026-03-14 10:00:00+00:00
DOTUSDT,34233319.4,48996241.54966345,1673933922.78404470,2026-03-14 11:00:00+00:00
DOTUSDT,34269611.5,49092658.82552134,1673933922.78404470,2026-03-14 12:00:00+00:00
DOTUSDT,34407482.9,49275192.2964227,1673933922.78404470,2026-03-14 13:00:00+00:00
DOTUSDT,34672617.8,49603421.95768783,1673933922.78404470,2026-03-14 14:00:00+00:00
DOTUSDT,34927102.9,49840975.8383,1673933922.78404470,2026-03-14 15:00:00+00:00
DOTUSDT,34988489.6,50068528.6176,1673933922.78404470,2026-03-14 16:00:00+00:00
