symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
DOTUSDT,34440925.5,46736335.9035,1675986877.34052180,2026-03-25 22:40:00+00:00
DOTUSDT,34449249.9,46816530.6141,1675986877.34052180,2026-03-25 22:45:00+00:00
DOTUSDT,34458620.6,46766486.26828748,1675986877.34052180,2026-03-25 22:50:00+00:00
DOTUSDT,34458561.2,46725808.9872,1675986877.34052180,2026-03-25 22:55:00+00:00
DOTUSDT,34485946.1,46814665.62327971,1675986877.34052180,2026-03-25 23:00:00+00:00
DOTUSDT,34458179.9,46794208.3042,1675986877.34052180,2026-03-25 23:05:00+00:00
DOTUSDT,34501274.2,46749226.541,1675986877.34052180,2026-03-25 23:10:00+00:00
DOTUSDT,34497011.1,46743450.0405,1675986877.34052180,2026-03-25 23:15:00+00:00
DOTUSDT,34524667.7,46763002.97849693,1675986877.34052180,2026-03-25 23:20:00+00:00
DOTUSDT,34539422.3,46835456.6388,1675986877.34052180,2026-03-25 23:25:00+00:00
DOTUSDT,34578399.5,46845582.23108984,1675986877.34052180,2026-03-25 23:30:00+00:00
DOTUSDT,34591281.8,46869901.08105549,1675986877.34052180,2026-03-25 23:35:00+00:00
DOTUSDT,34582242.3,46789773.8319,1675986877.34052180,2026-03-25 23:40:00+00:00
DOTUSDT,34573627.7,46812691.9058,1675986877.34052180,2026-03-25 23:45:00+00:00
DOTUSDT,34573095.6,46846544.538,1675986877.34052180,2026-03-25 23:50:00+00:00
DOTUSDT,34539662.7,46939401.6093,1675986877.34052180,2026-03-25 23:55:00+00:00
DOTUSDT,34534246.3,46958016.69108193,1675986877.34052180,2026-03-26 00:00:00+00:00
DOTUSDT,34479409.2,46965375.59065944,1675986877.34052180,2026-03-26 00:05:00+00:00
DOTUSDT,34453652.8,46939461.91158168,1675986877.34052180,2026-03-26 00:10:00+00:00
DOTUSDT,34418267.1,46971819.25764123,1675986877.34052180,2026-03-26 00:15:00+00:00
DOTUSDT,34416567.5,46793379.1645642,1675986877.34052180,2026-03-26 00:20:00+00:00
DOTUSDT,34493762.8,46791400.81261444,1675986877.34052180,2026-03-26 00:25:00+00:00
DOTUSDT,34451829.2,46716680.3952,1675986877.34052180,2026-03-26 00:30:00+00:00
DOTUSDT,34485521.4,46796852.5398,1675986877.34052180,2026-03-26 00:35:00+00:00
DOTUSDT,34480325.0,46769917.25598225,1675986877.34052180,2026-03-26 00:40:00+00:00
DOTUSDT,34495579.9,46844997.5042,1675986877.34052180,2026-03-26 00:45:00+00:00
DOTUSDT,34482403.2,46792621.1424,1675986877.34052180,2026-03-26 00:50:00+00:00
DOTUSDT,34497966.1,46675748.1333,1675986877.34052180,2026-03-26 00:55:00+00:00
DOTUSDT,34569372.3,46876068.8388,1675986877.34052180,2026-03-26 01:00:00+00:00
DOTUSDT,34565853.6,46932273.37564308,1675986877.34052180,2026-03-26 01:05:00+00:00
DOTUSDT,34590132.8,46973400.3424,1675986877.34052180,2026-03-26 01:10:00+00:00
DOTUSDT,34544150.7,47010866.62502057,1675986877.34052180,2026-03-26 01:15:00+00:00
DOTUSDT,34540484.5,46945841.46956629,1675986877.34052180,2026-03-26 01:20:00+00:00
DOTUSDT,34529265.5,46925271.8145,1675986877.34052180,2026-03-26 01:25:00+00:00
DOTUSDT,34555391.9,47075664.24910385,1675986877.34052180,2026-03-26 01:30:00+00:00
DOTUSDT,34536360.2,47109017.52011304,1675986877.34052180,2026-03-26 01:35:00+00:00
