buySellRatio,sellVol,buyVol,timestamp
0.9313,2215142.5,2063068.0,2026-03-13 16:00:00+00:00
0.6564,3502256.0,2298938.1,2026-03-13 17:00:00+00:00
0.8642,2194258.3,1896317.7,2026-03-13 18:00:00+00:00
0.6386,1478181.2,943948.8,2026-03-13 19:00:00+00:00
0.8972,1800853.5,1615802.9,2026-03-13 20:00:00+00:00
0.5942,1829104.0,1086831.0,2026-03-13 21:00:00+00:00
0.8825,2063042.8,1820541.0,2026-03-13 22:00:00+00:00
0.8809,1198568.8,1055804.7,2026-03-13 23:00:00+00:00
0.6539,1462404.8,956239.6,2026-03-14 00:00:00+00:00
0.6983,1709691.4,1193923.2,2026-03-14 01:00:00+00:00
0.8912,1007374.0,897799.3,2026-03-14 02:00:00+00:00
0.8835,853634.7,754210.5,2026-03-14 03:00:00+00:00
0.9231,1182348.5,1091439.2,2026-03-14 04:00:00+00:00
0.5405,1586671.9,857544.7,2026-03-14 05:00:00+00:00
0.8001,1562914.2,1250423.7,2026-03-14 06:00:00+00:00
0.989,735845.2,727727.4,2026-03-14 07:00:00+00:00
1.0283,1082466.9,1113119.2,2026-03-14 08:00:00+00:00
0.7802,1117246.7,871662.6,2026-03-14 09:00:00+00:00
0.7918,1379615.2,1092380.0,2026-03-14 10:00:00+00:00
0.9385,666960.0,625968.3,2026-03-14 11:00:00+00:00
1.1752,761210.1,894587.5,2026-03-14 12:00:00+00:00
0.8874,1078923.4,957445.2,2026-03-14 13:00:00+00:00
1.0038,786074.6,789084.7,2026-03-14 14:00:00+00:00
0.8019,1844852.9,1479399.1,2026-03-14 15:00:00+00:00
1.0316,828793.5,854979.1,2026-03-14 16:00:00+00:00
1.2337,534717.1,659686.4,2026-03-14 17:00:00+00:00
0.897,817428.8,733221.2,2026-03-14 18:00:00+00:00
0.6283,1608252.5,1010477.5,2026-03-14 19:00:00+00:00
1.6952,1574800.0,2669586.4,2026-03-14 20:00:00+00:00
1.0649,818477.2,871605.1,2026-03-14 21:00:00+00:00
1.186,630548.4,747853.5,2026-03-14 22:00:00+00:00
1.1363,1456499.8,1655050.7,2026-03-14 23:00:00+00:00
1.1179,1823356.5,2038328.5,2026-03-15 00:00:00+00:00
0.733,2082091.8,1526098.5,2026-03-15 01:00:00+00:00
1.3335,1468928.2,1958854.8,2026-03-15 02:00:00+00:00
1.128,1009912.8,1139151.1,2026-03-15 03:00:00+00:00
1.032,1104176.4,1139561.7,2026-03-15 04:00:00+00:00
1.0033,1139651.2,1143451.8,2026-03-15 05:00:00+00:00
1.0937,810865.8,886841.6,2026-03-15 06:00:00+00:00
0.9524,659519.0,628131.9,2026-03-15 07:00:00+00:00
1.482,609841.0,903770.6,2026-03-15 08:00:00+00:00
1.354,835129.6,1130753.7,2026-03-15 09:00:00+00:00
1.1336,813936.0,922661.8,2026-03-15 10:00:00+00:00
0.8703,1892811.4,1647401.0,2026-03-15 11:00:00+00:00
1.0986,1204474.8,1323199.8,2026-03-15 12:00:00+00:00
0.7934,2548628.8,2022085.1,2026-03-15 13:00:00+00:00
0.8133,1072092.3,871945.4,2026-03-15 14:00:00+00:00
0.9198,646254.4,594436.2,2026-03-15 15:00:00+00:00
1.0298,1378798.3,1419868.4,2026-03-15 16:00:00+00:00
1.0462,1129337.9,1181513.0,2026-03-15 17:00:00+00:00
0.7962,1203046.8,957903.1,2026-03-15 18:00:00+00:00
1.4084,697930.7,982985.6,2026-03-15 19:00:00+00:00
0.8454,1165708.5,985517.4,2026-03-15 20:00:00+00:00
0.969,913031.1,884735.1,2026-03-15 21:00:00+00:00
0.9849,2765460.2,2723798.4,2026-03-15 22:00:00+00:00
1.1121,2241997.7,2493409.3,2026-03-15 23:00:00+00:00
0.821,1782907.8,1463770.1,2026-03-16 00:00:00+00:00
1.1015,1444258.3,1590811.8,2026-03-16 01:00:00+00:00
1.2239,955064.1,1168880.0,2026-03-16 02:00:00+00:00
1.2379,4609682.3,5706160.2,2026-03-16 03:00:00+00:00
1.2481,4052533.2,5058023.7,2026-03-16 04:00:00+00:00
1.1118,7394990.8,8221565.2,2026-03-16 05:00:00+00:00
0.9855,9068238.1,8937112.7,2026-03-16 06:00:00+00:00
0.8824,5316340.5,4691280.6,2026-03-16 07:00:00+00:00
0.8429,5596317.5,4717046.1,2026-03-16 08:00:00+00:00
0.9549,3884623.8,3709331.3,2026-03-16 09:00:00+00:00
0.8788,3766155.5,3309791.8,2026-03-16 10:00:00+00:00
0.9573,5957386.0,5702980.2,2026-03-16 11:00:00+00:00
0.8969,2739385.8,2456938.0,2026-03-16 12:00:00+00:00
1.0538,3050102.7,3214258.4,2026-03-16 13:00:00+00:00
0.9019,3130923.5,2823780.3,2026-03-16 14:00:00+00:00
1.0047,3304325.4,3319744.5,2026-03-16 15:00:00+00:00
1.293,1601003.0,2070123.8,2026-03-16 16:00:00+00:00
1.1844,1306043.2,1546935.0,2026-03-16 17:00:00+00:00
1.1773,1839284.7,2165446.8,2026-03-16 18:00:00+00:00
0.9529,1593915.3,1518809.1,2026-03-16 19:00:00+00:00
1.2223,3650541.6,4462154.4,2026-03-16 20:00:00+00:00
1.0851,2460050.1,2669350.6,2026-03-16 21:00:00+00:00
1.1564,1986021.4,2296675.3,2026-03-16 22:00:00+00:00
1.3574,2644531.9,3589608.1,2026-03-16 23:00:00+00:00
1.1365,2450967.6,2785641.0,2026-03-17 00:00:00+00:00
0.9931,2267140.6,2251545.4,2026-03-17 01:00:00+00:00
1.1077,1344326.9,1489048.3,2026-03-17 02:00:00+00:00
0.9167,2518337.5,2308622.7,2026-03-17 03:00:00+00:00
1.1238,1983974.5,2229568.7,2026-03-17 04:00:00+00:00
0.8689,1686342.2,1465255.7,2026-03-17 05:00:00+00:00
0.8332,1956642.6,1630288.5,2026-03-17 06:00:00+00:00
1.1571,1388782.5,1607001.2,2026-03-17 07:00:00+00:00
1.014,2774196.6,2813093.5,2026-03-17 08:00:00+00:00
0.8855,2107302.2,1865915.2,2026-03-17 09:00:00+00:00
0.9808,1223155.2,1199646.5,2026-03-17 10:00:00+00:00
1.0288,1292270.5,1329542.9,2026-03-17 11:00:00+00:00
0.7069,2274985.7,1608122.9,2026-03-17 12:00:00+00:00
1.2065,1686621.2,2034990.1,2026-03-17 13:00:00+00:00
0.9442,1294892.9,1222660.9,2026-03-17 14:00:00+00:00
0.8949,2027178.0,1814154.5,2026-03-17 15:00:00+00:00
0.9319,1648084.0,1535797.7,2026-03-17 16:00:00+00:00
0.9342,1435651.6,1341137.0,2026-03-17 17:00:00+00:00
1.1121,1399768.5,1556643.8,2026-03-17 18:00:00+00:00
0.7935,1065298.2,845279.3,2026-03-17 19:00:00+00:00
1.5235,561927.7,856102.9,2026-03-17 20:00:00+00:00
1.3966,1159562.9,1619414.3,2026-03-17 21:00:00+00:00
1.2113,1104723.5,1338152.3,2026-03-17 22:00:00+00:00
