buySellRatio,sellVol,buyVol,timestamp
2.7392,80608.9,220799.9,2026-03-25 22:35:00+00:00
0.8855,224648.4,198917.7,2026-03-25 22:40:00+00:00
0.9469,100532.6,95194.9,2026-03-25 22:45:00+00:00
1.4436,61823.8,89246.9,2026-03-25 22:50:00+00:00
2.6329,23712.5,62433.6,2026-03-25 22:55:00+00:00
1.44,119719.5,172401.4,2026-03-25 23:00:00+00:00
0.4141,240740.1,99687.6,2026-03-25 23:05:00+00:00
0.2877,61895.8,17809.9,2026-03-25 23:10:00+00:00
1.8842,28078.1,52905.4,2026-03-25 23:15:00+00:00
0.537,87440.7,46953.5,2026-03-25 23:20:00+00:00
0.5277,125571.8,66261.4,2026-03-25 23:25:00+00:00
3.0263,53541.2,162032.2,2026-03-25 23:30:00+00:00
0.3365,165717.1,55765.7,2026-03-25 23:35:00+00:00
9.4889,9336.1,88589.3,2026-03-25 23:40:00+00:00
1.0605,34833.7,36941.4,2026-03-25 23:45:00+00:00
4.2701,56540.5,241431.5,2026-03-25 23:50:00+00:00
0.9168,67949.5,62297.5,2026-03-25 23:55:00+00:00
1.8484,94296.9,174300.1,2026-03-26 00:00:00+00:00
1.3842,58956.7,81607.9,2026-03-26 00:05:00+00:00
1.8697,91229.1,170567.6,2026-03-26 00:10:00+00:00
0.4423,246073.7,108846.8,2026-03-26 00:15:00+00:00
0.774,255010.9,197367.9,2026-03-26 00:20:00+00:00
1.6578,125664.1,208324.5,2026-03-26 00:25:00+00:00
1.8317,131779.2,241377.2,2026-03-26 00:30:00+00:00
3.4315,35622.6,122237.5,2026-03-26 00:35:00+00:00
2.7807,27413.9,76229.4,2026-03-26 00:40:00+00:00
0.254,97949.5,24876.2,2026-03-26 00:45:00+00:00
0.6114,157003.6,95991.6,2026-03-26 00:50:00+00:00
2.2908,65503.7,150053.8,2026-03-26 00:55:00+00:00
1.5717,38341.4,60262.3,2026-03-26 01:00:00+00:00
0.7819,143541.3,112229.2,2026-03-26 01:05:00+00:00
3.067,56269.6,172580.6,2026-03-26 01:10:00+00:00
0.5683,236174.0,134210.4,2026-03-26 01:15:00+00:00
0.8603,49130.7,42266.7,2026-03-26 01:20:00+00:00
9.6821,14254.7,138015.7,2026-03-26 01:25:00+00:00
1.1239,105829.1,118945.9,2026-03-26 01:30:00+00:00
0.6996,29534.9,20663.4,2026-03-26 01:35:00+00:00
0.3691,191112.7,70547.8,2026-03-26 01:40:00+00:00
3.9251,57841.0,227033.8,2026-03-26 01:45:00+00:00
0.8299,138627.0,115045.0,2026-03-26 01:50:00+00:00
1.3262,102099.0,135403.5,2026-03-26 01:55:00+00:00
0.4453,59904.3,26673.5,2026-03-26 02:00:00+00:00
0.4335,129416.9,56099.6,2026-03-26 02:05:00+00:00
0.7248,120233.8,87150.5,2026-03-26 02:10:00+00:00
0.5305,117834.1,62506.7,2026-03-26 02:15:00+00:00
0.3218,105606.4,33985.5,2026-03-26 02:20:00+00:00
3.2157,55863.4,179641.6,2026-03-26 02:25:00+00:00
0.3889,521485.6,202792.6,2026-03-26 02:30:00+00:00
0.4562,126757.0,57826.1,2026-03-26 02:35:00+00:00
0.2699,146166.2,39453.7,2026-03-26 02:40:00+00:00
2.8648,47056.8,134806.2,2026-03-26 02:45:00+00:00
0.5324,87433.7,46549.8,2026-03-26 02:50:00+00:00
3.3424,47125.1,157509.6,2026-03-26 02:55:00+00:00
0.3162,233795.8,73929.9,2026-03-26 03:00:00+00:00
0.533,636284.3,339160.6,2026-03-26 03:05:00+00:00
0.973,187470.8,182400.6,2026-03-26 03:10:00+00:00
0.9725,117870.8,114625.0,2026-03-26 03:15:00+00:00
0.6066,170222.2,103254.0,2026-03-26 03:20:00+00:00
0.3702,108680.9,40239.0,2026-03-26 03:25:00+00:00
4.0192,57301.1,230303.5,2026-03-26 03:30:00+00:00
1.2574,135519.2,170408.1,2026-03-26 03:35:00+00:00
0.4916,148830.2,73158.9,2026-03-26 03:40:00+00:00
0.6677,63542.4,42428.4,2026-03-26 03:45:00+00:00
2.6931,124877.4,336302.2,2026-03-26 03:50:00+00:00
1.1565,83222.5,96243.5,2026-03-26 03:55:00+00:00
0.3906,265389.8,103649.4,2026-03-26 04:00:00+00:00
1.1727,82387.9,96620.1,2026-03-26 04:05:00+00:00
0.4515,154769.4,69878.3,2026-03-26 04:10:00+00:00
0.4826,601160.7,290124.6,2026-03-26 04:15:00+00:00
1.6858,246176.5,415010.5,2026-03-26 04:20:00+00:00
5.1943,12236.0,63557.7,2026-03-26 04:25:00+00:00
0.7292,165062.8,120360.1,2026-03-26 04:30:00+00:00
2.9598,27666.3,81886.9,2026-03-26 04:35:00+00:00
0.2683,162771.1,43668.5,2026-03-26 04:40:00+00:00
2.2933,87873.9,201518.4,2026-03-26 04:45:00+00:00
0.0636,94623.4,6014.0,2026-03-26 04:50:00+00:00
