symbol,longAccount,longShortRatio,shortAccount,timestamp
DOTUSDT,0.5908,1.444,0.4092,2026-03-13 17:00:00+00:00
DOTUSDT,0.5984,1.49,0.4016,2026-03-13 18:00:00+00:00
DOTUSDT,0.598,1.4874,0.402,2026-03-13 19:00:00+00:00
DOTUSDT,0.5987,1.4918,0.4013,2026-03-13 20:00:00+00:00
DOTUSDT,0.599,1.4937,0.401,2026-03-13 21:00:00+00:00
DOTUSDT,0.5996,1.4978,0.4004,2026-03-13 22:00:00+00:00
DOTUSDT,0.6,1.5003,0.4,2026-03-13 23:00:00+00:00
DOTUSDT,0.5989,1.4932,0.4011,2026-03-14 00:00:00+00:00
DOTUSDT,0.5972,1.4825,0.4028,2026-03-14 01:00:00+00:00
DOTUSDT,0.5969,1.4806,0.4031,2026-03-14 02:00:00+00:00
DOTUSDT,0.5964,1.4778,0.4036,2026-03-14 03:00:00+00:00
DOTUSDT,0.5978,1.4861,0.4022,2026-03-14 04:00:00+00:00
DOTUSDT,0.5938,1.4617,0.4062,2026-03-14 05:00:00+00:00
DOTUSDT,0.5897,1.4374,0.4103,2026-03-14 06:00:00+00:00
DOTUSDT,0.5901,1.4395,0.4099,2026-03-14 07:00:00+00:00
DOTUSDT,0.5884,1.4298,0.4116,2026-03-14 08:00:00+00:00
DOTUSDT,0.5853,1.4116,0.4147,2026-03-14 09:00:00+00:00
DOTUSDT,0.5824,1.3944,0.4176,2026-03-14 10:00:00+00:00
DOTUSDT,0.5749,1.3523,0.4251,2026-03-14 11:00:00+00:00
DOTUSDT,0.5745,1.3502,0.4255,2026-03-14 12:00:00+00:00
DOTUSDT,0.5742,1.3488,0.4258,2026-03-14 13:00:00+00:00
DOTUSDT,0.5757,1.357,0.4243,2026-03-14 14:00:00+00:00
DOTUSDT,0.5756,1.3562,0.4244,2026-03-14 15:00:00+00:00
DOTUSDT,0.5725,1.3392,0.4275,2026-03-14 16:00:00+00:00
DOTUSDT,0.5711,1.3314,0.4289,2026-03-14 17:00:00+00:00
DOTUSDT,0.5723,1.3382,0.4277,2026-03-14 18:00:00+00:00
DOTUSDT,0.5725,1.3393,0.4275,2026-03-14 19:00:00+00:00
DOTUSDT,0.5704,1.328,0.4296,2026-03-14 20:00:00+00:00
DOTUSDT,0.5722,1.3373,0.4278,2026-03-14 21:00:00+00:00
DOTUSDT,0.571,1.3311,0.429,2026-03-14 22:00:00+00:00
DOTUSDT,0.5697,1.324,0.4303,2026-03-14 23:00:00+00:00
DOTUSDT,0.5688,1.3191,0.4312,2026-03-15 00:00:00+00:00
DOTUSDT,0.5687,1.3184,0.4313,2026-03-15 01:00:00+00:00
DOTUSDT,0.5698,1.3244,0.4302,2026-03-15 02:00:00+00:00
DOTUSDT,0.5697,1.3239,0.4303,2026-03-15 03:00:00+00:00
DOTUSDT,0.5672,1.3103,0.4328,2026-03-15 04:00:00+00:00
DOTUSDT,0.5661,1.3047,0.4339,2026-03-15 05:00:00+00:00
DOTUSDT,0.5671,1.31,0.4329,2026-03-15 06:00:00+00:00
DOTUSDT,0.567,1.3095,0.433,2026-03-15 07:00:00+00:00
DOTUSDT,0.5669,1.3088,0.4331,2026-03-15 08:00:00+00:00
DOTUSDT,0.5658,1.3031,0.4342,2026-03-15 09:00:00+00:00
DOTUSDT,0.5636,1.2916,0.4364,2026-03-15 10:00:00+00:00
DOTUSDT,0.5604,1.2749,0.4396,2026-03-15 11:00:00+00:00
DOTUSDT,0.5586,1.2654,0.4414,2026-03-15 12:00:00+00:00
DOTUSDT,0.5582,1.2634,0.4418,2026-03-15 13:00:00+00:00
DOTUSDT,0.5599,1.2722,0.4401,2026-03-15 14:00:00+00:00
DOTUSDT,0.5603,1.2743,0.4397,2026-03-15 15:00:00+00:00
DOTUSDT,0.5584,1.2646,0.4416,2026-03-15 16:00:00+00:00
DOTUSDT,0.5563,1.2537,0.4437,2026-03-15 17:00:00+00:00
DOTUSDT,0.5538,1.2413,0.4462,2026-03-15 18:00:00+00:00
DOTUSDT,0.5519,1.2316,0.4481,2026-03-15 19:00:00+00:00
