symbol,longAccount,longShortRatio,shortAccount,timestamp
DOTUSDT,0.5639,1.293,0.4361,2026-03-25 22:40:00+00:00
DOTUSDT,0.5636,1.2915,0.4364,2026-03-25 22:45:00+00:00
DOTUSDT,0.5631,1.2891,0.4369,2026-03-25 22:50:00+00:00
DOTUSDT,0.5632,1.2893,0.4368,2026-03-25 22:55:00+00:00
DOTUSDT,0.5632,1.2894,0.4368,2026-03-25 23:00:00+00:00
DOTUSDT,0.5629,1.2879,0.4371,2026-03-25 23:05:00+00:00
DOTUSDT,0.563,1.2882,0.437,2026-03-25 23:10:00+00:00
DOTUSDT,0.5623,1.2846,0.4377,2026-03-25 23:15:00+00:00
DOTUSDT,0.5621,1.2838,0.4379,2026-03-25 23:20:00+00:00
DOTUSDT,0.5613,1.2794,0.4387,2026-03-25 23:25:00+00:00
DOTUSDT,0.5612,1.2788,0.4388,2026-03-25 23:30:00+00:00
DOTUSDT,0.5609,1.2774,0.4391,2026-03-25 23:35:00+00:00
DOTUSDT,0.5606,1.2759,0.4394,2026-03-25 23:40:00+00:00
DOTUSDT,0.5608,1.2766,0.4392,2026-03-25 23:45:00+00:00
DOTUSDT,0.5607,1.2765,0.4393,2026-03-25 23:50:00+00:00
DOTUSDT,0.5611,1.2785,0.4389,2026-03-25 23:55:00+00:00
DOTUSDT,0.5613,1.2797,0.4387,2026-03-26 00:00:00+00:00
DOTUSDT,0.5625,1.2856,0.4375,2026-03-26 00:05:00+00:00
DOTUSDT,0.5622,1.2841,0.4378,2026-03-26 00:10:00+00:00
DOTUSDT,0.562,1.2829,0.438,2026-03-26 00:15:00+00:00
DOTUSDT,0.5617,1.2814,0.4383,2026-03-26 00:20:00+00:00
DOTUSDT,0.5609,1.2773,0.4391,2026-03-26 00:25:00+00:00
DOTUSDT,0.5611,1.2786,0.4389,2026-03-26 00:30:00+00:00
DOTUSDT,0.5613,1.2796,0.4387,2026-03-26 00:35:00+00:00
DOTUSDT,0.5625,1.2855,0.4375,2026-03-26 00:40:00+00:00
DOTUSDT,0.5623,1.2848,0.4377,2026-03-26 00:45:00+00:00
DOTUSDT,0.5625,1.2855,0.4375,2026-03-26 00:50:00+00:00
DOTUSDT,0.5628,1.2872,0.4372,2026-03-26 00:55:00+00:00
DOTUSDT,0.5628,1.2875,0.4372,2026-03-26 01:00:00+00:00
DOTUSDT,0.5626,1.2862,0.4374,2026-03-26 01:05:00+00:00
DOTUSDT,0.5624,1.2852,0.4376,2026-03-26 01:10:00+00:00
DOTUSDT,0.5626,1.2861,0.4374,2026-03-26 01:15:00+00:00
DOTUSDT,0.563,1.2883,0.437,2026-03-26 01:20:00+00:00
DOTUSDT,0.5632,1.2895,0.4368,2026-03-26 01:25:00+00:00
DOTUSDT,0.5632,1.2893,0.4368,2026-03-26 01:30:00+00:00
DOTUSDT,0.5631,1.289,0.4369,2026-03-26 01:35:00+00:00
DOTUSDT,0.5629,1.2879,0.4371,2026-03-26 01:40:00+00:00
DOTUSDT,0.5627,1.2868,0.4373,2026-03-26 01:45:00+00:00
DOTUSDT,0.5631,1.289,0.4369,2026-03-26 01:50:00+00:00
DOTUSDT,0.5627,1.287,0.4373,2026-03-26 01:55:00+00:00
DOTUSDT,0.5631,1.2886,0.4369,2026-03-26 02:00:00+00:00
DOTUSDT,0.563,1.2882,0.437,2026-03-26 02:05:00+00:00
DOTUSDT,0.5627,1.2869,0.4373,2026-03-26 02:10:00+00:00
DOTUSDT,0.5625,1.2857,0.4375,2026-03-26 02:15:00+00:00
DOTUSDT,0.5635,1.2907,0.4365,2026-03-26 02:20:00+00:00
DOTUSDT,0.5632,1.2893,0.4368,2026-03-26 02:25:00+00:00
DOTUSDT,0.5636,1.2913,0.4364,2026-03-26 02:30:00+00:00
DOTUSDT,0.5624,1.2853,0.4376,2026-03-26 02:35:00+00:00
DOTUSDT,0.5629,1.2878,0.4371,2026-03-26 02:40:00+00:00
DOTUSDT,0.5623,1.2844,0.4377,2026-03-26 02:45:00+00:00
DOTUSDT,0.5626,1.2861,0.4374,2026-03-26 02:50:00+00:00
DOTUSDT,0.5634,1.2902,0.4366,2026-03-26 02:55:00+00:00
DOTUSDT,0.563,1.2885,0.437,2026-03-26 03:00:00+00:00
DOTUSDT,0.5629,1.2876,0.4371,2026-03-26 03:05:00+00:00
DOTUSDT,0.561,1.2782,0.439,2026-03-26 03:10:00+00:00
DOTUSDT,0.5608,1.2769,0.4392,2026-03-26 03:15:00+00:00
DOTUSDT,0.561,1.278,0.439,2026-03-26 03:20:00+00:00
DOTUSDT,0.5606,1.2759,0.4394,2026-03-26 03:25:00+00:00
DOTUSDT,0.5602,1.2736,0.4398,2026-03-26 03:30:00+00:00
DOTUSDT,0.5592,1.2686,0.4408,2026-03-26 03:35:00+00:00
DOTUSDT,0.5591,1.2683,0.4409,2026-03-26 03:40:00+00:00
DOTUSDT,0.5596,1.2706,0.4404,2026-03-26 03:45:00+00:00
DOTUSDT,0.5599,1.2721,0.4401,2026-03-26 03:50:00+00:00
DOTUSDT,0.5577,1.2607,0.4423,2026-03-26 03:55:00+00:00
DOTUSDT,0.5579,1.262,0.4421,2026-03-26 04:00:00+00:00
DOTUSDT,0.5588,1.2665,0.4412,2026-03-26 04:05:00+00:00
DOTUSDT,0.5581,1.2632,0.4419,2026-03-26 04:10:00+00:00
DOTUSDT,0.5581,1.2628,0.4419,2026-03-26 04:15:00+00:00
DOTUSDT,0.5569,1.2568,0.4431,2026-03-26 04:20:00+00:00
DOTUSDT,0.5567,1.256,0.4433,2026-03-26 04:25:00+00:00
DOTUSDT,0.5566,1.2553,0.4434,2026-03-26 04:30:00+00:00
DOTUSDT,0.5572,1.2582,0.4428,2026-03-26 04:35:00+00:00
DOTUSDT,0.5569,1.2566,0.4431,2026-03-26 04:40:00+00:00
DOTUSDT,0.5553,1.2488,0.4447,2026-03-26 04:45:00+00:00
DOTUSDT,0.5558,1.2512,0.4442,2026-03-26 04:50:00+00:00
DOTUSDT,0.5559,1.2517,0.4441,2026-03-26 04:55:00+00:00
DOTUSDT,0.5558,1.2515,0.4442,2026-03-26 05:00:00+00:00
DOTUSDT,0.5547,1.2459,0.4453,2026-03-26 05:05:00+00:00
DOTUSDT,0.5559,1.2515,0.4441,2026-03-26 05:10:00+00:00
DOTUSDT,0.5554,1.2493,0.4446,2026-03-26 05:15:00+00:00
DOTUSDT,0.5553,1.2488,0.4447,2026-03-26 05:20:00+00:00
DOTUSDT,0.5557,1.2507,0.4443,2026-03-26 05:25:00+00:00
DOTUSDT,0.5551,1.2478,0.4449,2026-03-26 05:30:00+00:00
DOTUSDT,0.5543,1.2436,0.4457,2026-03-26 05:35:00+00:00
