symbol,longAccount,longShortRatio,shortAccount,timestamp
ETHUSDT,0.5759,1.3579,0.4241,2026-03-13 17:00:00+00:00
ETHUSDT,0.5935,1.46,0.4065,2026-03-13 18:00:00+00:00
ETHUSDT,0.5974,1.4839,0.4026,2026-03-13 19:00:00+00:00
ETHUSDT,0.6043,1.5272,0.3957,2026-03-13 20:00:00+00:00
ETHUSDT,0.6072,1.5458,0.3928,2026-03-13 21:00:00+00:00
ETHUSDT,0.6082,1.5523,0.3918,2026-03-13 22:00:00+00:00
ETHUSDT,0.6106,1.5681,0.3894,2026-03-13 23:00:00+00:00
ETHUSDT,0.6149,1.5967,0.3851,2026-03-14 00:00:00+00:00
ETHUSDT,0.6158,1.6028,0.3842,2026-03-14 01:00:00+00:00
ETHUSDT,0.617,1.611,0.383,2026-03-14 02:00:00+00:00
ETHUSDT,0.6188,1.6233,0.3812,2026-03-14 03:00:00+00:00
ETHUSDT,0.6251,1.6674,0.3749,2026-03-14 04:00:00+00:00
ETHUSDT,0.6306,1.7071,0.3694,2026-03-14 05:00:00+00:00
ETHUSDT,0.6313,1.7122,0.3687,2026-03-14 06:00:00+00:00
ETHUSDT,0.6317,1.7152,0.3683,2026-03-14 07:00:00+00:00
ETHUSDT,0.6329,1.7241,0.3671,2026-03-14 08:00:00+00:00
ETHUSDT,0.6328,1.7233,0.3672,2026-03-14 09:00:00+00:00
ETHUSDT,0.6355,1.7435,0.3645,2026-03-14 10:00:00+00:00
ETHUSDT,0.6376,1.7594,0.3624,2026-03-14 11:00:00+00:00
ETHUSDT,0.6437,1.8066,0.3563,2026-03-14 12:00:00+00:00
ETHUSDT,0.6427,1.7988,0.3573,2026-03-14 13:00:00+00:00
ETHUSDT,0.6449,1.8161,0.3551,2026-03-14 14:00:00+00:00
ETHUSDT,0.6428,1.7996,0.3572,2026-03-14 15:00:00+00:00
ETHUSDT,0.6422,1.7949,0.3578,2026-03-14 16:00:00+00:00
