symbol,longAccount,longShortRatio,shortAccount,timestamp
ETHUSDT,0.6172,1.6123,0.3828,2026-03-25 22:40:00+00:00
ETHUSDT,0.6143,1.5927,0.3857,2026-03-25 22:45:00+00:00
ETHUSDT,0.6145,1.594,0.3855,2026-03-25 22:50:00+00:00
ETHUSDT,0.6144,1.5934,0.3856,2026-03-25 22:55:00+00:00
ETHUSDT,0.6143,1.5927,0.3857,2026-03-25 23:00:00+00:00
ETHUSDT,0.6142,1.592,0.3858,2026-03-25 23:05:00+00:00
ETHUSDT,0.6142,1.592,0.3858,2026-03-25 23:10:00+00:00
ETHUSDT,0.6144,1.5934,0.3856,2026-03-25 23:15:00+00:00
ETHUSDT,0.6145,1.594,0.3855,2026-03-25 23:20:00+00:00
ETHUSDT,0.6141,1.5913,0.3859,2026-03-25 23:25:00+00:00
ETHUSDT,0.6141,1.5913,0.3859,2026-03-25 23:30:00+00:00
ETHUSDT,0.6143,1.5927,0.3857,2026-03-25 23:35:00+00:00
ETHUSDT,0.6146,1.5947,0.3854,2026-03-25 23:40:00+00:00
ETHUSDT,0.6156,1.6015,0.3844,2026-03-25 23:45:00+00:00
ETHUSDT,0.6162,1.6055,0.3838,2026-03-25 23:50:00+00:00
ETHUSDT,0.6168,1.6096,0.3832,2026-03-25 23:55:00+00:00
ETHUSDT,0.6174,1.6137,0.3826,2026-03-26 00:00:00+00:00
ETHUSDT,0.6182,1.6192,0.3818,2026-03-26 00:05:00+00:00
ETHUSDT,0.618,1.6178,0.382,2026-03-26 00:10:00+00:00
ETHUSDT,0.618,1.6178,0.382,2026-03-26 00:15:00+00:00
ETHUSDT,0.6189,1.624,0.3811,2026-03-26 00:20:00+00:00
ETHUSDT,0.619,1.6247,0.381,2026-03-26 00:25:00+00:00
ETHUSDT,0.6194,1.6274,0.3806,2026-03-26 00:30:00+00:00
ETHUSDT,0.6197,1.6295,0.3803,2026-03-26 00:35:00+00:00
ETHUSDT,0.6199,1.6309,0.3801,2026-03-26 00:40:00+00:00
ETHUSDT,0.62,1.6316,0.38,2026-03-26 00:45:00+00:00
ETHUSDT,0.6205,1.635,0.3795,2026-03-26 00:50:00+00:00
ETHUSDT,0.6211,1.6392,0.3789,2026-03-26 00:55:00+00:00
ETHUSDT,0.6214,1.6413,0.3786,2026-03-26 01:00:00+00:00
ETHUSDT,0.6248,1.6652,0.3752,2026-03-26 01:05:00+00:00
ETHUSDT,0.625,1.6667,0.375,2026-03-26 01:10:00+00:00
ETHUSDT,0.6239,1.6589,0.3761,2026-03-26 01:15:00+00:00
ETHUSDT,0.624,1.6596,0.376,2026-03-26 01:20:00+00:00
ETHUSDT,0.6242,1.661,0.3758,2026-03-26 01:25:00+00:00
ETHUSDT,0.6242,1.661,0.3758,2026-03-26 01:30:00+00:00
ETHUSDT,0.6239,1.6589,0.3761,2026-03-26 01:35:00+00:00
ETHUSDT,0.6238,1.6582,0.3762,2026-03-26 01:40:00+00:00
ETHUSDT,0.6238,1.6582,0.3762,2026-03-26 01:45:00+00:00
ETHUSDT,0.6238,1.6582,0.3762,2026-03-26 01:50:00+00:00
ETHUSDT,0.6241,1.6603,0.3759,2026-03-26 01:55:00+00:00
ETHUSDT,0.6244,1.6624,0.3756,2026-03-26 02:00:00+00:00
ETHUSDT,0.6245,1.6631,0.3755,2026-03-26 02:05:00+00:00
ETHUSDT,0.6252,1.6681,0.3748,2026-03-26 02:10:00+00:00
ETHUSDT,0.6254,1.6695,0.3746,2026-03-26 02:15:00+00:00
ETHUSDT,0.6257,1.6717,0.3743,2026-03-26 02:20:00+00:00
ETHUSDT,0.6259,1.6731,0.3741,2026-03-26 02:25:00+00:00
ETHUSDT,0.6278,1.6867,0.3722,2026-03-26 02:30:00+00:00
ETHUSDT,0.6308,1.7086,0.3692,2026-03-26 02:35:00+00:00
ETHUSDT,0.6321,1.7181,0.3679,2026-03-26 02:40:00+00:00
ETHUSDT,0.6341,1.733,0.3659,2026-03-26 02:45:00+00:00
ETHUSDT,0.6355,1.7435,0.3645,2026-03-26 02:50:00+00:00
ETHUSDT,0.6359,1.7465,0.3641,2026-03-26 02:55:00+00:00
ETHUSDT,0.6364,1.7503,0.3636,2026-03-26 03:00:00+00:00
ETHUSDT,0.6363,1.7495,0.3637,2026-03-26 03:05:00+00:00
ETHUSDT,0.6377,1.7601,0.3623,2026-03-26 03:10:00+00:00
ETHUSDT,0.6399,1.777,0.3601,2026-03-26 03:15:00+00:00
ETHUSDT,0.6403,1.7801,0.3597,2026-03-26 03:20:00+00:00
ETHUSDT,0.6409,1.7847,0.3591,2026-03-26 03:25:00+00:00
ETHUSDT,0.6411,1.7863,0.3589,2026-03-26 03:30:00+00:00
ETHUSDT,0.6415,1.7894,0.3585,2026-03-26 03:35:00+00:00
ETHUSDT,0.6418,1.7917,0.3582,2026-03-26 03:40:00+00:00
ETHUSDT,0.6422,1.7949,0.3578,2026-03-26 03:45:00+00:00
ETHUSDT,0.6423,1.7956,0.3577,2026-03-26 03:50:00+00:00
ETHUSDT,0.6425,1.7972,0.3575,2026-03-26 03:55:00+00:00
ETHUSDT,0.6428,1.7996,0.3572,2026-03-26 04:00:00+00:00
ETHUSDT,0.6435,1.805,0.3565,2026-03-26 04:05:00+00:00
ETHUSDT,0.6436,1.8058,0.3564,2026-03-26 04:10:00+00:00
ETHUSDT,0.6434,1.8043,0.3566,2026-03-26 04:15:00+00:00
ETHUSDT,0.6433,1.8035,0.3567,2026-03-26 04:20:00+00:00
ETHUSDT,0.6436,1.8058,0.3564,2026-03-26 04:25:00+00:00
ETHUSDT,0.6438,1.8074,0.3562,2026-03-26 04:30:00+00:00
ETHUSDT,0.6439,1.8082,0.3561,2026-03-26 04:35:00+00:00
ETHUSDT,0.6442,1.8106,0.3558,2026-03-26 04:40:00+00:00
ETHUSDT,0.6445,1.8129,0.3555,2026-03-26 04:45:00+00:00
ETHUSDT,0.6446,1.8137,0.3554,2026-03-26 04:50:00+00:00
ETHUSDT,0.6452,1.8185,0.3548,2026-03-26 04:55:00+00:00
ETHUSDT,0.6453,1.8193,0.3547,2026-03-26 05:00:00+00:00
ETHUSDT,0.6451,1.8177,0.3549,2026-03-26 05:05:00+00:00
ETHUSDT,0.646,1.8249,0.354,2026-03-26 05:10:00+00:00
ETHUSDT,0.6456,1.8217,0.3544,2026-03-26 05:15:00+00:00
ETHUSDT,0.6462,1.8265,0.3538,2026-03-26 05:20:00+00:00
ETHUSDT,0.6458,1.8233,0.3542,2026-03-26 05:25:00+00:00
ETHUSDT,0.6455,1.8209,0.3545,2026-03-26 05:30:00+00:00
ETHUSDT,0.6458,1.8233,0.3542,2026-03-26 05:35:00+00:00
ETHUSDT,0.6464,1.8281,0.3536,2026-03-26 05:40:00+00:00
ETHUSDT,0.6519,1.8727,0.3481,2026-03-26 05:45:00+00:00
ETHUSDT,0.6569,1.9146,0.3431,2026-03-26 05:50:00+00:00
ETHUSDT,0.6625,1.963,0.3375,2026-03-26 05:55:00+00:00
ETHUSDT,0.6745,2.0722,0.3255,2026-03-26 06:00:00+00:00
ETHUSDT,0.6765,2.0912,0.3235,2026-03-26 06:05:00+00:00
ETHUSDT,0.6793,2.1182,0.3207,2026-03-26 06:10:00+00:00
ETHUSDT,0.6805,2.1299,0.3195,2026-03-26 06:15:00+00:00
ETHUSDT,0.6832,2.1566,0.3168,2026-03-26 06:20:00+00:00
ETHUSDT,0.684,2.1646,0.316,2026-03-26 06:25:00+00:00
ETHUSDT,0.6846,2.1706,0.3154,2026-03-26 06:30:00+00:00
ETHUSDT,0.6855,2.1797,0.3145,2026-03-26 06:35:00+00:00
ETHUSDT,0.685,2.1746,0.315,2026-03-26 06:40:00+00:00
ETHUSDT,0.6852,2.1766,0.3148,2026-03-26 06:45:00+00:00
ETHUSDT,0.6858,2.1827,0.3142,2026-03-26 06:50:00+00:00
