buySellRatio,sellVol,buyVol,timestamp
1.1437,243337.836,278309.32,2026-03-13 16:00:00+00:00
0.9287,309057.569,287015.058,2026-03-13 17:00:00+00:00
1.0314,132343.214,136493.064,2026-03-13 18:00:00+00:00
1.2142,55887.072,67855.958,2026-03-13 19:00:00+00:00
1.1959,45978.071,54983.92,2026-03-13 20:00:00+00:00
0.7319,60118.711,43997.993,2026-03-13 21:00:00+00:00
0.7584,139248.19,105608.244,2026-03-13 22:00:00+00:00
1.2207,31647.908,38633.504,2026-03-13 23:00:00+00:00
0.9275,49749.9,46144.315,2026-03-14 00:00:00+00:00
0.7887,63388.695,49995.185,2026-03-14 01:00:00+00:00
1.0895,30835.678,33594.6,2026-03-14 02:00:00+00:00
1.4379,47341.067,68073.322,2026-03-14 03:00:00+00:00
0.7608,94684.314,72037.865,2026-03-14 04:00:00+00:00
0.722,58572.295,42288.502,2026-03-14 05:00:00+00:00
0.759,124331.793,94361.989,2026-03-14 06:00:00+00:00
0.8265,42346.747,34998.63,2026-03-14 07:00:00+00:00
0.9402,45781.12,43043.71,2026-03-14 08:00:00+00:00
0.7746,71570.987,55436.019,2026-03-14 09:00:00+00:00
0.8999,55789.887,50202.846,2026-03-14 10:00:00+00:00
1.2678,48484.966,61467.122,2026-03-14 11:00:00+00:00
1.0762,45718.846,49203.323,2026-03-14 12:00:00+00:00
1.0343,33005.843,34137.103,2026-03-14 13:00:00+00:00
0.8335,40024.788,33360.329,2026-03-14 14:00:00+00:00
1.1333,30943.501,35069.248,2026-03-14 15:00:00+00:00
0.9575,35246.977,33747.864,2026-03-14 16:00:00+00:00
0.9653,21515.429,20768.693,2026-03-14 17:00:00+00:00
1.2152,11012.361,13381.851,2026-03-14 18:00:00+00:00
1.0137,13467.875,13652.399,2026-03-14 19:00:00+00:00
1.4969,33462.531,50091.223,2026-03-14 20:00:00+00:00
0.9365,25724.362,24091.605,2026-03-14 21:00:00+00:00
0.9602,18657.486,17914.382,2026-03-14 22:00:00+00:00
1.1924,79044.78,94251.454,2026-03-14 23:00:00+00:00
0.9036,46155.911,41706.021,2026-03-15 00:00:00+00:00
1.0034,26778.881,26870.904,2026-03-15 01:00:00+00:00
1.7838,67022.921,119556.684,2026-03-15 02:00:00+00:00
0.7027,49920.142,35079.589,2026-03-15 03:00:00+00:00
0.9818,32627.68,32034.746,2026-03-15 04:00:00+00:00
1.1835,90177.676,106726.808,2026-03-15 05:00:00+00:00
0.8511,33932.295,28879.321,2026-03-15 06:00:00+00:00
0.9618,35784.253,34416.732,2026-03-15 07:00:00+00:00
1.0904,28700.038,31294.555,2026-03-15 08:00:00+00:00
1.2619,79103.109,99818.265,2026-03-15 09:00:00+00:00
