buySellRatio,sellVol,buyVol,timestamp
1.0798,6013.078,6492.932,2026-03-25 22:35:00+00:00
1.1055,15786.854,17452.106,2026-03-25 22:40:00+00:00
0.7883,4469.681,3523.291,2026-03-25 22:45:00+00:00
1.1364,3334.481,3789.152,2026-03-25 22:50:00+00:00
2.11,2329.093,4914.442,2026-03-25 22:55:00+00:00
0.9334,5695.66,5316.224,2026-03-25 23:00:00+00:00
0.9504,1405.458,1335.78,2026-03-25 23:05:00+00:00
0.6001,2170.605,1302.635,2026-03-25 23:10:00+00:00
0.4044,5550.952,2244.804,2026-03-25 23:15:00+00:00
1.09,1789.759,1950.81,2026-03-25 23:20:00+00:00
1.5764,1559.137,2457.838,2026-03-25 23:25:00+00:00
0.697,3658.636,2550.08,2026-03-25 23:30:00+00:00
0.5849,4494.977,2629.025,2026-03-25 23:35:00+00:00
0.7413,4767.749,3534.377,2026-03-25 23:40:00+00:00
1.3401,3485.011,4670.21,2026-03-25 23:45:00+00:00
1.1273,2918.606,3290.103,2026-03-25 23:50:00+00:00
3.1813,1121.795,3568.74,2026-03-25 23:55:00+00:00
1.1799,4230.265,4991.404,2026-03-26 00:00:00+00:00
2.3886,2187.412,5224.945,2026-03-26 00:05:00+00:00
1.3463,2179.507,2934.185,2026-03-26 00:10:00+00:00
1.6166,6525.855,10549.39,2026-03-26 00:15:00+00:00
1.568,2235.706,3505.566,2026-03-26 00:20:00+00:00
0.8131,2563.155,2084.124,2026-03-26 00:25:00+00:00
0.7861,2762.526,2171.532,2026-03-26 00:30:00+00:00
1.1371,1598.744,1817.873,2026-03-26 00:35:00+00:00
2.2686,907.204,2058.086,2026-03-26 00:40:00+00:00
1.6117,2348.016,3784.349,2026-03-26 00:45:00+00:00
0.6993,5163.27,3610.846,2026-03-26 00:50:00+00:00
0.7631,4498.605,3432.938,2026-03-26 00:55:00+00:00
1.8106,2381.995,4312.894,2026-03-26 01:00:00+00:00
1.0404,4162.473,4330.571,2026-03-26 01:05:00+00:00
