symbol,longAccount,longShortRatio,shortAccount,timestamp
ETHUSDT,0.555,1.2474,0.445,2026-03-13 17:00:00+00:00
ETHUSDT,0.5489,1.2166,0.4511,2026-03-13 18:00:00+00:00
ETHUSDT,0.553,1.237,0.447,2026-03-13 19:00:00+00:00
ETHUSDT,0.5531,1.2375,0.4469,2026-03-13 20:00:00+00:00
ETHUSDT,0.5514,1.229,0.4486,2026-03-13 21:00:00+00:00
ETHUSDT,0.5487,1.2158,0.4513,2026-03-13 22:00:00+00:00
ETHUSDT,0.5563,1.2538,0.4437,2026-03-13 23:00:00+00:00
ETHUSDT,0.556,1.2522,0.444,2026-03-14 00:00:00+00:00
ETHUSDT,0.5568,1.2565,0.4432,2026-03-14 01:00:00+00:00
ETHUSDT,0.5594,1.2696,0.4406,2026-03-14 02:00:00+00:00
ETHUSDT,0.5596,1.2706,0.4404,2026-03-14 03:00:00+00:00
ETHUSDT,0.5582,1.2637,0.4418,2026-03-14 04:00:00+00:00
ETHUSDT,0.5544,1.2441,0.4456,2026-03-14 05:00:00+00:00
ETHUSDT,0.5545,1.2449,0.4455,2026-03-14 06:00:00+00:00
ETHUSDT,0.5594,1.2694,0.4406,2026-03-14 07:00:00+00:00
ETHUSDT,0.5593,1.2689,0.4407,2026-03-14 08:00:00+00:00
ETHUSDT,0.5593,1.269,0.4407,2026-03-14 09:00:00+00:00
ETHUSDT,0.5601,1.2733,0.4399,2026-03-14 10:00:00+00:00
ETHUSDT,0.5594,1.2697,0.4406,2026-03-14 11:00:00+00:00
ETHUSDT,0.5574,1.2593,0.4426,2026-03-14 12:00:00+00:00
ETHUSDT,0.5576,1.2606,0.4424,2026-03-14 13:00:00+00:00
ETHUSDT,0.5571,1.258,0.4429,2026-03-14 14:00:00+00:00
ETHUSDT,0.5562,1.2534,0.4438,2026-03-14 15:00:00+00:00
ETHUSDT,0.5564,1.2545,0.4436,2026-03-14 16:00:00+00:00
ETHUSDT,0.555,1.2471,0.445,2026-03-14 17:00:00+00:00
ETHUSDT,0.5544,1.2443,0.4456,2026-03-14 18:00:00+00:00
ETHUSDT,0.555,1.2471,0.445,2026-03-14 19:00:00+00:00
ETHUSDT,0.5538,1.2411,0.4462,2026-03-14 20:00:00+00:00
ETHUSDT,0.5516,1.2302,0.4484,2026-03-14 21:00:00+00:00
ETHUSDT,0.5496,1.2203,0.4504,2026-03-14 22:00:00+00:00
ETHUSDT,0.5485,1.2149,0.4515,2026-03-14 23:00:00+00:00
ETHUSDT,0.5448,1.1967,0.4552,2026-03-15 00:00:00+00:00
ETHUSDT,0.5431,1.1888,0.4569,2026-03-15 01:00:00+00:00
ETHUSDT,0.5446,1.196,0.4554,2026-03-15 02:00:00+00:00
ETHUSDT,0.5466,1.2054,0.4534,2026-03-15 03:00:00+00:00
ETHUSDT,0.5453,1.1993,0.4547,2026-03-15 04:00:00+00:00
ETHUSDT,0.5449,1.1973,0.4551,2026-03-15 05:00:00+00:00
ETHUSDT,0.5459,1.2022,0.4541,2026-03-15 06:00:00+00:00
ETHUSDT,0.5452,1.1989,0.4548,2026-03-15 07:00:00+00:00
ETHUSDT,0.5469,1.2073,0.4531,2026-03-15 08:00:00+00:00
ETHUSDT,0.5464,1.2044,0.4536,2026-03-15 09:00:00+00:00
ETHUSDT,0.5459,1.2022,0.4541,2026-03-15 10:00:00+00:00
ETHUSDT,0.5448,1.1967,0.4552,2026-03-15 11:00:00+00:00
ETHUSDT,0.5445,1.1956,0.4555,2026-03-15 12:00:00+00:00
ETHUSDT,0.545,1.198,0.455,2026-03-15 13:00:00+00:00
ETHUSDT,0.5524,1.234,0.4476,2026-03-15 14:00:00+00:00
ETHUSDT,0.5519,1.2318,0.4481,2026-03-15 15:00:00+00:00
ETHUSDT,0.5512,1.228,0.4488,2026-03-15 16:00:00+00:00
ETHUSDT,0.5528,1.2363,0.4472,2026-03-15 17:00:00+00:00
ETHUSDT,0.5494,1.2195,0.4506,2026-03-15 18:00:00+00:00
ETHUSDT,0.5499,1.222,0.4501,2026-03-15 19:00:00+00:00
ETHUSDT,0.5497,1.2206,0.4503,2026-03-15 20:00:00+00:00
ETHUSDT,0.5507,1.2258,0.4493,2026-03-15 21:00:00+00:00
ETHUSDT,0.5478,1.2112,0.4522,2026-03-15 22:00:00+00:00
ETHUSDT,0.5549,1.2466,0.4451,2026-03-15 23:00:00+00:00
ETHUSDT,0.562,1.283,0.438,2026-03-16 00:00:00+00:00
ETHUSDT,0.5613,1.2792,0.4387,2026-03-16 01:00:00+00:00
ETHUSDT,0.5592,1.2684,0.4408,2026-03-16 02:00:00+00:00
ETHUSDT,0.5582,1.2633,0.4418,2026-03-16 03:00:00+00:00
ETHUSDT,0.551,1.2274,0.449,2026-03-16 04:00:00+00:00
ETHUSDT,0.5532,1.2382,0.4468,2026-03-16 05:00:00+00:00
ETHUSDT,0.5636,1.2917,0.4364,2026-03-16 06:00:00+00:00
ETHUSDT,0.5628,1.2873,0.4372,2026-03-16 07:00:00+00:00
ETHUSDT,0.5758,1.3571,0.4242,2026-03-16 08:00:00+00:00
ETHUSDT,0.5778,1.3687,0.4222,2026-03-16 09:00:00+00:00
ETHUSDT,0.5774,1.3661,0.4226,2026-03-16 10:00:00+00:00
ETHUSDT,0.5753,1.3547,0.4247,2026-03-16 11:00:00+00:00
ETHUSDT,0.5767,1.3625,0.4233,2026-03-16 12:00:00+00:00
ETHUSDT,0.5887,1.4312,0.4113,2026-03-16 13:00:00+00:00
ETHUSDT,0.5907,1.4431,0.4093,2026-03-16 14:00:00+00:00
ETHUSDT,0.5826,1.3956,0.4174,2026-03-16 15:00:00+00:00
ETHUSDT,0.5804,1.3831,0.4196,2026-03-16 16:00:00+00:00
ETHUSDT,0.5817,1.3906,0.4183,2026-03-16 17:00:00+00:00
ETHUSDT,0.5764,1.3608,0.4236,2026-03-16 18:00:00+00:00
ETHUSDT,0.5768,1.3627,0.4232,2026-03-16 19:00:00+00:00
ETHUSDT,0.5786,1.3729,0.4214,2026-03-16 20:00:00+00:00
ETHUSDT,0.5797,1.3793,0.4203,2026-03-16 21:00:00+00:00
ETHUSDT,0.5851,1.4102,0.4149,2026-03-16 22:00:00+00:00
ETHUSDT,0.585,1.4099,0.415,2026-03-16 23:00:00+00:00
ETHUSDT,0.5849,1.4089,0.4151,2026-03-17 00:00:00+00:00
ETHUSDT,0.5895,1.4362,0.4105,2026-03-17 01:00:00+00:00
ETHUSDT,0.5851,1.4099,0.4149,2026-03-17 02:00:00+00:00
ETHUSDT,0.5865,1.4183,0.4135,2026-03-17 03:00:00+00:00
ETHUSDT,0.5725,1.3391,0.4275,2026-03-17 04:00:00+00:00
ETHUSDT,0.5622,1.284,0.4378,2026-03-17 05:00:00+00:00
ETHUSDT,0.5625,1.2855,0.4375,2026-03-17 06:00:00+00:00
ETHUSDT,0.5603,1.2742,0.4397,2026-03-17 07:00:00+00:00
ETHUSDT,0.5595,1.2701,0.4405,2026-03-17 08:00:00+00:00
ETHUSDT,0.5571,1.2579,0.4429,2026-03-17 09:00:00+00:00
ETHUSDT,0.5513,1.2287,0.4487,2026-03-17 10:00:00+00:00
ETHUSDT,0.5555,1.2499,0.4445,2026-03-17 11:00:00+00:00
ETHUSDT,0.5554,1.249,0.4446,2026-03-17 12:00:00+00:00
ETHUSDT,0.5562,1.2534,0.4438,2026-03-17 13:00:00+00:00
ETHUSDT,0.5466,1.2056,0.4534,2026-03-17 14:00:00+00:00
ETHUSDT,0.5433,1.1897,0.4567,2026-03-17 15:00:00+00:00
ETHUSDT,0.5425,1.1857,0.4575,2026-03-17 16:00:00+00:00
ETHUSDT,0.5427,1.1865,0.4573,2026-03-17 17:00:00+00:00
ETHUSDT,0.5419,1.183,0.4581,2026-03-17 18:00:00+00:00
ETHUSDT,0.543,1.1883,0.457,2026-03-17 19:00:00+00:00
ETHUSDT,0.5449,1.1974,0.4551,2026-03-17 20:00:00+00:00
ETHUSDT,0.5452,1.1986,0.4548,2026-03-17 21:00:00+00:00
ETHUSDT,0.546,1.2028,0.454,2026-03-17 22:00:00+00:00
ETHUSDT,0.5473,1.2089,0.4527,2026-03-17 23:00:00+00:00
ETHUSDT,0.5483,1.2137,0.4517,2026-03-18 00:00:00+00:00
ETHUSDT,0.5505,1.2246,0.4495,2026-03-18 01:00:00+00:00
ETHUSDT,0.5465,1.2051,0.4535,2026-03-18 02:00:00+00:00
ETHUSDT,0.5459,1.2022,0.4541,2026-03-18 03:00:00+00:00
ETHUSDT,0.5486,1.2154,0.4514,2026-03-18 04:00:00+00:00
ETHUSDT,0.5498,1.2213,0.4502,2026-03-18 05:00:00+00:00
ETHUSDT,0.5485,1.2148,0.4515,2026-03-18 06:00:00+00:00
ETHUSDT,0.5507,1.2256,0.4493,2026-03-18 07:00:00+00:00
ETHUSDT,0.5527,1.2358,0.4473,2026-03-18 08:00:00+00:00
ETHUSDT,0.5521,1.2327,0.4479,2026-03-18 09:00:00+00:00
ETHUSDT,0.5519,1.2316,0.4481,2026-03-18 10:00:00+00:00
ETHUSDT,0.5514,1.2291,0.4486,2026-03-18 11:00:00+00:00
ETHUSDT,0.5521,1.2328,0.4479,2026-03-18 12:00:00+00:00
ETHUSDT,0.5544,1.2444,0.4456,2026-03-18 13:00:00+00:00
ETHUSDT,0.5578,1.2615,0.4422,2026-03-18 14:00:00+00:00
ETHUSDT,0.5447,1.1963,0.4553,2026-03-18 15:00:00+00:00
ETHUSDT,0.5313,1.1337,0.4687,2026-03-18 16:00:00+00:00
ETHUSDT,0.5277,1.1174,0.4723,2026-03-18 17:00:00+00:00
ETHUSDT,0.5235,1.0988,0.4765,2026-03-18 18:00:00+00:00
ETHUSDT,0.5229,1.0961,0.4771,2026-03-18 19:00:00+00:00
ETHUSDT,0.5236,1.099,0.4764,2026-03-18 20:00:00+00:00
ETHUSDT,0.5271,1.1145,0.4729,2026-03-18 21:00:00+00:00
ETHUSDT,0.5252,1.1064,0.4748,2026-03-18 22:00:00+00:00
ETHUSDT,0.5245,1.1033,0.4755,2026-03-18 23:00:00+00:00
ETHUSDT,0.5236,1.0991,0.4764,2026-03-19 00:00:00+00:00
ETHUSDT,0.5247,1.1039,0.4753,2026-03-19 01:00:00+00:00
ETHUSDT,0.5241,1.1012,0.4759,2026-03-19 02:00:00+00:00
ETHUSDT,0.5201,1.084,0.4799,2026-03-19 03:00:00+00:00
ETHUSDT,0.5174,1.072,0.4826,2026-03-19 04:00:00+00:00
ETHUSDT,0.5188,1.078,0.4812,2026-03-19 05:00:00+00:00
ETHUSDT,0.5191,1.0796,0.4809,2026-03-19 06:00:00+00:00
ETHUSDT,0.5206,1.0859,0.4794,2026-03-19 07:00:00+00:00
ETHUSDT,0.529,1.123,0.471,2026-03-19 08:00:00+00:00
ETHUSDT,0.5268,1.1134,0.4732,2026-03-19 09:00:00+00:00
ETHUSDT,0.5278,1.1178,0.4722,2026-03-19 10:00:00+00:00
ETHUSDT,0.5276,1.1169,0.4724,2026-03-19 11:00:00+00:00
ETHUSDT,0.5295,1.1252,0.4705,2026-03-19 12:00:00+00:00
ETHUSDT,0.5288,1.1221,0.4712,2026-03-19 13:00:00+00:00
ETHUSDT,0.5233,1.0978,0.4767,2026-03-19 14:00:00+00:00
ETHUSDT,0.526,1.1096,0.474,2026-03-19 15:00:00+00:00
ETHUSDT,0.5206,1.0861,0.4794,2026-03-19 16:00:00+00:00
ETHUSDT,0.518,1.0748,0.482,2026-03-19 17:00:00+00:00
ETHUSDT,0.5168,1.0695,0.4832,2026-03-19 18:00:00+00:00
ETHUSDT,0.5169,1.0698,0.4831,2026-03-19 19:00:00+00:00
ETHUSDT,0.5109,1.0444,0.4891,2026-03-19 20:00:00+00:00
ETHUSDT,0.5131,1.0538,0.4869,2026-03-19 21:00:00+00:00
ETHUSDT,0.5126,1.0517,0.4874,2026-03-19 22:00:00+00:00
ETHUSDT,0.5108,1.0441,0.4892,2026-03-19 23:00:00+00:00
ETHUSDT,0.5112,1.046,0.4888,2026-03-20 00:00:00+00:00
ETHUSDT,0.5112,1.0458,0.4888,2026-03-20 01:00:00+00:00
ETHUSDT,0.5103,1.0419,0.4897,2026-03-20 02:00:00+00:00
ETHUSDT,0.5077,1.0311,0.4923,2026-03-20 03:00:00+00:00
ETHUSDT,0.5066,1.0267,0.4934,2026-03-20 04:00:00+00:00
ETHUSDT,0.5097,1.0396,0.4903,2026-03-20 05:00:00+00:00
ETHUSDT,0.511,1.045,0.489,2026-03-20 06:00:00+00:00
ETHUSDT,0.5099,1.0403,0.4901,2026-03-20 07:00:00+00:00
ETHUSDT,0.5093,1.038,0.4907,2026-03-20 08:00:00+00:00
ETHUSDT,0.5086,1.0349,0.4914,2026-03-20 09:00:00+00:00
ETHUSDT,0.5089,1.0362,0.4911,2026-03-20 10:00:00+00:00
ETHUSDT,0.5117,1.0478,0.4883,2026-03-20 11:00:00+00:00
ETHUSDT,0.5125,1.0514,0.4875,2026-03-20 12:00:00+00:00
ETHUSDT,0.515,1.0617,0.485,2026-03-20 13:00:00+00:00
ETHUSDT,0.5161,1.0663,0.4839,2026-03-20 14:00:00+00:00
ETHUSDT,0.5227,1.0953,0.4773,2026-03-20 15:00:00+00:00
ETHUSDT,0.5238,1.1001,0.4762,2026-03-20 16:00:00+00:00
ETHUSDT,0.5231,1.0968,0.4769,2026-03-20 17:00:00+00:00
ETHUSDT,0.5262,1.1106,0.4738,2026-03-20 18:00:00+00:00
ETHUSDT,0.5288,1.122,0.4712,2026-03-20 19:00:00+00:00
