symbol,longAccount,longShortRatio,shortAccount,timestamp
ETHUSDT,0.5225,1.0944,0.4775,2026-03-25 22:40:00+00:00
ETHUSDT,0.5229,1.0958,0.4771,2026-03-25 22:45:00+00:00
ETHUSDT,0.5231,1.0969,0.4769,2026-03-25 22:50:00+00:00
ETHUSDT,0.5225,1.0944,0.4775,2026-03-25 22:55:00+00:00
ETHUSDT,0.5217,1.0908,0.4783,2026-03-25 23:00:00+00:00
ETHUSDT,0.5215,1.0897,0.4785,2026-03-25 23:05:00+00:00
ETHUSDT,0.5215,1.0898,0.4785,2026-03-25 23:10:00+00:00
ETHUSDT,0.5215,1.09,0.4785,2026-03-25 23:15:00+00:00
ETHUSDT,0.5216,1.0902,0.4784,2026-03-25 23:20:00+00:00
ETHUSDT,0.5218,1.091,0.4782,2026-03-25 23:25:00+00:00
ETHUSDT,0.5218,1.0911,0.4782,2026-03-25 23:30:00+00:00
ETHUSDT,0.5217,1.0907,0.4783,2026-03-25 23:35:00+00:00
ETHUSDT,0.5219,1.0914,0.4781,2026-03-25 23:40:00+00:00
ETHUSDT,0.522,1.0922,0.478,2026-03-25 23:45:00+00:00
ETHUSDT,0.5224,1.0937,0.4776,2026-03-25 23:50:00+00:00
ETHUSDT,0.5225,1.0943,0.4775,2026-03-25 23:55:00+00:00
ETHUSDT,0.5224,1.0939,0.4776,2026-03-26 00:00:00+00:00
ETHUSDT,0.5227,1.0952,0.4773,2026-03-26 00:05:00+00:00
ETHUSDT,0.5229,1.0959,0.4771,2026-03-26 00:10:00+00:00
ETHUSDT,0.5228,1.0954,0.4772,2026-03-26 00:15:00+00:00
ETHUSDT,0.5219,1.0917,0.4781,2026-03-26 00:20:00+00:00
ETHUSDT,0.522,1.092,0.478,2026-03-26 00:25:00+00:00
ETHUSDT,0.5219,1.0918,0.4781,2026-03-26 00:30:00+00:00
ETHUSDT,0.5219,1.0915,0.4781,2026-03-26 00:35:00+00:00
ETHUSDT,0.522,1.0919,0.478,2026-03-26 00:40:00+00:00
ETHUSDT,0.5219,1.0918,0.4781,2026-03-26 00:45:00+00:00
ETHUSDT,0.5221,1.0927,0.4779,2026-03-26 00:50:00+00:00
ETHUSDT,0.5225,1.0944,0.4775,2026-03-26 00:55:00+00:00
ETHUSDT,0.5225,1.0942,0.4775,2026-03-26 01:00:00+00:00
ETHUSDT,0.5224,1.0939,0.4776,2026-03-26 01:05:00+00:00
ETHUSDT,0.5222,1.093,0.4778,2026-03-26 01:10:00+00:00
ETHUSDT,0.5223,1.0932,0.4777,2026-03-26 01:15:00+00:00
ETHUSDT,0.5241,1.1014,0.4759,2026-03-26 01:20:00+00:00
ETHUSDT,0.5241,1.1013,0.4759,2026-03-26 01:25:00+00:00
ETHUSDT,0.524,1.1009,0.476,2026-03-26 01:30:00+00:00
ETHUSDT,0.5238,1.1,0.4762,2026-03-26 01:35:00+00:00
ETHUSDT,0.5238,1.1001,0.4762,2026-03-26 01:40:00+00:00
ETHUSDT,0.5238,1.1001,0.4762,2026-03-26 01:45:00+00:00
ETHUSDT,0.5239,1.1002,0.4761,2026-03-26 01:50:00+00:00
ETHUSDT,0.5236,1.0992,0.4764,2026-03-26 01:55:00+00:00
ETHUSDT,0.5237,1.0995,0.4763,2026-03-26 02:00:00+00:00
ETHUSDT,0.5237,1.0995,0.4763,2026-03-26 02:05:00+00:00
ETHUSDT,0.5254,1.107,0.4746,2026-03-26 02:10:00+00:00
ETHUSDT,0.5255,1.1074,0.4745,2026-03-26 02:15:00+00:00
ETHUSDT,0.5263,1.1112,0.4737,2026-03-26 02:20:00+00:00
ETHUSDT,0.5267,1.113,0.4733,2026-03-26 02:25:00+00:00
ETHUSDT,0.5301,1.1281,0.4699,2026-03-26 02:30:00+00:00
ETHUSDT,0.5313,1.1336,0.4687,2026-03-26 02:35:00+00:00
ETHUSDT,0.5316,1.1347,0.4684,2026-03-26 02:40:00+00:00
ETHUSDT,0.5314,1.1339,0.4686,2026-03-26 02:45:00+00:00
ETHUSDT,0.5323,1.1382,0.4677,2026-03-26 02:50:00+00:00
ETHUSDT,0.5324,1.1387,0.4676,2026-03-26 02:55:00+00:00
ETHUSDT,0.5333,1.1426,0.4667,2026-03-26 03:00:00+00:00
ETHUSDT,0.5338,1.1452,0.4662,2026-03-26 03:05:00+00:00
ETHUSDT,0.5342,1.147,0.4658,2026-03-26 03:10:00+00:00
ETHUSDT,0.5346,1.1488,0.4654,2026-03-26 03:15:00+00:00
ETHUSDT,0.5342,1.147,0.4658,2026-03-26 03:20:00+00:00
ETHUSDT,0.5333,1.1429,0.4667,2026-03-26 03:25:00+00:00
ETHUSDT,0.5331,1.1417,0.4669,2026-03-26 03:30:00+00:00
ETHUSDT,0.5328,1.1406,0.4672,2026-03-26 03:35:00+00:00
ETHUSDT,0.5327,1.1401,0.4673,2026-03-26 03:40:00+00:00
ETHUSDT,0.5325,1.1392,0.4675,2026-03-26 03:45:00+00:00
ETHUSDT,0.5325,1.1389,0.4675,2026-03-26 03:50:00+00:00
ETHUSDT,0.5325,1.1389,0.4675,2026-03-26 03:55:00+00:00
ETHUSDT,0.5323,1.1383,0.4677,2026-03-26 04:00:00+00:00
ETHUSDT,0.5324,1.1384,0.4676,2026-03-26 04:05:00+00:00
ETHUSDT,0.5324,1.1385,0.4676,2026-03-26 04:10:00+00:00
ETHUSDT,0.5323,1.1382,0.4677,2026-03-26 04:15:00+00:00
ETHUSDT,0.5322,1.1375,0.4678,2026-03-26 04:20:00+00:00
ETHUSDT,0.5321,1.1373,0.4679,2026-03-26 04:25:00+00:00
ETHUSDT,0.5322,1.1376,0.4678,2026-03-26 04:30:00+00:00
ETHUSDT,0.5327,1.1398,0.4673,2026-03-26 04:35:00+00:00
ETHUSDT,0.5327,1.14,0.4673,2026-03-26 04:40:00+00:00
ETHUSDT,0.5322,1.1374,0.4678,2026-03-26 04:45:00+00:00
ETHUSDT,0.5324,1.1384,0.4676,2026-03-26 04:50:00+00:00
ETHUSDT,0.5317,1.1355,0.4683,2026-03-26 04:55:00+00:00
ETHUSDT,0.5318,1.1359,0.4682,2026-03-26 05:00:00+00:00
ETHUSDT,0.5317,1.1355,0.4683,2026-03-26 05:05:00+00:00
ETHUSDT,0.5318,1.1357,0.4682,2026-03-26 05:10:00+00:00
ETHUSDT,0.5328,1.1405,0.4672,2026-03-26 05:15:00+00:00
ETHUSDT,0.5324,1.1384,0.4676,2026-03-26 05:20:00+00:00
ETHUSDT,0.5332,1.142,0.4668,2026-03-26 05:25:00+00:00
ETHUSDT,0.5333,1.1427,0.4667,2026-03-26 05:30:00+00:00
ETHUSDT,0.5338,1.145,0.4662,2026-03-26 05:35:00+00:00
ETHUSDT,0.5339,1.1453,0.4661,2026-03-26 05:40:00+00:00
ETHUSDT,0.529,1.1231,0.471,2026-03-26 05:45:00+00:00
ETHUSDT,0.5302,1.1287,0.4698,2026-03-26 05:50:00+00:00
ETHUSDT,0.5291,1.1236,0.4709,2026-03-26 05:55:00+00:00
ETHUSDT,0.5311,1.1328,0.4689,2026-03-26 06:00:00+00:00
ETHUSDT,0.5308,1.1313,0.4692,2026-03-26 06:05:00+00:00
ETHUSDT,0.5306,1.1304,0.4694,2026-03-26 06:10:00+00:00
ETHUSDT,0.5296,1.1257,0.4704,2026-03-26 06:15:00+00:00
ETHUSDT,0.5303,1.129,0.4697,2026-03-26 06:20:00+00:00
ETHUSDT,0.5307,1.1306,0.4693,2026-03-26 06:25:00+00:00
ETHUSDT,0.5309,1.1317,0.4691,2026-03-26 06:30:00+00:00
ETHUSDT,0.531,1.1324,0.469,2026-03-26 06:35:00+00:00
ETHUSDT,0.5309,1.1318,0.4691,2026-03-26 06:40:00+00:00
ETHUSDT,0.531,1.1323,0.469,2026-03-26 06:45:00+00:00
ETHUSDT,0.531,1.1322,0.469,2026-03-26 06:50:00+00:00
ETHUSDT,0.5303,1.1292,0.4697,2026-03-26 06:55:00+00:00
ETHUSDT,0.5303,1.1291,0.4697,2026-03-26 07:00:00+00:00
ETHUSDT,0.5304,1.1294,0.4696,2026-03-26 07:05:00+00:00
ETHUSDT,0.531,1.1321,0.469,2026-03-26 07:10:00+00:00
ETHUSDT,0.5314,1.1338,0.4686,2026-03-26 07:15:00+00:00
ETHUSDT,0.5313,1.1337,0.4687,2026-03-26 07:20:00+00:00
ETHUSDT,0.5317,1.1354,0.4683,2026-03-26 07:25:00+00:00
ETHUSDT,0.5315,1.1345,0.4685,2026-03-26 07:30:00+00:00
ETHUSDT,0.5325,1.1392,0.4675,2026-03-26 07:35:00+00:00
ETHUSDT,0.5331,1.1419,0.4669,2026-03-26 07:40:00+00:00
ETHUSDT,0.533,1.1415,0.467,2026-03-26 07:45:00+00:00
ETHUSDT,0.533,1.1411,0.467,2026-03-26 07:50:00+00:00
ETHUSDT,0.5331,1.142,0.4669,2026-03-26 07:55:00+00:00
ETHUSDT,0.533,1.1412,0.467,2026-03-26 08:00:00+00:00
ETHUSDT,0.5326,1.1397,0.4674,2026-03-26 08:05:00+00:00
ETHUSDT,0.5327,1.1397,0.4673,2026-03-26 08:10:00+00:00
ETHUSDT,0.5324,1.1385,0.4676,2026-03-26 08:15:00+00:00
ETHUSDT,0.533,1.1413,0.467,2026-03-26 08:20:00+00:00
ETHUSDT,0.534,1.146,0.466,2026-03-26 08:25:00+00:00
ETHUSDT,0.5342,1.1467,0.4658,2026-03-26 08:30:00+00:00
ETHUSDT,0.5328,1.1406,0.4672,2026-03-26 08:35:00+00:00
ETHUSDT,0.5328,1.1403,0.4672,2026-03-26 08:40:00+00:00
ETHUSDT,0.5326,1.1393,0.4674,2026-03-26 08:45:00+00:00
ETHUSDT,0.5327,1.1399,0.4673,2026-03-26 08:50:00+00:00
ETHUSDT,0.5325,1.1391,0.4675,2026-03-26 08:55:00+00:00
ETHUSDT,0.5326,1.1396,0.4674,2026-03-26 09:00:00+00:00
ETHUSDT,0.5323,1.1381,0.4677,2026-03-26 09:05:00+00:00
ETHUSDT,0.5319,1.1364,0.4681,2026-03-26 09:10:00+00:00
ETHUSDT,0.5321,1.1372,0.4679,2026-03-26 09:15:00+00:00
ETHUSDT,0.5322,1.1378,0.4678,2026-03-26 09:20:00+00:00
ETHUSDT,0.5323,1.1382,0.4677,2026-03-26 09:25:00+00:00
ETHUSDT,0.5322,1.1378,0.4678,2026-03-26 09:30:00+00:00
ETHUSDT,0.5169,1.0699,0.4831,2026-03-26 09:35:00+00:00
ETHUSDT,0.5172,1.0713,0.4828,2026-03-26 09:40:00+00:00
ETHUSDT,0.5175,1.0724,0.4825,2026-03-26 09:45:00+00:00
ETHUSDT,0.5182,1.0757,0.4818,2026-03-26 09:50:00+00:00
ETHUSDT,0.5193,1.0804,0.4807,2026-03-26 09:55:00+00:00
ETHUSDT,0.5204,1.0849,0.4796,2026-03-26 10:00:00+00:00
ETHUSDT,0.5193,1.0805,0.4807,2026-03-26 10:05:00+00:00
ETHUSDT,0.5194,1.0807,0.4806,2026-03-26 10:10:00+00:00
ETHUSDT,0.5184,1.0766,0.4816,2026-03-26 10:15:00+00:00
ETHUSDT,0.5189,1.0788,0.4811,2026-03-26 10:20:00+00:00
ETHUSDT,0.5191,1.0794,0.4809,2026-03-26 10:25:00+00:00
ETHUSDT,0.5195,1.081,0.4805,2026-03-26 10:30:00+00:00
ETHUSDT,0.5198,1.0826,0.4802,2026-03-26 10:35:00+00:00
ETHUSDT,0.519,1.0792,0.481,2026-03-26 10:40:00+00:00
ETHUSDT,0.5195,1.081,0.4805,2026-03-26 10:45:00+00:00
ETHUSDT,0.5196,1.0816,0.4804,2026-03-26 10:50:00+00:00
ETHUSDT,0.5199,1.0828,0.4801,2026-03-26 10:55:00+00:00
ETHUSDT,0.52,1.0832,0.48,2026-03-26 11:00:00+00:00
ETHUSDT,0.5203,1.0846,0.4797,2026-03-26 11:05:00+00:00
ETHUSDT,0.5204,1.0852,0.4796,2026-03-26 11:10:00+00:00
ETHUSDT,0.5198,1.0826,0.4802,2026-03-26 11:15:00+00:00
ETHUSDT,0.5213,1.089,0.4787,2026-03-26 11:20:00+00:00
ETHUSDT,0.5208,1.087,0.4792,2026-03-26 11:25:00+00:00
ETHUSDT,0.5207,1.0864,0.4793,2026-03-26 11:30:00+00:00
ETHUSDT,0.5215,1.0896,0.4785,2026-03-26 11:35:00+00:00
ETHUSDT,0.522,1.0919,0.478,2026-03-26 11:40:00+00:00
ETHUSDT,0.5218,1.0911,0.4782,2026-03-26 11:45:00+00:00
ETHUSDT,0.5222,1.0929,0.4778,2026-03-26 11:50:00+00:00
ETHUSDT,0.5222,1.093,0.4778,2026-03-26 11:55:00+00:00
ETHUSDT,0.523,1.0963,0.477,2026-03-26 12:00:00+00:00
ETHUSDT,0.5244,1.1025,0.4756,2026-03-26 12:05:00+00:00
ETHUSDT,0.5243,1.1022,0.4757,2026-03-26 12:10:00+00:00
ETHUSDT,0.5242,1.1018,0.4758,2026-03-26 12:15:00+00:00
ETHUSDT,0.5236,1.099,0.4764,2026-03-26 12:20:00+00:00
ETHUSDT,0.5237,1.0995,0.4763,2026-03-26 12:25:00+00:00
ETHUSDT,0.5238,1.0999,0.4762,2026-03-26 12:30:00+00:00
ETHUSDT,0.5235,1.0985,0.4765,2026-03-26 12:35:00+00:00
ETHUSDT,0.5233,1.0979,0.4767,2026-03-26 12:40:00+00:00
ETHUSDT,0.5232,1.0974,0.4768,2026-03-26 12:45:00+00:00
ETHUSDT,0.5229,1.0959,0.4771,2026-03-26 12:50:00+00:00
ETHUSDT,0.5228,1.0958,0.4772,2026-03-26 12:55:00+00:00
ETHUSDT,0.5227,1.0949,0.4773,2026-03-26 13:00:00+00:00
