symbol,fundingTime,fundingRate,markPrice
LINKUSDT,2026-03-14 00:00:00.001000+00:00,6.263e-05,9.08
LINKUSDT,2026-03-14 08:00:00+00:00,0.0001,8.97622454
LINKUSDT,2026-03-14 16:00:00.007000+00:00,-0.00013564,8.998
LINKUSDT,2026-03-15 00:00:00+00:00,4.363e-05,9.163
LINKUSDT,2026-03-15 08:00:00+00:00,0.0001,9.213
LINKUSDT,2026-03-15 16:00:00+00:00,0.0001,9.15156787
LINKUSDT,2026-03-16 00:00:00+00:00,7.534e-05,9.49219886
LINKUSDT,2026-03-16 08:00:00.010000+00:00,0.0001,9.682
LINKUSDT,2026-03-16 16:00:00+00:00,-6.66e-06,9.71457702
LINKUSDT,2026-03-17 00:00:00+00:00,-4.602e-05,9.917
LINKUSDT,2026-03-17 08:00:00.002000+00:00,7.088e-05,9.793
LINKUSDT,2026-03-17 16:00:00.011000+00:00,1.092e-05,9.79883938
LINKUSDT,2026-03-18 00:00:00.002000+00:00,0.0001,9.786
LINKUSDT,2026-03-18 08:00:00.002000+00:00,-2.468e-05,9.808
LINKUSDT,2026-03-18 16:00:00.005000+00:00,-0.00014149,9.201
LINKUSDT,2026-03-19 00:00:00+00:00,-0.00014346,9.222
LINKUSDT,2026-03-19 08:00:00.003000+00:00,2.792e-05,9.09305075
LINKUSDT,2026-03-19 16:00:00.003000+00:00,4.87e-06,8.958
LINKUSDT,2026-03-20 00:00:00.002000+00:00,-5.076e-05,9.041
LINKUSDT,2026-03-20 08:00:00+00:00,-6.39e-06,9.11075354
LINKUSDT,2026-03-20 16:00:00+00:00,2.986e-05,9.0238604
LINKUSDT,2026-03-21 00:00:00+00:00,-9.382e-05,9.11159159
LINKUSDT,2026-03-21 08:00:00+00:00,8.882e-05,9.123
LINKUSDT,2026-03-21 16:00:00.014000+00:00,7.019e-05,9.10373809
LINKUSDT,2026-03-22 00:00:00.012000+00:00,-4.838e-05,8.82147914
LINKUSDT,2026-03-22 08:00:00.007000+00:00,-9.21e-06,8.837
LINKUSDT,2026-03-22 16:00:00.002000+00:00,5.911e-05,8.79598163
LINKUSDT,2026-03-23 00:00:00+00:00,0.0001,8.68436258
LINKUSDT,2026-03-23 08:00:00.003000+00:00,9.535e-05,8.642
LINKUSDT,2026-03-23 16:00:00.002000+00:00,4.966e-05,9.04607924
LINKUSDT,2026-03-24 00:00:00+00:00,9.937e-05,9.10354315
LINKUSDT,2026-03-24 08:00:00+00:00,3.613e-05,9.24262092
LINKUSDT,2026-03-24 16:00:00.003000+00:00,-8.584e-05,9.113
LINKUSDT,2026-03-25 00:00:00+00:00,0.0001,9.246
LINKUSDT,2026-03-25 08:00:00+00:00,0.0001,9.284
LINKUSDT,2026-03-25 16:00:00.013000+00:00,2.234e-05,9.363
LINKUSDT,2026-03-26 00:00:00.001000+00:00,0.0001,9.3720421
LINKUSDT,2026-03-26 08:00:00.001000+00:00,3.64e-05,9.09938995
LINKUSDT,2026-03-26 16:00:00+00:00,-5.766e-05,8.93331198
LINKUSDT,2026-03-27 00:00:00.006000+00:00,-1.57e-05,8.912286
LINKUSDT,2026-03-27 08:00:00+00:00,5.304e-05,8.903
LINKUSDT,2026-03-27 16:00:00+00:00,-0.00014801,8.60658971
