open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_vol,taker_buy_quote_vol
2026-03-13 17:00:00+00:00,9.282,9.304,9.095,9.143,1054507.89,2026-03-13 17:59:59.999000+00:00,9680113.58059,26729,443708.07,4072041.99448
2026-03-13 18:00:00+00:00,9.142,9.181,9.106,9.124,605422.38,2026-03-13 18:59:59.999000+00:00,5536927.58307,17505,332094.13,3037686.97833
2026-03-13 19:00:00+00:00,9.123,9.16,9.103,9.14,577480.31,2026-03-13 19:59:59.999000+00:00,5275220.65491,12936,408664.21,3734265.18822
2026-03-13 20:00:00+00:00,9.141,9.172,9.125,9.172,300883.82,2026-03-13 20:59:59.999000+00:00,2754585.19699,8835,160016.33,1465082.70468
2026-03-13 21:00:00+00:00,9.172,9.198,9.115,9.129,476701.99,2026-03-13 21:59:59.999000+00:00,4362474.35944,12047,160749.97,1471733.4619
2026-03-13 22:00:00+00:00,9.128,9.136,9.014,9.061,1077186.55,2026-03-13 22:59:59.999000+00:00,9767356.62326,23880,365410.74,3310952.04963
2026-03-13 23:00:00+00:00,9.061,9.097,9.047,9.081,331856.29,2026-03-13 23:59:59.999000+00:00,3011145.13582,10486,170472.64,1547168.36939
2026-03-14 00:00:00+00:00,9.08,9.111,9.046,9.05,436043.45,2026-03-14 00:59:59.999000+00:00,3958341.95994,14952,212081.43,1925285.29219
2026-03-14 01:00:00+00:00,9.049,9.084,9.017,9.076,402264.28,2026-03-14 01:59:59.999000+00:00,3643729.04967,10290,205297.14,1859708.24128
2026-03-14 02:00:00+00:00,9.076,9.094,9.058,9.076,265160.41,2026-03-14 02:59:59.999000+00:00,2407131.02579,7554,128166.11,1163589.8525
2026-03-14 03:00:00+00:00,9.077,9.128,9.068,9.113,400503.28,2026-03-14 03:59:59.999000+00:00,3648116.39289,8878,227869.38,2075830.15279
2026-03-14 04:00:00+00:00,9.114,9.138,9.077,9.082,380246.08,2026-03-14 04:59:59.999000+00:00,3464454.58448,9502,161049.08,1467601.32974
2026-03-14 05:00:00+00:00,9.082,9.092,9.015,9.058,418761.73,2026-03-14 05:59:59.999000+00:00,3791767.48926,10085,156226.61,1414523.65264
2026-03-14 06:00:00+00:00,9.058,9.058,8.955,8.998,819834.16,2026-03-14 06:59:59.999000+00:00,7377759.62493,17187,313093.72,2818199.24207
2026-03-14 07:00:00+00:00,8.998,9.0,8.96,8.974,450868.66,2026-03-14 07:59:59.999000+00:00,4049169.23542,10906,179428.12,1611496.13097
2026-03-14 08:00:00+00:00,8.974,8.987,8.96,8.975,341169.75,2026-03-14 08:59:59.999000+00:00,3061543.55864,9123,162304.98,1456535.65405
