symbol,longAccount,longShortRatio,shortAccount,timestamp
LINKUSDT,0.6565,1.9112,0.3435,2026-03-13 17:00:00+00:00
LINKUSDT,0.6664,1.9976,0.3336,2026-03-13 18:00:00+00:00
LINKUSDT,0.6653,1.9878,0.3347,2026-03-13 19:00:00+00:00
LINKUSDT,0.665,1.9851,0.335,2026-03-13 20:00:00+00:00
LINKUSDT,0.6662,1.9958,0.3338,2026-03-13 21:00:00+00:00
LINKUSDT,0.6725,2.0534,0.3275,2026-03-13 22:00:00+00:00
LINKUSDT,0.6754,2.0807,0.3246,2026-03-13 23:00:00+00:00
LINKUSDT,0.6761,2.0874,0.3239,2026-03-14 00:00:00+00:00
LINKUSDT,0.6771,2.0969,0.3229,2026-03-14 01:00:00+00:00
LINKUSDT,0.6746,2.0731,0.3254,2026-03-14 02:00:00+00:00
LINKUSDT,0.6743,2.0703,0.3257,2026-03-14 03:00:00+00:00
LINKUSDT,0.6765,2.0912,0.3235,2026-03-14 04:00:00+00:00
LINKUSDT,0.6767,2.0931,0.3233,2026-03-14 05:00:00+00:00
LINKUSDT,0.6739,2.0665,0.3261,2026-03-14 06:00:00+00:00
LINKUSDT,0.6714,2.0432,0.3286,2026-03-14 07:00:00+00:00
LINKUSDT,0.6676,2.0084,0.3324,2026-03-14 08:00:00+00:00
LINKUSDT,0.6645,1.9806,0.3355,2026-03-14 09:00:00+00:00
LINKUSDT,0.6649,1.9842,0.3351,2026-03-14 10:00:00+00:00
LINKUSDT,0.6606,1.9464,0.3394,2026-03-14 11:00:00+00:00
LINKUSDT,0.6603,1.9438,0.3397,2026-03-14 12:00:00+00:00
LINKUSDT,0.6572,1.9172,0.3428,2026-03-14 13:00:00+00:00
LINKUSDT,0.6597,1.9386,0.3403,2026-03-14 14:00:00+00:00
LINKUSDT,0.6635,1.9718,0.3365,2026-03-14 15:00:00+00:00
LINKUSDT,0.6556,1.9036,0.3444,2026-03-14 16:00:00+00:00
LINKUSDT,0.6554,1.9019,0.3446,2026-03-14 17:00:00+00:00
LINKUSDT,0.6546,1.8952,0.3454,2026-03-14 18:00:00+00:00
LINKUSDT,0.6542,1.8918,0.3458,2026-03-14 19:00:00+00:00
LINKUSDT,0.6531,1.8827,0.3469,2026-03-14 20:00:00+00:00
LINKUSDT,0.6556,1.9036,0.3444,2026-03-14 21:00:00+00:00
LINKUSDT,0.6554,1.9019,0.3446,2026-03-14 22:00:00+00:00
LINKUSDT,0.6557,1.9044,0.3443,2026-03-14 23:00:00+00:00
LINKUSDT,0.6586,1.9291,0.3414,2026-03-15 00:00:00+00:00
LINKUSDT,0.6576,1.9206,0.3424,2026-03-15 01:00:00+00:00
LINKUSDT,0.6599,1.9403,0.3401,2026-03-15 02:00:00+00:00
LINKUSDT,0.6612,1.9516,0.3388,2026-03-15 03:00:00+00:00
LINKUSDT,0.6631,1.9682,0.3369,2026-03-15 04:00:00+00:00
LINKUSDT,0.6636,1.9727,0.3364,2026-03-15 05:00:00+00:00
LINKUSDT,0.6611,1.9507,0.3389,2026-03-15 06:00:00+00:00
LINKUSDT,0.6622,1.9603,0.3378,2026-03-15 07:00:00+00:00
LINKUSDT,0.6621,1.9595,0.3379,2026-03-15 08:00:00+00:00
LINKUSDT,0.6617,1.956,0.3383,2026-03-15 09:00:00+00:00
LINKUSDT,0.6596,1.9377,0.3404,2026-03-15 10:00:00+00:00
LINKUSDT,0.6611,1.9507,0.3389,2026-03-15 11:00:00+00:00
LINKUSDT,0.661,1.9499,0.339,2026-03-15 12:00:00+00:00
LINKUSDT,0.6626,1.9638,0.3374,2026-03-15 13:00:00+00:00
LINKUSDT,0.6615,1.9542,0.3385,2026-03-15 14:00:00+00:00
LINKUSDT,0.6615,1.9542,0.3385,2026-03-15 15:00:00+00:00
LINKUSDT,0.6636,1.9727,0.3364,2026-03-15 16:00:00+00:00
LINKUSDT,0.6639,1.9753,0.3361,2026-03-15 17:00:00+00:00
LINKUSDT,0.6632,1.9691,0.3368,2026-03-15 18:00:00+00:00
LINKUSDT,0.6693,2.0239,0.3307,2026-03-15 19:00:00+00:00
LINKUSDT,0.6681,2.013,0.3319,2026-03-15 20:00:00+00:00
LINKUSDT,0.667,2.003,0.333,2026-03-15 21:00:00+00:00
LINKUSDT,0.6703,2.0331,0.3297,2026-03-15 22:00:00+00:00
LINKUSDT,0.6735,2.0628,0.3265,2026-03-15 23:00:00+00:00
LINKUSDT,0.6701,2.0312,0.3299,2026-03-16 00:00:00+00:00
LINKUSDT,0.6705,2.0349,0.3295,2026-03-16 01:00:00+00:00
LINKUSDT,0.6676,2.0084,0.3324,2026-03-16 02:00:00+00:00
LINKUSDT,0.6696,2.0266,0.3304,2026-03-16 03:00:00+00:00
LINKUSDT,0.6687,2.0184,0.3313,2026-03-16 04:00:00+00:00
LINKUSDT,0.6728,2.0562,0.3272,2026-03-16 05:00:00+00:00
LINKUSDT,0.6736,2.0637,0.3264,2026-03-16 06:00:00+00:00
LINKUSDT,0.6709,2.0386,0.3291,2026-03-16 07:00:00+00:00
LINKUSDT,0.6705,2.0349,0.3295,2026-03-16 08:00:00+00:00
LINKUSDT,0.6699,2.0294,0.3301,2026-03-16 09:00:00+00:00
LINKUSDT,0.6672,2.0048,0.3328,2026-03-16 10:00:00+00:00
LINKUSDT,0.6661,1.9949,0.3339,2026-03-16 11:00:00+00:00
LINKUSDT,0.6681,2.013,0.3319,2026-03-16 12:00:00+00:00
LINKUSDT,0.6704,2.034,0.3296,2026-03-16 13:00:00+00:00
LINKUSDT,0.6699,2.0294,0.3301,2026-03-16 14:00:00+00:00
LINKUSDT,0.6722,2.0506,0.3278,2026-03-16 15:00:00+00:00
LINKUSDT,0.6676,2.0084,0.3324,2026-03-16 16:00:00+00:00
LINKUSDT,0.6669,2.0021,0.3331,2026-03-16 17:00:00+00:00
LINKUSDT,0.6713,2.0423,0.3287,2026-03-16 18:00:00+00:00
LINKUSDT,0.6737,2.0647,0.3263,2026-03-16 19:00:00+00:00
LINKUSDT,0.6757,2.0836,0.3243,2026-03-16 20:00:00+00:00
LINKUSDT,0.6787,2.1124,0.3213,2026-03-16 21:00:00+00:00
LINKUSDT,0.6827,2.1516,0.3173,2026-03-16 22:00:00+00:00
LINKUSDT,0.6848,2.1726,0.3152,2026-03-16 23:00:00+00:00
LINKUSDT,0.6805,2.1299,0.3195,2026-03-17 00:00:00+00:00
LINKUSDT,0.6776,2.1017,0.3224,2026-03-17 01:00:00+00:00
LINKUSDT,0.6812,2.1368,0.3188,2026-03-17 02:00:00+00:00
LINKUSDT,0.6814,2.1387,0.3186,2026-03-17 03:00:00+00:00
LINKUSDT,0.6818,2.1427,0.3182,2026-03-17 04:00:00+00:00
LINKUSDT,0.6821,2.1456,0.3179,2026-03-17 05:00:00+00:00
LINKUSDT,0.6838,2.1626,0.3162,2026-03-17 06:00:00+00:00
LINKUSDT,0.684,2.1646,0.316,2026-03-17 07:00:00+00:00
LINKUSDT,0.6845,2.1696,0.3155,2026-03-17 08:00:00+00:00
LINKUSDT,0.6867,2.1918,0.3133,2026-03-17 09:00:00+00:00
LINKUSDT,0.6857,2.1817,0.3143,2026-03-17 10:00:00+00:00
LINKUSDT,0.6833,2.1576,0.3167,2026-03-17 11:00:00+00:00
LINKUSDT,0.6814,2.1387,0.3186,2026-03-17 12:00:00+00:00
LINKUSDT,0.6792,2.1172,0.3208,2026-03-17 13:00:00+00:00
LINKUSDT,0.6768,2.0941,0.3232,2026-03-17 14:00:00+00:00
LINKUSDT,0.6804,2.1289,0.3196,2026-03-17 15:00:00+00:00
LINKUSDT,0.6794,2.1192,0.3206,2026-03-17 16:00:00+00:00
LINKUSDT,0.6779,2.1046,0.3221,2026-03-17 17:00:00+00:00
LINKUSDT,0.6799,2.124,0.3201,2026-03-17 18:00:00+00:00
LINKUSDT,0.6811,2.1358,0.3189,2026-03-17 19:00:00+00:00
LINKUSDT,0.6808,2.1328,0.3192,2026-03-17 20:00:00+00:00
LINKUSDT,0.6796,2.1211,0.3204,2026-03-17 21:00:00+00:00
LINKUSDT,0.6799,2.124,0.3201,2026-03-17 22:00:00+00:00
LINKUSDT,0.6795,2.1201,0.3205,2026-03-17 23:00:00+00:00
LINKUSDT,0.6793,2.1182,0.3207,2026-03-18 00:00:00+00:00
LINKUSDT,0.675,2.0769,0.325,2026-03-18 01:00:00+00:00
