symbol,longAccount,longShortRatio,shortAccount,timestamp
LINKUSDT,0.6613,1.9525,0.3387,2026-03-25 22:40:00+00:00
LINKUSDT,0.6628,1.9656,0.3372,2026-03-25 22:45:00+00:00
LINKUSDT,0.6631,1.9682,0.3369,2026-03-25 22:50:00+00:00
LINKUSDT,0.6635,1.9718,0.3365,2026-03-25 22:55:00+00:00
LINKUSDT,0.663,1.9674,0.337,2026-03-25 23:00:00+00:00
LINKUSDT,0.6629,1.9665,0.3371,2026-03-25 23:05:00+00:00
LINKUSDT,0.663,1.9674,0.337,2026-03-25 23:10:00+00:00
LINKUSDT,0.6634,1.9709,0.3366,2026-03-25 23:15:00+00:00
LINKUSDT,0.6628,1.9656,0.3372,2026-03-25 23:20:00+00:00
LINKUSDT,0.6625,1.963,0.3375,2026-03-25 23:25:00+00:00
LINKUSDT,0.6628,1.9656,0.3372,2026-03-25 23:30:00+00:00
LINKUSDT,0.6629,1.9665,0.3371,2026-03-25 23:35:00+00:00
LINKUSDT,0.6632,1.9691,0.3368,2026-03-25 23:40:00+00:00
LINKUSDT,0.6643,1.9789,0.3357,2026-03-25 23:45:00+00:00
LINKUSDT,0.6647,1.9824,0.3353,2026-03-25 23:50:00+00:00
LINKUSDT,0.6644,1.9797,0.3356,2026-03-25 23:55:00+00:00
LINKUSDT,0.6648,1.9833,0.3352,2026-03-26 00:00:00+00:00
LINKUSDT,0.6659,1.9931,0.3341,2026-03-26 00:05:00+00:00
LINKUSDT,0.6661,1.9949,0.3339,2026-03-26 00:10:00+00:00
LINKUSDT,0.6658,1.9922,0.3342,2026-03-26 00:15:00+00:00
LINKUSDT,0.666,1.994,0.334,2026-03-26 00:20:00+00:00
LINKUSDT,0.6659,1.9931,0.3341,2026-03-26 00:25:00+00:00
LINKUSDT,0.666,1.994,0.334,2026-03-26 00:30:00+00:00
LINKUSDT,0.6666,1.9994,0.3334,2026-03-26 00:35:00+00:00
LINKUSDT,0.6664,1.9976,0.3336,2026-03-26 00:40:00+00:00
LINKUSDT,0.6665,1.9985,0.3335,2026-03-26 00:45:00+00:00
LINKUSDT,0.6666,1.9994,0.3334,2026-03-26 00:50:00+00:00
LINKUSDT,0.6666,1.9994,0.3334,2026-03-26 00:55:00+00:00
LINKUSDT,0.6667,2.0003,0.3333,2026-03-26 01:00:00+00:00
LINKUSDT,0.6659,1.9931,0.3341,2026-03-26 01:05:00+00:00
LINKUSDT,0.666,1.994,0.334,2026-03-26 01:10:00+00:00
LINKUSDT,0.6662,1.9958,0.3338,2026-03-26 01:15:00+00:00
LINKUSDT,0.6668,2.0012,0.3332,2026-03-26 01:20:00+00:00
LINKUSDT,0.6668,2.0012,0.3332,2026-03-26 01:25:00+00:00
LINKUSDT,0.6673,2.0057,0.3327,2026-03-26 01:30:00+00:00
LINKUSDT,0.6668,2.0012,0.3332,2026-03-26 01:35:00+00:00
